"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",83,0.814335677042501,2.63595487735469,1e-10,2.5e-09,1.68421052631579e-09,810,"tags=52%, list=8%, signal=48%","Ifitm3/Ifi44/Ddx60/Gbp3/Ccrl2/H2-Q7/Cd74/Cxcl10/Gbp2/Psmb8/Parp12/Usp18/Isg15/Dhx58/Rtp4/Oas1a/Bst2/Ube2l6/Ifit3/Herc6/Ifit2/Tap1/Irf7/Csf1/Psmb9/Parp14/Mx2/Epsti1/Ifih1/Parp9/B2m/Ifi35/Trim12c/Uba7/Eif2ak2/Tmem140/Stat2/Samd9l/Irf9/Mov10/Trim21/Procr/Adar"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",149,0.736587890231906,2.53799003324186,1e-10,2.5e-09,1.68421052631579e-09,1159,"tags=45%, list=11%, signal=41%","Ifitm3/Ifi44/Pde4b/Ddx60/Gbp3/H2-Aa/Casp4/H2-Q7/H2-Eb1/Cd74/Cxcl10/Psmb8/Parp12/Usp18/Isg15/Dhx58/Gbp9/Oas3/Ptgs2/Rtp4/Oas2/Xaf1/Bst2/Ube2l6/Gbp8/Ifit3/Herc6/Ifit2/Tap1/Irf7/Psmb9/Cd274/Parp14/Mx2/Epsti1/Fas/Stat1/Ifih1/Rnf213/H2-M3/Zbp1/B2m/Ifi35/Rigi/Eif2ak2/Psmb10/Stat2/Samd9l/Icam1/Il15ra/H2-D1/Irf9/Ptpn6/Samhd1/Pla2g4a/Trim21/Adar/Mthfd2/Nfkb1/Tapbp/Batf2/Ripk2/Psme1/Psme2/Mt2/Pml/Tnfaip3"
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION",112,0.644162380066115,2.17266531014549,7.36103140818019e-09,1.22683856803003e-07,8.26501772146548e-08,1168,"tags=36%, list=11%, signal=32%","Il1b/Srgn/Ctss/Cd80/H2-Aa/H2-Q7/Cd74/Gbp2/Nlrp3/Ccl4/Ccr1/Tap1/Irf7/Csf1/Fas/Stat1/H2-M3/Stab1/B2m/Hdac9/Itgb2/Tap2/Psmb10/Cd1d1/Icam1/H2-DMb1/Timp1/Ptprc/Ptpn6/H2-T23/Rpl39/Ccnd2/Cfp/Tapbp/Il10/Ripk2/Il12rb1/Rps3a1/Ly75/Cd4"
"HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP",107,0.577324062606905,1.93952112257723,8.76153138214725e-06,0.000109519142276841,7.37813169022926e-05,871,"tags=27%, list=8%, signal=25%","Il1b/G0s2/Ctss/Fcer1g/Cxcl10/Lcp1/Psmb8/Ptgs2/Spon1/Csf2ra/Laptm5/Slpi/Csf2/Scn1b/Pdcd1lg2/Hdac9/Plat/Car2/Pecam1/Itgb2/Adam8/Map7/Plau/Zfp639/Ccnd2/Birc3/Rbp4/Ptbp2/Ly96"
"HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT",119,0.558250965278104,1.88873149522782,1.38452528609924e-05,0.000138452528609924,9.32732824319489e-05,575,"tags=18%, list=5%, signal=17%","S100a9/Ctss/Fcer1g/Itgam/Casp4/Plek/Cxcl3/Mmp13/Cxcl2/Irf7/Psmb9/Cxcl1/Dock10/Pla2g7/Prcp/Plat/Car2/Fyn/Hspa1a/Timp1/Gnb4"
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",101,0.575066950083804,1.91918412146393,3.62778704624432e-05,0.000302315587187027,0.000203665237683892,1113,"tags=27%, list=11%, signal=24%","Osm/Il1b/Pde4b/Ccrl2/Cxcl10/Rgs1/Nlrp3/P2rx7/Rtp4/Bst2/Irf7/Csf1/Scn1b/Stab1/Tnfrsf9/Eif2ak2/Sema4d/Icam1/Il15ra/Timp1/Nod2/Cybb/Nfkb1/Tapbp/Il10/Ripk2/Pik3r5"
"HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING",62,0.614160342839018,1.89729414535157,0.000115581044123694,0.000825578886597817,0.000556179460444845,1113,"tags=31%, list=11%, signal=28%","Il1b/Cxcl10/Il1r2/Cxcl3/Ccr1/Cxcl2/Csf2ra/Csf1/Csf2/Cxcl1/Fas/Stat1/Stat2/Il15ra/Irf9/Il3ra/Map3k8/Il12rb1/Pik3r5"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",162,0.497193376941293,1.72653448693352,0.000156818420387965,0.000871213446599803,0.000586922742972499,1261,"tags=25%, list=12%, signal=22%","Il1b/G0s2/Pde4b/Cd80/Ccrl2/Plek/Cxcl10/Cxcl3/Nr4a3/Ccl4/Ptgs2/Cxcl2/Ifit2/Tap1/Csf1/Csf2/Cxcl1/Ifih1/Plk2/Tnfrsf9/Rigi/Icam1/Il15ra/Plau/Cebpd/Dusp1/Zfp36/Birc3/Rel/Nfkb1/Klf9/Map3k8/Sgk1/Zbtb10/Ripk2/Dram1/Tnfaip3/Irs2/Abca1/Nfkbia"
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA","HALLMARK_HYPOXIA",132,-0.382551130328488,-1.68279442245613,0.000143798104613484,0.000871213446599803,0.000586922742972499,1476,"tags=34%, list=14%, signal=30%","Aldoa/Slc6a6/Gpi1/Ddit3/Fosl2/Bnip3l/Gbe1/Aldoc/Ldha/Xpnpep1/Pgm1/Pdk1/Pfkp/Cdkn1a/F3/Kdm3a/Jmjd6/Sult2b1/Maff/Pfkl/Sap30/Pgk1/Errfi1/Bcl2/Gys1/Pgm2/Map3k1/Prkca/Plaur/Btg1/Zfp292/P4ha1/Vegfa/Ddit4/B3galt6/Atp7a/Myh9/Pdgfb/Slc2a1/Serpine1/Ero1a/Ccng2/Mxi1/Cited2/Adm"
"HALLMARK_GLYCOLYSIS","HALLMARK_GLYCOLYSIS","HALLMARK_GLYCOLYSIS",134,-0.350603284573137,-1.54627333988325,0.000942767849869302,0.00471383924934651,0.00317563907324396,2123,"tags=35%, list=20%, signal=28%","Taldo1/Hspa5/Hdlbp/Ankzf1/Gne/Plod1/Plod2/Igfbp3/Ecd/Glrx/Pgam1/Gfus/Aldoa/Aurka/Akr1a1/Gmppa/Ldha/Gfpt1/Srd5a3/Pfkp/Fut8/Mdh2/Gmppb/Chpf2/Dld/Slc25a10/Sap30/B4galt1/Pgk1/Gys1/Abcb6/Pgm2/Cd44/Zfp292/Gale/P4ha1/Cdk1/Gnpda1/Vegfa/B4galt7/Ddit4/B3galt6/Egln3/Slc16a3/Ero1a/Mxi1/Cited2"
