"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0003735","MF","GO:0003735","structural constituent of ribosome",158,0.695835652209587,3.10763367164848,1e-10,2.24344827586207e-08,1.72958257713249e-08,2436,"tags=77%, list=23%, signal=60%","Rpl30/Rps17/Rpl24/Rps13/Rps11/Uba52/Rpl35a/Rps5/Rpl27a/Rps15a/Rpl18/Rps2/Rpl35/Rps3/Rps20/Rpl31/Rps16/Rpl8/Rps7/Mrps6/Mrps24/Rpl11/Mrpl17/Rpl32/Rpl9/Rpl36al/Rplp2/Rps23/Rpl22/Rpl28/Rpl13/Mrpl33/Rpl17/Rps19/Rps14/Rpl3/Gm2000/Rpl10/Rps10/Mrpl23/Rpl29/Rpl37/Rpl19/Rps27a/Mrpl46/Rps6/Rplp0/Mrpl22/Rps18/Rps24/Mrpl52/Rpl36a/Rpl13a/Mrpl39/Mrps11/Rpl21/Mrps16/Mrps31/Rpsa/Rpl18a/Mrpl20/Rpl23a/Mrpl18/Mrpl27/Mrps18c/Rpl10a/Mrpl57/Rpl12/Rpl34/Rps9/Rpl26/Rpl36/Mrps14/Rpl15/Ndufa7/Rps29/Rps8/Rpl23/Mrpl4/Rps25/Mrpl35/Mrps12/Mrpl13/Rpl7/Rpl5/Mrpl51/Rps4x/Mrps25/Mrpl34/Rpl41/Rpl4/Rsl24d1/Rpl39/Mrps15/Fau/Rpl27/Mrpl15/Mrps17/Mrpl54/Rpl6/Mrpl21/Rps27l/Rps21/Mrps23/Mrpl30/Mrps34/Rpl38/Rpl37a/Rps3a1/Mrpl9/Mrpl28/Mrpl41/Rpl7a/Rpl9-ps6/Rpl7l1/Rpl14/Mrpl55/Mrps7/Rps26/Mrpl14/Rps28/Mrpl2"
"GO:0044391","CC","GO:0044391","ribosomal subunit",187,0.680065189920917,3.10301816032875,1e-10,2.24344827586207e-08,1.72958257713249e-08,2363,"tags=71%, list=22%, signal=56%","Hba-a1/Rpl30/Rps17/Rpl24/Rps13/Rps11/Uba52/Rpl35a/Rps5/Rpl27a/Rps15a/Ndufab1/Rpl18/Rps2/Rpl35/Rps3/Rps20/Rpl31/Rps16/Rpl8/Rps7/Mrps6/Mrps24/Rpl11/Mrpl17/Rpl32/Rpl9/Rpl36al/Rplp2/Rps23/Rpl22/Rpl28/Rpl13/Mrpl33/Rpl17/Rps19/Rps14/Rpl3/Rpl10/Mrpl50/Rps10/Mrpl23/Rpl29/Rpl37/Rpl19/Mpv17l2/Rps27a/Mrpl46/Rps6/Rplp0/Mrpl22/Rps18/Rps24/Mrpl52/Rpl36a/Rpl13a/Mrpl39/Mrps11/Rpl21/Mrps16/Mrps31/Rpsa/Rpl18a/Mrpl20/Rpl23a/Mrpl18/Mrpl27/Mrps18c/Rpl10a/Mrpl57/Rpl12/Mrps33/Rpl34/Rps9/Rpl26/Rpl36/Mrps14/Rpl15/Mcts1/Chchd1/Rps29/Rps8/Rpl23/Mrpl4/Rps25/Mrpl35/Mrps12/Mrpl13/Rpl7/Mrps26/Rpl5/Mrpl51/Mrpl53/Rps4x/Aurkaip1/Mrps25/Mrpl48/Mrpl34/Gadd45gip1/Rpl41/Rpl4/Rpl39/Mrps15/Fau/Rpl27/Mrpl15/Mrps17/Mrpl54/Rpl6/Mrpl21/Rps27l/Rps21/Mrps23/Mrpl30/Mrps34/Rpl38/Rpl37a/Rps3a1/Mrpl9/Mrpl28/Nsun3/Mrpl41/Malsu1/Rpl7a/Rpl9-ps6/Mrpl40/Rpl7l1/Rpl14/Mrpl55/Mrps7/Rps26/Mrpl14"
"GO:0005840","CC","GO:0005840","ribosome",209,0.654424167295276,3.03470728694461,1e-10,2.24344827586207e-08,1.72958257713249e-08,2363,"tags=67%, list=22%, signal=53%","Hba-a1/Rpl30/Rps17/Mtg1/Rpl24/Rps13/Rps11/Uba52/Rpl35a/Rps5/Rpl27a/Rps15a/Ndufab1/Rpl18/Rps2/Rpl35/Rps3/Rps20/Rpl31/Rps16/Rpl8/Rps7/Mrps6/Mrps24/Rpl11/Mrpl17/Rpl32/Rpl9/Rpl36al/Rplp2/Rps23/Rpl22/Rpl28/Rpl13/Mrpl33/Rpl17/Rps19/Rps14/Rpl3/Gm2000/Rpl10/Mrpl50/Rps10/Mrpl23/Rpl29/Rpl37/Rpl19/Mpv17l2/Rps27a/Mrpl46/Rps6/Rplp0/Mrpl22/Rps18/Rps24/Mrpl52/Rpl36a/Rpl13a/Mrpl39/Mrps11/Rpl21/Mrps16/Mrps31/Rpsa/Rpl18a/Eif3h/Mrpl20/Rpl23a/Mrpl18/Mrpl27/Mrps18c/Rpl10a/Mrpl57/Rpl12/Mrps33/Rpl34/Btf3/Rps9/Rpl26/Rpl36/Mrps14/Rpl15/Ndufa7/Mcts1/Chchd1/Rps29/Rps8/Rpl23/Mrpl4/Rps25/Mrpl35/Mrps12/Mrpl13/Rpl7/Mrps26/Rpl5/Mrpl51/Mrpl53/Rps4x/Aurkaip1/Mrps25/Oas1a/Mrpl48/Mrpl34/Gadd45gip1/Rpl41/Rpl4/Rsl24d1/Rpl39/Mrps15/Fau/Rpl27/Mrpl15/Mrps17/Mrpl54/Rpl6/Mrpl21/Rps27l/Rps21/Mrps23/Mrpl30/Mrps34/Rpl38/Rpl37a/Rps3a1/Mrpl9/Abcf1/Mrpl28/Nsun3/Mrpl41/Malsu1/Rpl7a/Rpl9-ps6/Mrpl40/Rpl7l1/Rpl14/Mrpl55/Mrps7/Rps26/Mrpl14"
"GO:0022626","CC","GO:0022626","cytosolic ribosome",99,0.725872774894412,2.98437939532462,1e-10,2.24344827586207e-08,1.72958257713249e-08,2244,"tags=81%, list=21%, signal=64%","Hba-a1/Rpl30/Rps17/Rpl24/Rps13/Rps11/Uba52/Rpl35a/Rps5/Rpl27a/Rps15a/Rpl18/Rps2/Rpl35/Rps3/Rps20/Rpl31/Rps16/Rpl8/Rps7/Rpl11/Rpl32/Rpl9/Rpl36al/Rplp2/Rps23/Rpl22/Rpl28/Rpl13/Rpl17/Rps19/Rps14/Rpl3/Rpl10/Rps10/Rpl29/Rpl37/Rpl19/Rps27a/Rps6/Rplp0/Rps18/Rps24/Rpl36a/Rpl13a/Mrps11/Rpl21/Rpsa/Rpl18a/Rpl23a/Rpl10a/Rpl12/Rpl34/Rps9/Rpl26/Rpl36/Rpl15/Mcts1/Rps29/Rps8/Rpl23/Rps25/Rpl7/Rpl5/Rps4x/Rpl41/Rpl4/Rpl39/Fau/Rpl27/Rpl6/Rps27l/Rps21/Rpl38/Rpl37a/Rps3a1/Rpl7a/Rpl9-ps6/Rpl7l1/Rpl14"
"GO:0015934","CC","GO:0015934","large ribosomal subunit",114,0.698055593821209,2.97815502643427,1e-10,2.24344827586207e-08,1.72958257713249e-08,2363,"tags=73%, list=22%, signal=57%","Rpl30/Rpl24/Uba52/Rpl35a/Rpl27a/Ndufab1/Rpl18/Rpl35/Rpl31/Rpl8/Rpl11/Mrpl17/Rpl32/Rpl9/Rpl36al/Rplp2/Rpl22/Rpl28/Rpl13/Mrpl33/Rpl17/Rpl3/Rpl10/Mrpl50/Mrpl23/Rpl29/Rpl37/Rpl19/Mpv17l2/Mrpl46/Rplp0/Mrpl22/Mrpl52/Rpl36a/Rpl13a/Mrpl39/Rpl21/Rpl18a/Mrpl20/Rpl23a/Mrpl18/Mrpl27/Rpl10a/Mrpl57/Rpl12/Rpl34/Rpl26/Rpl36/Rpl15/Rpl23/Mrpl4/Mrpl35/Mrpl13/Rpl7/Rpl5/Mrpl51/Mrpl53/Mrpl48/Mrpl34/Gadd45gip1/Rpl41/Rpl4/Rpl39/Rpl27/Mrpl15/Mrpl54/Rpl6/Mrpl21/Mrpl30/Rpl38/Rpl37a/Mrpl9/Mrpl28/Nsun3/Mrpl41/Malsu1/Rpl7a/Rpl9-ps6/Mrpl40/Rpl7l1/Rpl14/Mrpl55/Mrpl14"
"GO:0022625","CC","GO:0022625","cytosolic large ribosomal subunit",55,0.776431753089041,2.91864811691795,1e-10,2.24344827586207e-08,1.72958257713249e-08,2244,"tags=89%, list=21%, signal=71%","Rpl30/Rpl24/Uba52/Rpl35a/Rpl27a/Rpl18/Rpl35/Rpl31/Rpl8/Rpl11/Rpl32/Rpl9/Rpl36al/Rplp2/Rpl22/Rpl28/Rpl13/Rpl17/Rpl3/Rpl10/Rpl29/Rpl37/Rpl19/Rplp0/Rpl36a/Rpl13a/Rpl21/Rpl18a/Rpl23a/Rpl10a/Rpl12/Rpl34/Rpl26/Rpl36/Rpl15/Rpl23/Rpl7/Rpl5/Rpl41/Rpl4/Rpl39/Rpl27/Rpl6/Rpl38/Rpl37a/Rpl7a/Rpl9-ps6/Rpl7l1/Rpl14"
"GO:0002181","BP","GO:0002181","cytoplasmic translation",135,0.634978827947543,2.74456802580641,1e-10,2.24344827586207e-08,1.72958257713249e-08,2187,"tags=64%, list=21%, signal=51%","Eif4ebp1/Rpl30/Rps17/Rpl24/Rps13/Pabpc1/Rps11/Uba52/Rpl35a/Rps5/Rpl27a/Rps15a/Rpl18/Rps2/Rps3/Rps20/Rpl31/Rps16/Rpl8/Rps7/Rpl11/Rpl32/Rpl9/Rplp2/Rps23/Rpl22/Rpl28/Rpl13/Rpl17/Rps19/Rps14/Rpl3/Rps10/Rpl29/Rpl19/Rps27a/Ybx1/Rps6/Rplp0/Rps18/Rps24/Eif3i/Rpl36a/Rpl13a/Rpl21/Rpsa/Rpl18a/Ncbp2/Rpl23a/Rpl10a/Rpl12/Rpl34/Rps9/Pkm/Rpl26/Rpl36/Eif2s2/Rpl15/Mcts1/Rps29/Rps8/Dph3/Rpl23/Eif4h/Rps25/Cnbp/Rpl7/Rpl5/Rps4x/Denr/Rwdd1/Rpl41/Rpl4/Hnrnpd/Rpl39/Fau/Rpl27/Rpl6/Eif3d/Rps21/Rpl38/Rpl37a/Rps3a1/Rpl7a/Eif3m/Rpl9-ps6"
"GO:0098803","CC","GO:0098803","respiratory chain complex",67,0.70619467313184,2.74192439451018,1e-10,2.24344827586207e-08,1.72958257713249e-08,2299,"tags=78%, list=22%, signal=61%","Ndufb4/AA467197/Ndufb4b/Ndufab1/Cox6c/Cox6b1/Ndufb9/Foxred1/Ndufa2/Ndufa1/Ndufc2/Coa6/Ndufa5/Ndufa6/Cox7b/Cox7c/Cox5b/Ndufa3/Ndufb6/Ndufa13/Cox4i1/Ndufv2/Cox6a1/Uqcrq/Uqcrh/Ndufb7/Dmac1/Sdhb/Ndufs5/Ndufa7/Cox5a/Uqcrc2/Ndufb10/Ndufb11/Ndufb2/Uqcrb/Cox7a2/Ndufb3/Cyc1/Ndufa4/Ndufb8/Ndufs4/Ndufs3/Ndufv3/Ndufa8/Uqcr11/Ndufa12/Uqcc3/Ndufb5/Ndufa11/Dmac2/Uqcr10"
"GO:0005746","CC","GO:0005746","mitochondrial respirasome",69,0.699929353765767,2.70033696262053,1e-10,2.24344827586207e-08,1.72958257713249e-08,2299,"tags=77%, list=22%, signal=61%","Ndufb4/AA467197/Ndufb4b/Ndufab1/Cox6c/Cox6b1/Ndufb9/Foxred1/Ndufa2/Ndufa1/Ndufc2/Ndufa5/Ndufa6/Cox7b/Cox7c/Cox5b/Ndufa3/Ndufb6/Ndufa13/Cox4i1/Ndufv2/Cox6a1/Uqcrq/Uqcrh/Ndufb7/Dmac1/Sdhb/Ndufs5/Ndufa7/Cox5a/Uqcrc2/Ndufb10/Cox7a2l/Ndufb11/Ndufb2/Uqcrb/Cox7a2/Ndufb3/Cyc1/Ndufa4/Ndufb8/Ndufs4/Rab5if/Ndufs3/Ndufv3/Ndufa8/Uqcr11/Ndufa12/Uqcc3/Ndufb5/Ndufa11/Dmac2/Uqcr10"
"GO:0098800","CC","GO:0098800","inner mitochondrial membrane protein complex",124,0.62688904563911,2.69939577396501,1e-10,2.24344827586207e-08,1.72958257713249e-08,2702,"tags=72%, list=26%, signal=54%","Ndufb4/AA467197/Ndufb4b/Atp5j/Ndufab1/Atp5o/Pam16/Timm10b/Cox6c/Cox6b1/Ndufb9/Foxred1/Pam16l/Ndufa2/Grpel1/Smdt1/Micos10/Atp5g2/Ndufa1/Ndufc2/Chchd10/Ndufa5/Dnajc19/Ndufa6/Cox7b/Cox7c/Cox5b/Ndufa3/Timm50/Ndufb6/Ndufa13/Cox4i1/Ndufv2/Cox6a1/Uqcrq/Atp5g3/Uqcrh/Ndufb7/Dmac1/Sdhb/Ndufs5/Ndufa7/Atp5e/Afg3l2/Cox5a/Uqcrc2/Timm17a/Ndufb10/Micos13/Atp5mpl/Ndufb11/Ndufb2/Atp5j2/Uqcrb/Cox7a2/Ndufb3/Cyc1/Ndufa4/Ndufb8/Dnajc15/Atp5h/Ndufs4/Timm21/Atp5d/Timm22/Ndufs3/Timm10/Grpel2/Ndufv3/Ndufa8/Uqcr11/Ndufa12/Uqcc3/Ndufb5/Phb/Ndufa11/Dmac2/Atp5l/Uqcr10/Timm17b/Atp5c1/Ndufa9/Ndufs7/Ndufv1/Atp5g1/Ndufs6/Atp5b/Chchd6/Atp5a1"
