"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0022626","CC","GO:0022626","cytosolic ribosome",99,0.803017232825004,3.0780416906122,1e-10,1.32775510204082e-08,1.05843179377014e-08,1198,"tags=76%, list=11%, signal=68%","Hba-a1/Rps17/Uba52/Rpl35/Isg15/Rpl24/Rpl35a/Rpl31/Rpl36/Rplp2/Rpl32/Rpl34/Rps20/Rps15a/Rps14/Rpl27a/Rpl28/Rps13/Rps11/Rps28/Rpl13/Rps27/Rpl18/Rps29/Rpl22/Rps18/Rps25/Rpl12/Rpl36a/Rps10/Rps23/Rpl18a/Rpl11/Rpl41/Rpl30/Rpl23a/Rps2/Rps5/Rps16/Rpl39/Rpl13a/Rps7/Rps19/Rps26/Rpl38/Rps24/Rps27a/Rpl37a/Rpl37/Rpl29/Rpl36al/Rpl21/Rplp1/Rpl10/Rpl10a/Rpl27/Rpl26/Rps21/Rpl19/Rps15/Rps3a1/Rps3/Rpl17/Fau/Rpl23/Rpsa/Rps8/Rps9/Rpl9/Mrps11/Rps27l/Rpl15/Rpl14/Rpl8/Rplp0"
"GO:0003735","MF","GO:0003735","structural constituent of ribosome",158,0.753587178279935,3.07587943480564,1e-10,1.32775510204082e-08,1.05843179377014e-08,1937,"tags=74%, list=18%, signal=61%","Rps17/Uba52/Rpl35/Isg15/Rpl24/Rpl35a/Rpl31/Rpl36/Rplp2/Rpl32/Rpl34/Rps20/Rps15a/Rps14/Rpl27a/Rpl28/Rps13/Rps11/Rps28/Rpl13/Rps27/Rpl18/Rps29/Rpl22/Rps18/Rps25/Rpl12/Rpl36a/Rps10/Rps23/Mrpl52/Rpl18a/Rpl11/Rpl41/Rpl30/Rpl23a/Rps2/Rps5/Rps16/Rpl39/Rpl13a/Rps7/Ndufa7/Rps19/Rps26/Rpl38/Rps24/Rps27a/Rpl22l1/Rpl37a/Rpl37/Rpl29/Mrpl23/Mrps21/Rpl36al/Rpl21/Rplp1/Rpl10/Rpl10a/Rpl27/Rpl26/Rps21/Rpl19/Mrps18c/Rps15/Rps3a1/Rps3/Rpl17/Fau/Mrpl35/Mrpl21/Rpl23/Rpsa/Mrpl39/Mrps6/Rps8/Rps9/Mrpl33/Mrpl17/Rpl9/Mrps11/Mrpl22/Mrpl57/Rps27l/Mrps24/Rpl15/Gm2000/Mrps16/Rpl14/Rpl8/Rplp0/Mrpl46/Mrps31/Rpl6/Mrpl18/Mrpl9/Mrps14/Mrpl19/Rpl5/Mrps5/Dap3/Rpl4/Rpl7/Mrpl30/Rps6/Mrpl24/Rpl3/Mrpl54/Mrpl27/Mrpl51/Mrpl14/Mrpl28/Mrpl4/Mrpl34/Mrpl47/Mrpl20/Rps4x"
"GO:0044391","CC","GO:0044391","ribosomal subunit",187,0.719852214760256,2.99310310941103,1e-10,1.32775510204082e-08,1.05843179377014e-08,1937,"tags=68%, list=18%, signal=56%","Hba-a1/Rps17/Uba52/Rpl35/Isg15/Rpl24/Rpl35a/Rpl31/Rpl36/Rplp2/Rpl32/Rpl34/Rps18-ps6/Rps20/Rps15a/Rps14/Rpl27a/Rpl28/Rps13/Rps11/Rps28/Rpl13/Rps27/Rpl18/Rps29/Rpl22/Rps18/Rps25/Rpl12/Rpl36a/Rps10/Rps23/Mrpl52/Rpl18a/Rpl11/Rpl41/Rpl30/Rpl23a/Rps2/Rps5/Rps16/Rpl39/Rpl13a/Rps7/Rps19/Rps26/Rpl38/Rps24/Rps27a/Rpl37a/Rpl37/Rpl29/Mrpl23/Mrps21/Rpl36al/Rpl21/Rplp1/Mrps33/Rpl10/Rpl10a/Rpl27/Rpl26/Rps21/Rpl19/Ndufab1/Mrps18c/Rps15/Rps3a1/Rps3/Rpl17/Fau/Mrpl35/Mrpl21/Rpl23/Rpsa/Mrpl39/Mrps6/Rps8/Rps9/Nsun3/Mrpl33/Mrpl17/Rpl9/Mrps11/Mrpl22/Mrpl57/Rps27l/Mrps24/Rpl15/Mrps16/Rpl14/Rpl8/Rplp0/Gadd45gip1/Mrpl46/Mrps31/Rpl6/Mrpl18/Mrpl9/Mrpl53/Mrps14/Mrpl19/Rpl5/Chchd1/Mrps5/Dap3/Rpl4/Rpl7/Mrpl30/Rps6/Mrpl24/Rpl3/Mrpl54/Mrpl27/Mrpl48/Mrpl40/Eif2a/Mrpl51/Mrpl14/Mrpl28/Mrpl50/Mrpl4/Mrpl34/Mrpl47/Mcts1/Mrpl20/Rps4x"
"GO:0005840","CC","GO:0005840","ribosome",209,0.700527582297395,2.95989750069988,1e-10,1.32775510204082e-08,1.05843179377014e-08,1937,"tags=64%, list=18%, signal=53%","Hba-a1/Oas1a/Rps17/Uba52/Rpl35/Isg15/Rpl24/Rpl35a/Rpl31/Rpl36/Rplp2/Rpl32/Rpl34/Rps18-ps6/Rps20/Rps15a/Rps14/Rpl27a/Rpl28/Rps13/Rps11/Rps28/Rpl13/Rps27/Rpl18/Rps29/Rpl22/Rps18/Rps25/Rpl12/Rpl36a/Rps10/Rps23/Mrpl52/Rpl18a/Rpl11/Rpl41/Rpl30/Rpl23a/Rps2/Rps5/Rps16/Rpl39/Rpl13a/Rps7/Ndufa7/Rps19/Rps26/Rpl38/Rps24/Rps27a/Rpl22l1/Rpl37a/Rpl37/Rpl29/Mrpl23/Mrps21/Rpl36al/Rpl21/Rplp1/Mrps33/Rpl10/Rpl10a/Rpl27/Rpl26/Rps21/Rpl19/Ndufab1/Mrps18c/Rps15/Rps3a1/Rps3/Rpl17/Fau/Mrpl35/Mrpl21/Rpl23/Rpsa/Mrpl39/Mrps6/Rps8/Rps9/Nsun3/Mrpl33/Mrpl17/Rpl9/Mrps11/Mrpl22/Mrpl57/Mtg1/Rps27l/Mrps24/Rpl15/Gm2000/Mrps16/Rpl14/Rpl8/Rplp0/Gadd45gip1/Mrpl46/Oas1c/Mrps31/Rpl6/Mrpl18/Mrpl9/Mrpl53/Mrps14/Mrpl19/Rpl5/Chchd1/Mrps5/Dap3/Rpl4/Rpl7/Mrpl30/Rps6/Mrpl24/Rpl3/Mrpl54/Mrpl27/Mrpl48/Mrpl40/Eif2a/Mrpl51/Mrpl14/Mrpl28/Mrpl50/Mrpl4/Mrpl34/Mrpl47/Mcts1/Mrpl20/Rps4x"
"GO:0022625","CC","GO:0022625","cytosolic large ribosomal subunit",55,0.819538066800414,2.83083695122542,1e-10,1.32775510204082e-08,1.05843179377014e-08,1665,"tags=85%, list=16%, signal=72%","Uba52/Rpl35/Rpl24/Rpl35a/Rpl31/Rpl36/Rplp2/Rpl32/Rpl34/Rpl27a/Rpl28/Rpl13/Rpl18/Rpl22/Rpl12/Rpl36a/Rpl18a/Rpl11/Rpl41/Rpl30/Rpl23a/Rpl39/Rpl13a/Rpl38/Rpl37a/Rpl37/Rpl29/Rpl36al/Rpl21/Rplp1/Rpl10/Rpl10a/Rpl27/Rpl26/Rpl19/Rpl17/Rpl23/Rpl9/Rpl15/Rpl14/Rpl8/Rplp0/Rpl6/Rpl5/Rpl4/Rpl7/Rpl3"
"GO:0015934","CC","GO:0015934","large ribosomal subunit",114,0.718429007380464,2.80366636402068,1e-10,1.32775510204082e-08,1.05843179377014e-08,2163,"tags=72%, list=20%, signal=58%","Uba52/Rpl35/Rpl24/Rpl35a/Rpl31/Rpl36/Rplp2/Rpl32/Rpl34/Rpl27a/Rpl28/Rpl13/Rpl18/Rpl22/Rpl12/Rpl36a/Mrpl52/Rpl18a/Rpl11/Rpl41/Rpl30/Rpl23a/Rpl39/Rpl13a/Rpl38/Rpl37a/Rpl37/Rpl29/Mrpl23/Rpl36al/Rpl21/Rplp1/Rpl10/Rpl10a/Rpl27/Rpl26/Rpl19/Ndufab1/Rpl17/Mrpl35/Mrpl21/Rpl23/Mrpl39/Nsun3/Mrpl33/Mrpl17/Rpl9/Mrpl22/Mrpl57/Rpl15/Rpl14/Rpl8/Rplp0/Gadd45gip1/Mrpl46/Rpl6/Mrpl18/Mrpl9/Mrpl53/Mrpl19/Rpl5/Rpl4/Rpl7/Mrpl30/Mrpl24/Rpl3/Mrpl54/Mrpl27/Mrpl48/Mrpl40/Mrpl51/Mrpl14/Mrpl28/Mrpl50/Mrpl4/Mrpl34/Mrpl47/Mrpl20/Malsu1/Mrpl2/Rpl7a/Npm1"
"GO:0002181","BP","GO:0002181","cytoplasmic translation",135,0.678997010617822,2.7303762805056,1e-10,1.32775510204082e-08,1.05843179377014e-08,1699,"tags=60%, list=16%, signal=51%","Rps17/Uba52/Rpl24/Rpl35a/Rpl31/Rpl36/Rplp2/Rpl32/Rpl34/Eif4ebp1/Rps20/Rps15a/Rps14/Rpl27a/Rpl28/Rps13/Rps11/Rps28/Rpl13/Rpl18/Rps29/Rpl22/Rps18/Rps25/Rpl12/Rpl36a/Rps10/Rps23/Rpl18a/Rpl11/Rpl41/Rpl30/Rpl23a/Rps2/Rps5/Rps16/Rpl39/Rpl13a/Rps7/Rps19/Rps26/Rpl38/Rps24/Rps27a/Rpl22l1/Rpl37a/Rpl29/Rpl21/Rplp1/Rpl10a/Rpl27/Rpl26/Rps21/Rpl19/Rps15/Rps3a1/Rps3/Rpl17/Fau/Rpl23/Rpsa/Rps8/Rps9/Rwdd1/Rpl9/Rpl15/Ncbp2/Dph5/Rpl14/Rpl8/Rplp0/Rpl6/Eif3i/Rpl5/Denr/Rpl4/Rpl7/Dph3/Rps6/Rpl3/Ybx1"
"GO:0019882","BP","GO:0019882","antigen processing and presentation",68,0.757490185590157,2.727931999075,1e-10,1.32775510204082e-08,1.05843179377014e-08,651,"tags=40%, list=6%, signal=38%","Psmb8/Psmb9/H2-Q6/H2-Q4/Tap1/Cd74/B2m/H2-K1/H2-D1/H2-M3/Tap2/H2-T22/H2-Eb1/H2-Q7/H2-Ab1/Icam1/H2-Aa/H2-DMb1/Thbs1/Pycard/H2-T24/Ctss/H2-T23/Fcgr3/Nod2/Psme2/Psme1"
"GO:0035456","BP","GO:0035456","response to interferon-beta",35,0.860002761427705,2.72234358319551,1e-10,1.32775510204082e-08,1.05843179377014e-08,453,"tags=57%, list=4%, signal=55%","Iigp1/Gbp2/Gbp7/Ifi47/Gbp6/Gbp3/Igtp/Irgm2/Bst2/Oas1a/Stat1/Gm12185/Mndal/Irgm1/Ifi203/Ifi204/Irf1/Xaf1/Ifitm3/Ifit1"
"GO:0035458","BP","GO:0035458","cellular response to interferon-beta",29,0.888034056446077,2.69395449782206,1e-10,1.32775510204082e-08,1.05843179377014e-08,601,"tags=62%, list=6%, signal=59%","Iigp1/Gbp2/Gbp7/Ifi47/Gbp6/Gbp3/Igtp/Irgm2/Oas1a/Stat1/Gm12185/Mndal/Irgm1/Ifi203/Ifi204/Irf1/Ifit1/Ifi211"
