"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION","REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION","REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION",86,0.826364114221996,3.05022572816578,1e-10,7.71694915254237e-09,6.021409455843e-09,1198,"tags=85%, list=11%, signal=76%","Rps17/Uba52/Rpl35/Rpl24/Rpl35a/Rpl31/Rpl36/Rplp2/Rpl32/Rpl34/Rps20/Rps15a/Rps14/Rpl27a/Rpl28/Rps13/Rps11/Rps28/Rpl13/Rps27/Rpl18/Rps29/Rpl22/Rps18/Rps25/Rpl12/Rpl36a/Rps10/Rps23/Rpl18a/Rpl11/Rpl30/Rpl23a/Rps2/Rps5/Rps16/Rpl39/Rpl13a/Rps7/Rps19/Rps26/Rpl38/Rps24/Rps27a/Rpl22l1/Rpl37a/Rpl37/Rpl29/Rpl36al/Rpl21/Rplp1/Rpl10/Rpl10a/Rpl27/Rpl26/Rps21/Rpl19/Rps15/Rps3a1/Rps3/Rpl17/Fau/Rpl23/Rpsa/Rps8/Rps9/Eef1b2/Rpl9/Rps27l/Rpl15/Rpl14/Rpl8/Rplp0"
"KEGG_RIBOSOME","KEGG_RIBOSOME","KEGG_RIBOSOME",82,0.833221734004986,3.03758257977369,1e-10,7.71694915254237e-09,6.021409455843e-09,1198,"tags=87%, list=11%, signal=77%","Rps17/Uba52/Rpl35/Rpl24/Rpl35a/Rpl31/Rpl36/Rplp2/Rpl32/Rpl34/Rps20/Rps15a/Rpl27a/Rpl28/Rps13/Rps11/Rps28/Rpl13/Rps27/Rpl18/Rps29/Rpl22/Rps18/Rps25/Rpl12/Rpl36a/Rps10/Rps23/Rpl18a/Rpl11/Rpl30/Rpl23a/Rps2/Rps5/Rps16/Rpl39/Rpl13a/Rps7/Rps19/Rps26/Rpl38/Rps24/Rps27a/Rpl22l1/Rpl37a/Rpl37/Rpl29/Rpl36al/Rpl21/Rplp1/Rpl10/Rpl10a/Rpl27/Rpl26/Rps21/Rpl19/Rps15/Rps3a1/Rps3/Rpl17/Fau/Rpl23/Rpsa/Rps8/Rps9/Rpl9/Rps27l/Rpl15/Rpl14/Rpl8/Rplp0"
"REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY","REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY","REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY",94,0.813424337116854,3.02772905353666,1e-10,7.71694915254237e-09,6.021409455843e-09,1198,"tags=79%, list=11%, signal=70%","Asns/Rps17/Uba52/Rpl35/Rpl24/Rpl35a/Rpl31/Rpl36/Rplp2/Rpl32/Rpl34/Impact/Rps20/Rps15a/Rps14/Rpl27a/Rpl28/Rps13/Rps11/Rps28/Rpl13/Rps27/Rpl18/Rps29/Rpl22/Rps18/Rps25/Rpl12/Rpl36a/Rps10/Rps23/Rpl18a/Rpl11/Rpl30/Rpl23a/Rps2/Rps5/Rps16/Rpl39/Rpl13a/Rps7/Rps19/Rps26/Rpl38/Rps24/Rps27a/Rpl22l1/Rpl37a/Rpl37/Rpl29/Rpl36al/Rpl21/Rplp1/Rpl10/Rpl10a/Rpl27/Rpl26/Rps21/Rpl19/Rps15/Rps3a1/Rps3/Rpl17/Fau/Rpl23/Rpsa/Rps8/Rps9/Rpl9/Rps27l/Rpl15/Rpl14/Rpl8/Rplp0"
"REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS","REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS","REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS",149,0.746982589816998,3.02187371277774,1e-10,7.71694915254237e-09,6.021409455843e-09,1665,"tags=67%, list=16%, signal=57%","Psmb8/Psmb9/Rps17/Uba52/Rpl35/Psmb10/Rpl24/Rpl35a/Rpl31/Rpl36/Rplp2/Rpl32/Rpl34/Rps20/Rps15a/Rps14/Rpl27a/Rpl28/Rps13/Rps11/Rps28/Rpl13/Rps27/Rpl18/Elob/Rps29/Rpl22/Sem1/Rps18/Rps25/Rpl12/Rpl36a/Rps10/Rps23/Rpl18a/Rpl11/Rpl30/Rpl23a/Rps2/Rps5/Rps16/Rpl39/Rpl13a/Rps7/Rps19/Rps26/Psme2/Rpl38/Rps24/Rps27a/Rpl22l1/Rpl37a/Psme1/Rpl37/Rpl29/Rpl36al/Rpl21/Psmd8/Rplp1/Rpl10/Rpl10a/Rpl27/Rpl26/Rps21/Rpl19/Rps15/Rps3a1/Rps3/Rpl17/Magohb/Fau/Psmd4/Upf3a/Rpl23/Rpsa/Rps8/Rps9/Rpl9/Rps27l/Rpl15/Ncbp2/Rpl14/Rpl8/Rplp0/Eloc/Rpl6/Magoh/Psmb4/Rnps1/Rbm8a/Gspt1/Psma5/Rpl5/Rbx1/Psmd2/Rpl4/Rpl7/Ubb/Rps6/Rpl3"
"REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE","REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE","REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE",106,0.790265900142533,2.98969057307984,1e-10,7.71694915254237e-09,6.021409455843e-09,1711,"tags=80%, list=16%, signal=68%","Rps17/Uba52/Rpl35/Rpl24/Rpl35a/Rpl31/Rpl36/Rplp2/Rpl32/Rpl34/Rps20/Rps15a/Rps14/Rpl27a/Rpl28/Rps13/Rps11/Rps28/Rpl13/Rps27/Rpl18/Rps29/Rpl22/Rps18/Rps25/Rpl12/Rpl36a/Rps10/Rps23/Rpl18a/Rpl11/Sec61g/Rpl30/Rpl23a/Rps2/Rps5/Rps16/Rpl39/Sec61b/Rpl13a/Rps7/Rps19/Rps26/Rpl38/Rps24/Rps27a/Rpl22l1/Rpl37a/Rpl37/Rpl29/Rpl36al/Rpl21/Rplp1/Rpl10/Rpl10a/Rpl27/Rpl26/Rps21/Rpl19/Rps15/Rps3a1/Rps3/Rpl17/Fau/Rpl23/Rpsa/Ssr4/Rps8/Rps9/Rpl9/Rps27l/Srp19/Rpl15/Rpl14/Rpl8/Rplp0/Rpl6/Rpl5/Rpl4/Rpl7/Sec11c/Rps6/Rpl3/Ssr3/Ssr2"
"REACTOME_SELENOAMINO_ACID_METABOLISM","REACTOME_SELENOAMINO_ACID_METABOLISM","REACTOME_SELENOAMINO_ACID_METABOLISM",104,0.790046771411613,2.98449341411277,1e-10,7.71694915254237e-09,6.021409455843e-09,1327,"tags=73%, list=13%, signal=65%","Rps17/Uba52/Rpl35/Rpl24/Rpl35a/Rpl31/Rpl36/Rplp2/Rpl32/Rpl34/Rps20/Rps15a/Rps14/Rpl27a/Rpl28/Rps13/Rps11/Rps28/Rpl13/Rps27/Rpl18/Rps29/Rpl22/Rps18/Rps25/Rpl12/Rpl36a/Rps10/Rps23/Rpl18a/Rpl11/Rpl30/Rpl23a/Rps2/Rps5/Rps16/Rpl39/Rpl13a/Rps7/Rps19/Rps26/Rpl38/Rps24/Rps27a/Rpl22l1/Rpl37a/Rpl37/Rpl29/Rpl36al/Aimp1/Rpl21/Rplp1/Rpl10/Rpl10a/Rpl27/Rpl26/Rps21/Rpl19/Rps15/Rps3a1/Rps3/Rpl17/Fau/Rpl23/Rpsa/Rps8/Rps9/Rpl9/Rps27l/Rpl15/Lars/Rpl14/Rpl8/Rplp0/Rpl6/Pstk"
"REACTOME_NONSENSE_MEDIATED_DECAY_NMD","REACTOME_NONSENSE_MEDIATED_DECAY_NMD","REACTOME_NONSENSE_MEDIATED_DECAY_NMD",108,0.784057262567113,2.96655515353133,1e-10,7.71694915254237e-09,6.021409455843e-09,1665,"tags=79%, list=16%, signal=67%","Rps17/Uba52/Rpl35/Rpl24/Rpl35a/Rpl31/Rpl36/Rplp2/Rpl32/Rpl34/Rps20/Rps15a/Rps14/Rpl27a/Rpl28/Rps13/Rps11/Rps28/Rpl13/Rps27/Rpl18/Rps29/Rpl22/Rps18/Rps25/Rpl12/Rpl36a/Rps10/Rps23/Rpl18a/Rpl11/Rpl30/Rpl23a/Rps2/Rps5/Rps16/Rpl39/Rpl13a/Rps7/Rps19/Rps26/Rpl38/Rps24/Rps27a/Rpl22l1/Rpl37a/Rpl37/Rpl29/Rpl36al/Rpl21/Rplp1/Rpl10/Rpl10a/Rpl27/Rpl26/Rps21/Rpl19/Rps15/Rps3a1/Rps3/Rpl17/Magohb/Fau/Upf3a/Rpl23/Rpsa/Rps8/Rps9/Rpl9/Rps27l/Rpl15/Ncbp2/Rpl14/Rpl8/Rplp0/Rpl6/Magoh/Rnps1/Rbm8a/Gspt1/Rpl5/Rpl4/Rpl7/Rps6/Rpl3"
"REACTOME_EUKARYOTIC_TRANSLATION_INITIATION","REACTOME_EUKARYOTIC_TRANSLATION_INITIATION","REACTOME_EUKARYOTIC_TRANSLATION_INITIATION",114,0.772176315845716,2.96123333454382,1e-10,7.71694915254237e-09,6.021409455843e-09,1963,"tags=79%, list=19%, signal=65%","Rps17/Uba52/Rpl35/Rpl24/Rpl35a/Rpl31/Rpl36/Rplp2/Rpl32/Rpl34/Eif4ebp1/Rps20/Rps15a/Rps14/Rpl27a/Rpl28/Rps13/Rps11/Rps28/Rpl13/Rps27/Rpl18/Rps29/Rpl22/Rps18/Rps25/Rpl12/Rpl36a/Rps10/Rps23/Rpl18a/Rpl11/Rpl30/Rpl23a/Rps2/Rps5/Rps16/Rpl39/Rpl13a/Rps7/Rps19/Rps26/Rpl38/Rps24/Rps27a/Rpl22l1/Rpl37a/Rpl37/Rpl29/Rpl36al/Rpl21/Rplp1/Rpl10/Rpl10a/Rpl27/Rpl26/Rps21/Rpl19/Rps15/Rps3a1/Rps3/Eif3k/Rpl17/Eif3c/Fau/Rpl23/Rpsa/Rps8/Rps9/Rpl9/Rps27l/Rpl15/Rpl14/Rpl8/Rplp0/Rpl6/Eif3g/Eif3i/Rpl5/Rpl4/Rpl7/Eif3j1/Rps6/Rpl3/Eif2b2/Eif1ax/Eif3j2/Eif2s1/Rps4x/Eif2b5"
"WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS","WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS","WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS",84,0.795393696642433,2.92149688985089,1e-10,7.71694915254237e-09,6.021409455843e-09,1665,"tags=90%, list=16%, signal=77%","Rps17/Uba52/Rpl35/Rpl24/Rpl35a/Rpl31/Rpl36/Rplp2/Rpl32/Rpl34/Rps20/Rps15a/Rps14/Rpl27a/Rpl28/Rps13/Rps11/Rps28/Rpl13/Rps27/Rpl18/Rps29/Rpl22/Rps18/Rps25/Rpl12/Rpl36a/Rps10/Rps23/Rpl18a/Rpl11/Rpl30/Rpl23a/Rps2/Rps5/Rps16/Rpl39/Rpl13a/Rps7/Rps19/Rps26/Rpl38/Rps24/Rps27a/Rpl37a/Rpl37/Rpl29/Rpl21/Rplp1/Rpl10/Rpl10a/Rpl27/Rpl26/Rps21/Rpl19/Rps15/Rps3a1/Rps3/Rpl17/Fau/Rpl23/Rpsa/Rps8/Rps9/Rpl9/Rpl15/Rpl14/Rpl8/Rplp0/Rpl6/Mrpl19/Rpl5/Rpl4/Rpl7/Rps6/Rpl3"
"REACTOME_RRNA_PROCESSING","REACTOME_RRNA_PROCESSING","REACTOME_RRNA_PROCESSING",193,0.684290596929877,2.85675892583377,1e-10,7.71694915254237e-09,6.021409455843e-09,1995,"tags=59%, list=19%, signal=48%","Rps17/Uba52/Rpl35/Rpl24/Rpl35a/Rpl31/Rpl36/Rplp2/Rpl32/Rpl34/Rps20/Rps15a/Rps14/Rpl27a/Rpl28/Rps13/Rps11/Rps28/Rpl13/Rps27/Rpl18/Rps29/Rpl22/Rps18/Rps25/Rpl12/Rpl36a/Rps10/Rps23/Rpl18a/Rpl11/Rpl30/Rpl23a/Rps2/Rps5/Rps16/Rpl39/Rpl13a/Rps7/Rps19/Rps26/Rpl38/Rps24/Rps27a/Rpl22l1/Rpl37a/Rpl37/Rpl29/Wdr43/Rpl36al/Rpl21/Gar1/Rplp1/Rpl10/Rpl10a/Rpl27/Rpl26/Rps21/Rpl19/Nhp2/Nip7/Trmt10c/Rps15/Rps3a1/Rps3/Rpl17/Fau/Exosc5/Rpl23/Rpsa/Pno1/Rps8/Rps9/Rrp9/Thumpd1/Rpl9/Exosc8/Nob1/Rpp21/Rps27l/Rpl15/Nop14/Rpl14/Mphosph10/Rpl8/Rplp0/Rpp38/Rpl6/Gnl3/Rbm28/Rpl5/Pes1/Riok3/Rpl4/Exosc2/Ncl/Nol6/Rpl7/Bms1/Rps6/Rpl3/Tfb1m/Nop58/Nop10/C1d/Fbl/Nop2/Rps4x/Rpp40/Hsd17b10/Ddx21/Ddx49/Dkc1"
