"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",83,0.786263519547496,3.18173762872855,1e-10,1.25e-09,8.68421052631579e-10,878,"tags=55%, list=8%, signal=51%","Gbp2/Ifi44/Gbp3/Cxcl10/Psmb8/Cd74/Psmb9/Usp18/Bst2/Isg15/Rtp4/Tap1/Oas1a/B2m/Parp14/Irf7/Ube2l6/Trim12c/Irf1/Batf2/Samd9l/Ifitm3/Ddx60/Ifit3/Mx2/Parp9/Psme2/Ifi30/Tmem140/Ifi27/Dhx58/Parp12/Nmi/Ifih1/Eif2ak2/Irf9/Psme1/Mvb12a/Ly6e/Trim21/Ifi35/Isg20/Uba7/Cd47/Psma3/Lap3"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",149,0.66863139175245,2.9540836894324,1e-10,1.25e-09,8.68421052631579e-10,594,"tags=40%, list=6%, signal=38%","Ifi44/Gbp3/Cxcl10/Psmb8/Cd74/Psmb9/Usp18/Bst2/Isg15/Rtp4/Tap1/Oas2/Gbp9/Stat1/H2-D1/Zbp1/B2m/Parp14/Irf7/Ube2l6/Gbp8/Xaf1/Fas/Nlrc5/H2-Eb1/Cd274/Irf1/Oas3/Ptgs2/Batf2/Samd9l/Ifitm3/Auts2/Ddx60/Ifit3/Mx2/H2-M3/H2-Aa/Psmb10/Il18bp/Psme2/Ifi30/Ifi27/Dhx58/H2-DMa/Parp12/Nmi/Ifih1/Eif2ak2/Irf9/Sod2/Psme1/Samhd1/Ly6e/Tapbp/Trim21/Pim1/Ifi35/Isg20"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",194,0.571315038654649,2.61368852188441,1e-10,1.25e-09,8.68421052631579e-10,2592,"tags=54%, list=24%, signal=41%","Ndufb4/Mgst3/Atp5j/Cox17/Ech1/Atp5o/Ndufab1/Atp6v0e/Etfb/Bax/Mrps11/Mrpl15/Cox6b1/Eci1/Ndufv2/Ndufa7/Cox7b/Grpel1/Slc25a4/Ndufb2/Ndufa3/Ndufa1/Echs1/Mrps12/Ndufa5/Ndufb7/Cox6c/Cycs/Ndufb1/Hsd17b10/Uqcrb/Idh1/Mrpl34/Ndufc2/Cox4i1/Timm50/Vdac3/Atp5g1/Timm10/Ndufc1/Cox5b/Tomm22/Ndufa2/Idh2/Cox7c/Atp5j2/Uqcrq/Ndufb6/Polr2f/Ndufa4/Cox5a/Ldha/Atp5e/Mpc1/Timm17a/Ndufb8/Vdac1/Acaa2/Timm9/Atp6v1f/Ndufa8/Fh1/Sdhb/Cox7a2l/Atp5k/Ndufb5/Atp5g2/Acadm/Timm8b/Ndufb3/Atp5pb/Mrpl35/Atp6v1g1/Cox7a2/Timm13/Tomm70a/Uqcrc2/Cyc1/Gpx4/Decr1/Atp5h/Ndufs8/Cox11/Cox8a/Ndufs7/Suclg1/Cyb5r3/Got2/Ndufs6/Aifm1/Atp5l/Uqcr11/Ndufs4/Atp5g3/Atp5c1/Atp5d/Mrpl11/Mdh1/Prdx3/Ndufs2/Hspa9/Atp6v0b/Uqcr10/Cox6a1"
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE",180,-0.521924187219222,-2.34668172298829,1e-10,1.25e-09,8.68421052631579e-10,2138,"tags=43%, list=20%, signal=35%","Nusap1/Myh9/Alms1/Rapgef6/Tubgcp6/Kif3b/Dlg1/Dlgap5/Racgap1/Tbcd/Akap13/Pkd2/Ranbp9/Anln/Cep192/Klc1/Abr/Kif23/Kntc1/Nf1/Map3k11/Abl1/Tsc1/Llgl1/Clasp1/Nin/Dst/Kif20b/Nck2/Trio/Ckap5/Espl1/Arhgap4/Arhgef2/Pcnt/Cenpe/Rictor/Pxn/Clip2/Fgd6/Dock4/Ccdc88a/Cdk1/Kif1b/Ccnb2/Bub1/Bcr/Arhgap27/Nedd9/Lats1/Top2a/Myo1e/Notch2/Kif2c/Rasa2/Ssh2/Kif4/Cep250/Nek2/Arap3/Ttk/Tpx2/Fbxo5/Cntrob/Cep72/Cdc27/Incenp/Epb41l2/Epb41/Aurka/Arhgef12/Kif3c/Kif11/Arhgef3/Pif1/Septin9/Kif15/Dock2"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",201,0.483880930484993,2.23117143136368,1.31770171194331e-09,1.31770171194331e-08,9.15455926192194e-09,2808,"tags=50%, list=27%, signal=38%","Psmd8/Ncbp2/Ndufab1/Ranbp1/Erh/Rps2/Rps5/Mrpl23/Psmc4/Rpl18/Rps3/Glo1/Snrpd1/Ppia/Eif2s1/Snrpd2/Rps10/Rfc4/Mrps18b/H2az1/U2af1/Nhp2/Eif3j2/Ssbp1/Vdac3/Snrpa1/Pwp1/Psma2/Apex1/Srsf7/Rpl34/Ube2l3/Nme1/Rsl1d1/Txnl4a/Ruvbl2/Phb/Cox5a/Ddx21/Nop16/Ldha/Set/Vdac1/Eif1ax/Rpl22/Cct5/Ifrd1/Psmd7/Eef1b2/Psma6/Cops5/Gnl3/Hspd1/Cct4/Lsm2/Hspe1/Psmb3/Prdx4/Tomm70a/Cbx3/Ddx18/Rrp9/Ssb/Fbl/Tra2b/Psma7/Psma1/Ptges3/Cyc1/Srsf3/Mcm4/Snrpd3/Acp1/Snrpg/Psmb2/Gspt1/Hddc2/Lsm7/Hnrnpa3/Serbp1/Got2/Ran/Clns1a/Srm/C1qbp/Hsp90ab1/Cct3/Prpf31/Eif3j1/Mrpl9/Mcm7/Rplp0/Prdx3/Pabpc4/Psma4/Cnbp/Psmc6/Pa2g4/Tufm/Hdgf/Aimp2"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",192,-0.430912833971442,-1.95457538007045,1.56693321216488e-06,1.30577767680407e-05,9.07171859674404e-06,2350,"tags=38%, list=22%, signal=30%","Bard1/Cul5/E2f3/Birc5/E2f1/Cdc20/Chaf1a/Ccnt1/Pola2/Nusap1/Pbk/Mtf2/Fancc/Pole/Racgap1/Ezh2/Meis1/Hmmr/Xpo1/Tacc3/Pds5b/Rpa2/E2f2/Mcm5/Stag1/Tnpo2/Kif23/Abl1/Tgfb1/Rps6ka5/Mapk14/Tent4a/Kif20b/Ccnf/Knl1/Espl1/Mad2l1/Rad54l/Cenpe/Cdc25b/Ccna2/Cdk1/Ccnb2/Nsd2/Mybl2/Bub1/Rbl1/Stil/Top2a/Notch2/Kif2c/Slc7a1/Kif4/Nek2/Ttk/Troap/Tpx2/Fbxo5/Aurkb/Plk4/Ube2c/Mcm2/Cdc27/Incenp/Aurka/Traip/Egf/Kif11/Tle3/Mt2/Map3k20/Smad3/Kif15"
"HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP",107,-0.467443627455836,-1.95865715441845,6.15482372310295e-05,0.000439630265935925,0.000305427342650222,653,"tags=20%, list=6%, signal=19%","Atg10/Irf8/Rabgap1l/Tspan13/Pdcd1lg2/Dnmbp/Car2/Ets1/Ank/Mmd/Pecam1/Lcp1/Il2rg/Itgb2/Laptm5/Il1b/Ikzf1/G0s2/Dock2/Il7r/Satb1"
"HALLMARK_UV_RESPONSE_UP","HALLMARK_UV_RESPONSE_UP","HALLMARK_UV_RESPONSE_UP",112,0.436207497341312,1.82310319487891,0.000158039159996044,0.000987744749975278,0.000686222668403877,2777,"tags=43%, list=26%, signal=32%","Tap1/Asns/Irf1/H2-M3/Ccne1/Atf3/Bid/Selenow/Sod2/Polr2h/Fos/Ctsl/Grpel1/Slc25a4/Mrpl23/Rrad/Creg1/Rfc4/Hmox1/Btg3/Nfkbia/Dnaja1/Psmc3/Ddx21/Nat2/Atp6v1f/Ap2s1/Hspa2/Grina/Ppp1r2/Cnp/Rxrb/Pdap1/Sqstm1/Fkbp4/Aldoa/Tmbim6/Cyb5r1/Ephx1/Bsg/Fosb/Spr/Hspa13/Ykt6/Ppat/Urod/Cebpg/E2f5"
"HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN",91,-0.46407873926497,-1.89164823824244,0.000428590687027209,0.00238105937237338,0.00165420966922782,1895,"tags=41%, list=18%, signal=34%","Togaram1/Lamc1/Prkca/Sipa1l1/Dlg1/Grk5/Pten/Pparg/Pex14/Scaf8/Synj2/Bckdhb/Mapk14/Nfkb1/Tent4a/Atrn/Zmiz1/Cdk13/Itgb3/Atp2b4/Wdr37/Nipbl/Notch2/Rasa2/F3/Vav2/Slc7a1/Map2k5/Fyn/Celf2/Cdon/Syne1/Apbb2/Sfmbt1/Inpp4b/Smad3/Cacna1a"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",162,-0.345382428351002,-1.52728842464619,0.00357503619745168,0.0178751809872584,0.0124185467911479,243,"tags=10%, list=2%, signal=10%","Cd44/Clcf1/Slc16a6/Dusp2/Smad3/Ccl5/Cd80/Nr4a3/Abca1/Ccrl2/Plek/Il1b/Pde4b/Ccl4/G0s2/Il7r"
