"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",83,-0.838302165101457,-2.91566561181229,1e-10,1.25e-09,7.89473684210526e-10,758,"tags=57%, list=7%, signal=53%","Ogfr/Epsti1/Cnp/Mov10/Pnpt1/Irf1/Txnip/Trim25/Ly6e/Ifit2/Trim21/Psme2/Helz2/Ifitm1/Gbp2/Ifi27/Uba7/Ccrl2/Irf9/Tmem140/Eif2ak2/Parp12/H2-Q7/Stat2/Ifi35/Parp9/Trim12c/Samd9l/Herc6/Ube2l6/Ifih1/Mx2/Parp14/Bst2/Oas1a/Dhx58/Irf7/Ddx60/Cd74/Ifit3/Cxcl10/Gbp3/Rtp4/Isg15/Usp18/Ifitm3/Ifi44"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",149,-0.682165345638178,-2.57004707778772,1e-10,1.25e-09,7.89473684210526e-10,542,"tags=36%, list=5%, signal=34%","Irf1/Txnip/Trim25/Ly6e/Ifit2/Trim21/Psme2/Nfkbia/Ptgs2/Pim1/Helz2/Tapbp/Zbp1/Ifi27/Fas/Gbp8/Socs3/Irf9/Eif2ak2/Parp12/H2-Q7/Stat2/Ifi35/Rigi/Rnf213/Samd9l/Stat1/Herc6/Ube2l6/Ifih1/Mx2/Gbp9/Parp14/Bst2/Dhx58/Irf7/Ddx60/Pde4b/Xaf1/Oas2/Oas3/Cd74/Ifit3/H2-Eb1/Auts2/H2-Aa/Cxcl10/Gbp3/Rtp4/Isg15/Usp18/Ifitm3/Ifi44"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",199,0.55700626833109,2.38768488355481,1e-10,1.25e-09,7.89473684210526e-10,1811,"tags=40%, list=17%, signal=34%","Tfrc/Mthfd2/E2f8/Cit/Cdk1/Aurkb/Aurka/Ncapd2/Top2a/Kif18b/Kif2c/Racgap1/Rrm2/Cdc25b/Spc25/Spc24/Mybl2/Kif4/Tk1/Mad2l1/Tacc3/Dnmt1/Cdca3/Spag5/Ccnb2/Melk/Lig1/Dlgap5/Cdkn1a/Cdca8/Plk4/Mcm2/Birc5/Espl1/Mxd3/Plk1/Kif22/Mki67/Asf1b/Rad51ap1/Diaph3/Atad2/Hmga1/Tcf19/Mcm5/Ing3/Nup107/Ipo7/Nup205/Rad21/Lbr/Dck/Tipin/Pcna/Tmpo/Rad51c/Brca2/Rpa2/Pms2/Ssrp1/Cdc25a/Cdkn1b/Kpna2/Mcm7/Ppp1r8/Cdkn2c/Wdr90/Cenpm/Trip13/Hmgb2/Pan2/Ilf3/Cbx5/Rfc1/Gins1/Brca1/Usp1/Hus1/Bub1b/Dut"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",192,0.538343967577867,2.30052767482883,1e-10,1.25e-09,7.89473684210526e-10,2347,"tags=48%, list=22%, signal=38%","Slc7a5/Mt2/Ccnf/Cdk1/Aurkb/Aurka/Top2a/Kif2c/Troap/Ube2c/Racgap1/Cdc25b/Kif15/Slc7a1/Mybl2/Tpx2/Kif4/Traip/Mad2l1/Fbxo5/E2f2/Tacc3/Nusap1/Ccnb2/Knl1/Slc38a1/Bub1/Prc1/Kif11/Kif23/Hmgn2/Plk4/Ttk/Cenpa/Tgfb1/Mcm2/Birc5/Espl1/Plk1/Pbk/Kif22/Mki67/Stil/Nek2/Nsd2/Hmga1/Incenp/Tle3/Mcm5/Tent4a/Rbl1/Smc2/Map3k20/Rad21/Lbr/Tmpo/Brca2/E2f1/Amd1/Ythdc1/Rpa2/Gins2/Cdc25a/Cdkn1b/Ccnt1/Kpna2/Cdc45/Cdkn2c/Ndc80/Ilf3/Upf1/Tnpo2/Dr1/Kpnb1/Hus1/Sap30/Sqle/Rad54l/Ewsr1/Kmt5a/Nup50/Arid4a/Rad23b/Kif20b/Lmnb1/Ezh2/Prmt5/Pole/Hnrnpd/Numa1/Cenpe/Smc4"
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE",180,0.518353052379878,2.19589808789936,8.7824437607875e-10,8.7824437607875e-09,5.54680658576053e-09,2484,"tags=51%, list=23%, signal=40%","Cdk1/Aurka/Top2a/Kif2c/Racgap1/Anln/Kif15/Fgd6/Dock2/Tpx2/Cntrob/Kif4/Fbxo5/Nedd9/Pxn/Nusap1/Ccnb2/Bub1/Septin9/Dlgap5/Prc1/Cep72/Kif11/Kif23/Tiam1/Arap3/Ttk/Birc5/Espl1/Plk1/Katnb1/Kif22/Kntc1/Clip2/Ccdc88a/Actn4/Nck1/Nek2/Incenp/Rasa1/Cep192/Rictor/Pcnt/Llgl1/Rasa2/Capzb/Ssh2/Pif1/Bin1/Prex1/Ckap5/Brca2/Tubgcp6/Taok2/Arhgap4/Kif3c/Ndc80/Myo9b/Wasf2/Csnk1d/Flnb/Arhgef3/Trio/Bcr/Rfc1/Akap13/Myh9/Flna/Arhgdia/Tubgcp2/Arhgap10/Cep57/Wasl/Arhgap27/Myo1e/Cep250/Kif20b/Lmnb1/Arf6/Dync1h1/Numa1/Cenpe/Smc4/Tbcd/Kif3b/Map3k11/Arhgef11/Epb41/Cenpf/Kif1b/Rapgef6/Net1"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",162,-0.48724827936462,-1.8669493938573,9.56346019542859e-06,7.96955016285716e-05,5.03340010285715e-05,1485,"tags=41%, list=14%, signal=36%","Rcan1/Rhob/Sqstm1/Junb/Il15ra/Ier3/Fosb/Hes1/Birc3/Il18/Klf6/Tsc22d1/Sod2/Abca1/Irs2/Sik1/Ier5/Ripk2/Il6st/Btg3/Plau/Sat1/Tank/Gadd45a/Sgk1/Cxcl2/Plk2/Relb/Bcl3/G0s2/Jun/Pfkfb3/Nfkbie/Irf1/Traf1/Ifit2/Egr1/Btg2/Marcks/Nfkbia/Trip10/Ptgs2/Klf9/Atf3/Klf10/Dusp1/Plek/Lif/Fos/Cebpb/Tnfrsf9/Ier2/Dram1/Ccrl2/Socs3/Nr4a3/Zfp36/Ccl4/Dusp2/Rigi/Cebpd/Cd80/Ifih1/Il1b/Pde4b/Cxcl10"
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",183,0.378331393718519,1.6110260647553,0.000547954224760539,0.00391395874828956,0.00247197394628814,1558,"tags=27%, list=15%, signal=24%","Slc7a5/Tfrc/Mthfd2/Ero1a/Ccnf/Egln3/Aurka/Gbe1/Pdk1/Rrm2/Sla/Psat1/Asns/Pgm1/Niban1/Bub1/Slc2a1/Gapdh/Eno1/Cdkn1a/Ddit3/Gpi1/Plod2/Mcm2/Dhcr24/Plk1/Shmt2/Sytl2/Ddit4/Slc6a6/Uso1/Itgb2/G6pdx/Psph/Rdh11/Gga2/P4ha1/Nup205/Tpi1/Tes/Pgk1/Slc1a5/Sord/Edem1/Cdc25a/Eif2s2/Ssr1/Scd2/Hspa9/Polr3g"
"HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING",62,-0.539808165923993,-1.77537664749125,0.00105841218198854,0.0058800676777141,0.00371372695434575,1009,"tags=32%, list=10%, signal=29%","Il6st/Il3ra/Cxcl2/Jun/Ifngr1/Itgb3/Irf1/Il13ra1/Cd14/Crlf2/Pim1/Csf2ra/Fas/Socs3/Irf9/Ccr1/Stat2/Stat1/Il1b/Cxcl10"
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",101,-0.484146534441618,-1.73091907465143,0.000987221321283806,0.0058800676777141,0.00371372695434575,545,"tags=24%, list=5%, signal=23%","Itgb3/Irf1/Stab1/Ly6e/Btg2/Nfkbia/Cd14/Timp1/Lif/Tapbp/Tnfrsf9/Ifitm1/Rgs1/Ccrl2/P2rx7/Eif2ak2/Scn1b/Il1b/Bst2/Osm/Irf7/Pde4b/Cxcl10/Rtp4"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PI3K_AKT_MTOR_SIGNALING",89,0.455175419623264,1.75458602134384,0.00124819841756552,0.00624099208782759,0.00394167921336479,1618,"tags=31%, list=15%, signal=27%","Camk4/Lck/Prkcb/Nod1/Cdk1/Il2rg/Pdk1/Sla/Map2k6/Slc2a1/Rps6ka1/Cdkn1a/Tiam1/Ddit3/Plcb1/Mknk1/Prkag1/Nck1/Vav3/Rac1/Atf1/E2f1/Tsc2/Mknk2/Cdkn1b/Raf1/Rptor/Grk2"
