"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0098813","BP","GO:0098813","nuclear chromosome segregation",245,-0.59334090263686,-2.89892273110733,1e-10,1.18290909090909e-08,1.00497607655502e-08,534,"tags=27%, list=5%, signal=26%","Gen1/Ncapd3/Espl1/Hormad2/Recql4/Prdm9/Ddx11/Ccne1/Ccne2/Nek2/Nsl1/Mad2l1/Psmc3ip/Cenpk/Sgo2a/Fancd2/Bub1b/Spc25/Tacc3/Brca2/Ncaph/Eme1/Brip1/Aurkb/Ndc1/Kif23/Zwilch/Fam83d/Spc24/Trip13/Cdca8/Prc1/Ccnb1/Bcl7a/Kif2c/Cenpe/Knstrn/Knl1/Birc5/Ncapd2/Esco2/Ube2c/Cdc20/Smc2/Cenpf/Spag5/Racgap1/Top2a/Bub1/Cdc6/Nusap1/Ncapg/Kif4/Cit/Ttk/Sgo1/Fbxo5/Ect2/Ankle1/Nuf2/Cdca5/Kif22/Kif11/Kif18b/Dscc1/Kif14"
"GO:0000070","BP","GO:0000070","mitotic sister chromatid segregation",173,-0.604403493924868,-2.85231965272261,1e-10,1.18290909090909e-08,1.00497607655502e-08,757,"tags=29%, list=7%, signal=27%","Dis3l2/Plk1/Kat2b/Gen1/Ncapd3/Espl1/Nek2/Nsl1/Mad2l1/Cenpk/Sgo2a/Bub1b/Spc25/Tacc3/Ncaph/Aurkb/Kif23/Zwilch/Spc24/Trip13/Cdca8/Prc1/Ccnb1/Bcl7a/Kif2c/Cenpe/Knstrn/Birc5/Ncapd2/Esco2/Ube2c/Cdc20/Smc2/Spag5/Racgap1/Bub1/Cdc6/Nusap1/Ncapg/Cit/Ttk/Sgo1/Fbxo5/Nuf2/Cdca5/Kif22/Kif11/Kif18b/Dscc1/Kif14"
"GO:0000819","BP","GO:0000819","sister chromatid segregation",193,-0.588800274659805,-2.81910749581172,1e-10,1.18290909090909e-08,1.00497607655502e-08,757,"tags=28%, list=7%, signal=26%","Dis3l2/Plk1/Kat2b/Gen1/Ncapd3/Espl1/Hormad2/Recql4/Ddx11/Nek2/Nsl1/Mad2l1/Cenpk/Sgo2a/Bub1b/Spc25/Tacc3/Ncaph/Aurkb/Kif23/Zwilch/Spc24/Trip13/Cdca8/Prc1/Ccnb1/Bcl7a/Kif2c/Cenpe/Knstrn/Birc5/Ncapd2/Esco2/Ube2c/Cdc20/Smc2/Spag5/Racgap1/Top2a/Bub1/Cdc6/Nusap1/Ncapg/Cit/Ttk/Sgo1/Fbxo5/Nuf2/Cdca5/Kif22/Kif11/Kif18b/Dscc1/Kif14"
"GO:0007059","BP","GO:0007059","chromosome segregation",303,-0.562058118639137,-2.81854878771751,1e-10,1.18290909090909e-08,1.00497607655502e-08,757,"tags=26%, list=7%, signal=25%","Dis3l2/Nup43/Plk1/Kat2b/Gen1/Dlgap5/Ncapd3/Espl1/Hormad2/Recql4/Prdm9/Ddx11/Cenpn/Ccne1/Ccne2/Nek2/Nsl1/Mad2l1/Psmc3ip/Cenpk/Sgo2a/Fancd2/Bub1b/Spc25/Tacc3/Brca2/Ncaph/Eme1/Brip1/Aurkb/Oip5/Ska2/Ndc1/Kif23/Zwilch/Mki67/Fam83d/Spc24/Trip13/Cdca8/Prc1/Ccnb1/Bcl7a/Kif2c/Cenpe/Cdca2/Knstrn/Knl1/Birc5/Ncapd2/Esco2/Ube2c/Cdc20/Smc2/Cenpf/Brca1/Spag5/Racgap1/Top2a/Bub1/Cdc6/Cenph/Nusap1/Ncapg/Kif4/Cit/Ttk/Ska1/Sgo1/Fbxo5/Ect2/Ankle1/Nuf2/Cdca5/Kif22/Kif11/Kif18b/Dscc1/Kif14"
"GO:0008608","BP","GO:0008608","attachment of spindle microtubules to kinetochore",41,-0.761364655353086,-2.71298531895689,1e-10,1.18290909090909e-08,1.00497607655502e-08,348,"tags=41%, list=3%, signal=40%","Nek2/Spc25/Brca2/Aurkb/Spc24/Cdca8/Ccnb1/Kif2c/Cenpe/Knstrn/Knl1/Birc5/Spag5/Racgap1/Sgo1/Ect2/Nuf2"
"GO:0045132","BP","GO:0045132","meiotic chromosome segregation",61,-0.697822706463131,-2.69872794492405,1e-10,1.18290909090909e-08,1.00497607655502e-08,724,"tags=39%, list=7%, signal=37%","Plk1/Ncapd3/Espl1/Hormad2/Prdm9/Ccne1/Ccne2/Psmc3ip/Sgo2a/Fancd2/Bub1b/Brca2/Ncaph/Eme1/Brip1/Ndc1/Trip13/Smc2/Top2a/Bub1/Ttk/Sgo1/Ankle1/Nuf2"
"GO:0000280","BP","GO:0000280","nuclear division",343,-0.524216536201113,-2.66298738694549,1e-10,1.18290909090909e-08,1.00497607655502e-08,993,"tags=27%, list=9%, signal=25%","Fbxw5/Ctdp1/Eif4g3/Incenp/Osm/Mybl1/Cdk5rap2/Dis3l2/Plk1/Clasp2/Kat2b/Chek2/Hspa1a/Mybl2/Gen1/Kifc1/Ncapd3/Espl1/Hormad2/Prdm9/Rad51/Mastl/Egf/Cdc25b/Ccne1/Ccne2/Nek2/Nsl1/Mad2l1/Ccnb2/Psmc3ip/Hspa1b/Cenpk/Sgo2a/Fancd2/Bub1b/Spc25/Tacc3/Brca2/Ncaph/Eme1/Brip1/Aurkb/Ndc1/Kif23/Zwilch/Mki67/Cep97/Spc24/Ccsap/Trip13/Cdca8/Prc1/Ccnb1/Bora/Bcl7a/Kif2c/Cenpe/Cdca2/Knstrn/Kif20b/Birc5/Ncapd2/Esco2/Ube2c/Cdc20/Smc2/Spag5/Racgap1/Top2a/Tpx2/Bub1/Cdc6/Fignl1/Rad54l/Rad54b/Nusap1/Rad51ap1/Ncapg/Cit/Ttk/Sgo1/Fbxo5/Aspm/Ankle1/Nuf2/Cdca5/Kif22/Kif11/Kif18b/Dscc1/Kif14"
"GO:0051321","BP","GO:0051321","meiotic cell cycle",171,-0.559688095970199,-2.65510712667285,1e-10,1.18290909090909e-08,1.00497607655502e-08,534,"tags=27%, list=5%, signal=27%","Ncapd3/Espl1/Hormad2/Prdm9/Rad51/H2ax/Mastl/Exd1/Tubgcp5/Rpa1/Cdc25b/Ccne1/Ccne2/Nek2/Mns1/Ccnb2/Psmc3ip/Sgo2a/Fancd2/Bub1b/Brca2/Ncaph/Eme1/Brip1/Ndc1/Mki67/Trip13/Cenpe/Birc5/Ncapd2/Pkmyt1/Cdc20/Smc2/Top2a/Bub1/Fignl1/Rad54l/Rad54b/Rad51ap1/Exo1/Ttk/Sgo1/Fbxo5/Cdc25c/Aspm/Ankle1/Nuf2"
"GO:0140014","BP","GO:0140014","mitotic nuclear division",256,-0.536958462676818,-2.64288845551513,1e-10,1.18290909090909e-08,1.00497607655502e-08,757,"tags=29%, list=7%, signal=27%","Igf1r/Ripor2/Hecw2/Mtbp/Slf1/Fbxw5/Ctdp1/Incenp/Cdk5rap2/Dis3l2/Plk1/Clasp2/Kat2b/Chek2/Hspa1a/Mybl2/Gen1/Kifc1/Ncapd3/Espl1/Egf/Nek2/Nsl1/Mad2l1/Hspa1b/Cenpk/Sgo2a/Bub1b/Spc25/Tacc3/Ncaph/Aurkb/Kif23/Zwilch/Mki67/Cep97/Spc24/Ccsap/Trip13/Cdca8/Prc1/Ccnb1/Bora/Bcl7a/Kif2c/Cenpe/Cdca2/Knstrn/Kif20b/Birc5/Ncapd2/Esco2/Ube2c/Cdc20/Smc2/Spag5/Racgap1/Tpx2/Bub1/Cdc6/Nusap1/Ncapg/Cit/Ttk/Sgo1/Fbxo5/Nuf2/Cdca5/Kif22/Kif11/Kif18b/Dscc1/Kif14"
"GO:0140013","BP","GO:0140013","meiotic nuclear division",117,-0.592226038825389,-2.61941944191427,1e-10,1.18290909090909e-08,1.00497607655502e-08,976,"tags=35%, list=9%, signal=32%","Eif4g3/Incenp/Osm/Mybl1/Plk1/Ncapd3/Espl1/Hormad2/Prdm9/Rad51/Mastl/Cdc25b/Ccne1/Ccne2/Ccnb2/Psmc3ip/Sgo2a/Fancd2/Bub1b/Brca2/Ncaph/Eme1/Brip1/Ndc1/Trip13/Cenpe/Birc5/Cdc20/Smc2/Top2a/Bub1/Fignl1/Rad54l/Rad54b/Rad51ap1/Ttk/Sgo1/Fbxo5/Aspm/Ankle1/Nuf2"
"GO:0045841","BP","GO:0045841","negative regulation of mitotic metaphase/anaphase transition",43,-0.718477510843629,-2.59683110536231,1e-10,1.18290909090909e-08,1.00497607655502e-08,937,"tags=47%, list=9%, signal=43%","Incenp/Cdk5rap2/Plk1/Gen1/Mad2l1/Bub1b/Spc25/Aurkb/Zwilch/Spc24/Trip13/Cdca8/Ccnb1/Cenpe/Birc5/Cdc20/Bub1/Ttk/Fbxo5/Nuf2"
"GO:1903046","BP","GO:1903046","meiotic cell cycle process",130,-0.576938803496395,-2.59291861030206,1e-10,1.18290909090909e-08,1.00497607655502e-08,534,"tags=33%, list=5%, signal=32%","Eif4g3/Incenp/Osm/Mybl1/Plk1/Ncapd3/Espl1/Hormad2/Prdm9/Rad51/Mastl/Cdc25b/Ccne1/Ccne2/Ccnb2/Psmc3ip/Sgo2a/Fancd2/Bub1b/Brca2/Ncaph/Eme1/Brip1/Ndc1/Trip13/Cenpe/Birc5/Ncapd2/Cdc20/Smc2/Top2a/Bub1/Fignl1/Rad54l/Rad54b/Rad51ap1/Ttk/Sgo1/Fbxo5/Cdc25c/Aspm/Ankle1/Nuf2"
"GO:0006261","BP","GO:0006261","DNA-templated DNA replication",142,-0.565773876938255,-2.59144701126312,1e-10,1.18290909090909e-08,1.00497607655502e-08,803,"tags=30%, list=8%, signal=28%","Cdc7/Rtel1/Dna2/E2f8/Blm/Gen1/Recql4/Rad51/Pold2/Tipin/Mcm3/Atad5/Rpa1/Orc1/Pole/Mcm7/Ccne1/Ccne2/Gins3/Cdc45/Bard1/Mcm2/Brca2/Eme1/Mcm6/Prim1/Mcm5/Wdhd1/Traip/Pola1/Mcm10/Mms22l/Rrm1/Brca1/Tonsl/Cdc6/Polq/Poln/Zgrf1/Ticrr/Fbxo5/Dscc1/E2f7"
"GO:0051983","BP","GO:0051983","regulation of chromosome segregation",112,-0.585078285193675,-2.58050035275831,1e-10,1.18290909090909e-08,1.00497607655502e-08,937,"tags=31%, list=9%, signal=29%","Incenp/Rad18/Cdk5rap2/Plk1/Kat2b/Gen1/Ncapd3/Mad2l1/Bub1b/Spc25/Tacc3/Ncaph/Aurkb/Zwilch/Mki67/Spc24/Trip13/Cdca8/Ccnb1/Bcl7a/Kif2c/Cenpe/Cdca2/Birc5/Ncapd2/Ube2c/Cdc20/Smc2/Bub1/Cdc6/Ncapg/Cit/Ttk/Fbxo5/Nuf2"
"GO:0051304","BP","GO:0051304","chromosome separation",116,-0.579911350184881,-2.56406738922697,1e-10,1.18290909090909e-08,1.00497607655502e-08,937,"tags=30%, list=9%, signal=28%","Incenp/Cdk5rap2/Dis3l2/Plk1/Gen1/Ncapd3/Espl1/Mad2l1/Bub1b/Spc25/Tacc3/Ncaph/Eme1/Aurkb/Zwilch/Spc24/Trip13/Cdca8/Ccnb1/Bcl7a/Cenpe/Birc5/Ncapd2/Ube2c/Cdc20/Smc2/Top2a/Bub1/Cdc6/Ncapg/Cit/Ttk/Fbxo5/Ankle1/Nuf2"
"GO:0000775","CC","GO:0000775","chromosome, centromeric region",219,-0.520568156044412,-2.51709883914516,1e-10,1.18290909090909e-08,1.00497607655502e-08,1675,"tags=35%, list=16%, signal=30%","Suv39h1/Cenpv/Cenpw/Kdm4c/Nup107/Smarcd2/Fbxw11/Ezh2/Cbx5/Dnmt1/Ndc80/Cenps/Dsn1/Nup98/Trappc12/Kif18a/Cenpq/Kdm4a/Mtbp/Ercc6l/H2ac13/Uvrag/Rassf2/Incenp/H2ac6/Cenpa/Ska3/Septin6/Nup43/Plk1/Clasp2/Kat2b/Dnmt3b/H2ac15/Cenpi/Ncapd3/Ikzf1/Cenpn/Nek2/Nsl1/Hells/Mad2l1/Mis18bp1/Cenpk/Sgo2a/Bub1b/Spc25/Cenpm/Aurkb/Oip5/Ska2/Zwilch/Mki67/H2ac22/Spc24/Wdhd1/Cdca8/Ccnb1/Kif2c/Cenpe/Knstrn/Knl1/Birc5/Ncapd2/Esco2/Cenpf/Spag5/Top2a/Bub1/Cenph/Cenpp/Ncapg/Ttk/Ska1/Sgo1/Nuf2/Dscc1"
"GO:0007052","BP","GO:0007052","mitotic spindle organization",107,-0.57892061165734,-2.51605461299617,1e-10,1.18290909090909e-08,1.00497607655502e-08,808,"tags=30%, list=8%, signal=28%","Poc1a/Plk1/Clasp2/Chek2/Hspa1a/Mybl2/Kifc1/Dlgap5/Eml1/Stil/Nek2/Hspa1b/Spc25/Tacc3/Aurkb/Kif23/Cep97/Ccsap/Stmn1/Cdca8/Prc1/Ccnb1/Bora/Cenpe/Birc5/Cdc20/Racgap1/Tpx2/Cenph/Kif4/Nuf2/Kif11"
"GO:1905818","BP","GO:1905818","regulation of chromosome separation",96,-0.587743612601652,-2.51335427324824,1e-10,1.18290909090909e-08,1.00497607655502e-08,937,"tags=31%, list=9%, signal=29%","Incenp/Cdk5rap2/Plk1/Gen1/Ncapd3/Mad2l1/Bub1b/Spc25/Tacc3/Ncaph/Aurkb/Zwilch/Spc24/Trip13/Cdca8/Ccnb1/Bcl7a/Cenpe/Birc5/Ncapd2/Ube2c/Cdc20/Smc2/Bub1/Cdc6/Ncapg/Cit/Ttk/Fbxo5/Nuf2"
"GO:0048285","BP","GO:0048285","organelle fission",385,-0.488655804780331,-2.51124635826101,1e-10,1.18290909090909e-08,1.00497607655502e-08,757,"tags=23%, list=7%, signal=22%","Dis3l2/Plk1/Clasp2/Kat2b/Chek2/Hspa1a/Mybl2/Gen1/Kifc1/Ncapd3/Espl1/Hormad2/Prdm9/Tmem135/Rad51/Mastl/Egf/Cdc25b/Ccne1/Ccne2/Nek2/Nsl1/Mad2l1/Ccnb2/Psmc3ip/Mtfr2/Hspa1b/Cenpk/Sgo2a/Fancd2/Prkn/Bub1b/Spc25/Tacc3/Brca2/Ncaph/Eme1/Brip1/Aurkb/Ndc1/Kif23/Zwilch/Mki67/Cep97/Spc24/Ccsap/Trip13/Cdca8/Prc1/Ccnb1/Bora/Bcl7a/Kif2c/Cenpe/Cdca2/Knstrn/Kif20b/Birc5/Ncapd2/Esco2/Ube2c/Cdc20/Smc2/Spag5/Racgap1/Top2a/Tpx2/Bub1/Cdc6/Fignl1/Rad54l/Rad54b/Nusap1/Rad51ap1/Ncapg/Cit/Ttk/Sgo1/Fbxo5/Aspm/Ankle1/Nuf2/Cdca5/Kif22/Kif11/Kif18b/Dscc1/Kif14"
"GO:0090068","BP","GO:0090068","positive regulation of cell cycle process",188,-0.525470628604098,-2.50648011769914,1e-10,1.18290909090909e-08,1.00497607655502e-08,1276,"tags=30%, list=12%, signal=27%","Piwil2/Ncapg2/Fen1/Igf1r/Mtbp/Slf1/Ccnd3/Eif4g3/Incenp/Cdc7/Poc1a/Cep120/Kat2b/Chek2/E2f8/Gen1/Ncapd3/Prdm9/Stil/Atad5/Orc1/Egf/Cdc25b/Mad2l1/Plk4/Sgo2a/Ncaph/Aurkb/Kif23/Fam83d/Rad51b/Cdca8/Ccnb1/Cenpe/Kif20b/Birc5/Ncapd2/Rrm1/Cdk1/Ube2c/Smc2/Spag5/Racgap1/Cdc6/Rrm2/Nusap1/Dtl/Rad51ap1/Ncapg/Cit/Fbxo5/Ect2/Pbk/Cdc25c/Cdca5/Kif14/E2f7"
