"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_DN","FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_DN","FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_DN",151,-0.809299488231785,-3.75384796180576,1e-10,4.21574074074074e-09,3.28947368421053e-09,895,"tags=66%, list=8%, signal=62%","Cenpa/Ska3/Epb41l2/Poc1a/Tent5c/Plk1/Chek2/E2f8/Blm/Mybl2/Kifc1/Dlgap5/Espl1/Elmo1/Poglut3/Prr11/Fn1/Cks1b/Parpbp/Ckap2l/Nek2/Mad2l1/Ccnb2/Ube2t/Mis18bp1/Cenpk/Plk4/Sgo2a/Cdc45/Fancd2/Phgdh/Bub1b/Tk1/Arhgap19/Spc25/Tacc3/Brca2/Cenpm/Ncaph/Brip1/Aurkb/Foxm1/Tfpi/Kif23/Mki67/Cdca8/Traip/Gtse1/Prc1/Iqgap3/Ccnb1/Kif2c/Kif20a/Cenpe/Cdca2/Knstrn/Ckap2/Birc5/Ncapd2/Cdk1/Esco2/Ube2c/Cip2a/Cdc20/Depdc1b/Pimreg/Cenpf/Brca1/Spag5/Racgap1/Top2a/Tpx2/Bub1/Rrm2/Fanci/Cdca3/Nusap1/Dtl/Polq/Depdc1a/Rad51ap1/Kif4/Melk/Anln/Exo1/Ttk/Hmmr/Ska1/Sgo1/Fbxo5/Pbk/Kif15/Aspm/Nuf2/Cdca5/Kif22/Shcbp1/Kif11/Kif18b/Kif14"
"BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_DN","BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_DN","BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_DN",140,-0.816507160968733,-3.74832283766112,1e-10,4.21574074074074e-09,3.28947368421053e-09,889,"tags=67%, list=8%, signal=62%","Cdc7/Ska3/Sfxn2/Zfp608/Fancg/Plk1/Irag2/E2f8/Blm/Mybl2/Rbl1/Kifc1/Cenpi/Cdca7/Rad51/Prr11/Ddx11/Wdr76/Atad5/Orc1/Mcm7/Nek2/Ccnb2/Ube2t/Mtfr2/Plk4/Cdc45/Phgdh/Mcm2/Bub1b/Tk1/Clspn/Spc25/Tacc3/Cenpm/Ncaph/Eme1/Kif24/Aurkb/Oip5/Foxm1/Prim1/Wdhd1/Cdca8/Traip/Prc1/Kif2c/Kif20a/Cenpe/Cdca2/Uhrf1/Knl1/Asf1b/Mcm10/Birc5/Ube2c/Tcf19/Pkmyt1/Cep55/Depdc1b/Pimreg/Cenpf/Brca1/Spag5/Top2a/Cdc6/Rrm2/Fanci/Cdca3/Rad54l/Nusap1/Dtl/Ncapg/Pclaf/Ccdc18/Diaph3/Kif4/Anln/Cit/Exo1/Ttk/Hmmr/Ska1/Sgo1/Kif15/Cdc25c/Ccna2/Nuf2/Cdca5/Shcbp1/Kif11/Neil3/Kif18b/Kif14"
"DUTERTRE_ESTRADIOL_RESPONSE_24HR_UP","DUTERTRE_ESTRADIOL_RESPONSE_24HR_UP","DUTERTRE_ESTRADIOL_RESPONSE_24HR_UP",266,-0.736011893546867,-3.67094835253443,1e-10,4.21574074074074e-09,3.28947368421053e-09,1246,"tags=59%, list=12%, signal=54%","Nfatc2/Ung/Rfc4/Amz1/Fen1/Cep78/Fancc/Troap/Zfp367/Pold1/Nrip1/Mcm4/E2f1/Incenp/Rad18/Jak2/Mybl1/Man1a/Ska3/Sfxn2/Mthfd1/Dna2/Fancg/Chaf1a/Vrk1/Tent5c/Haus4/Tmpo/Plk1/E2f8/Blm/Mybl2/Gmnn/Rbl1/C1qtnf6/Dut/Kifc1/Dlgap5/Cenpi/Ncapd3/Espl1/Recql4/Tmem120b/Cdca7/E2f2/Mphosph9/Stil/Rad51/Prr11/Pold2/H2ax/Mastl/Wdr76/Mcm3/Atad5/Cenpn/Pole/Mcm7/Ccne2/Gins3/Hells/Atad2/Deptor/Ccnb2/Ube2t/Psmc3ip/Mtfr2/Skp2/Plk4/Igfbp4/Cdc45/Bard1/Bcl2/Fancd2/Tyms/Mcm2/Bub1b/Tk1/Clspn/Tacc3/Brca2/Cenpm/Ncaph/Brip1/Aurkb/Mcm8/Foxm1/Kif23/Zwilch/Mki67/Mcm6/Prim1/Fam83d/Spc24/Mcm5/Trip13/Stmn1/Wdhd1/Traip/Gtse1/Prc1/Iqgap3/Pola1/Kif2c/Cdca2/Knstrn/Uhrf1/Knl1/Asf1b/Mcm10/Mms22l/Birc5/Ncapd2/Rrm1/Cdk1/Esco2/Ube2c/Tcf19/Cip2a/Pkmyt1/Smc2/Cep55/Depdc1b/Brca1/Spag5/Tonsl/Racgap1/Top2a/Tpx2/Bub1/Cdc6/Fignl1/Rrm2/Fanci/Lrr1/Rad54l/Rad54b/Nusap1/Dtl/Polq/Ncapg/Pclaf/Kif4/Melk/Anln/Ticrr/Cit/Exo1/Ttk/Fbxo5/Pbk/Ccna2/Aspm/Cdca5/Shcbp1/Kif11/Dscc1/E2f7"
"ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER","ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER","ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER",136,-0.769333567609095,-3.50393928866214,1e-10,4.21574074074074e-09,3.28947368421053e-09,790,"tags=59%, list=7%, signal=55%","Dna2/Tmpo/Plk1/E2f8/Dnmt3b/Mybl2/Gmnn/Kifc1/Dlgap5/Slc38a1/Espl1/Stil/H2ax/Ccne2/Nek2/Hells/Atad2/Mad2l1/Ccnb2/Tyms/Mcm2/Bub1b/Tk1/Tacc3/Cenpm/Ncaph/Aurkb/Oip5/Car2/Foxm1/Kif23/Mki67/Trip13/Cdca8/Gtse1/Prc1/Ccnb1/Kif2c/Kif20a/Cenpe/Kif20b/Asf1b/Mcm10/Birc5/Cdk1/Ube2c/Cdc20/Smc2/Cep55/Cenpf/Brca1/Spag5/Racgap1/Top2a/Tpx2/Bub1/Cdc6/Rrm2/Fanci/Cdca3/Nusap1/Dtl/Polq/Rad51ap1/Ncapg/Pclaf/Kif4/Melk/Ttk/Hmmr/Fbxo5/Ect2/Pbk/Kif15/Ccna2/Aspm/Shcbp1/Kif11/Kif18b/Kif14"
"KONG_E2F3_TARGETS","KONG_E2F3_TARGETS","KONG_E2F3_TARGETS",86,-0.824729552739995,-3.4865778230649,1e-10,4.21574074074074e-09,3.28947368421053e-09,1068,"tags=71%, list=10%, signal=64%","Ncapg2/Fen1/Cenpq/Ercc6l/Ccnf/Incenp/Dck/Cdc7/Dna2/Plk1/Rbl1/Dlgap5/Rad51/H2ax/Mcm3/Ccne1/Ube2t/Skp2/Cenpk/Tyms/Bub1b/Tk1/Spc25/Tacc3/Ncaph/Mki67/Prim1/Prc1/Iqgap3/Ccnb1/Kif2c/Kif20a/Asf1b/Ncapd2/Ube2c/Cdc20/Smc2/Cenpf/Brca1/Racgap1/Top2a/Tpx2/Bub1/Cdc6/Fignl1/Cenph/Cdca3/Rad54l/Nusap1/Depdc1a/Rad51ap1/Ncapg/Pclaf/Melk/Hmmr/Pbk/Ccna2/Nuf2/Cdca5/Shcbp1/Kif11"
"MEBARKI_HCC_PROGENITOR_FZD8CRD_UP","MEBARKI_HCC_PROGENITOR_FZD8CRD_UP","MEBARKI_HCC_PROGENITOR_FZD8CRD_UP",387,-0.670863717148338,-3.48463189046019,1e-10,4.21574074074074e-09,3.28947368421053e-09,1501,"tags=52%, list=14%, signal=47%","Rexo5/Ezh2/Slc7a11/Arhgap11a/Cotl1/Gabpb1/Ndc80/Cep135/Cdkn3/Gprc5a/Arhgap31/Prim2/Rfwd3/Slc19a1/Ncapg2/Kif18a/Adcy3/Rfc4/Runx1/Cenpq/Cep78/Fancc/Mtbp/Troap/Wee1/Ercc6l/Ccnf/Fmnl3/Mid1/Etv5/Aopep/E2f1/Ccdc15/Incenp/Rad18/Cenpa/Cdc7/Ska3/Nipal3/Ids/Dna2/Fancg/Chaf1a/Vrk1/Tmpo/Mdfic/Plk1/Tdp1/Chek2/H3c1/Spata5/Ccdc134/E2f8/Blm/Cep76/Dnmt3b/Mybl2/Mboat1/Rbl1/Phf19/Ccdc80/Kifc1/Creb5/Dlgap5/Cenpi/Ncapd3/Espl1/Rdm1/Cdca7/Poglut3/Stil/Ccp110/Rad51/Prr11/H2ax/Ddx11/Hirip3/Tipin/Wdr76/Cks1b/Parpbp/4930579G24Rik/H1f5/Cenpn/Orc1/Cdc25b/Ckap2l/Mcm7/Ccne2/Nek2/Gins3/Pgm2l1/Atad2/Mns1/Mad2l1/Ube2t/Mis18bp1/Psmc3ip/Mtfr2/Plk4/Sgo2a/Cdc45/H3c11/Bard1/Tyms/Tedc1/Mcm2/Bub1b/Tk1/Arhgap19/Spc25/Tacc3/Brca2/Cenpm/Kif24/Fscn1/Aurkb/Mcm8/Oip5/Foxm1/Kif23/Zwilch/Mki67/Prim1/Cep97/Fam83d/Spc24/Rad51b/Ccsap/Mcm5/Trip13/Stmn1/Wdhd1/Cdca8/Traip/Gtse1/Prc1/Ccnb1/Kif2c/Kif20a/Cenpe/Knstrn/Kif20b/Uhrf1/Knl1/Asf1b/Mcm10/Mms22l/Birc5/Ncapd2/Rrm1/H2ac8/Cdk1/Esco2/Tcf19/Pkmyt1/Cdc20/Cep55/Depdc1b/Brca1/Tonsl/Top2a/Tpx2/Bub1/Cdc6/Rrm2/Cep128/Fanci/Cenph/Cdca3/Lrr1/Rad54l/Rad54b/Nusap1/Cenpp/Polq/Ncapg/Pclaf/Diaph3/Kif4/Melk/Anln/Ticrr/Cit/Exo1/Ttk/Hmmr/Ska1/Arhgef39/Sgo1/Fbxo5/Ect2/Pbk/Kif15/Cdc25c/Ccna2/Aspm/Nuf2/Cdca5/Kif22/Shcbp1/Kif11/Kif14"
"LEE_EARLY_T_LYMPHOCYTE_UP","LEE_EARLY_T_LYMPHOCYTE_UP","LEE_EARLY_T_LYMPHOCYTE_UP",84,-0.82282640367655,-3.47857633840878,1e-10,4.21574074074074e-09,3.28947368421053e-09,562,"tags=64%, list=5%, signal=61%","Dlgap5/Ldlrad4/E2f2/Prr11/Rcan1/Nek2/Atad2/Ccnb2/Ube2t/Sgo2a/Tyms/Mcm2/Bub1b/Oip5/Cxxc5/Mki67/Prc1/Ccnb1/Kif2c/Kif20a/Cdca2/Uhrf1/Knl1/Mcm10/Birc5/Cdk1/Ube2c/Cep55/Top2a/Bub1/Rrm2/Cep128/Fanci/Cdca3/Lrr1/Nusap1/Dtl/Rad51ap1/Ncapg/Pclaf/Diaph3/Melk/Ttk/Hmmr/Pbk/Kif15/Aspm/Nuf2/Kif11/Neil3/Kif18b/Dscc1/Kif14/E2f7"
"KOBAYASHI_EGFR_SIGNALING_24HR_DN","KOBAYASHI_EGFR_SIGNALING_24HR_DN","KOBAYASHI_EGFR_SIGNALING_24HR_DN",228,-0.698927135543134,-3.41377220692306,1e-10,4.21574074074074e-09,3.28947368421053e-09,1275,"tags=52%, list=12%, signal=47%","Ncapg2/Hspa14/Ung/Rfc4/Lmnb2/Fen1/Uck2/Psat1/Slc20a1/Ercc6l/Dcbld2/Srm/Ccnf/Ccnd3/Mcm4/Etv5/E2f1/Mybl1/Cenpa/Chaf1a/Vrk1/Tmpo/Plk1/E2f8/Blm/Mybl2/Ell2/Gmnn/Dut/Dlgap5/Ncapd3/Espl1/Stil/Rad51/H2ax/Tipin/Cks1b/Mcm3/G0s2/Nrg1/Cenpn/Orc1/Mcm7/Ccne2/Nek2/Gins3/Hells/Atad2/Mad2l1/Psmc3ip/Plk4/Cdc45/Bard1/Tyms/Axl/Mcm2/Bub1b/Tk1/Spc25/Cenpm/Ncaph/Aurkb/Kif23/Zwilch/Mki67/Mcm6/Prim1/Mcm5/Trip13/Cdca8/Gtse1/Prc1/Ccnb1/Pola1/Kif2c/Asf1b/Mcm10/Birc5/Rrm1/Cdk1/Ube2c/Slc43a3/Pkmyt1/Cdc20/Smc2/Cep55/Pimreg/Brca1/Spag5/Racgap1/Top2a/Tpx2/Bub1/Cdc6/Rrm2/Fanci/Cdca3/Rad54b/Nusap1/Dtl/Depdc1a/Rad51ap1/Ncapg/Kif4/Melk/Exo1/Ttk/Hmmr/Ect2/Pbk/Kif15/Ccna2/Aspm/Shcbp1/Kif11/Kif18b/Dscc1/Kif14/Tmem158"
"GAVIN_FOXP3_TARGETS_CLUSTER_P6","GAVIN_FOXP3_TARGETS_CLUSTER_P6","GAVIN_FOXP3_TARGETS_CLUSTER_P6",73,-0.822205737864577,-3.39451663589931,1e-10,4.21574074074074e-09,3.28947368421053e-09,496,"tags=62%, list=5%, signal=59%","Plk1/Tnfrsf9/Gemin8/Rad51/Cks1b/Nedd4/Tgfbr2/Nek2/Ccnb2/Cenpk/Tyms/Bub1b/Tk1/Clspn/Spc25/Aurkb/Spc24/Cdca8/Ccnb1/Kif2c/Kif20a/Cenpe/Mcm10/Mms22l/Birc5/Cdk1/Cdc20/Cep55/Cenpf/Spag5/Tpx2/Bub1/Fignl1/Rrm2/Cdca3/Rad54l/Nusap1/Ncapg/Pclaf/Hmmr/Pbk/Ccna2/Aspm/Nuf2/Cdca5"
"ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_24HR","ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_24HR","ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_24HR",113,-0.763837773537305,-3.34620183091759,1e-10,4.21574074074074e-09,3.28947368421053e-09,1069,"tags=57%, list=10%, signal=51%","Pold1/Cep43/E2f1/Hmgb3/Cenpa/Poc1a/Sulf2/Tdp1/E2f8/Mybl2/Kifc1/Dlgap5/H2ax/Mcm3/Parpbp/Cenpn/Mcm7/Nek2/Gins3/Mad2l1/Ccnb2/Ube2t/Mtfr2/Cenpk/Mcm2/Spc25/Mcm8/Kif23/Trip13/Cdca8/Prc1/Ccnb1/Bora/Kif20a/Knstrn/Ckap2/Uhrf1/Birc5/Cdk1/Ube2c/Cdc20/Smc2/Cep55/Pimreg/Cenpf/Spag5/Racgap1/Top2a/Bub1/Rad54l/Nusap1/Depdc1a/Melk/Anln/Exo1/Ttk/Hmmr/Fbxo5/Ccna2/Aspm/Nuf2/Kif22/Kif11/Neil3"
