"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_DN","BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_DN","BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_DN",140,-0.807786674161588,-3.36460961130734,1e-10,3.42330827067669e-09,2.5587653343886e-09,1141,"tags=73%, list=11%, signal=66%","Suv39h1/Haspin/Ska3/Plk4/Cdc25a/Tfap4/Hrob/Rbl1/Ccdc34/Camk1/Sfxn2/Wdr76/Rad51/Prr11/Fancg/Phgdh/Fads1/Ercc6l/Tedc2/Zfp395/Birc5/Cenpm/Mnd1/Cdc7/Mybl2/Atad5/Tacc3/Cdc6/Ska1/Ncaph/Tk1/Ccdc18/Kif24/Cdca8/Kifc5b/Troap/Rad54l/Mtfr2/Cdca3/Wdhd1/Prc1/Cdc45/Kifc1/Mcm10/Ube2c/Ube2t/Clspn/Mcm2/Eme1/Tef/Plk1/Mcm7/Aurkb/Uhrf1/Spc25/Chtf18/Prim1/Nusap1/Ncapg/Ddx11/Asf1b/Pclaf/Knl1/Traip/Nek2/Top2a/Cenpi/Cenpf/Pkmyt1/Kif15/Dtl/Cit/Diaph3/Sgo1/Cep55/Cdca2/Oip5/Spag5/Pimreg/Kif20a/Shcbp1/Brca1/Anln/Kif2c/Kif18b/Ttk/Foxm1/Cenpe/Kif4/Tcf19/Depdc1b/Cdca5/Neil3/Nuf2/Rrm2/Hmmr/Ccna2/Kif14/Exo1/Kif11/Fanci/Cdc25c"
"FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_DN","FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_DN","FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_DN",151,-0.795277287027626,-3.3314972140283,1e-10,3.42330827067669e-09,2.5587653343886e-09,796,"tags=64%, list=8%, signal=60%","Prr11/Espl1/Tent5c/Fn1/Arhgap11a/Kif18a/Phgdh/Birc5/Cenpm/Chek2/Mnd1/Gtse1/Mybl2/Sgo2a/Dlgap5/Mad2l1/Tacc3/Tfpi/Mis18bp1/Ska1/Ncaph/Kif23/Tk1/Cdca8/Kifc5b/Troap/Cenpk/Cdca3/Parpbp/Polq/Prc1/Cdc45/Ndc80/Kifc1/Ube2c/Ube2t/Brip1/Depdc1a/Tpx2/Plk1/Cdk1/Mki67/Poglut3/Aurkb/Iqgap3/Spc25/Nusap1/Arhgap19/Knstrn/Ccnb1/Ncapd2/H1f1/Traip/Melk/Racgap1/Nek2/Brca2/Top2a/Cenpf/Kif15/Fbxo5/Dtl/Sgo1/Cdca2/Spag5/Pimreg/Fancd2/Kif20a/Shcbp1/Ckap2/Brca1/Anln/Kif2c/Rad51ap1/Kif18b/Cip2a/Ttk/Foxm1/Cenpe/Kif4/Bub1/Cdc20/Kntc1/Depdc1b/Cdca5/Esco2/Kif22/Pbk/Nuf2/Rrm2/Hmmr/Kif14/Exo1/Kif11/Fanci/Aspm"
"DUTERTRE_ESTRADIOL_RESPONSE_24HR_UP","DUTERTRE_ESTRADIOL_RESPONSE_24HR_UP","DUTERTRE_ESTRADIOL_RESPONSE_24HR_UP",266,-0.743704728613092,-3.31531406786381,1e-10,3.42330827067669e-09,2.5587653343886e-09,1481,"tags=62%, list=14%, signal=55%","Nos1ap/Gas2l3/Nfatc2/Bub1b/E2f1/Tfdp1/Tet2/Psmc3ip/Pold2/Ccnb2/Cenpo/Cenpj/Chek1/Tmpo/E2f8/Slc29a1/Dars2/Suv39h1/Ska3/Dnmt1/Plk4/Tfap4/Gmnn/Dut/Rbl1/Ccdc34/Spdl1/Cenpu/Rfc4/H2ax/Sfxn2/Haus4/Wdr76/Cep78/Rad51/Prr11/Fancg/Espl1/Ncapd3/Tent5c/Nup85/Zfp367/Cbx5/Arhgap11a/Cenpn/Gins3/Cdca7l/Tyms/Bcl2/Incenp/Mcm3/Man1a/Spc24/Stil/Mastl/Birc5/L2hgdh/Cenpm/Gtse1/Mybl2/Dlgap5/Pold1/Atad5/Tacc3/Mphosph9/Cdc6/Mms22l/Ncaph/Kif23/Tk1/Stmn1/Tonsl/Pole/Fam83d/Kifc5b/Troap/Rad54l/Mtfr2/Chaf1a/Atad2/Wdhd1/Polq/Prc1/Cdc45/Kifc1/Mcm10/Ube2c/Ube2t/Brip1/Clspn/Hells/Mcm2/Tpx2/Zwilch/Plk1/Cdk1/Mki67/Smc2/Mcm7/Skp2/Mcm5/Aurkb/Uhrf1/Iqgap3/Chtf18/Prim1/Nusap1/Pola1/Ccne2/Mcm6/Rrm1/Trip13/Ncapg/Knstrn/Asf1b/Pclaf/Ncapd2/Knl1/Traip/Melk/Racgap1/Dscc1/Rad54b/Brca2/Top2a/Ticrr/Bard1/Cenpi/Fignl1/Pkmyt1/Fbxo5/Dtl/Cit/Cep55/Recql4/Mybl1/Cdca2/Mcm8/Slc39a8/Spag5/Fancd2/Shcbp1/Brca1/Anln/Kif2c/Cip2a/Ttk/Foxm1/Kif4/Bub1/Tcf19/Kntc1/Lrr1/Depdc1b/Cdca5/Esco2/Pbk/Rrm2/Ccna2/Exo1/Kif11/Fanci/Igfbp4/Aspm/E2f7"
"LEE_EARLY_T_LYMPHOCYTE_UP","LEE_EARLY_T_LYMPHOCYTE_UP","LEE_EARLY_T_LYMPHOCYTE_UP",84,-0.820320022971384,-3.17289151389128,1e-10,3.42330827067669e-09,2.5587653343886e-09,636,"tags=64%, list=6%, signal=61%","Tyms/Cxxc5/Tnfrsf21/Birc5/Sgo2a/Dlgap5/Ldlrad4/Atad2/Cdca3/Prc1/Ndc80/Hmgb3/Mcm10/Ube2c/Ube2t/Mcm2/Cdk1/Mki67/Uhrf1/Rcan1/Nusap1/Ncapg/Cep128/Ccnb1/Pclaf/Knl1/Melk/Dscc1/Nek2/Tfdp2/Top2a/Kif15/Dtl/Diaph3/Cep55/Cdca2/Oip5/Kif20a/Kif2c/Rad51ap1/Kif18b/Ttk/Bub1/Lrr1/Neil3/Pbk/Nuf2/Rrm2/Hmmr/Kif14/Kif11/Fanci/Aspm/E2f7"
"KONG_E2F3_TARGETS","KONG_E2F3_TARGETS","KONG_E2F3_TARGETS",86,-0.812806644746601,-3.14066881495794,1e-10,3.42330827067669e-09,2.5587653343886e-09,932,"tags=64%, list=9%, signal=59%","Rbl1/Spdl1/H2ax/Rad51/Ccne1/Tyms/Incenp/Mcm3/Ercc6l/Cdc7/Dlgap5/Tacc3/Cdc6/Ncaph/Tk1/Rad54l/Cenpk/Cdca3/Prc1/Ube2c/Ube2t/Depdc1a/Cenph/Tpx2/Plk1/Mki67/Smc2/Skp2/Iqgap3/Spc25/Prim1/Nusap1/Ncapg/Asf1b/Ccnb1/Pclaf/Ncapd2/Melk/Racgap1/Top2a/Fignl1/Cenpf/Kif20a/Shcbp1/Brca1/Kif2c/Rad51ap1/Bub1/Cdc20/Cdca5/Pbk/Nuf2/Hmmr/Ccna2/Kif11"
"MEBARKI_HCC_PROGENITOR_FZD8CRD_UP","MEBARKI_HCC_PROGENITOR_FZD8CRD_UP","MEBARKI_HCC_PROGENITOR_FZD8CRD_UP",387,-0.6655547496228,-3.08842652128123,1e-10,3.42330827067669e-09,2.5587653343886e-09,1457,"tags=52%, list=14%, signal=46%","Mdfic/Haus6/Cks1b/Bub1b/E2f1/Cenpa/Tfdp1/Ccp110/Mical3/Tdp1/Cenpq/Rangap1/Psmc3ip/Nf2/Cenpo/Chek1/Tmpo/E2f8/Cep76/Lrrcc1/Suv39h1/Haspin/Ska3/Nde1/Plk4/Ccdc15/Cdc25a/Ppm1f/Ezh2/Slc19a1/Rcc2/Hrob/Lrrc45/Rfwd3/Rbl1/Ccdc34/Spdl1/Cenpu/Rfc4/Lin9/H2ax/4930579G24Rik/Wdr76/Cep78/Rad51/Hirip3/Prr11/Fancg/Espl1/Ncapd3/Rdm1/Tmsb15b1/Prim2/H3c2/Arhgap11a/Cenpn/Tedc1/Gins3/Phf19/Tyms/Kif18a/H1f5/Mid1/Incenp/Spc24/Stil/Ercc6l/Tedc2/Birc5/Cenpm/Chek2/Aunip/Mnd1/Cdc7/Gtse1/Mybl2/Cdc25b/Sgo2a/Dlgap5/Mad2l1/Nup155/Rgs12/Tipin/Tacc3/Cdc6/Mms22l/Mis18bp1/Ska1/Ccsap/Kif23/Dnmt3b/Tk1/Mtbp/Stmn1/Tonsl/Fam83d/Kif24/Cdca8/Kifc5b/Troap/Rad54l/Mtfr2/Chaf1a/Atad2/Fancm/Cdca3/Parpbp/Wdhd1/Polq/Prc1/Cdc45/Ndc80/Cep97/Kifc1/Mcm10/Ube2t/Mcm2/Cenph/Tpx2/Zwilch/Plk1/Cdk1/Mki67/Poglut3/Mcm7/Mcm5/Aurkb/Uhrf1/Spc25/BC055324/Prim1/Nusap1/Arhgap19/Ccne2/Rrm1/Trip13/Ncapg/Fscn1/Knstrn/Ddx11/Cep128/Asf1b/Ccnb1/Pclaf/Ncapd2/Knl1/Traip/Melk/Pgm2l1/Nek2/Rad54b/Brca2/Top2a/Ticrr/Bard1/Cenpi/Pkmyt1/Kif15/Mns1/Fbxo5/Cit/Rad51b/Adcy3/Diaph3/Sgo1/Cep55/Mcm8/Oip5/Kif20a/Shcbp1/Brca1/Anln/Kif2c/Kif20b/Ttk/Foxm1/Arhgef39/Cenpe/Kif4/Bub1/Cdc20/Tcf19/Cenpp/Kntc1/Lrr1/Depdc1b/Cdca5/Esco2/Kif22/Pbk/Ect2/Nuf2/Rrm2/Hmmr/Ccna2/Kif14/Exo1/Kif11/Fanci/Aspm/Cdc25c"
"ODONNELL_TFRC_TARGETS_DN","ODONNELL_TFRC_TARGETS_DN","ODONNELL_TFRC_TARGETS_DN",99,-0.780770984907007,-3.05833696702959,1e-10,3.42330827067669e-09,2.5587653343886e-09,676,"tags=54%, list=6%, signal=51%","Rif1/Arhgap11a/Gins3/Ercc6l/Birc5/Mnd1/Gtse1/Mybl2/Sgo2a/Dlgap5/Acaca/Tacc3/Cdc6/Ncaph/Fam83d/Chaf1a/Prc1/Ndc80/Hells/Depdc1a/Plk1/Cdk1/Mki67/Hsph1/Aurkb/Spc25/Ccnb1/Rad54b/Brca2/Top2a/Nfia/Cenpf/Fbxo5/Diaph3/Cep55/Fancd2/Kif20a/Shcbp1/Anln/Ttk/Foxm1/Cenpe/Kif4/Bub1/Cdc20/Depdc1b/Ect2/Rrm2/Hmmr/Ccna2/Kif14/Kif11/Aspm"
"ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_24HR","ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_24HR","ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_24HR",113,-0.750304022422219,-3.01510057280325,1e-10,3.42330827067669e-09,2.5587653343886e-09,668,"tags=50%, list=6%, signal=48%","Cenpn/Gins3/Mcm3/Birc5/Mybl2/Dlgap5/Mad2l1/Pold1/Kif23/Cdca8/Kifc5b/Rad54l/Cenpk/Mtfr2/Parpbp/Prc1/Hmgb3/Kifc1/Ube2c/Ube2t/Mcm2/Depdc1a/Cdk1/Smc2/Mcm7/Bora/Uhrf1/Spc25/Nusap1/Trip13/Knstrn/Ccnb1/Melk/Racgap1/Nek2/Top2a/Cenpf/Fbxo5/Cep55/Mcm8/Spag5/Pimreg/Kif20a/Ckap2/Anln/Ttk/Bub1/Cdc20/Kntc1/Neil3/Kif22/Nuf2/Hmmr/Ccna2/Exo1/Kif11/Aspm"
"REACTOME_INTERFERON_ALPHA_BETA_SIGNALING","REACTOME_INTERFERON_ALPHA_BETA_SIGNALING","REACTOME_INTERFERON_ALPHA_BETA_SIGNALING",47,0.856186838104154,3.00195515635477,1e-10,3.42330827067669e-09,2.5587653343886e-09,629,"tags=60%, list=6%, signal=56%","Isg20/Isg15/Irf7/Gbp2/Oas3/H2-Q7/Ifit3/Oas1a/Xaf1/Usp18/Bst2/Ifitm3/Socs1/H2-T23/Psmb8/H2-D1/Oasl1/Samhd1/Ifi35/Stat1/Ifit2/Irf1/Oas2/Mx2/Ifitm2/H2-M3/Ifitm1/Irf2"
"MOLENAAR_TARGETS_OF_CCND1_AND_CDK4_DN","MOLENAAR_TARGETS_OF_CCND1_AND_CDK4_DN","MOLENAAR_TARGETS_OF_CCND1_AND_CDK4_DN",52,-0.844552099488962,-2.99928070140024,1e-10,3.42330827067669e-09,2.5587653343886e-09,688,"tags=62%, list=7%, signal=58%","Zfp367/Cenpn/Cdca7l/Cdc6/Ncaph/Fam83d/Cdca8/Cenpk/Mtfr2/Cdc45/Cenph/Tpx2/Mcm7/Spc25/Trip13/Pclaf/Knl1/Melk/Cenpf/Mns1/Dtl/Cep55/Mybl1/Cdca2/Kif20a/Cdkn2c/Kif2c/Cip2a/Kif20b/Kif4/Kif11/E2f7"
