"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0035456","BP","GO:0035456","response to interferon-beta",35,0.899062837082907,2.8302028644548,1e-10,8.91232876712329e-09,7.33813987022351e-09,360,"tags=66%, list=3%, signal=64%","Iigp1/Ifit3/Gbp6/Gbp2/Ifi47/Xaf1/Bst2/Igtp/Irgm1/Oas1a/Ifi211/Ifit1/Gbp3/Ifi204/Ifitm3/Gm12185/Stat1/Ifi203/Mndal/Oas1c/Irgm2/Gbp7/Irf1"
"GO:0098813","BP","GO:0098813","nuclear chromosome segregation",245,-0.603235465248924,-2.8015141279969,1e-10,8.91232876712329e-09,7.33813987022351e-09,893,"tags=30%, list=8%, signal=28%","Mad1l1/Kif18a/Smarca2/Tnks/Cdk5rap2/Gem/Dis3l2/Incenp/Gen1/Cdc6/Fancm/Hecw2/Rad51c/Ncapd3/Sgo2a/Brca2/Ncaph/Spc24/Mad2l1/Bub1b/Ndc1/Birc5/Prc1/Ndc80/Aurkb/Ccne2/Cenpk/Eme1/Dscc1/Plk1/Top2a/Nsl1/Trip13/Knstrn/Smc2/Brip1/Tacc3/Knl1/Spc25/Cdca8/Kif2c/Zwilch/Kif23/Septin1/Bcl7a/Fbxo5/Ube2c/Esco2/Bub1/Cit/Fam83d/Cenpf/Nek2/Ncapg/Nusap1/Ccnb1/Kifc5b/Fancd2/Cenpe/Cdc20/Racgap1/Kif18b/Cdca5/Ncapd2/Spag5/Kif4/Nuf2/Ankle1/Kif14/Ect2/Ttk/Kif11/Sgo1/Kif22"
"GO:0000070","BP","GO:0000070","mitotic sister chromatid segregation",173,-0.625425348876451,-2.77757809790578,1e-10,8.91232876712329e-09,7.33813987022351e-09,893,"tags=33%, list=8%, signal=31%","Mad1l1/Kif18a/Smarca2/Tnks/Cdk5rap2/Dis3l2/Incenp/Gen1/Cdc6/Hecw2/Ncapd3/Sgo2a/Ncaph/Spc24/Mad2l1/Bub1b/Birc5/Prc1/Ndc80/Aurkb/Cenpk/Dscc1/Plk1/Nsl1/Trip13/Knstrn/Smc2/Tacc3/Spc25/Cdca8/Kif2c/Zwilch/Kif23/Bcl7a/Fbxo5/Ube2c/Esco2/Bub1/Cit/Nek2/Ncapg/Nusap1/Ccnb1/Kifc5b/Cenpe/Cdc20/Racgap1/Kif18b/Cdca5/Ncapd2/Spag5/Nuf2/Kif14/Ttk/Kif11/Sgo1/Kif22"
"GO:0007059","BP","GO:0007059","chromosome segregation",303,-0.581637012149057,-2.76587465583781,1e-10,8.91232876712329e-09,7.33813987022351e-09,893,"tags=33%, list=8%, signal=31%","Cdc27/Psmc3ip/Dsn1/Usp9x/Eml4/Ddx3x/Ncaph2/Uvrag/Ccne1/Espl1/Cep192/Cenpw/Mis18a/Arid1b/Ddx11/Mad1l1/Kif18a/Smarca2/Tnks/Cdk5rap2/Gem/Dis3l2/Ska3/Rad18/Incenp/Gen1/Cdc6/Fancm/Hecw2/Rad51c/Ncapd3/Sgo2a/Dlgap5/Brca2/Chtf18/Ncaph/Spc24/Oip5/Mad2l1/Bub1b/Ndc1/Birc5/Prc1/Mki67/Ndc80/Aurkb/Ccne2/Cenpk/Eme1/Dscc1/Plk1/Top2a/Nsl1/Trip13/Knstrn/Smc2/Brip1/Tacc3/Knl1/Spc25/Cdca8/Ska1/Kif2c/Zwilch/Kif23/Septin1/Cenph/Bcl7a/Fbxo5/Ube2c/Cenpn/Esco2/Ska2/Bub1/Cit/Fam83d/Cenpf/Nek2/Brca1/Ncapg/Nusap1/Ccnb1/Kifc5b/Fancd2/Cenpe/Cdca2/Cdc20/Racgap1/Kif18b/Cdca5/Ncapd2/Spag5/Kif4/Nuf2/Ankle1/Kif14/Ect2/Ttk/Kif11/Sgo1/Kif22"
"GO:0008608","BP","GO:0008608","attachment of spindle microtubules to kinetochore",41,-0.797339751581425,-2.74120116967933,1e-10,8.91232876712329e-09,7.33813987022351e-09,680,"tags=49%, list=6%, signal=46%","Mad1l1/Incenp/Brca2/Spc24/Birc5/Ndc80/Aurkb/Knstrn/Knl1/Spc25/Cdca8/Kif2c/Nek2/Ccnb1/Cenpe/Racgap1/Spag5/Nuf2/Ect2/Sgo1"
"GO:0000280","BP","GO:0000280","nuclear division",343,-0.566266328636394,-2.7126184678481,1e-10,8.91232876712329e-09,7.33813987022351e-09,893,"tags=29%, list=8%, signal=28%","Mad1l1/Kif18a/Aaas/Smarca2/Tnks/Cdk5rap2/Dis3l2/Rps6ka2/Clasp2/Incenp/Gen1/Cdc6/Lif/Fancm/Hecw2/Cdc14a/Rad51c/Rad51/Cdc14b/Igf1r/Ncapd3/Sgo2a/Cdc25b/Brca2/Chtf18/Ccsap/Ncaph/Mybl2/Bora/Spc24/Mad2l1/Mtbp/Bub1b/Ndc1/Mastl/Birc5/Cep97/Fignl1/Ccnb2/Prc1/Mki67/Ndc80/Aurkb/Ccne2/Cenpk/Eme1/Rad54l/Dscc1/Plk1/Top2a/Kifc1/Nsl1/Rad51ap1/Trip13/Knstrn/Smc2/Brip1/Tacc3/Spc25/Cdca8/Kif2c/Zwilch/Kif23/Septin1/Tpx2/Bcl7a/Fbxo5/Mnd1/Rad54b/Ube2c/Hspa1a/Esco2/Mybl1/Bub1/Cit/Nek2/Ncapg/Nusap1/Ccnb1/Kif20b/Kifc5b/Fancd2/Cenpe/Cdca2/Cdc20/Egf/Racgap1/Kif18b/Cdca5/Ncapd2/Spag5/Hspa1b/Nuf2/Ankle1/Kif14/Aspm/Ttk/Kif11/Sgo1/Kif22"
"GO:0000819","BP","GO:0000819","sister chromatid segregation",193,-0.603654686012842,-2.71181117805527,1e-10,8.91232876712329e-09,7.33813987022351e-09,1000,"tags=32%, list=9%, signal=29%","Arid1b/Ddx11/Mad1l1/Kif18a/Smarca2/Tnks/Cdk5rap2/Dis3l2/Incenp/Gen1/Cdc6/Hecw2/Rad51c/Ncapd3/Sgo2a/Ncaph/Spc24/Mad2l1/Bub1b/Birc5/Prc1/Ndc80/Aurkb/Cenpk/Dscc1/Plk1/Top2a/Nsl1/Trip13/Knstrn/Smc2/Tacc3/Spc25/Cdca8/Kif2c/Zwilch/Kif23/Bcl7a/Fbxo5/Ube2c/Esco2/Bub1/Cit/Nek2/Ncapg/Nusap1/Ccnb1/Kifc5b/Cenpe/Cdc20/Racgap1/Kif18b/Cdca5/Ncapd2/Spag5/Nuf2/Kif14/Ttk/Kif11/Sgo1/Kif22"
"GO:0035458","BP","GO:0035458","cellular response to interferon-beta",29,0.894670753430159,2.70022010266673,1e-10,8.91232876712329e-09,7.33813987022351e-09,360,"tags=69%, list=3%, signal=67%","Iigp1/Ifit3/Gbp6/Gbp2/Ifi47/Igtp/Irgm1/Oas1a/Ifi211/Ifit1/Gbp3/Ifi204/Gm12185/Stat1/Ifi203/Mndal/Oas1c/Irgm2/Gbp7/Irf1"
"GO:0051607","BP","GO:0051607","defense response to virus",189,0.640904542560312,2.69502891306214,1e-10,8.91232876712329e-09,7.33813987022351e-09,970,"tags=29%, list=9%, signal=26%","Isg20/Isg15/Ifit3/Irf7/Zbp1/Rtp4/Oas3/Bst2/Ifit3b/Mx1/Oas1a/Ifit2/Mlkl/Oas1b/Ifit1/Oas2/Oasl2/Cxcl10/Ifi204/Trim30d/Ifitm3/Ddx60/Dhx58/Rigi/Oasl1/Stat1/Slfn8/Nt5c3/Gpam/Dtx3l/Oas1c/Mx2/Mov10/Gbp7/Trim30a/Pml/Eif2ak2/Trim21/Irf1/Exosc4/Ccl5/Slfn9/Znfx1/Ifih1/Trim34a/Irf2/Samhd1/Phb/Parp9/Stat2/Ifitm2/Ddx1/Creb3/Pycard"
"GO:0140546","BP","GO:0140546","defense response to symbiont",189,0.640904542560312,2.69502891306214,1e-10,8.91232876712329e-09,7.33813987022351e-09,970,"tags=29%, list=9%, signal=26%","Isg20/Isg15/Ifit3/Irf7/Zbp1/Rtp4/Oas3/Bst2/Ifit3b/Mx1/Oas1a/Ifit2/Mlkl/Oas1b/Ifit1/Oas2/Oasl2/Cxcl10/Ifi204/Trim30d/Ifitm3/Ddx60/Dhx58/Rigi/Oasl1/Stat1/Slfn8/Nt5c3/Gpam/Dtx3l/Oas1c/Mx2/Mov10/Gbp7/Trim30a/Pml/Eif2ak2/Trim21/Irf1/Exosc4/Ccl5/Slfn9/Znfx1/Ifih1/Trim34a/Irf2/Samhd1/Phb/Parp9/Stat2/Ifitm2/Ddx1/Creb3/Pycard"
