"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",83,0.818514657632729,3.01290183544575,1e-10,1e-09,6.94736842105263e-10,897,"tags=64%, list=8%, signal=59%","Isg20/Isg15/Ifit3/Irf7/Ifi44/Gbp2/Rtp4/Usp18/Ube2l6/Bst2/Samd9l/Oas1a/Ifit2/Nmi/Gbp3/Cxcl10/Ifitm3/Lgals3bp/H2-Q7/Ddx60/Dhx58/Ifi35/Batf2/Oasl1/Herc6/Uba7/Parp14/Psmb9/Ly6e/Psmb8/Mx2/Mov10/Cnp/Parp12/Psme2/Eif2ak2/Trim21/Irf1/Trafd1/Psme1/Ogfr/Helz2/Ifih1/Tap1/B2m/Irf2/Tmem140/Tdrd7/Parp9/Stat2/Epsti1/Lap3/Ifitm2"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",149,0.723721975517235,2.94553910586838,1e-10,1e-09,6.94736842105263e-10,909,"tags=49%, list=9%, signal=45%","Isg20/Isg15/Ifit3/Irf7/Ifi44/Zbp1/Rtp4/Oas3/Usp18/Ube2l6/Xaf1/Bst2/Samd9l/Ifit2/Nmi/Il18bp/Oas2/Gbp3/Cxcl10/Ifitm3/Lgals3bp/Upp1/H2-Q7/Ddx60/Dhx58/Ifi35/Rigi/Batf2/Gbp9/Oasl1/Herc6/Stat1/Psmb10/Rnf213/Vamp5/Parp14/Psmb9/Ly6e/Psmb8/Mx2/Casp3/Parp12/Socs1/Psme2/H2-D1/Pml/Eif2ak2/Trim21/Irf1/Ccl5/Trafd1/Psme1/Znfx1/Ogfr/Helz2/Nod1/Ifih1/Gbp8/Tap1/H2-M3/B2m/Nlrc5/Irf2/Samhd1/Tdrd7/Arl4a/St3gal5/Stat2/Casp4/Epsti1/Lap3/Ifitm2/Psma2"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",199,-0.606363443720241,-2.70666615152413,1e-10,1e-09,6.94736842105263e-10,1515,"tags=42%, list=14%, signal=36%","Nup153/Cdkn3/Suv39h1/Mlh1/Psmc3ip/Anp32e/Pms2/Tipin/Mcm7/Rpa2/Ccne1/Espl1/Cks1b/Cbx5/Pold1/Prps1/E2f8/Mcm4/Plk4/Prkdc/H2ax/Rpa1/Hells/Mcm3/Dut/Mthfd2/Prim2/Atad2/Mcm2/Rad51c/Dlgap5/Mcm6/Cdc25b/Brca2/Tk1/Mcm5/Mybl2/Stmn1/Mms22l/Spc24/Mad2l1/Bub1b/Birc5/Ccnb2/Mki67/Aurkb/Bard1/Dscc1/Cdk1/Plk1/Top2a/Rad51ap1/Trip13/Ube2t/Cenpm/Tacc3/Spc25/Wdr90/Cdca8/Pole/Gins3/Kif2c/Cdkn2c/Tcf19/Asf1b/Hmgb3/Cit/Melk/Brca1/Hmmr/Cenpe/Cdc20/Racgap1/Kif18b/Cdca3/Diaph3/Ncapd2/Spag5/Kif4/Rrm2/Mxd3/Depdc1a/Kif22"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",192,-0.608566628042368,-2.70272846254785,1e-10,1e-09,6.94736842105263e-10,1255,"tags=39%, list=12%, signal=35%","Uck2/Slc7a5/Rpa2/Chaf1a/Espl1/Cks1b/Tle3/Cenpa/Plk4/Rbl1/Mt2/H2ax/Slc38a1/Cdc7/Mcm3/Ss18/Incenp/Prim2/Cdc6/Mcm2/Foxn3/Atf5/Mcm6/Cdc25b/Brca2/Mcm5/Mybl2/Stmn1/Stil/Mad2l1/Birc5/Ccnb2/Prc1/Mki67/Ndc80/Aurkb/Bard1/Rad54l/Cdk1/Plk1/Top2a/Smc2/Tacc3/Knl1/Troap/Pole/Kif2c/Kif23/Cdkn2c/Tpx2/Cdc45/Fbxo5/Ube2c/Hmgb3/Bub1/Polq/Cenpf/Nek2/Nusap1/Kif15/Hmmr/Kif20b/Cenpe/Cdc20/Egf/Racgap1/Pbk/Exo1/Traip/Kif4/Ttk/Kif11/Ccna2/Kif22"
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE",180,-0.517890851850738,-2.27525323901989,1e-10,1e-09,6.94736842105263e-10,752,"tags=23%, list=7%, signal=22%","Myo1e/Akap13/Ssh2/Incenp/Plekhg2/Stk38l/Cntrob/Flnb/Dlgap5/Alms1/Brca2/Pif1/Epb41/Nck2/Rhof/Birc5/Ccnb2/Prc1/Ndc80/Cdk1/Plk1/Top2a/Kif2c/Kif23/Tpx2/Fscn1/Fbxo5/Bub1/Cenpf/Anln/Nek2/Nusap1/Kif15/Kif20b/Cenpe/Racgap1/Kif4/Ect2/Ttk/Kif11/Kif22"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",194,0.472460196562691,1.99126385279937,2.75665760744613e-08,2.29721467287177e-07,1.59595966746881e-07,3583,"tags=59%, list=34%, signal=40%","Cycs/Mgst3/Eci1/Grpel1/Sdhb/Timm10/Mrpl11/Vdac3/Mrpl35/Tomm22/Mrpl34/Ndufa4/Timm17a/Ndufb4/Polr2f/Atp5j/Hsd17b10/Cox7a2/Mrps22/Bax/Timm8b/Pdp1/Atp5j2/Mrps30/Ndufv1/Ndufb2/Mtx2/Ndufs4/Nqo2/Cox5b/Mrpl15/Ech1/Surf1/Phyh/Ndufa7/Uqcrb/Ndufs8/Ndufa5/Aifm1/Atp6v1e1/Ndufa8/Acaa1a/Ndufb1/Fxn/Atp5pb/Ndufab1/Atp5k/Atp5c1/Cox6c/Idh3b/Cox6b1/Atp5o/Suclg1/Mrps12/Acaa2/Ndufv2/Slc25a4/Ndufa9/Ndufb8/Echs1/Cox7c/Ndufa1/Uqcrc1/Ndufb3/Cox7b/Ndufa3/Atp6v0c/Ndufb6/Ndufc1/Cyc1/Mrps11/Idh1/Vdac2/Atp5g1/Ndufb7/Timm9/Por/Ndufs7/Cox6a1/Cox17/Cox5a/Mtrf1/Atp5h/Etfdh/Cox8a/Ndufc2/Atp6v1f/Atp6v1g1/Alas1/Pmpca/Ndufs2/Uqcr10/Atp5l/Timm13/Immt/Htra2/Acadm/Cyb5r3/Fdx1/Atp6v0b/Timm50/Ndufs3/Atp5g3/Phb2/Ndufa6/Atp6v0e/Decr1/Atp5e/Casp7/Ndufb5/Vdac1/Uqcrq/Sdhd/Sucla2/Cox11"
"HALLMARK_SPERMATOGENESIS","HALLMARK_SPERMATOGENESIS","HALLMARK_SPERMATOGENESIS",56,-0.522653334493665,-1.93462316069168,0.000363239769548945,0.00259456978249246,0.00180254321731055,1513,"tags=32%, list=14%, signal=28%","Nf2/Cdkn3/Topbp1/Mtor/Map7/Braf/Il12rb2/Prkar2a/Ncaph/Lpin1/Ccnb2/Cdk1/Grm8/Kif2c/Bub1/Nek2/Ttk/Camk4"
"HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY",104,-0.413596648802483,-1.70699013154335,0.000790233152873938,0.00482164864193489,0.00334977695123897,936,"tags=20%, list=9%, signal=19%","Tgif2/Cish/Ttc39a/Rps6ka2/Nrip1/Elovl5/Bcl2/Jak2/Igf1r/Flnb/Egr3/Hes1/Igfbp4/Celsr1/Mybl1/Mreg/Krt18/Krt8/Mast4/Ablim1/Krt19"
"HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING",139,-0.38264869962633,-1.6461375668755,0.000867896755548279,0.00482164864193489,0.00334977695123897,1839,"tags=36%, list=17%, signal=30%","Hycc2/Huwe1/Lclat1/Rhob/Slc1a5/Snx14/Tgm2/Spred2/Lrrc8c/Socs2/Tnfrsf21/Wls/Cd81/Ifngr1/Uck2/Pou2f1/Ccne1/Nt5e/Bhlhe40/Hipk2/Car2/Itgav/Swap70/Cish/Prkch/Dennd5a/Myo1e/Galm/Il1r2/Cdc6/Lif/Bcl2/Igf1r/Tnfrsf18/Tnfrsf9/Ahr/Slc2a3/Ltb/Irf6/Slc39a8/Itga6/Rabgap1l/Ctla4/Rora/Plpp1/Adam19/Itgae/Ikzf4/Il18r1/Ikzf2"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",70,-0.458065107693119,-1.76762179951833,0.00101052631676608,0.0050526315838304,0.00351024931087165,2047,"tags=40%, list=19%, signal=32%","Mmp14/Id2/Cxcl3/Tpm1/Rhob/Tgm2/Vegfa/Thbs1/Mcm7/Pmepa1/Nt5e/Itgav/Dab2/Wipf1/Anpep/Serpine1/Gem/Gpc1/Qsox1/Timp1/Fn1/Igfbp4/Edil3/Prss2/Try5/Itgb3/Igfbp3/Cald1"
