"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HECKER_IFNB1_TARGETS","HECKER_IFNB1_TARGETS","HECKER_IFNB1_TARGETS",42,-0.903956214974769,-3.15816778587151,1e-10,1.4228125e-08,1.24769736842105e-08,284,"tags=67%, list=3%, signal=65%","Parp9/Stat1/Epsti1/Dtx3l/Parp12/Mx2/Eif2ak2/Ly6e/Lgals3bp/Oasl1/Samd9l/Ifi35/Herc6/Rigi/Dhx58/Cxcl10/Oas2/Ifit2/Zbp1/Oas1a/Ddx60/Xaf1/Rtp4/Isg15/Oas3/Ifit3/Ifi44/Irf7"
"BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_UP","BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_UP","BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_UP",118,-0.729190568721409,-3.08403301392401,1e-10,1.4228125e-08,1.24769736842105e-08,821,"tags=47%, list=8%, signal=44%","Ptger4/Creb5/Cd38/Ctss/B2m/Sp140/Ulbp1/Batf2/Irf9/Il15ra/Tap1/Tdrd7/Tap2/Trim12c/Samhd1/Trim14/Ccl3/Parp9/Stat1/Znfx1/Epsti1/Parp10/Stat2/Gbp3/Dtx3l/Parp12/Nmi/Ccl4/Mx2/Parp14/Helz2/Eif2ak2/Ifih1/Sp100/Ifitm3/Uba7/Oasl1/Samd9l/Herc6/Rigi/Dhx58/Gbp2/Cxcl10/Oas2/Ifit2/Bst2/Oas1a/Ddx60/Xaf1/Rtp4/Oas3/Usp18/Ube2l6/Ifit3/Ifi44/Irf7"
"BROWNE_INTERFERON_RESPONSIVE_GENES","BROWNE_INTERFERON_RESPONSIVE_GENES","BROWNE_INTERFERON_RESPONSIVE_GENES",45,-0.845809838561436,-3.03305565835615,1e-10,1.4228125e-08,1.24769736842105e-08,566,"tags=64%, list=5%, signal=61%","Gch1/Il15ra/Tap1/Tdrd7/Psmb8/Samhd1/Trim14/Psmb9/Stat1/Pml/Nmi/Mx2/Eif2ak2/Sp100/Oasl1/Ifi35/Gbp2/Cxcl10/Oas2/Ifit2/Bst2/Oas1a/Xaf1/Isg15/Ube2l6/Ifit3/Ifi44/Irf7/Isg20"
"TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_3D_UP","TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_3D_UP","TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_3D_UP",86,-0.748408497212363,-3.03114733645167,1e-10,1.4228125e-08,1.24769736842105e-08,404,"tags=48%, list=4%, signal=46%","Meis1/Arhgap22/Evi2a/Ighm/Ccl3/Parp9/Stat1/Epsti1/Parp10/Stat2/Dtx3l/Parp12/Mx2/Parp14/Helz2/Eif2ak2/Ifih1/Inpp4b/Ly6e/Lgals3bp/Oasl1/Rnf213/Samd9l/Ifi35/Herc6/Rigi/Gbp2/Cxcl10/Oas2/Ifit2/Bst2/Oas1a/Ddx60/Xaf1/Isg15/Oas3/Usp18/Ifit3/Ifi44/Nkain2/Irf7"
"BOSCO_INTERFERON_INDUCED_ANTIVIRAL_MODULE","BOSCO_INTERFERON_INDUCED_ANTIVIRAL_MODULE","BOSCO_INTERFERON_INDUCED_ANTIVIRAL_MODULE",51,-0.821307956486573,-3.02307656816625,1e-10,1.4228125e-08,1.24769736842105e-08,585,"tags=57%, list=6%, signal=54%","Tmem176a/Gch1/Tmem106a/Mov10/Sdc3/Tdrd7/Trafd1/Epsti1/Gbp7/Stat2/Gbp3/Pml/Parp12/Mx2/Eif2ak2/Ifih1/Ifitm3/Oasl1/Samd9l/Ifi35/Dhx58/Oas2/Zbp1/Ddx60/Xaf1/Oas3/Ifit3/Ifi44/Irf7"
"XIE_ST_HSC_S1PR3_OE_UP","XIE_ST_HSC_S1PR3_OE_UP","XIE_ST_HSC_S1PR3_OE_UP",89,-0.734209129345589,-2.98903574025558,1e-10,1.4228125e-08,1.24769736842105e-08,947,"tags=56%, list=9%, signal=52%","Vwa5a/Dab2/Nedd9/Ptger4/Il1rn/Cd52/Hdac9/Batf2/Irf9/Hspb1/Arap3/Tdrd7/Shisa5/Parp9/Stat1/Epsti1/Parp10/Dtx3l/Parp12/Ccl4/Mx2/Helz2/Eif2ak2/Ifih1/Ly6e/Ifitm3/Lgals3bp/Oasl1/Rnf213/Samd9l/Ifi35/Herc6/Rigi/Dhx58/Gbp2/Cxcl10/Oas2/Ifit2/Bst2/Oas1a/Ddx60/Xaf1/Rtp4/Isg15/Oas3/Usp18/Ifit3/Ifi44/Irf7/Isg20"
"BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_CALU3_CELLS_UP","BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_CALU3_CELLS_UP","BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_CALU3_CELLS_UP",162,-0.66359620101248,-2.97731688598567,1e-10,1.4228125e-08,1.24769736842105e-08,821,"tags=38%, list=8%, signal=36%","Ptger4/Creb5/Nav2/Pck2/Hdac9/Ulbp1/Batf2/Dusp1/Mmp13/Il15ra/Tap1/Rasgef1b/Per1/Tdrd7/Trim12c/Rbm43/Samhd1/Parp9/Stat1/Dusp8/Nupr1/Znfx1/Adamts6/Epsti1/Lgals9/Lst1/Parp10/Stat2/Gbp3/Dtx3l/Pml/Parp12/Mx2/Parp14/Helz2/Eif2ak2/Ifih1/Sp100/Oasl1/Rnf213/Samd9l/Ifi35/Rigi/Dhx58/Cxcl10/Oas2/Ifit2/Zbp1/Bst2/Oas1a/Ddx60/Xaf1/Rtp4/Isg15/Oas3/Usp18/Ube2l6/Ifit3/Ifi44/Irf7/Spry2/Isg20"
"GRAESSMANN_RESPONSE_TO_MC_AND_SERUM_DEPRIVATION_UP","GRAESSMANN_RESPONSE_TO_MC_AND_SERUM_DEPRIVATION_UP","GRAESSMANN_RESPONSE_TO_MC_AND_SERUM_DEPRIVATION_UP",127,-0.682342183746747,-2.95572734889627,1e-10,1.4228125e-08,1.24769736842105e-08,592,"tags=37%, list=6%, signal=35%","Irf2/Irf9/Dnajc27/Tor1aip1/Tap2/Trim12c/Rbm43/Samhd1/Parp9/Gbp8/Stat1/H2-T23/Trafd1/Psmb10/Gbp7/Gbp9/Igfbp7/Parp12/Tor3a/Resf1/Mx2/Parp14/Helz2/Eif2ak2/Mndal/Ifih1/Sp100/Uba7/Lgals3bp/Irgm1/Ifi35/Ifi204/Ifit1/Gbp2/Cxcl10/Oas2/Ifit2/Zbp1/Bst2/Oas1a/Ddx60/Rtp4/Isg15/Usp18/Ifit3/Ifi44/Irf7"
"SANA_RESPONSE_TO_IFNG_UP","SANA_RESPONSE_TO_IFNG_UP","SANA_RESPONSE_TO_IFNG_UP",45,-0.820438025453027,-2.94207288917709,1e-10,1.4228125e-08,1.24769736842105e-08,621,"tags=56%, list=6%, signal=53%","Batf2/Golm1/Samhd1/Parp9/Mlkl/Stat1/H2-T23/Il18bp/Lgals9/Gbp3/Dtx3l/Mx2/Parp14/Ifih1/Lgals3bp/Rnf213/Samd9l/Ifi35/Gbp2/Cxcl10/Oas2/Bst2/Oas1a/Ddx60/Ube2l6"
"DAUER_STAT3_TARGETS_DN","DAUER_STAT3_TARGETS_DN","DAUER_STAT3_TARGETS_DN",34,-0.862969443957254,-2.92113775170321,1e-10,1.4228125e-08,1.24769736842105e-08,397,"tags=62%, list=4%, signal=60%","Tdrd7/Trim12c/Trim14/Stat1/Id3/Parp12/Mx2/Ifih1/Oasl1/Ifi35/Herc6/Rigi/Oas2/Oas1a/Ddx60/Isg15/Oas3/Usp18/Ifit3/Ifi44/Irf7"
"BLANCO_MELO_COVID19_SARS_COV_2_POS_PATIENT_LUNG_TISSUE_UP","BLANCO_MELO_COVID19_SARS_COV_2_POS_PATIENT_LUNG_TISSUE_UP","BLANCO_MELO_COVID19_SARS_COV_2_POS_PATIENT_LUNG_TISSUE_UP",60,-0.758843678929893,-2.87242221773145,1e-10,1.4228125e-08,1.24769736842105e-08,1527,"tags=60%, list=14%, signal=52%","Cd53/Lcp1/Nt5c3/Tnfsf13b/Stap1/Pstpip2/Mxd1/Ifitm2/Arrb2/Fyb/Dok3/Il1rn/Fcer1g/Sp140/Gch1/H2bc8/Casp4/Il2rg/Epsti1/Cacna1a/Ccl4/Mx2/Eif2ak2/Ifitm3/Map2k6/Samd9l/Plac8/Cxcl10/Oas2/Ifit2/Zbp1/Oas1a/Rtp4/Isg15/Oas3/Ifit3"
"DER_IFN_ALPHA_RESPONSE_UP","DER_IFN_ALPHA_RESPONSE_UP","DER_IFN_ALPHA_RESPONSE_UP",59,-0.750650288252879,-2.82818431381574,1e-10,1.4228125e-08,1.24769736842105e-08,716,"tags=41%, list=7%, signal=38%","B2m/Irf2/Cycs/Irf9/Tap1/Psmb8/Trim14/Psme1/Psmb9/Stat1/H2-T23/Psmb10/Plod2/Pml/Nmi/Mx2/Oasl1/Ifi35/Oas2/Bst2/Oas1a/Isg15/Ifit3/Ifi44"
"MOSERLE_IFNA_RESPONSE","MOSERLE_IFNA_RESPONSE","MOSERLE_IFNA_RESPONSE",19,-0.955502502048507,-2.82458078570292,1e-10,1.4228125e-08,1.24769736842105e-08,268,"tags=84%, list=3%, signal=82%","Stat1/Epsti1/Mx2/Ifih1/Oasl1/Samd9l/Rigi/Cxcl10/Oas2/Ifit2/Oas1a/Ddx60/Rtp4/Usp18/Ifit3/Ifi44"
