"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0022626","CC","GO:0022626","cytosolic ribosome",99,0.760493943280057,3.18567682780196,1e-10,7.22888888888889e-08,6.36140350877193e-08,1457,"tags=78%, list=14%, signal=68%","Hba-a1/Rpl31/Rps17/Rplp2/Rpl35/Rps15/Rpl34/Rpl36/Rps13/Rps27/Rpl41/Rpl37/Rpl23a/Rpl36a/Rps23/Fau/Rps15a/Rps12/Rpl30/Rpl27/Uba52/Rpl18/Rps14/Rps18/Rpl32/Rps25/Rpl10/Rps19/Rpl38/Rpl17/Rpl35a/Rpl24/Rpl22/Rpl26/Rps20/Rpl14/Rps28/Rps16/Rpl23/Rps21/Rps26/Rps8/Rpl11/Rpl27a/Rpl18a/Rpl28/Rpl37a/Rpl36al/Rps27a/Rps10/Rpl13a/Rpl15/Rpl6/Rpl13/Rpl12/Rps9/Rpl39/Rpl9/Rps7/Rplp1/Rps24/Rpl7a/Rpl19/Rpsa/Rps11/Rpl29/Rpl4/Rpl21/Rps5/Rpl10a/Rps6/Rps29/Rpl5/Rpl8/Rps3/Rps27l/Rplp0"
"GO:0022625","CC","GO:0022625","cytosolic large ribosomal subunit",55,0.81067958668269,3.12964301725328,1e-10,7.22888888888889e-08,6.36140350877193e-08,1150,"tags=82%, list=11%, signal=73%","Rpl31/Rplp2/Rpl35/Rpl34/Rpl36/Rpl41/Rpl37/Rpl23a/Rpl36a/Rps12/Rpl30/Rpl27/Uba52/Rpl18/Rpl32/Rpl10/Rpl38/Rpl17/Rpl35a/Rpl24/Rpl22/Rpl26/Rpl14/Rpl23/Rpl11/Rpl27a/Rpl18a/Rpl28/Rpl37a/Rpl36al/Rpl13a/Rpl15/Rpl6/Rpl13/Rpl12/Rpl39/Rpl9/Rplp1/Rpl7a/Rpl19/Rpl29/Rpl4/Rpl21/Rpl10a/Rpl5"
"GO:0002181","BP","GO:0002181","cytoplasmic translation",135,0.637456578758399,2.83712726622647,1e-10,7.22888888888889e-08,6.36140350877193e-08,1648,"tags=56%, list=16%, signal=48%","Rpl31/Rps17/Rplp2/Rps15/Rpl34/Rpl36/Rps13/Rpl41/Rpl23a/Rpl36a/Rps23/Fau/Rps15a/Rps12/Rpl30/Rpl27/Uba52/Rpl18/Rps14/Rps18/Rpl32/Rps25/Rps19/Rpl38/Rpl17/Rpl35a/Rpl24/Rpl22/Rpl26/Rps20/Rpl14/Rps28/Rps16/Rpl23/Rps21/Rps26/Rps8/Rpl11/Rpl27a/Rpl18a/Rpl28/Rpl37a/Rps27a/Rps10/Rpl13a/Rpl15/Rpl6/Rpl13/Rpl12/Rps9/Rpl39/Rpl9/Rps7/Rplp1/Rps24/Rpl7a/Rpl19/Rpsa/Rps11/Rpl29/Rpl4/Rpl21/Rps5/Rpl10a/Rps6/Pkm/Rps29/Rpl5/Rpl8/Rps3/Eef2/Rplp0/Rwdd1/Rpl7/Slbp/Eif4ebp1"
"GO:0003735","MF","GO:0003735","structural constituent of ribosome",158,0.594237883875609,2.73381031616885,1e-10,7.22888888888889e-08,6.36140350877193e-08,1313,"tags=49%, list=12%, signal=44%","Rpl31/Rps17/Rplp2/Rpl35/Rps15/Rpl34/Rpl36/Rps13/Rps27/Rpl41/Rpl37/Rpl23a/Rpl36a/Rps23/Fau/Rps15a/Rps12/Rpl30/Rpl27/Uba52/Rpl18/Rps14/Rps18/Rpl32/Rps25/Rpl10/Rps19/Rpl38/Rpl17/Rpl35a/Rpl24/Rpl22/Rpl26/Rps20/Rpl14/Rps28/Rps16/Rpl23/Rps21/Rps26/Rps8/Mrpl52/Rpl11/Rpl27a/Rpl18a/Mrpl33/Rpl28/Rpl37a/Rpl36al/Rps27a/Rps10/Rpl13a/Rpl15/Rpl6/Rpl13/Rpl12/Rps9/Rpl39/Rpl9/Rps7/Rplp1/Rps24/Rpl7a/Rpl19/Rpsa/Rps11/Rpl29/Rpl4/Mrpl54/Rpl21/Rps5/Rpl10a/Rps6/Rps29/Rpl5/Rpl8/Rps3/Mrpl57"
"GO:0022627","CC","GO:0022627","cytosolic small ribosomal subunit",44,0.735524850680783,2.70854701632775,1e-10,7.22888888888889e-08,6.36140350877193e-08,1408,"tags=73%, list=13%, signal=63%","Hba-a1/Rps17/Rps15/Rps13/Rps27/Rps23/Fau/Rps15a/Rps12/Uba52/Rps14/Rps18/Rps25/Rps19/Rps20/Rps28/Rps16/Rps21/Rps26/Rps8/Rps27a/Rps10/Rps9/Rps7/Rps24/Rpsa/Rps11/Rps5/Rps6/Rps29/Rps3/Rps27l"
"GO:0044391","CC","GO:0044391","ribosomal subunit",187,0.544599940141086,2.57952831782785,1e-10,7.22888888888889e-08,6.36140350877193e-08,1313,"tags=43%, list=12%, signal=39%","Rps18-ps6/Hba-a1/Rpl31/Rps17/Rplp2/Rpl35/Rps15/Rpl34/Rpl36/Rps13/Rps27/Rpl41/Rpl37/Rpl23a/Rpl36a/Rps23/Fau/Rps15a/Rps12/Rpl30/Rpl27/Uba52/Rpl18/Rps14/Rps18/Rpl32/Rps25/Rpl10/Rps19/Rpl38/Rpl17/Rpl35a/Rpl24/Rpl22/Rpl26/Rps20/Rpl14/Rps28/Rps16/Rpl23/Rps21/Rps26/Rps8/Mrpl52/Rpl11/Rpl27a/Rpl18a/Mrpl33/Rpl28/Rpl37a/Rpl36al/Rps27a/Rps10/Rpl13a/Rpl15/Rpl6/Rpl13/Rpl12/Rps9/Rpl39/Rpl9/Rps7/Rplp1/Rps24/Rpl7a/Rpl19/Rpsa/Rps11/Rpl29/Rpl4/Mrpl54/Rpl21/Rack1/Rps5/Rpl10a/Rps6/Rps29/Rpl5/Rpl8/Rps3/Mrpl57"
"GO:0005840","CC","GO:0005840","ribosome",209,0.500763601604549,2.39098502053152,1e-10,7.22888888888889e-08,6.36140350877193e-08,1595,"tags=42%, list=15%, signal=36%","Rps18-ps6/Hba-a1/Rpl31/Rps17/Rplp2/Rpl35/Rps15/Rpl34/Rpl36/Rps13/Rps27/Rpl41/Rpl37/Rpl23a/Rpl36a/Rps23/Fau/Rps15a/Rps12/Rpl30/Rpl27/Uba52/Rpl18/Rps14/Rps18/Rpl32/Rps25/Rpl10/Rps19/Rpl38/Rpl17/Rpl35a/Rpl24/Rpl22/Rpl26/Rps20/Rpl14/Rps28/Rps16/Rpl23/Rps21/Rps26/Rps8/Mrpl52/Rpl11/Rpl27a/Rpl18a/Mrpl33/Rpl28/Rpl37a/Rpl36al/Rps27a/Rps10/Rpl13a/Rpl15/Rpl6/Rpl13/Rpl12/Rps9/Rpl39/Rpl9/Rps7/Rplp1/Rps24/Rpl7a/Rpl19/Rpsa/Rps11/Rpl29/Rpl4/Mrpl54/Rpl21/Rack1/Rps5/Rpl10a/Rps6/Rps29/Rpl5/Rpl8/Rps3/Mrpl57/Rps27l/Eef2/Rplp0/Rpl7/Aurkaip1/Mrpl20"
"GO:0015934","CC","GO:0015934","large ribosomal subunit",114,0.54703377657747,2.34981735986068,1e-10,7.22888888888889e-08,6.36140350877193e-08,1313,"tags=44%, list=12%, signal=39%","Rpl31/Rplp2/Rpl35/Rpl34/Rpl36/Rpl41/Rpl37/Rpl23a/Rpl36a/Rps12/Rpl30/Rpl27/Uba52/Rpl18/Rpl32/Rpl10/Rpl38/Rpl17/Rpl35a/Rpl24/Rpl22/Rpl26/Rpl14/Rpl23/Mrpl52/Rpl11/Rpl27a/Rpl18a/Mrpl33/Rpl28/Rpl37a/Rpl36al/Rpl13a/Rpl15/Rpl6/Rpl13/Rpl12/Rpl39/Rpl9/Rplp1/Rpl7a/Rpl19/Rpl29/Rpl4/Mrpl54/Rpl21/Rpl10a/Rpl5/Rpl8/Mrpl57"
"GO:0005198","MF","GO:0005198","structural molecule activity",284,0.432965294511897,2.1594599859187,1e-10,7.22888888888889e-08,6.36140350877193e-08,1609,"tags=38%, list=15%, signal=33%","Krt19/Thbs1/Krt8/Rpl31/Rps17/Rplp2/Krt18/Rpl35/Rps15/Rpl34/Rpl36/Rps13/Rps27/Rpl41/Rpl37/Rpl23a/Rpl36a/Plec/Tuba4a/Rps23/Fau/Rps15a/Rps12/Rpl30/Rpl27/Uba52/Rpl18/Rps14/Rps18/Rpl32/Rps25/Rpl10/Rps19/Rpl38/Rpl17/Rpl35a/Rpl24/Rpl22/Vim/Rpl26/Rps20/Rpl14/Rps28/Rps16/Rpl23/Rps21/Rps26/Rps8/Mrpl52/Rpl11/Rpl27a/Rpl18a/Mrpl33/Rpl28/Rpl37a/Rpl36al/Lamb3/Mbp/Rps27a/Rps10/Rpl13a/Actn1/Rpl15/Rpl6/Rpl13/Rpl12/Rps9/Rpl39/Lmnb1/Nutf2/Rpl9/Emilin2/Rps7/Rplp1/Rps24/Rpl7a/Rpl19/Rpsa/Rps11/Rpl29/Rpl4/Mrpl54/Rpl21/Rps5/Rpl10a/Rps6/Ahnak/Rps29/H1f2/Rpl5/Tube1/Camk2b/Actg1/Rpl8/Rps3/Mrpl57/Hmgcl/Rps27l/Flg/Rplp0/H1f3/Rpl7/Arpc2/Odf2/Mrpl20/Mfap1b/Igf1r"
"GO:0098552","CC","GO:0098552","side of membrane",271,0.411213941389736,2.03010218679644,2.14315390716355e-10,1.28011732968229e-07,1.12649993627614e-07,2215,"tags=42%, list=21%, signal=34%","Cdh1/Trbc1/H2-Q6/Il12rb2/Lck/Ly6a/Itga1/H2-Q7/Plekha4/Itga11/Ptpn3/S100a6/Tlr4/Ccr9/Thbs1/Itgae/Il7r/Traf1/Ryr1/Ly75/Cd24a/Pdcd1lg2/Cd274/Tnf/Krt18/Spn/Errfi1/Sema7a/Tiam1/Nt5e/Il12rb1/Raet1e/Alcam/Fas/Gnb5/H2-Q4/Ptpn22/Tnfrsf18/Cd80/Ece1/Mcf2l/Cd14/Fyn/Il1r1/Cd44/Capn2/Cd27/Ezr/Il3ra/Lgals3/H2-D1/Cd1d1/Pecam1/Adgre5/Itgb2/Itgb3/Gsr/Itgam/Ldlrap1/Ikbkb/Lilrb4a/Cd9/Clec2g/H2-K1/Ldlr/Esyt1/Pten/Msn/Tnfrsf23/Antxr2/Csf2ra/Il6st/Gnb4/Cyld/Flot1/Fcgr3/H13/H2-T22/Gng10/Gm2a/P4hb/Gnai2/Gng5/Lrp1/Syk/Syap1/Borcs8/L1cam/Iqgap1/Itga5/Coa8/Slc7a5/Sla/Icam1/Traf6/Dnajc19/Ptpn1/Il2rg/Litaf/Cdip1/B2m/Tmem123/Ccr1/Itga3/Cd244a/Il31ra/Ctla4/Snx18/Epn1/G6pdx/Chmp4b/Gem/Ptk2b/Sppl2b"
