"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION","REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION","REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION",86,0.826626861279737,3.43361214248808,1e-10,1.7758046031403e-08,1.50428244324877e-08,1457,"tags=91%, list=14%, signal=79%","Rpl31/Rps17/Rplp2/Rpl35/Rps15/Rpl34/Rpl36/Rps13/Rps27/Rpl37/Rpl23a/Rpl36a/Rps23/Fau/Rps15a/Rps12/Rpl30/Rpl27/Uba52/Rpl18/Rps14/Rps18/Rpl32/Rps25/Rpl10/Rps19/Rpl38/Rpl17/Rpl35a/Rpl24/Rpl22/Rpl26/Rps20/Rpl14/Rps28/Rps16/Rpl23/Rps21/Rps26/Rps8/Rpl11/Rpl27a/Rpl18a/Rpl28/Rpl37a/Rpl36al/Rps27a/Rps10/Rpl13a/Rpl15/Rpl6/Rpl13/Rpl12/Rps9/Rpl39/Rpl9/Rps7/Rplp1/Rps24/Rpl7a/Rpl19/Rpsa/Rps11/Rpl29/Rpl4/Rpl21/Rps5/Rpl10a/Rps6/Rps29/Eef1b2/Rpl5/Eef1a1/Rpl8/Rps3/Rps27l/Eef2/Rplp0"
"KEGG_RIBOSOME","KEGG_RIBOSOME","KEGG_RIBOSOME",82,0.823285074947501,3.41139738142371,1e-10,1.7758046031403e-08,1.50428244324877e-08,1457,"tags=90%, list=14%, signal=78%","Rpl31/Rps17/Rplp2/Rpl35/Rps15/Rpl34/Rpl36/Rps13/Rps27/Rpl37/Rpl23a/Rpl36a/Rps23/Fau/Rps15a/Rps12/Rpl30/Rpl27/Uba52/Rpl18/Rps18/Rpl32/Rps25/Rpl10/Rps19/Rpl38/Rpl17/Rpl35a/Rpl24/Rpl22/Rpl26/Rps20/Rpl14/Rps28/Rps16/Rpl23/Rps21/Rps26/Rps8/Rpl11/Rpl27a/Rpl18a/Rpl28/Rpl37a/Rpl36al/Rps27a/Rps10/Rpl13a/Rpl15/Rpl6/Rpl13/Rpl12/Rps9/Rpl39/Rpl9/Rps7/Rplp1/Rps24/Rpl7a/Rpl19/Rpsa/Rps11/Rpl29/Rpl4/Rpl21/Rps5/Rpl10a/Rps6/Rps29/Rpl5/Rpl8/Rps3/Rps27l/Rplp0"
"WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS","WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS","WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS",84,0.820894169258582,3.40896888992312,1e-10,1.7758046031403e-08,1.50428244324877e-08,1310,"tags=86%, list=12%, signal=76%","Rpl31/Rps17/Rplp2/Rpl35/Rps15/Rpl34/Rpl36/Rps13/Rps27/Rpl37/Rpl23a/Rpl36a/Rps23/Fau/Rps15a/Rps12/Rpl30/Rpl27/Uba52/Rpl18/Rps14/Rps18/Rpl32/Rps25/Rpl10/Rps19/Rpl38/Rpl17/Rpl35a/Rpl24/Rpl22/Rpl26/Rps20/Rpl14/Rps28/Rps16/Rpl23/Rps21/Rps26/Rps8/Rpl11/Rpl27a/Rpl18a/Rpl28/Rpl37a/Rps27a/Rps10/Rpl13a/Rpl15/Rpl6/Rpl13/Rpl12/Rps9/Rpl39/Rpl9/Rps7/Rplp1/Rps24/Rpl7a/Rpl19/Rpsa/Rps11/Rpl29/Rpl4/Rpl21/Rps5/Rpl10a/Rps6/Rps29/Rpl5/Rpl8/Rps3"
"REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY","REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY","REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY",94,0.803208911188007,3.38936521617952,1e-10,1.7758046031403e-08,1.50428244324877e-08,1457,"tags=83%, list=14%, signal=72%","Rpl31/Rps17/Rplp2/Rpl35/Rps15/Rpl34/Rpl36/Rps13/Rps27/Rpl37/Rpl23a/Rpl36a/Rps23/Fau/Rps15a/Rps12/Rpl30/Rpl27/Uba52/Rpl18/Rps14/Rps18/Rpl32/Rps25/Rpl10/Rps19/Rpl38/Rpl17/Rpl35a/Rpl24/Rpl22/Rpl26/Rps20/Rpl14/Rps28/Rps16/Rpl23/Rps21/Rps26/Rps8/Rpl11/Rpl27a/Rpl18a/Rpl28/Rpl37a/Rpl36al/Rps27a/Rps10/Rpl13a/Rpl15/Rpl6/Rpl13/Rpl12/Rps9/Rpl39/Rpl9/Rps7/Rplp1/Rps24/Rpl7a/Rpl19/Rpsa/Rps11/Rpl29/Cebpb/Rpl4/Ddit3/Rpl21/Rps5/Rpl10a/Rps6/Rps29/Rpl5/Rpl8/Rps3/Asns/Rps27l/Rplp0"
"REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE","REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE","REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE",106,0.776979722279594,3.34072049676072,1e-10,1.7758046031403e-08,1.50428244324877e-08,1457,"tags=75%, list=14%, signal=66%","Rpl31/Rps17/Rplp2/Rpl35/Rps15/Rpl34/Rpl36/Rps13/Rps27/Rpl37/Rpl23a/Rpl36a/Rps23/Fau/Rps15a/Rps12/Rpl30/Rpl27/Uba52/Rpl18/Rps14/Rps18/Rpl32/Rps25/Rpl10/Rps19/Rpl38/Rpl17/Rpl35a/Rpl24/Rpl22/Rpl26/Rps20/Rpl14/Rps28/Rps16/Rpl23/Rps21/Rps26/Rps8/Rpl11/Rpl27a/Rpl18a/Rpl28/Rpl37a/Rpl36al/Rps27a/Sec61b/Rps10/Rpl13a/Rpl15/Rpl6/Rpl13/Rpl12/Rps9/Rpl39/Rpl9/Rps7/Rplp1/Rps24/Rpl7a/Rpl19/Rpsa/Rps11/Rpl29/Rpl4/Rpl21/Rps5/Ssr4/Sec61g/Rpl10a/Rps6/Rps29/Rpl5/Rpl8/Rps3/Rps27l/Srp9/Srp19/Rplp0"
"REACTOME_NONSENSE_MEDIATED_DECAY_NMD","REACTOME_NONSENSE_MEDIATED_DECAY_NMD","REACTOME_NONSENSE_MEDIATED_DECAY_NMD",108,0.757033349851669,3.27213895630632,1e-10,1.7758046031403e-08,1.50428244324877e-08,1457,"tags=70%, list=14%, signal=61%","Rpl31/Rps17/Rplp2/Rpl35/Rps15/Rpl34/Rpl36/Rps13/Rps27/Rpl37/Rpl23a/Rpl36a/Rps23/Fau/Rps15a/Rps12/Rpl30/Rpl27/Uba52/Rpl18/Rps14/Rps18/Rpl32/Rps25/Rpl10/Rps19/Rpl38/Rpl17/Rpl35a/Rpl24/Rpl22/Rpl26/Rps20/Rpl14/Rps28/Rps16/Rpl23/Rps21/Rps26/Rps8/Rpl11/Rpl27a/Rpl18a/Rpl28/Rpl37a/Rpl36al/Rps27a/Rps10/Rpl13a/Rpl15/Rpl6/Rpl13/Rpl12/Rps9/Rpl39/Rpl9/Rps7/Rplp1/Rps24/Rpl7a/Rpl19/Rpsa/Dcp1a/Rps11/Rpl29/Rpl4/Rpl21/Rps5/Rpl10a/Rps6/Rps29/Rpl5/Rpl8/Rps3/Rps27l/Rplp0"
"REACTOME_EUKARYOTIC_TRANSLATION_INITIATION","REACTOME_EUKARYOTIC_TRANSLATION_INITIATION","REACTOME_EUKARYOTIC_TRANSLATION_INITIATION",114,0.749748115173947,3.24334938995296,1e-10,1.7758046031403e-08,1.50428244324877e-08,1556,"tags=71%, list=15%, signal=61%","Rpl31/Rps17/Rplp2/Rpl35/Rps15/Rpl34/Rpl36/Rps13/Rps27/Rpl37/Rpl23a/Rpl36a/Rps23/Fau/Rps15a/Rps12/Rpl30/Rpl27/Uba52/Rpl18/Rps14/Rps18/Rpl32/Rps25/Rpl10/Rps19/Rpl38/Rpl17/Rpl35a/Rpl24/Rpl22/Rpl26/Rps20/Rpl14/Rps28/Rps16/Rpl23/Rps21/Rps26/Rps8/Rpl11/Rpl27a/Rpl18a/Rpl28/Rpl37a/Rpl36al/Rps27a/Rps10/Rpl13a/Rpl15/Rpl6/Rpl13/Rpl12/Rps9/Eif3j2/Rpl39/Rpl9/Rps7/Rplp1/Rps24/Rpl7a/Rpl19/Rpsa/Rps11/Rpl29/Rpl4/Rpl21/Rps5/Rpl10a/Rps6/Eif4e/Rps29/Rpl5/Rpl8/Rps3/Eif3k/Rps27l/Rplp0/Eif3f/Eif3c/Rpl7"
"REACTOME_SELENOAMINO_ACID_METABOLISM","REACTOME_SELENOAMINO_ACID_METABOLISM","REACTOME_SELENOAMINO_ACID_METABOLISM",104,0.733431241579874,3.13329510260208,1e-10,1.7758046031403e-08,1.50428244324877e-08,1457,"tags=75%, list=14%, signal=65%","Ahcy/Rpl31/Rps17/Rplp2/Rpl35/Rps15/Rpl34/Rpl36/Rps13/Rps27/Rpl37/Rpl23a/Rpl36a/Rps23/Fau/Rps15a/Rps12/Rpl30/Rpl27/Uba52/Rpl18/Rps14/Rps18/Rpl32/Rps25/Rpl10/Rps19/Rpl38/Rpl17/Rpl35a/Rpl24/Rpl22/Rpl26/Rps20/Rpl14/Rps28/Rps16/Rpl23/Rps21/Rps26/Rps8/Rpl11/Rpl27a/Rpl18a/Rpl28/Rpl37a/Rpl36al/Rps27a/Rps10/Rpl13a/Rpl15/Rpl6/Rpl13/Rpl12/Rps9/Rpl39/Rpl9/Rps7/Rplp1/Rps24/Rpl7a/Rpl19/Rpsa/Rps11/Gsr/Rpl29/Rpl4/Rpl21/Rps5/Rpl10a/Rps6/Rps29/Rpl5/Rpl8/Rps3/Txnrd1/Rps27l/Rplp0"
"REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS","REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS","REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS",149,0.654268895809444,2.96023702890836,1e-10,1.7758046031403e-08,1.50428244324877e-08,1774,"tags=57%, list=17%, signal=48%","Rpl31/Rps17/Rplp2/Rpl35/Rps15/Rpl34/Rpl36/Rps13/Rps27/Rpl37/Rpl23a/Rpl36a/Rps23/Fau/Rps15a/Rps12/Rpl30/Rpl27/Uba52/Rpl18/Rps14/Rps18/Rpl32/Rps25/Rpl10/Rps19/Rpl38/Rpl17/Rpl35a/Rpl24/Rpl22/Rpl26/Rps20/Rpl14/Rps28/Rps16/Rpl23/Rps21/Rps26/Rps8/Rpl11/Rpl27a/Rpl18a/Rpl28/Rpl37a/Rpl36al/Rps27a/Rps10/Rpl13a/Rpl15/Sem1/Rpl6/Rpl13/Rpl12/Rps9/Rpl39/Rpl9/Rps7/Rplp1/Rps24/Rpl7a/Rpl19/Rpsa/Rps11/Rpl29/Rpl4/Rpl21/Rps5/Rpl10a/Rps6/Rps29/Rpl5/Rpl8/Rps3/Ubb/Rps27l/Elob/Rplp0/Psma6/Psmb8/Rpl7/Zswim8/Upf2/Rps3a1/Psme1"
"REACTOME_CELLULAR_RESPONSE_TO_STARVATION","REACTOME_CELLULAR_RESPONSE_TO_STARVATION","REACTOME_CELLULAR_RESPONSE_TO_STARVATION",141,0.659520588821641,2.94560173605913,1e-10,1.7758046031403e-08,1.50428244324877e-08,1457,"tags=59%, list=14%, signal=51%","Rpl31/Rps17/Rplp2/Rpl35/Rps15/Rpl34/Rpl36/Rps13/Rps27/Rpl37/Rpl23a/Rpl36a/Rps23/Fau/Rps15a/Rps12/Rpl30/Rpl27/Uba52/Rpl18/Rps14/Rps18/Rpl32/Rps25/Rpl10/Rps19/Rpl38/Rpl17/Rpl35a/Rpl24/Rpl22/Rpl26/Rps20/Rpl14/Rps28/Rps16/Rpl23/Rps21/Rps26/Rps8/Rpl11/Rpl27a/Rpl18a/Rpl28/Rpl37a/Kics2/Rpl36al/Rps27a/Rps10/Rpl13a/Rpl15/Rpl6/Rpl13/Rpl12/Rps9/Castor2/Rpl39/Rpl9/Rps7/Rplp1/Rps24/Rpl7a/Rpl19/Rpsa/Rps11/Rpl29/Cebpb/Rpl4/Ddit3/Rpl21/Rps5/Rpl10a/Rps6/Kptn/Rps29/Castor1/Rpl5/Rpl8/Rps3/Mtor/Asns/Rps27l/Rplp0"
