"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"NABA_MATRISOME","NABA_MATRISOME","NABA_MATRISOME",239,-0.509981762483347,-1.85895762704679,4.84430267814368e-17,1.16263264275448e-15,8.15882556318935e-16,1176,"tags=41%, list=13%, signal=36%","Ctsh/Htra3/Pxdn/Vwa5a/Serpine1/Pdgfa/Cx3cl1/Inhba/Ecm1/Igfbp4/Sema7a/Adam17/Adam10/Lamc1/Ltbp3/Serpinh1/Cthrc1/Il18/Ccn1/Cxcl3/Crlf1/Sema3c/Pcolce2/Ccbe1/Cela1/Plxnd1/Plxdc2/Clcf1/Sdc1/Col27a1/Ctsc/Adam12/Sema4a/Tgm2/Gpc1/Angptl4/Sema3e/Serpinb9/Plxna2/Il34/Pdgfc/Fam20c/Sulf1/Adam32/Spp1/Npnt/Ccl25/Adam23/Cxcl1/Adamts9/Spon2/Col6a1/Ccn2/Col4a5/Ltbp1/Col7a1/Slit2/Tll1/Cxcl2/Mmp28/Col5a1/Lif/Angptl2/Csf1/Nrg1/Fn1/Il1rn/Col6a2/Wnt7b/Ngf/Adamts6/Ccl2/Bmp1/Sema3a/Wnt4/Il11/Lgi2/Timp1/Edil3/Lama3/Try5/Mmp3/Srgn/Tgfb2/S100a9/Il1b/Tnfaip6/Col6a3/Aebp1/Prss2/Thbs1/S100a8/Sparc/Tnc/Col1a1/Col1a2/Col3a1"
"NABA_CORE_MATRISOME","NABA_CORE_MATRISOME","NABA_CORE_MATRISOME",66,-0.611604054515145,-2.04951146249136,2.3037973062809e-10,2.76455676753708e-09,1.94003983686813e-09,441,"tags=38%, list=5%, signal=36%","Spp1/Npnt/Spon2/Col6a1/Ccn2/Col4a5/Ltbp1/Col7a1/Slit2/Col5a1/Fn1/Col6a2/Lgi2/Edil3/Lama3/Srgn/Tnfaip6/Col6a3/Aebp1/Thbs1/Sparc/Tnc/Col1a1/Col1a2/Col3a1"
"NABA_MATRISOME_ASSOCIATED","NABA_MATRISOME_ASSOCIATED","NABA_MATRISOME_ASSOCIATED",173,-0.455286199094338,-1.63361584680642,3.05231635837211e-08,2.44185308669769e-07,1.71358111347206e-07,941,"tags=40%, list=11%, signal=37%","Parm1/Lgals9/Plat/Fam20a/Vegfc/Ereg/Sema6d/Cd109/Ctsh/Htra3/Serpine1/Pdgfa/Cx3cl1/Inhba/Sema7a/Adam17/Adam10/Serpinh1/Il18/Cxcl3/Crlf1/Sema3c/Ccbe1/Cela1/Plxnd1/Plxdc2/Clcf1/Sdc1/Ctsc/Adam12/Sema4a/Tgm2/Gpc1/Angptl4/Sema3e/Serpinb9/Plxna2/Il34/Pdgfc/Fam20c/Sulf1/Adam32/Ccl25/Adam23/Cxcl1/Adamts9/Tll1/Cxcl2/Mmp28/Lif/Angptl2/Csf1/Nrg1/Il1rn/Wnt7b/Ngf/Adamts6/Ccl2/Bmp1/Sema3a/Wnt4/Il11/Timp1/Try5/Mmp3/Tgfb2/S100a9/Il1b/Prss2/S100a8"
"NABA_COLLAGENS","NABA_COLLAGENS","NABA_COLLAGENS",13,-0.841941088275006,-2.23076283619281,1.83829810572505e-07,1.10297886343503e-06,7.74020255042127e-07,326,"tags=77%, list=4%, signal=74%","Col27a1/Col6a1/Col4a5/Col7a1/Col5a1/Col6a2/Col6a3/Col1a1/Col1a2/Col3a1"
"NABA_SECRETED_FACTORS","NABA_SECRETED_FACTORS","NABA_SECRETED_FACTORS",70,-0.536600063158532,-1.80699267800788,1.01820938301051e-06,4.88740503845043e-06,3.4297579217196e-06,1038,"tags=36%, list=12%, signal=32%","Il18/Cxcl3/Crlf1/Ccbe1/Clcf1/Angptl4/Il34/Pdgfc/Ccl25/Cxcl1/Cxcl2/Lif/Angptl2/Csf1/Nrg1/Il1rn/Wnt7b/Ngf/Ccl2/Wnt4/Il11/Tgfb2/S100a9/Il1b/S100a8"
"NABA_ECM_GLYCOPROTEINS","NABA_ECM_GLYCOPROTEINS","NABA_ECM_GLYCOPROTEINS",49,-0.56975652274567,-1.85623496863908,6.87963561708335e-06,2.75185424683334e-05,1.93112578725147e-05,2590,"tags=69%, list=30%, signal=49%","Matn2/Pcolce/Lamb2/Lamb1/Ints14/Thsd4/Lamc2/Fbln2/Creld1/Crim1/Pxdn/Vwa5a/Ecm1/Igfbp4/Lamc1/Ltbp3/Cthrc1/Ccn1/Pcolce2/Spp1/Npnt/Spon2/Ccn2/Ltbp1/Slit2/Fn1/Lgi2/Edil3/Lama3/Tnfaip6/Aebp1/Thbs1/Sparc/Tnc"
"NABA_ECM_REGULATORS","NABA_ECM_REGULATORS","NABA_ECM_REGULATORS",62,-0.48133825669253,-1.60484302160257,0.000375946658123661,0.0012889599707097,0.000904533312778733,1980,"tags=44%, list=23%, signal=34%","Plat/Fam20a/Cd109/Ctsh/Htra3/Serpine1/Adam17/Adam10/Serpinh1/Cela1/Ctsc/Adam12/Tgm2/Serpinb9/Fam20c/Sulf1/Adam32/Adam23/Adamts9/Tll1/Mmp28/Adamts6/Bmp1/Timp1/Try5/Mmp3/Prss2"
"NABA_BASEMENT_MEMBRANES","NABA_BASEMENT_MEMBRANES","NABA_BASEMENT_MEMBRANES",18,-0.53102599608926,-1.50154886536657,0.024385224817368,0.0731556744521041,0.0513373154049853,3865,"tags=94%, list=44%, signal=53%","Lama5/Col4a2/Lamb3/Agrn/Col4a1/Hspg2/Lamb2/Lamb1/Lamc2/Col18a1/Lamc1/Npnt/Col6a1/Col4a5/Col6a2/Lama3/Col6a3"
"SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES","SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES","SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES",23,-0.453949419130507,-1.33802531600249,0.082750228171585,0.220667275124227,0.154854228157352,2792,"tags=61%, list=32%, signal=42%","Flot1/Foxo3/Rps6kb1/Pik3ca/Pdpk1/Tec/Ppp1r13b/Bcr/Pten/Itpr1/Rps6ka3/Lyn/Akt3/Itpr2"
"SA_B_CELL_RECEPTOR_COMPLEXES","SA_B_CELL_RECEPTOR_COMPLEXES","SA_B_CELL_RECEPTOR_COMPLEXES",18,-0.46002070273963,-1.30077165587147,0.117501800596769,0.282004321432246,0.197897769426138,3010,"tags=61%, list=34%, signal=40%","Sos1/Grb2/Map3k1/Map2k1/Atf2/Jun/Bcr/Fos/Vav2/Rps6ka3/Lyn"
"SIG_BCR_SIGNALING_PATHWAY","SIG_BCR_SIGNALING_PATHWAY","SIG_BCR_SIGNALING_PATHWAY",31,-0.387857296099068,-1.19465251565525,0.196415987113662,0.428543971884352,0.300732611848668,3010,"tags=55%, list=34%, signal=36%","Sos1/Flot1/Grb2/Sos2/Pik3r1/Pik3ca/Pdpk1/Ppp1r13b/Bcr/Ppp3cb/Itpr1/Lyn/Akt3/Ppp3ca/Itpr2/Bcl2/Nfatc1"
"SIG_CD40PATHWAYMAP","SIG_CD40PATHWAYMAP","SIG_CD40PATHWAYMAP",23,-0.393297838964285,-1.15925352712478,0.252712706622046,0.505425413244093,0.35468450052217,2676,"tags=48%, list=31%, signal=33%","Mapk9/Map2k4/Nfkb2/Pik3r1/Pik3ca/Nfkbia/Mapk14/Mapk8/Traf3/Nfkb1/Dusp1"
"SA_G1_AND_S_PHASES","SA_G1_AND_S_PHASES","SA_G1_AND_S_PHASES",12,0.301421692272415,1.14266729238033,0.285245901639344,0.526607818411097,0.369549346253402,6105,"tags=100%, list=70%, signal=30%","Nxt1/Cdkn1b/Cdkn1a/Cdk4/Cdkn2a/Cfl1/Arf1/Ccnd1/Mdm2/E2f1/Trp53/Arf3"
"SIG_IL4RECEPTOR_IN_B_LYPHOCYTES","SIG_IL4RECEPTOR_IN_B_LYPHOCYTES","SIG_IL4RECEPTOR_IN_B_LYPHOCYTES",25,-0.371827894601715,-1.11039747282549,0.318586758453128,0.546148728776791,0.383262265808274,3071,"tags=52%, list=35%, signal=34%","Jak1/Sos1/Grb2/Irs2/Sos2/Pik3r1/Pik3ca/Pdpk1/Ppp1r13b/Akt3/Il4ra/Irs1/Bcl2"
"WNT_SIGNALING","WNT_SIGNALING","WNT_SIGNALING",50,-0.325926654727358,-1.06337805663529,0.375387693846923,0.600620310155078,0.421487936950932,3277,"tags=52%, list=38%, signal=33%","Fosl1/Myc/Ccnd2/Apc/Kremen1/Lrp6/Tle1/Cxxc4/Ctnnbip1/Daam1/Bcl9/Fbxw4/Fzd6/Fbxw11/Axin1/Jun/Ctnnb1/Rhou/Btrc/Csnk1g1/Tcf7/Ccnd3/Fzd2/Nlk/Wnt7b/Wnt4"
