"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",117,-0.568157365693488,-1.99122820433476,1.79414950006829e-13,8.25308770031411e-12,4.34373036858637e-12,1975,"tags=54%, list=23%, signal=42%","Copa/Itgb5/Fbln2/Vegfc/Jun/Dpysl3/Id2/Nt5e/Serpine1/Cald1/Inhba/Ecm1/Igfbp4/Itgav/Gadd45a/Vcam1/Lamc1/Tnfaip3/Prrx1/Serpinh1/Pmepa1/Cthrc1/Rhob/Ccn1/Cxcl3/Crlf1/Pcolce2/Sdc1/Adam12/Dst/Notch2/Tgm2/Gpc1/Dab2/Itga5/Wipf1/Spp1/Cxcl1/Ccn2/Itgb3/Cd44/Col7a1/Slit2/Cxcl2/Col5a1/Cadm1/Fn1/Cdh6/Col6a2/Bmp1/Timp1/Edil3/Lama3/Try5/Mmp3/Col6a3/Prss2/Thbs1/Sparc/Tnc/Col1a1/Col1a2/Col3a1"
"HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN",112,-0.510650261425701,-1.78480000140684,3.26101683142881e-08,7.50033871228625e-07,3.94754669067697e-07,1590,"tags=46%, list=18%, signal=38%","Togaram1/Serpine1/Scaf8/Pten/Mapk14/Id1/Synj2/Prkce/Atp2b1/Vav2/Lamc1/Cdk13/Rasa2/Prkar2b/Ldlr/Bhlhe40/Ccn1/Nipbl/Map1b/Atxn1/Nrp1/Sipa1l1/Schip1/Cdc42bpa/Celf2/Igf1r/Akt3/Notch2/Dlg1/Fzd2/Runx1/Dab2/Map2k5/Apbb2/Nfib/Sfmbt1/Irs1/Bckdhb/Has2/Fyn/Itgb3/Ltbp1/Inpp4b/Nfkb1/Smad3/Plpp3/Dusp1/Cacna1a/Syne1/Col1a1/Col1a2/Col3a1"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",153,-0.457232197379264,-1.63039995921369,4.81060622182152e-07,7.37626287345966e-06,3.88224361761035e-06,2534,"tags=54%, list=29%, signal=39%","Nfkb2/Tnfaip2/Pdlim5/Tsc22d1/Relb/Gch1/Ripk2/Rel/Ier3/Nr4a2/Sik1/Klf6/Rnf19b/Dennd5a/Spsb1/Jun/Id2/Nfkbia/Nr4a1/Cebpd/Ier5/Kdm6b/Serpine1/Bcl3/Ier2/Inhba/Phlda1/Btg2/Klf10/Birc3/Nfat5/Sgk1/Gadd45a/Atp2b1/B4galt1/Fosb/Fos/Junb/Klf2/B4galt5/Tnfaip3/Pmepa1/Tnfrsf9/Egr2/Il18/Rhob/Ldlr/Il6st/Bhlhe40/Ccn1/Cebpb/Cxcl3/Egr3/Dusp5/Klf9/Egr1/Clcf1/Rigi/Bcl6/Ptgs2/Traf1/Ifih1/Tank/Jag1/Marcks/Cxcl1/Socs3/Cd44/Cxcl2/Lif/Csf1/Nfkb1/Zfp36/Smad3/Plpp3/Dusp1/Hes1/Ccl2/Olr1/Il1b/Tnfaip6/Tnc"
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",91,-0.488967131121212,-1.68490486109018,6.1178559914491e-06,7.03553439016646e-05,3.70291283692972e-05,2736,"tags=65%, list=31%, signal=45%","Axl/Tnfrsf1b/Psen1/Myc/Slc7a1/Cd55/Atp2c1/Il15/Gabbr1/Atp2a2/Irf7/P2rx4/Met/Lpar1/Gch1/Mmp14/Ripk2/Klf6/Il1r1/Ly6e/Ereg/Nfkbia/Tapbp/Eif2ak2/Serpine1/Cd14/Cx3cl1/Inhba/Kif1b/Btg2/Abi1/Atp2b1/Tlr3/Slc4a4/Rtp4/Ahr/Tnfrsf9/Il18/Il18rap/Ldlr/Sgms2/Hif1a/Lyn/Il4ra/Osmr/Itga5/Dcbld2/Tpbg/Has2/Itgb3/Lif/Csf1/Nfkb1/Ccl2/Ifitm1/Timp1/Olr1/Il1b/Tnfaip6"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",119,-0.451588195114432,-1.58460608593006,1.41023273975268e-05,0.000129741412057246,6.82849537143401e-05,2486,"tags=48%, list=28%, signal=35%","Tnfaip2/St3gal5/Pla2g4a/Irf7/Cfb/Mt2/Gch1/Trim26/Ripk2/Cd38/Casp7/Znfx1/Trim14/Rapgef6/Lgals3bp/Ly6e/Arid5b/Nfkbia/Cmtr1/Tapbp/Eif2ak2/Pml/Adar/Pim1/Peli1/Xaf1/Vcam1/Tdrd7/Rtp4/Tnfaip3/Jak2/Usp18/Parp12/Bpgm/Stat2/Sspn/Hif1a/Rigi/Ptgs2/Il4ra/Ifih1/Stat3/Helz2/Isg15/Socs3/Ifi35/Cd74/Selp/Rnf213/Nfkb1/Ifit3/Ccl2/Herc6/H2-Eb1/H2-Aa/Ifitm3/Tnfaip6"
"HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION",105,-0.435029613501339,-1.51374368648672,0.000262025126322415,0.00200885930180518,0.00105729436937115,2054,"tags=43%, list=24%, signal=33%","Pkd1/Nlgn2/Lamc2/Insig1/Pals1/Jup/Tsc1/Actn1/Pik3cb/Plcg1/Nectin3/Pten/Cx3cl1/Cldn18/Nf2/Mapk14/Msn/B4galt1/Vav2/Vcam1/Cd276/Itga3/Myh9/Map4k2/Nectin1/Evl/Nf1/Akt3/Traf1/Dlg1/Map3k20/Baiap2/Irs1/Vcl/Epb41l2/Adam23/Slit2/Cadm2/Mpzl1/Cdh6/Exoc4/Bmp1/Pecam1/Lama3/Flnc"
"HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TGF_BETA_SIGNALING",49,-0.498365205593534,-1.62691424162234,0.00083887387736472,0.00551259976553959,0.00290136829765242,2840,"tags=65%, list=33%, signal=44%","Tgfb1/Hipk2/Ncor2/Trim33/Smurf1/Id3/Sptbn1/Map3k7/Xiap/Smad1/Skil/Bmpr1a/Bcar3/Id2/Ski/Ctnnb1/Serpine1/Id1/Klf10/Junb/Arid4b/Furin/Pmepa1/Bmpr2/Tgfbr1/Smurf2/Acvr1/Wwtr1/Smad6/Slc20a1/Smad3/Thbs1"
"HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING",50,-0.479467500378163,-1.56924132512158,0.00190114068441065,0.0091990800919908,0.00484162110104779,1915,"tags=46%, list=22%, signal=36%","Il1r1/Il17ra/Jun/Tnfrsf21/Cd14/Pim1/Cbl/Il6st/Cxcl3/Stat2/Il13ra1/Il4ra/Osmr/Pdgfc/Stat3/Lepr/Cxcl1/Socs3/Itgb3/Cd44/Cxcl2/Csf1/Il1b"
"HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT",111,-0.405091249155508,-1.41516098084476,0.001999800019998,0.0091990800919908,0.00484162110104779,2764,"tags=47%, list=32%, signal=32%","Lrp1/Clu/Vcpip1/Grb2/Hnf4a/Pla2g4a/Irf7/Cpq/Cfb/Brpf3/Mmp14/Hspa5/Pdgfb/Gnb4/Dyrk2/Casp7/Rabif/Lamp2/Dock9/Plat/Pik3ca/Gpd2/Ctsh/Serpine1/Lipa/Pim1/Akap10/Tnfaip3/Jak2/Gata3/Cebpb/Cxcl3/Zeb1/Dusp5/Lyn/Ctsc/Lgmn/Gca/Cxcl1/Zfpm2/Fyn/Cdh13/Cxcl2/Dock4/Pla2g7/Fn1/Cp/Timp1/Car2/Olr1/S100a9/C3"
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE",166,-0.380144471700289,-1.36141129743686,0.0017998200179982,0.0091990800919908,0.00484162110104779,3969,"tags=69%, list=45%, signal=38%","Mid1ip1/Rasa1/Llgl1/Arhgef7/Arl8a/Nusap1/Cdc42/Ywhae/Brca2/Pcgf5/Racgap1/Ckap5/Pcm1/Ppp4r2/Kifap3/Arhgap5/Kif23/Pxn/Bcar1/Bub1/Lrpprc/Rhot2/Smc4/Cd2ap/Ezr/Flnb/Smc3/Ccnb2/Apc/Nedd9/Sos1/Hook3/Palld/Sptan1/Tuba4a/Arfgef1/Arhgap27/Clip2/Clip1/Cep192/Pdlim5/Sptbn1/Tlk1/Rab3gap1/Anln/Tbcd/Kif20b/Klc1/Hdac6/Rapgef6/Rictor/Itsn1/Lats1/Top2a/Ranbp9/Rabgap1/Plekhg2/Arap3/Cdk5rap2/Cntrl/Tsc1/Stk38l/Cep250/Tpx2/Abl1/Ccdc88a/Arhgef2/Akap13/Bcr/Sun2/Ssh2/Fgd4/Cdc42ep4/Kif1b/Trio/Abi1/Cdc42ep1/Rasa2/Myh9/Septin9/Cenpe/Synpo/Alms1/Cdc27/Clasp1/Myo1e/Cdc42bpa/Ect2/Als2/Nf1/Epb41/Nin/Mid1/Dst/Notch2/Pkd2/Arhgef3/Cenpf/Kif3c/Abr/Dlg1/Farp1/Arhgef12/Incenp/Marcks/Ophn1/Nck2/Bcl2l11/Kif11/Vcl/Epb41l2/Rasal2/Sorbs2/Dock4"
