"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"NABA_CORE_MATRISOME","NABA_CORE_MATRISOME","NABA_CORE_MATRISOME",70,0.416971815674049,4.00866071662103,7.57030274780858e-14,1.66546660451789e-12,1.27499835752566e-12,83,"tags=16%, list=1%, signal=16%","Col3a1/Col1a1/Srgn/Thbs1/Tnc/Col8a1/Sparc/Vcan/Aebp1/Tnfaip6/Thsd4"
"NABA_SECRETED_FACTORS","NABA_SECRETED_FACTORS","NABA_SECRETED_FACTORS",77,0.259296297675427,2.52182072563867,1.26906308657736e-06,1.3959693952351e-05,1.0686847044862e-05,81,"tags=16%, list=1%, signal=16%","S100a9/S100a8/Il1b/Nrg1/Ccl7/Cxcl2/Cxcl3/Ccl2/Cxcl1/Csf1/Gdf15/Csf2"
"NABA_COLLAGENS","NABA_COLLAGENS","NABA_COLLAGENS",13,0.652626732024831,2.84663659244934,8.84873176078246e-06,6.48906995790714e-05,4.96770905868489e-05,16,"tags=23%, list=0%, signal=23%","Col3a1/Col1a1/Col8a1"
"NABA_ECM_GLYCOPROTEINS","NABA_ECM_GLYCOPROTEINS","NABA_ECM_GLYCOPROTEINS",53,0.286179543851358,2.44657617936421,2.2027041245592e-05,0.000121148726850756,9.27454368235451e-05,4610,"tags=83%, list=48%, signal=43%","Thbs1/Tnc/Sparc/Aebp1/Tnfaip6/Thsd4/Edil3/Cthrc1/Pcolce/Igfbp5/Fbln2/Igfbp7/Fbln1/Spon2/Nell2/Ccn2/Dmbt1/Thbs3/Slit2/Ltbp4/Ccn1/Spp1/Ltbp1/Pcolce2/Matn2/Creld1/Vwa5a/Agrn/Igfbp4/Efemp1/Lama3/Ints14/Mfge8/Ecm1/Pxdn/Creld2/Lamb2/Fn1/Lamc1/Mfap3/Crim1/Ltbp3/Mfap1a/Tinagl1"
"NABA_ECM_REGULATORS","NABA_ECM_REGULATORS","NABA_ECM_REGULATORS",70,0.232685808869406,2.23698203635692,4.73907431218893e-05,0.000208519269736313,0.000159631976831627,126,"tags=14%, list=1%, signal=14%","Prss2/Mmp10/Mmp3/Mmp13/Adam23/Slpi/Timp1/Fam20a/Sulf1/Adam32"
"SA_B_CELL_RECEPTOR_COMPLEXES","SA_B_CELL_RECEPTOR_COMPLEXES","SA_B_CELL_RECEPTOR_COMPLEXES",18,-0.416491676437402,-1.62401223012794,0.0275878057262084,0.101155287662764,0.0774394546700587,3147,"tags=67%, list=33%, signal=45%","Atf2/Mapk8ip3/Rps6ka3/Map2k1/Mapk3/Sos1/Grb2/Mapk1/Rac1/Rps6ka1/Bcr/Map3k1"
"SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES","SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES","SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES",43,-0.291027241780963,-1.46715018757558,0.0541758356910825,0.170266912171973,0.130347875346965,6037,"tags=86%, list=63%, signal=32%","Foxo1/Ywhae/Flot2/Gsk3b/Cbl/Shc1/Pik3r1/Rps6kb1/Brd4/Pard3/Cdc42/Cyth3/Pik3ca/Ywhaz/Ywhab/Inppl1/Akt1/Serpinb6a/Ywhaq/Rps6ka3/Sorbs1/Mapk3/Ptpn1/Sos1/Grb2/Mapk1/Pdpk1/Akt2/Raf1/Gsk3a/Pten/Rps6ka1/Lnpep/Ywhah/Sos2/Ywhag/Cap1"
"SA_PTEN_PATHWAY","SA_PTEN_PATHWAY","SA_PTEN_PATHWAY",15,-0.394397868476125,-1.45049283644092,0.0743243243243243,0.181681681681682,0.139086454875929,4402,"tags=80%, list=46%, signal=43%","Bpnt1/Pik3ca/Akt1/Rbl2/Mapk3/Sos1/Grb2/Mapk1/Pdpk1/Akt2/Pten/Ptk2b"
"SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES","SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES","SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES",55,-0.265364454269645,-1.41495692560208,0.067934224049332,0.181681681681682,0.139086454875929,4328,"tags=60%, list=45%, signal=33%","Pard3/Cdc42/Cyth3/Pik3ca/Ywhaz/Pak1/Ywhab/Inppl1/Mtor/Akt1/Ywhaq/Rps6ka3/Cdk2/Foxo3/Ptpn1/Sos1/Grb2/Ptk2/Pdpk1/Akt2/Gsk3a/Ebp/Pten/Rps6ka1/Cdkn1b/Creb1/Tsc1/Ppp1r13b/Creb3/Ywhah/Sos2/Ywhag/Prex1"
"SIG_CD40PATHWAYMAP","SIG_CD40PATHWAYMAP","SIG_CD40PATHWAYMAP",25,-0.323566116030586,-1.4031088145787,0.0941932624113475,0.189716312056738,0.145237368081713,3337,"tags=56%, list=35%, signal=37%","Nfkbil1/Mapk9/Mapk8ip3/Mapk8/Mapk3/Mapkapk5/Ikbkg/Mapk1/Traf2/Mapk11/Map2k4/Traf5/Mapk14/Traf6"
