"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",118,0.289734190465845,3.43797116881017,9.27276001731422e-13,4.63638000865711e-11,3.31867200619667e-11,74,"tags=12%, list=1%, signal=12%","Col3a1/Prss2/Col1a1/Thbs1/Tnc/Sparc/Dab2/Mmp3/Vcan/Cxcl2/Cxcl3/Timp1/Cxcl1/Prrx1"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",65,0.351151300227218,3.19369636500549,1.7278609803248e-09,4.31965245081199e-08,3.09196175426542e-08,4545,"tags=89%, list=48%, signal=47%","Ifitm3/Cd74/Parp12/Isg15/Csf1/Bst2/Rtp4/Ube2l6/Usp18/Herc6/Irf7/B2m/Cxcl10/Parp14/Ifi35/Ifit3/Il15/Parp9/Ifih1/Eif2ak2/Tmem140/Stat2/Ifi27l2b/Samd9l/Ripk2/Ifitm1/Psme1/Ly6e/Psme2/Procr/Mov10/Ifi27/Irf1/Adar/Irf9/Ifi30/Tdrd7/Trim25/Pnpt1/Nmi/Cd47/Helz2/Txnip/Cmtr1/Cnp/Mvb12a/Plscr1/Elf1/Lgals3bp/Lap3/Trim14/Slc25a28/Ogfr/Ifitm2/Irf2/Psma3/Il4ra/Oasl1"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",122,0.223220652385679,2.63566369691993,2.93935023226017e-08,4.89891705376696e-07,3.50659325953845e-07,2192,"tags=61%, list=23%, signal=47%","Ifitm3/Cd74/Ptgs2/Ccl7/Tnfaip6/Ccl2/Parp12/Isg15/Bst2/Rtp4/Oas3/Ube2l6/Usp18/Herc6/Xaf1/Irf7/B2m/Cxcl10/Zbp1/Icam1/Parp14/Ifi35/Rnf213/Ifit3/Stat1/Il15/Tnfaip3/Ifih1/Samhd1/Nfkb1/Eif2ak2/Psmb10/H2-D1/Rigi/Vcam1/Stat2/Ifi27l2b/Samd9l/Mt2/Mthfd2/Nfkbia/Tapbp/Ripk2/Pla2g4a/Psme1/Ly6e/Cfb/Psme2/Pim1/Socs3/Ifi27/Pml/Irf1/Socs1/Adar/Casp7/Irf9/Hif1a/Ifnar2/Ifi30/Tdrd7/Trim25/Tnfaip2/Nup93/Bpgm/Upp1/Znfx1/Stat3/Sspn/Pnpt1/Nmi/Isoc1/Helz2/Myd88"
"HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2",52,0.290595777485365,2.36869792487778,2.47171604914601e-05,0.000308964506143251,0.000221153541239379,5024,"tags=88%, list=53%, signal=42%","Plk4/Dctpp1/Tcof1/Mcm4/Rrp9/Srm/Wdr43/Mcm5/Nolc1/Rcl1/Myc/Hspe1/Ipo4/Ddx18/Nop2/Rrp12/Pprc1/Ppan/Tmem97/Ndufaf4/Nip7/Hk2/Mybbp1a/Npm1/Gnl3/Exosc5/Mrto4/Bysl/Phb/Grwd1/Tbrg4/Cbx3/Pes1/Nop16/Mphosph10/Farsa/Pa2g4/Nop56/Utp20/Cdk4/Hspd1/Supv3l1/Prmt3/Rabepk/Noc4l/Wdr74"
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA","HALLMARK_HYPOXIA",142,-0.291501545569375,-1.83455383168744,8.76792534357069e-05,0.000876792534357069,0.000627598866697691,2532,"tags=42%, list=26%, signal=31%","Hdlbp/Grhpr/Wsb1/Hk1/Bcl2/F3/Aldoa/Ndst1/Myh9/Fosl2/Cdkn1a/Cdkn1b/Rbpj/Sult2b1/Ankzf1/Vhl/Slc6a6/P4ha2/Pgm1/Ldha/Nfil3/Plaur/Serpine1/Btg1/Maff/Aldoc/Gpi1/Pgk1/Pdk1/Prkca/Xpnpep1/Bnip3l/Pdgfb/Gys1/Vegfa/Tpbg/Pfkp/Pfkl/Gbe1/Ak4/Kdm3a/Jmjd6/Ddit3/Pgm2/Ddit4/Sap30/Pgf/Map3k1/Zfp292/P4ha1/Efna1/Atp7a/Stc1/Cited2/Slc2a1/Ccng2/Mxi1/Ero1a/Adm"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",173,0.141998492030412,2.01532451793084,0.000295371096112701,0.00246142580093917,0.00176186267856699,6933,"tags=91%, list=73%, signal=26%","Hells/Diaph3/Bard1/Brca1/Ranbp1/Cenpe/Mms22l/Cdkn2a/Hmgb2/Plk4/Cdc20/Dctpp1/Smc4/Pole/Mcm4/Chek1/Trip13/Asf1b/Mthfd2/Mad2l1/Spc25/Dlgap5/Cks1b/Cdca3/Pold2/Ccnb2/Cdca8/Cenpm/Mcm5/Mki67/Hmmr/Top2a/Nolc1/Ncapd2/Tacc3/Orc6/Mcm3/Myc/Cit/Dek/Mcm6/Racgap1/Nap1l1/Rfc3/Nme1/Naa38/Rrm2/H2az1/Lyar/Tra2b/Birc5/Stmn1/E2f8/Atad2/Rpa3/Bub1b/Ube2s/Exosc8/Tipin/Prkdc/Pttg1/Tk1/Nup107/Donson/Dck/Mcm2/Pola2/Brca2/Prim2/Anp32e/Mre11a/Shmt1/Psip1/Aurka/Stag1/Ezh2/H2ax/Rad50/Dnmt1/Ak2/Pold1/Brms1l/Hmga1/Trp53/Nasp/Kpna2/Spc24/Prps1/Hmgb3/Gins4/Psmc3ip/Xrcc6/Ran/Suv39h1/Rnaseh2a/Nudt21/Rpa1/Dut/Slbp/Tbrg4/Cdc25a/Ctps/Pole4/Gspt1/Cse1l/Zw10/Gins1/Tubb5/Ilf3/Pa2g4/Nop56/Mlh1/Syncrip/Cdk4/Paics/Prdx4/Lig1/Ddx39a/Mcm7/Rfc1/Pcna/Ing3/Cdk1/Chek2/Jpt1/Cks2/Orc2/Ssrp1/Ppp1r8/Eif2s1/Luc7l3/Srsf1/Lmnb1/Ctcf/Rbbp7/Smc6/Smc1a/Tubg1/Msh2/Srsf2/Hnrnpd/Nbn/Snrpb/Ube2t/Nup205/Usp1/Spag5/Cdc25b/Pnn/Smc3/Phf5a/Lbr/Ubr7/Pds5b/Cnot9/Eed/Rfc2/Asf1a"
"HALLMARK_ANGIOGENESIS","HALLMARK_ANGIOGENESIS","HALLMARK_ANGIOGENESIS",22,0.421819536597624,2.38878766075097,0.000358343703893055,0.00255959788495039,0.00183213322291186,925,"tags=55%, list=10%, signal=49%","Col3a1/Vcan/Timp1/Olr1/Cxcl5/S100a4/Ccnd2/Nrp1/Lpl/App/Pglyrp1/Spp1"
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION",84,0.194193276916671,1.9812071489466,0.000737855194565604,0.00461159496603503,0.00330093113358297,2737,"tags=58%, list=29%, signal=42%","Il1b/Srgn/Cd74/Ccl7/Ccl2/Timp1/Csf1/Irf7/B2m/Icam1/Prkcg/Stat1/Tgfb2/Il15/Brca1/Rpl39/Cdkn2a/Ccnd2/Psmb10/Il11/H2-T23/Tapbp/Rps3a1/Ripk2/Rps19/Rps9/Lif/Tlr3/Ereg/Socs1/Nme1/Eif3j1/Hif1a/Ifnar2/Eif5a/Abi1/Ccnd3/Il18/Lyn/Ly75/Cd47/Bcl10/Capg/Glmn/Npm1/Socs5/Bcl3/Rpl9/Aars"
"HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_HEDGEHOG_SIGNALING",19,-0.499225929920786,-1.99588677145121,0.0012704600448291,0.00705811136016164,0.00505212181569465,2192,"tags=58%, list=23%, signal=45%","Ophn1/Myh9/Tle1/Ets2/Vegfa/Celsr1/Tle3/Rasa1/Ptch1/Adgrg1/Scg2"
"HALLMARK_COAGULATION","HALLMARK_COAGULATION","HALLMARK_COAGULATION",66,0.205878184232452,1.85950546143025,0.00296476349169825,0.0148238174584912,0.0106107324966043,123,"tags=14%, list=1%, signal=14%","Thbs1/Mmp10/Sparc/Mmp3/C3/Timp1/Gda/Pecam1/Olr1"
