"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"NABA_COLLAGENS","NABA_COLLAGENS","NABA_COLLAGENS",12,-0.637760051976616,-2.16003572791784,0.000220397756747806,0.00338639398314744,0.00267346893406377,989,"tags=50%, list=10%, signal=45%","Col27a1/Col6a2/Col4a5/Col6a1/Col7a1/Col6a3"
"NABA_SECRETED_FACTORS","NABA_SECRETED_FACTORS","NABA_SECRETED_FACTORS",72,-0.350672356234647,-1.93153215309094,0.00028219949859562,0.00338639398314744,0.00267346893406377,2147,"tags=38%, list=23%, signal=29%","Dhh/Ccl25/Bmp2/S100a3/Vegfa/Cx3cl1/Lefty1/Lif/Pdgfa/Il34/Pdgfb/Hcfc2/Megf8/Tgfb1/Il11/Btc/Clcf1/Wnt4/Inhba/Angptl2/Tgfb2/Il1rn/Fgf18/Crlf1/Ngf/Vegfc/Wnt7b"
"NABA_BASEMENT_MEMBRANES","NABA_BASEMENT_MEMBRANES","NABA_BASEMENT_MEMBRANES",18,-0.512511051729952,-1.99300760404537,0.00202547306917781,0.0162037845534225,0.0127924614895441,3914,"tags=83%, list=41%, signal=49%","Hspg2/Col18a1/Lama5/Nid1/Lamb2/Lamc1/Lamb1/Lamc2/Col6a2/Lamb3/Col4a5/Col6a1/Npnt/Lama3/Col6a3"
"SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES","SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES","SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES",25,-0.380609892323935,-1.64076196011036,0.0266796284294664,0.155379714315076,0.122668195511902,1346,"tags=84%, list=14%, signal=72%","Rps6ka1/Lyn/Flot2/Akt1/Akt2/Cyth3/Akt3/Itpr1/Rps6kb1/Foxo3/Pik3ca/Prex1/Itpr3/Pdpk1/Pten/Itpr2/Tec/Rps6ka3/Ppp1r13b/Bcr/Rps6ka2"
"SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES","SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES","SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES",44,-0.31340061715888,-1.55906164352051,0.0323707738156407,0.155379714315076,0.122668195511902,5538,"tags=84%, list=59%, signal=35%","Gsk3b/Mapk3/Ywhae/Ywhaz/Rps6ka1/Flot2/Foxo1/Akt1/Akt2/Inppl1/Cdc42/Cyth3/Gsk3a/Akt3/Ywhaq/Raf1/Pik3r1/Mapk1/Ptpn1/Rps6kb1/Ywhah/Sos1/Ywhag/Grb2/Cap1/Pik3ca/Cbl/Lnpep/Brd4/Pdpk1/Pten/Irs1/Sos2/Rps6ka3/Sorbs1/Pard3/Rps6ka2"
"SIG_BCR_SIGNALING_PATHWAY","SIG_BCR_SIGNALING_PATHWAY","SIG_BCR_SIGNALING_PATHWAY",31,-0.334842551240255,-1.532634679935,0.044975774173162,0.179903096692648,0.142028760546827,5624,"tags=90%, list=60%, signal=37%","Bad/Gsk3b/Mapk3/Lyn/Flot2/Akt1/Csk/Akt2/Dag1/Gsk3a/Akt3/Raf1/Itpr1/Pik3r1/Mapk1/Ppp3ca/Sos1/Grb2/Pik3ca/Itpr3/Pdpk1/Ppp3cb/Itpr2/Sos2/Ppp1r13b/Bcr/Nfatc1/Bcl2"
"SIG_CD40PATHWAYMAP","SIG_CD40PATHWAYMAP","SIG_CD40PATHWAYMAP",24,-0.34803220121931,-1.48003828358077,0.0618612741900413,0.185583822570124,0.146513544134308,4739,"tags=79%, list=50%, signal=40%","Nfkb1/Mapk12/Traf6/Map2k7/Nfkbie/Mapk8ip3/Ikbkg/Mapkapk5/Pik3r1/Mapk1/Traf2/Nfkb2/Dusp1/Mapk9/Pik3ca/Map2k4/Mapk8/Traf3/Mapk14"
"NABA_CORE_MATRISOME","NABA_CORE_MATRISOME","NABA_CORE_MATRISOME",66,-0.264040403185868,-1.43360659773622,0.0543730454958136,0.185583822570124,0.146513544134308,4519,"tags=58%, list=48%, signal=30%","Mfap1a/Vwa5a/Creld1/Tinagl1/Col5a1/Ints14/Hspg2/Col18a1/Pcolce2/Ccn2/Igfbp4/Lama5/Nid1/Slit2/Lamb2/Edil3/Spp1/Acan/Crim1/Ltbp1/Efemp2/Ecm1/Pxdn/Lamc1/Lamb1/Lamc2/Ltbp3/Col27a1/Col6a2/Lamb3/Col4a5/Col6a1/Npnt/Fn1/Col7a1/Lama3/Lgi2/Col6a3"
"WNT_SIGNALING","WNT_SIGNALING","WNT_SIGNALING",51,-0.27227223703747,-1.39939253760203,0.0782413546873406,0.208643612499575,0.164718641447033,2840,"tags=47%, list=30%, signal=33%","Apc/Fzd2/Porcn/Dvl1/Dvl2/Csnk1g1/Ccnd3/Ctnnb1/Rhou/Axin1/Fzd6/Fzd5/Lrp6/Tle1/Ep300/Fbxw11/Fbxw4/Kremen1/Nlk/Btrc/Wnt4/Lrp5/Tcf7/Wnt7b"
"SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES","SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES","SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES",56,-0.244938486768143,-1.28562748934393,0.142900670322974,0.342961608775137,0.270759164822477,5624,"tags=75%, list=60%, signal=31%","Bad/Gsk3b/Ebp/Ywhae/Bcl2l1/Ywhaz/Rps6ka1/Akt1/Akt2/Inppl1/Cdc42/Cdk2/Cyth3/Gsk3a/Met/Akt3/Ywhaq/Mtor/Ptpn1/Tsc2/Rps6kb1/Ywhah/Sos1/Ywhag/Pak1/Grb2/Foxo3/Creb5/Ptk2/Pik3ca/Gadd45a/Prex1/Pdpk1/Creb1/Pten/Irs1/Sos2/Tsc1/Rps6ka3/Ppp1r13b/Pard3/Rps6ka2"
