"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2",52,0.324792580165789,2.74358799788568,2.94727091905435e-06,6.33663247596685e-05,4.80870518372025e-05,5467,"tags=94%, list=58%, signal=40%","Dctpp1/Rrp9/Hspe1/Tcof1/Exosc5/Mrto4/Nip7/Wdr43/Srm/Mcm4/Tmem97/Mphosph10/Phb/Gnl3/Cbx3/Npm1/Pes1/Pa2g4/Nop2/Ddx18/Ppan/Mybbp1a/Grwd1/Plk4/Ndufaf4/Hk2/Nolc1/Myc/Ipo4/Hspd1/Nop16/Tbrg4/Cdk4/Rrp12/Rcl1/Noc4l/Wdr74/Mcm5/Nop56/Farsa/Pus1/Supv3l1/Bysl/Aimp2/Rabepk/Tfb2m/Prmt3/Imp4/Utp20"
"HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN",115,-0.354135860175088,-2.09657687826877,2.32208945668294e-06,6.33663247596685e-05,4.80870518372025e-05,3349,"tags=60%, list=35%, signal=39%","Acvr2a/Ythdc1/F3/Dyrk1a/Prdm2/Insig1/Nfib/Nr1d2/Add3/Fzd2/Dusp1/Ltbp1/Dlg1/Atp2b1/Notch2/Prkce/Sdc2/Aggf1/Lamc1/Celf2/Spop/Sipa1l1/Phf3/Atp2c1/Scaf8/Schip1/Atrx/Map1b/Pex14/Scn8a/Atrn/Zmiz1/Erbb2/Prkca/Tent4a/Togaram1/Igf1r/Bhlhe40/Wdr37/Rasa2/Fhl2/Inpp4b/Pparg/Bmpr1a/Serpine1/Map2k5/Runx1/Cdc42bpa/Vav2/Smad7/Pten/Prkar2b/Irs1/Synj2/Cited2/Nipbl/Cdk13/Plpp3/Sfmbt1/Atxn1/Mapk14/Cacna1a/Itgb3/Syne1/Lpar1/Apbb2/Smad3/Id1/Has2"
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE",171,-0.275251649101939,-1.7146431018122,0.00015530832071387,0.00222608593023213,0.00168931857618595,3346,"tags=53%, list=35%, signal=35%","Numa1/Ppp4r2/Mid1/Ckap5/Tbcd/Pcnt/Cntrl/Marcks/Sptan1/Kif11/Stau1/Rab3gap1/Apc/Mark4/Smc3/Katna1/Hook3/Myo9b/Rhot2/Arhgef2/Clip1/Dlg1/Alms1/Notch2/Cdk5rap2/Map3k11/Ssh2/Sos1/Fgd4/Arhgap5/Plekhg2/Arl8a/Myo1e/Hdac6/Dst/Bcl2l11/Pcgf5/Atg4b/Akap13/Nedd9/Incenp/Rasa1/Tlk1/Als2/Kif3b/Arfgef1/Kif1b/Rapgef6/Prex1/Rictor/Clip2/Llgl1/Rasa2/Katnb1/Nf1/Cdc42ep4/Rabgap1/Cep250/Klc1/Cdc42bpa/Abl1/Trio/Cdc42ep1/Vcl/Arhgap27/Arhgef12/Nin/Myh9/Ranbp9/Pxn/Epb41/Fgd6/Ccdc88a/Tuba4a/Tsc1/Kif3c/Clasp1/Cdc27/Lats1/Dock4/Arap3/Abr/Epb41l2/Bcr/Pkd2/Ophn1/Rasal2/Nck2/Septin9/Farp1/Arhgef3"
"HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TGF_BETA_SIGNALING",49,-0.381670693240936,-1.94636516777886,0.000490656835236767,0.00527456097879524,0.00400272681377362,4010,"tags=71%, list=42%, signal=41%","Sptbn1/Skil/Cdh1/Cdk9/Smad1/Trim33/Ncor2/Klf10/Apc/Wwtr1/Map3k7/Ctnnb1/Smurf1/Arid4b/Bmp2/Pmepa1/Ppm1a/Junb/Bmpr1a/Serpine1/Smad7/Furin/Tgfb1/Xiap/Bcar3/Id2/Ski/Bmpr2/Smurf2/Acvr1/Id3/Slc20a1/Smad3/Id1/Smad6"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",66,0.202106016961717,1.78862746980843,0.000889007755912348,0.00764546670084619,0.00580194535437532,2593,"tags=64%, list=27%, signal=47%","Cd74/B2m/Tap1/Ifitm3/Bst2/Cxcl10/Ube2l6/Parp14/Rtp4/Isg15/Usp18/Irf7/Irf1/Psme1/Tmem140/Procr/Csf1/Ifi27l2b/Psme2/Mvb12a/Nmi/Parp9/Ifi30/Lap3/Cd47/Il15/Ifi27/Samd9l/Isg20/Wars1/Eif2ak2/Psma3/Ripk2/Ifitm2/Irf2/Irf9/Ifi35/Ly6e/Plscr1/Ifih1/Herc6/Txnip"
"HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_HEDGEHOG_SIGNALING",20,-0.498519747313988,-2.01589970904829,0.00111520979020557,0.00799233682980661,0.00606517605199523,2162,"tags=65%, list=23%, signal=50%","Ptch1/Ldb1/Cdk6/Vegfa/Rasa1/Tle1/Nf1/Myh9/Scg2/Ophn1/Tle3/Celsr1/Adgrg1"
"HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_WNT_BETA_CATENIN_SIGNALING",25,-0.403324769253842,-1.74569134722165,0.0102558566339199,0.0630002621797937,0.0478092564889499,3425,"tags=68%, list=36%, signal=43%","Notch1/Psen2/Ncstn/Ncor2/Numb/Dvl2/Hdac2/Hdac5/Ctnnb1/Ptch1/Adam17/Maml1/Axin1/Csnk1e/Ppard/Tcf7/Jag1"
"HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP",112,-0.251549263583778,-1.48418152204207,0.0194038807761552,0.0969888888888889,0.0736023391812865,1994,"tags=35%, list=21%, signal=28%","Adam17/Gprc5b/Cbx8/Tspan7/Bmp2/Traf1/Il33/Trib1/Ano1/Cbl/Avl9/Tmem158/Mmd/Dcbld2/Lif/Ccser2/Trib2/Prkg2/Jup/Evi5/St6gal1/Atg10/Nin/Dnmbp/Car2/Rbm4/Gadd45g/Etv4/Map3k1/Id2/Btc/Sox9/Inhba/Rabgap1l/Ammecr1/Tspan13/Snap25/Ank/Ngf"
"HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY",122,-0.245605195020509,-1.46650712467408,0.0203,0.0969888888888889,0.0736023391812865,4901,"tags=64%, list=52%, signal=31%","Krt8/Sema3b/Akap1/Flnb/Rara/Tgm2/Scarb1/Med24/Rab31/Isg20l2/Aldh3b1/Dhcr7/Snx24/Ablim1/Abhd2/Dhrs3/Myof/Il6st/Igfbp4/Svil/Fdft1/Endod1/Tob1/Nrip1/Areg/Rhod/Slc16a1/Mlph/Kdm4b/Ncor2/Deptor/Nav2/Klf10/Add3/Elf1/Tubb2b/Xbp1/Unc119/Slc1a4/Fasn/Elf3/Amfr/Med13l/Lad1/Slc26a2/Adcy9/Slc2a1/Retreg1/Igf1r/Elovl5/Bhlhe40/Cant1/Jak2/Abca3/Fhl2/Wfs1/Slc19a2/Tff3/Ptges/Aff1/Inpp5f/Frk/Hr/Gab2/B4galt1/Egr3/Mast4/Tmem164/Ugcg/Hes1/Slc37a1/Nbl1/Farp1/Cd44/Celsr1/Tpbg/Bcl2/Rps6ka2"
"HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION",108,-0.24802430983183,-1.45626308290489,0.0259077723316995,0.111403421026308,0.08454115181923,4039,"tags=66%, list=43%, signal=38%","Crb3/Nectin3/Ctnna1/Akt2/Inppl1/Zyx/Skap2/Taok2/Nlgn2/Actg1/Cadm2/Arpc2/Itga2/Wasl/Tubg1/Akt3/Cdh1/Ikbkg/Rhof/Nectin1/Pbx2/Cd276/Cldn18/Slit2/Insig1/Src/Actn1/Crat/Grb7/Lima1/Pkd1/Dlg1/Tial1/Ywhah/Pals1/Msn/Cap1/Evl/Ptk2/Itga3/Traf1/Cx3cl1/Rasa1/Pik3cb/Lamc2/Nf2/Nf1/Plcg1/Bmp1/Jup/Mpzl1/Vav2/Pten/Vcl/Irs1/Myh9/Pcdh1/Lamb3/Tsc1/Ctnnd1/Baiap2/Mapk14/Exoc4/B4galt1/Itgb4/Epb41l2/Map4k2/Flnc/Map3k20/Cdh6/Lama3"
