"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"NABA_MATRISOME","NABA_MATRISOME","NABA_MATRISOME",281,0.314701832456258,1.70860399579578,6.67934544770287e-06,0.000166983636192572,0.000133586908954057,821,"tags=20%, list=8%, signal=19%","Nrg1/Fgf13/Vcan/Csf2/Cxcl3/Col16a1/Gdf15/Thbs1/Cxcl2/Mmp10/Srgn/Muc5ac/Thsd4/Cxcl1/Ltbp4/Col8a1/Mmp13/Slpi/Il1b/Serpinb1a/Adam32/Sema4g/Csf1/Lgals2/Col3a1/P4htm/Cxcl5/Serpinc1/Tnc/Fam20a/S100a4/Adam8/Muc5b/Muc1/Dmbt1/Col4a2/Adam23/Plat/Fgf1/S100a6/Plxna4/S100a11/Angptl4/Adam2/Vwce/Sulf1/Col4a1/Il11/Cd109/Serpini1/Ccbe1/Lgals1/S100a9/Fbln1/Col20a1/Pcolce/Emilin2"
"NABA_MATRISOME_ASSOCIATED","NABA_MATRISOME_ASSOCIATED","NABA_MATRISOME_ASSOCIATED",202,0.304563655770926,1.59069214310858,0.000346613631636616,0.0043326703954577,0.00346613631636616,758,"tags=20%, list=7%, signal=19%","Nrg1/Fgf13/Csf2/Cxcl3/Gdf15/Cxcl2/Mmp10/Muc5ac/Cxcl1/Mmp13/Slpi/Il1b/Serpinb1a/Adam32/Sema4g/Csf1/Lgals2/P4htm/Cxcl5/Serpinc1/Fam20a/S100a4/Adam8/Muc5b/Muc1/Adam23/Plat/Fgf1/S100a6/Plxna4/S100a11/Angptl4/Adam2/Sulf1/Il11/Cd109/Serpini1/Ccbe1/Lgals1/S100a9"
"NABA_CORE_MATRISOME","NABA_CORE_MATRISOME","NABA_CORE_MATRISOME",79,0.361869695835644,1.62893826504211,0.00277508467869861,0.0231257056558217,0.0185005645246574,1111,"tags=27%, list=10%, signal=24%","Vcan/Col16a1/Thbs1/Srgn/Thsd4/Ltbp4/Col8a1/Col3a1/Tnc/Dmbt1/Col4a2/Vwce/Col4a1/Fbln1/Col20a1/Pcolce/Emilin2/Nell2/Slit2/Fbln2/Aebp1"
"SIG_BCR_SIGNALING_PATHWAY","SIG_BCR_SIGNALING_PATHWAY","SIG_BCR_SIGNALING_PATHWAY",33,-0.485742269175055,-1.60274914095109,0.013475965545985,0.0842247846624062,0.067379827729925,3229,"tags=45%, list=30%, signal=32%","Ppp3cc/Cd81/Flot1/Sos1/Sos2/Bad/Pik3r1/Grb2/Ppp3cb/Ppp1r13b/Itpr3/Bcr/Bcl2/Nfatc2/Nfatc1"
"NABA_SECRETED_FACTORS","NABA_SECRETED_FACTORS","NABA_SECRETED_FACTORS",81,-0.366941874999742,-1.43940409590933,0.0270305058566096,0.135152529283048,0.108122023426438,432,"tags=23%, list=4%, signal=23%","Angpt2/Megf11/Lefty1/Vegfa/Ngf/Vegfd/Bmp2/Pdgfa/Tgfb2/Pdgfb/Wnt10a/Inhba/Ccl7/Wnt7b/Megf10/Il1rn/Fgf18/Vegfc/Crlf1"
"NABA_ECM_REGULATORS","NABA_ECM_REGULATORS","NABA_ECM_REGULATORS",75,0.310554098503383,1.38249262833181,0.0446584938704028,0.186077057793345,0.148861646234676,670,"tags=20%, list=6%, signal=19%","Mmp10/Mmp13/Slpi/Serpinb1a/Adam32/P4htm/Serpinc1/Fam20a/Adam8/Adam23/Plat/Adam2/Sulf1/Cd109/Serpini1"
"SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES","SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES","SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES",44,-0.397368628702319,-1.39168749129585,0.064281798245614,0.209171696847753,0.167337357478203,3602,"tags=43%, list=34%, signal=29%","Serpinb6a/Ywhae/Brd4/Cap1/Flot1/Sos1/Sos2/Lnpep/Cdc42/Pik3r1/Grb2/Pard3/Sorbs1/Pten/Rps6ka3/Ywhaq/Ywhag/Irs1/Ywhah"
"SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES","SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES","SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES",56,-0.372428074669055,-1.37014045253586,0.066934942991281,0.209171696847753,0.167337357478203,2559,"tags=36%, list=24%, signal=27%","Sos1/Sos2/Ebp/Ifi27/Cdc42/Foxo3/Bad/Grb2/Pard3/Pten/Rps6ka3/Tsc1/Ppp1r13b/Ywhaq/Ywhag/Gadd45a/Irs1/Ywhah/Creb1/Prex1"
"SA_REG_CASCADE_OF_CYCLIN_EXPR","SA_REG_CASCADE_OF_CYCLIN_EXPR","SA_REG_CASCADE_OF_CYCLIN_EXPR",10,0.534451784956421,1.4500553304912,0.0894060012247397,0.226838456079052,0.181470764863242,1977,"tags=60%, list=19%, signal=49%","Ccna2/Cdkn2a/E2f2/Ccnd1/E2f1/E2f4"
"NABA_COLLAGENS","NABA_COLLAGENS","NABA_COLLAGENS",15,0.46339025541208,1.4095884298116,0.104859335038363,0.226838456079052,0.181470764863242,794,"tags=40%, list=7%, signal=37%","Col16a1/Col8a1/Col3a1/Col4a2/Col4a1/Col20a1"
