"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"NABA_MATRISOME","NABA_MATRISOME","NABA_MATRISOME",261,0.273556972949138,3.79473246845466,9.89558724530268e-26,2.37494093887264e-24,1.6666252202615e-24,73,"tags=10%, list=1%, signal=10%","Prss2/Col3a1/Col1a2/Col1a1/S100a8/S100a9/Mgp/Timp3/Il1b/Sparc/Tnc/Srgn/Thbs1/Col8a1/Tnfaip6/Mmp10/Aebp1/Ccl2/Col6a3/Timp1/Tgfb2/Cxcl10/Ccn4/Lama3/Tll1/Adam23"
"NABA_CORE_MATRISOME","NABA_CORE_MATRISOME","NABA_CORE_MATRISOME",73,0.498750257614304,4.65267938816272,1.28321247478582e-19,1.53985496974298e-18,1.080599978767e-18,69,"tags=19%, list=1%, signal=19%","Col3a1/Col1a2/Col1a1/Mgp/Sparc/Tnc/Srgn/Thbs1/Col8a1/Tnfaip6/Aebp1/Col6a3/Ccn4/Lama3"
"NABA_COLLAGENS","NABA_COLLAGENS","NABA_COLLAGENS",14,0.788539446441989,3.48603330636784,1.44502928917812e-09,1.1560234313425e-08,8.11244513222805e-09,41,"tags=36%, list=0%, signal=36%","Col3a1/Col1a2/Col1a1/Col8a1/Col6a3"
"NABA_ECM_GLYCOPROTEINS","NABA_ECM_GLYCOPROTEINS","NABA_ECM_GLYCOPROTEINS",55,0.377858460715596,3.06443226463417,7.41504047745421e-09,4.44902428647252e-08,3.12212230629651e-08,1994,"tags=64%, list=21%, signal=51%","Mgp/Sparc/Tnc/Thbs1/Tnfaip6/Aebp1/Ccn4/Lama3/Spp1/Igfbp7/Spon2/Edil3/Cthrc1/Ccn2/Fn1/Pcolce/Fbln2/Vwa5a/Ltbp1/Ccn1/Thbs3/Pxdn/Creld1/Ecm1/Matn2/Fbln1/Agrn/Lgi2/Pcolce2/Nell2/Igfbp4/Thsd4/Npnt/Mfap1a/Creld2"
"NABA_MATRISOME_ASSOCIATED","NABA_MATRISOME_ASSOCIATED","NABA_MATRISOME_ASSOCIATED",188,0.169370336386814,2.14627993176781,1.71040420295214e-06,8.20994017417026e-06,5.76136152573352e-06,125,"tags=9%, list=1%, signal=9%","Prss2/S100a8/S100a9/Timp3/Il1b/Mmp10/Ccl2/Timp1/Tgfb2/Cxcl10/Tll1/Adam23/Serpinb9/Plxnb1/Il1rn/Bmp1"
"NABA_ECM_REGULATORS","NABA_ECM_REGULATORS","NABA_ECM_REGULATORS",71,0.278062856199496,2.52030767770114,3.40087667764742e-06,1.36035067105897e-05,9.54632049865942e-06,2240,"tags=61%, list=23%, signal=47%","Prss2/Timp3/Mmp10/Timp1/Tll1/Adam23/Serpinb9/Bmp1/Adamts6/Mmp13/Slpi/Sulf1/Ctsc/Adam12/Sulf2/Ctsh/Tgm2/Htra1/Cela1/Fam20a/Adam10/Adamts9/Fam20c/Serpinh1/Mmp11/Serpine1/Adamtsl4/Ctsb/Ctse/Timp2/Ctso/Cd109/P3h1/Cst3/Cstb/Serpinb5/Mmp28/Ctsd/Adamts1/Plod1/Ctsz/Mmp15/Adam8"
"NABA_SECRETED_FACTORS","NABA_SECRETED_FACTORS","NABA_SECRETED_FACTORS",75,0.222819610572547,2.09616587943245,0.000222933554458601,0.000764343615286631,0.000536381484411671,699,"tags=35%, list=7%, signal=32%","S100a8/S100a9/Il1b/Ccl2/Tgfb2/Cxcl10/Il1rn/Wnt4/Cxcl2/Vegfd/Crlf1/Lif/S100a14/Csf1/Cxcl1/Nrg1/Megf11/Wnt7b/Pdgfa/Pdgfc/Pdgfb/Ccbe1/Il18/Ccl25/Inhba/Il15"
"NABA_ECM_AFFILIATED","NABA_ECM_AFFILIATED","NABA_ECM_AFFILIATED",42,-0.295627844421836,-1.525548565616,0.0422036082474227,0.126610824742268,0.0888497015735214,3120,"tags=43%, list=32%, signal=29%","Lgals2/Sema4b/Lgalsl/Lgals3/Lgals1/Anxa7/Plxna1/Plxnb2/Anxa10/Lman1/Anxa4/Sdc2/Anxa11/Lgals4/Plxna4/Sema4g/Muc5b/Muc5ac"
"NABA_BASEMENT_MEMBRANES","NABA_BASEMENT_MEMBRANES","NABA_BASEMENT_MEMBRANES",18,0.302218195553882,1.51484882200188,0.0608150470219436,0.162173458725183,0.113805935947497,5261,"tags=89%, list=55%, signal=40%","Col6a3/Lama3/Col6a2/Col4a5/Col4a1/Agrn/Npnt/Col6a1/Col4a2/Lamc2/Lamc1/Col18a1/Lamb3/Lamb1/Hspg2/Lamb2"
"SIG_REGULATION_OF_THE_ACTIN_CYTOSKELETON_BY_RHO_GTPASES","SIG_REGULATION_OF_THE_ACTIN_CYTOSKELETON_BY_RHO_GTPASES","SIG_REGULATION_OF_THE_ACTIN_CYTOSKELETON_BY_RHO_GTPASES",24,-0.302350678312699,-1.32544449243753,0.143214936247723,0.343715846994536,0.24120410315406,5486,"tags=79%, list=57%, signal=34%","Fscn1/Mylk/Pfn1/Actr3/Cfl2/Rock2/Gdi1/Actg1/Actr2/Rock1/Gdi2/Rps4x/Flna/Pak4/Akt1/Pak2/Wasl/Vasp/Limk1"
