"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",120,0.389560651720673,4.4915810170624,1.94710471528915e-19,9.73552357644576e-18,5.32891816815979e-18,1575,"tags=55%, list=16%, signal=47%","Prss2/Col3a1/Col1a2/Col1a1/Mgp/Timp3/Sparc/Tnc/Thbs1/Col6a3/Timp1/Lama3/Bmp1/Spp1/Col5a1/Cxcl2/Edil3/Cthrc1/Ccn2/Adam12/Crlf1/Fn1/Cxcl1/Gpc1/Vcan/Dpysl3/Tgm2/Itgb3/Htra1/Pcolce/Nt5e/Jun/Fbln2/Cdh6/Glipr1/Ccn1/Dab2/Col6a2/Inhba/Il15/Serpinh1/Itga5/Rhob/Itgb5/Cxcl3/Gadd45a/Serpine1/Ecm1/Matn2/Gja1/Lrp1/Fbln1/Vegfa/Prrx1/Tnfaip3/Col4a1/Cadm1/Pmepa1/Cd44/Sdc1/Tpm2/Dst/Pcolce2/P3h1/Igfbp4/Fermt2"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",66,0.412717197023072,3.71349362434887,6.42395554693631e-11,1.60598888673408e-09,8.79067601159705e-10,1663,"tags=68%, list=17%, signal=57%","Ifitm3/Cd74/Isg15/Usp18/Rtp4/Ifit3/Irf7/Cxcl10/Herc6/Bst2/Parp14/Ube2l6/Ifih1/Ifi35/Stat2/Ifitm1/Samd9l/Parp12/Parp9/Ifi27l2b/Eif2ak2/Csf1/Gbp2/Helz2/Ifi27/Irf9/Tmem140/Ly6e/Il4ra/Pnpt1/Ripk2/Il15/Trim25/Txnip/Irf1/Psme2/Cnp/Cmtr1/Elf1/Nmi/Lgals3bp/Adar/Ogfr/Mov10/Psme1"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",122,0.262286446079991,3.12676830201082,3.31551959279001e-09,5.52586598798336e-08,3.02468454079089e-08,121,"tags=21%, list=1%, signal=21%","Ifitm3/H2-Aa/H2-Eb1/Cd74/Tnfaip6/Isg15/Usp18/Ccl2/Rtp4/Ifit3/Irf7/Cxcl10/Xaf1/Herc6/Bst2/Parp14/Ube2l6/Socs3/Rnf213/Ifih1/Ifi35/Stat1/Stat2/Ptgs2/Rigi/Samd9l"
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA","HALLMARK_HYPOXIA",143,-0.345353520190341,-2.28830959770724,4.43548369851897e-08,5.54435462314871e-07,3.03480463582877e-07,3570,"tags=55%, list=37%, signal=35%","Mt2/S100a4/Nfil3/Wsb1/P4ha2/Xpnpep1/Cavin3/Fosl2/Map3k1/Tes/Aldoa/Ddit4/Bnip3l/Ankzf1/Ppp1r15a/Sult2b1/Hdlbp/Cited2/Nedd4l/Ndst1/Pgk1/Tpd52/P4ha1/Pfkp/Plaur/Tpi1/Eno1/Pgm2/Pdk3/Cdkn1b/Fam162a/Galk1/Atp7a/Hk1/Tiparp/Vldlr/Igfbp3/Scarb1/Prkca/Egfr/Zfp292/F3/Ldha/Ndrg1/Sdc2/Siah2/Grhpr/Cdkn1a/Gapdh/Slc6a6/Plac8/Ets1/Maff/Rbpj/Slc2a1/Jmjd6/Eno3/Pgm1/Gpi1/Hs3st1/Ak4/Phkg1/Sap30/Mt1/Kdm3a/Mxi1/Vhl/Gys1/Ccng2/Pdk1/Efna1/Ddit3/Pgf/Nr3c1/Adm/Ero1a/Gbe1/Stc1"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",192,-0.302787231697812,-2.08572761963988,2.52942023422589e-07,2.52942023422589e-06,1.3845247597868e-06,4900,"tags=75%, list=51%, signal=38%","Lrpprc/Atp5c1/Atp5j2/Idh3a/Vdac3/Surf1/Atp5l/Acadm/Atp6v1f/Suclg1/Ndufs2/Slc25a3/Hsd17b10/Ech1/Acaa1a/Ndufa8/Atp5h/Mrps11/Uqcrb/Ndufa3/Mrpl34/Mdh1/Dlat/Timm10/Atp6v1h/Mpc1/Mrps22/Cox5a/Ndufv2/Opa1/Retsat/Uqcrc1/Uqcr11/Cox17/Uqcr10/Acadvl/Atp6v0b/Prdx3/Acat1/Slc25a12/Idh3b/Sdhb/Ndufb8/Atp5e/Cox7a2/Ndufb5/Vdac1/Ndufb7/Polr2f/Etfa/Etfdh/Ndufs6/Slc25a11/Atp5d/Cs/Cyc1/Slc25a4/Oat/Ndufs4/Cox7b/Ogdh/Sdha/Atp5b/Ndufb3/Etfb/Ndufv1/Phb2/Fh1/Bax/Ndufs1/Uqcrfs1/Ndufa9/Vdac2/Mrps30/Pmpca/Timm50/Mrpl35/Bckdha/Cox4i1/Uqcrq/Atp5j/Por/Oxa1l/Mdh2/Mfn2/Cox5b/Mrps15/Mgst3/Uqcrc2/Cycs/Ndufs3/Sdhd/Tomm70a/Cox7c/Grpel1/Slc25a20/Cox6b1/Cox7a2l/Atp6v1c1/Hccs/Dld/Tomm22/Pdha1/Immt/Iscu/Supv3l1/Atp5a1/Timm17a/Uqcrh/Slc25a5/Fdx1/Isca1/Ndufab1/Timm13/Ndufa5/Atp6v1d/Echs1/Atp5g3/Atp5o/Alas1/Ndufb6/Cox6c/Ldha/Hadhb/Atp5g2/Cyb5r3/Bdh2/Cox15/Idh3g/Atp6v1g1/Idh2/Ndufc2/Dlst/Ndufa1/Hadha/Cox6a1/Got2/Ndufa2/Aco2/Ndufa6/Hspa9/Gpi1/Ndufb4/Afg3l2"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",157,0.187487538900462,2.32141985472705,1.02962802489972e-06,8.58023354083104e-06,4.69654888550752e-06,1799,"tags=55%, list=19%, signal=45%","Il1b/Tnc/Tnfaip6/Ccl2/Cxcl10/Cebpd/Zfp36/Socs3/Olr1/Ifih1/Ptgs2/Rigi/Cebpb/Dram1/Dusp1/Ier2/Tnfrsf9/Cxcl2/Egr2/Fos/Hes1/Atf3/Lif/Sgk1/Nfkbie/Egr1/Csf1/Plpp3/Cxcl1/Marcks/Klf10/Klf9/Btg2/Traf1/Fosb/Jun/Nfkbia/Snn/Tank/Ier5/Tsc22d1/Plk2/Egr3/Il18/Ripk2/Ccn1/Junb/Inhba/Klf6/Nfkb1/Klf2/Rhob/Birc3/Sik1/Cxcl3/Ier3/Irf1/Gadd45a/Bcl3/Serpine1/Ldlr/Nr4a2/Il6st/Vegfa/Tnfaip3/Relb/Rcan1/Rel/Pmepa1/Tubb2a/Bmp2/Cd44/Atp2b1/F2rl1/Irs2/Bcl6/Smad3/Nr4a1/Pfkfb3/B4galt1/Btg1/Bhlhe40/Phlda1/Btg3/Dusp5/Nfkb2"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",173,-0.293592418519304,-1.99753551180627,3.99167047119593e-06,2.85119319371138e-05,1.56065311655781e-05,3972,"tags=62%, list=41%, signal=37%","Xrcc6/Donson/Pold2/Smc6/Top2a/Trip13/Pnn/Anp32e/Smc3/Psip1/Pole4/Orc2/Cks1b/Ube2t/Chek1/Mcm3/Ctcf/Nap1l1/Spag5/H2az1/Srsf2/Prdx4/Nop56/Eed/Gins1/Phf5a/Mcm2/Brca2/Slbp/Pold3/Pcna/Mre11a/Snrpb/Prps1/Rfc2/Nup205/Dlgap5/Nme1/Dek/Aurka/Ncapd2/Mcm5/Nbn/Birc5/Ccnb2/Pa2g4/Tipin/Nup107/Hmgb2/Gspt1/Naa38/Rad50/Cdca3/Psmc3ip/Lmnb1/Ezh2/Cdkn1b/Wee1/Smc1a/Tmpo/Cenpm/Cbx5/Ube2s/Rpa3/Nudt21/Rrm2/Racgap1/Mad2l1/Cks2/Cnot9/Ppp1r8/Tacc3/Ddx39a/Cdca8/Usp1/Rnaseh2a/Dck/Asf1b/Hnrnpd/Dut/Nasp/Pms2/Lyar/Tbrg4/Rad21/Orc6/Lbr/Ilf3/Ak2/Ipo7/Pold1/Ubr7/Cdc25a/Cdk1/Tk1/Cdkn1a/Rfc1/Ing3/Hmga1/Spc24/Dnmt1/Ssrp1/Lig1/Cit/Cdc25b/E2f8/Mthfd2/Tfrc"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",200,-0.264656395063362,-1.83213164617239,3.51844693810829e-05,0.000219902933631768,0.000120367921566863,5216,"tags=74%, list=54%, signal=34%","Psmc6/Xpo1/Tfdp1/Canx/Exosc7/Tra2b/Ube2e1/Eif2s2/Lsm7/Psmd7/Cops5/Vdac3/Prpf31/Eif2s1/Smarcc1/Ssbp1/Eprs/Tardbp/Psma7/Syncrip/Slc25a3/Hddc2/Psma1/Odc1/Ran/Eif1ax/C1qbp/Abce1/Pcbp1/Psmd1/Ppia/Xrcc6/Hsp90ab1/Bub3/Pold2/Aimp2/Cox5a/Impdh2/Orc2/Cdc45/Hnrnpa1/Ilf2/Snrpd3/Psma2/Pwp1/Prdx3/Rsl1d1/Tyms/Nap1l1/H2az1/Hprt/Srsf2/Prdx4/Cul1/Txnl4a/Psma6/Snrpa1/Dhx15/Nop56/Hspe1/Ppm1g/Npm1/Vdac1/Mcm2/Psmc4/Pcna/Cad/Clns1a/Ap3s1/Rad23b/Cyc1/Fbl/Psmb2/Rpl6/Xpot/Cct7/Cdk2/Nme1/Dek/Phb2/Trim28/Mrpl23/Pgk1/Mcm5/Stard7/Uba2/Rps2/Cstf2/Ube2l3/Sf3b3/Snrpg/Cnbp/Gnl3/Pa2g4/Hnrnpr/Snrpd2/Eif3d/Tufm/Eif4g2/Snrpb2/Mrpl9/Pole3/Psmd3/Tomm70a/Gspt1/Rfc4/Etf1/Snrpd1/Tcp1/Cct4/Rpl34/Kpnb1/Psmd8/Rps10/Eef1b2/Eif3b/Ndufab1/Rnps1/Mad2l1/Cct5/Rack1/Kars/Rplp0/Usp1/Nhp2/Ncbp1/Ruvbl2/Hnrnpd/Dut/Ldha/Cct2/Rps3/Rpl14/Sf3a1/Rps5/Rrm1/Pabpc4/Acp1/Erh/Got2/Rpl22/Rpl18/Fam120a/Iars/Pabpc1/Eif4h/Rps6"
"HALLMARK_GLYCOLYSIS","HALLMARK_GLYCOLYSIS","HALLMARK_GLYCOLYSIS",142,-0.280976765211999,-1.85889640936996,0.000147210882414955,0.000817838235638642,0.000447658823717993,2687,"tags=44%, list=28%, signal=32%","Ankzf1/Prps1/Chpf2/Plod2/Copb2/Pygb/Hdlbp/Cited2/Aurka/Pgk1/P4ha1/Qsox1/Pfkp/Cenpa/Mdh2/Kif2a/Tpi1/Eno1/Pmm2/Slc35a3/Pkm/Pgm2/Pdk3/Pcx/Dld/Paxip1/Fam162a/Galk1/Cog2/Vldlr/Tgfa/Akr1a1/Ndst3/Igfbp3/Egfr/Zfp292/Capn5/Nasp/Gnpda1/Ldha/Sdc2/Agl/Pkp2/Sod1/B3gnt3/Cdk1/Gale/B4galt7/Got2/Pgls/Gfus/Ak4/Sap30/Mxi1/G6pdx/Gys1/Gfpt1/Me2/Egln3/Ero1a/Stc1/Tff3"
"HALLMARK_COAGULATION","HALLMARK_COAGULATION","HALLMARK_COAGULATION",66,0.24922433766987,2.24243863751065,0.000355233527223584,0.00177616763611792,0.000972218074506652,1291,"tags=48%, list=13%, signal=42%","Timp3/Sparc/Thbs1/C3/Mmp10/Timp1/Olr1/Bmp1/Cpn1/Apoc2/Trf/Cfb/Lgmn/Fn1/Clu/Ctsh/Itgb3/Htra1/Pros1/Pdgfb/Anxa1/Mmp11/Klf7/Serpine1/Gda/Lamp2/Lrp1/Csrp1/Furin/Ctsb/Pecam1/Ctse"
