"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE",171,-0.376375727264322,-2.76993934319043,2.36367842286973e-13,1.08729207452007e-11,7.46424765116756e-12,4926,"tags=85%, list=52%, signal=42%","Numa1/Rfc1/Pafah1b1/Flna/Arl8a/Abi1/Rhot2/Lmnb1/Arhgdia/Mapre1/Sptbn1/Hook3/Dlgap5/Pcgf5/Arhgap10/Nck1/Katna1/Stau1/Rock1/Sptan1/Tubgcp3/Cntrl/Csnk1d/Tlk1/Smc1a/Palld/Arhgef7/Bcl2l11/Pcm1/Wasf2/Kif3b/Rab3gap1/Nusap1/Lrpprc/Bin1/Sos1/Capzb/Ppp4r2/Vcl/Taok2/Birc5/Smc4/Actn4/Rhof/Arhgef11/Apc/Pdlim5/Dync1h1/Cdk5rap2/Cep57/Itsn1/Rabgap1/Flnb/Cdc42ep4/Atg4b/Cdc42ep1/Smc3/Brca2/Prc1/Clip1/Wasl/Kptn/Pcnt/Mid1/Ckap5/Arhgap27/Akap13/Bub1/Arfgef1/Myh9/Cdk1/Hdac6/Pkd2/Mark4/Lats1/Nedd9/Sun2/Bcar1/Rasal2/Ndc80/Ect2/Als2/Plekhg2/Kif20b/Kntc1/Abl1/Dst/Alms1/Klc1/Notch2/Nck2/Tuba4a/Llgl1/Fgd6/Myo9b/Tsc1/Map3k11/Fgd4/Rasa1/Ranbp9/Racgap1/Rapgef6/Arhgef2/Sorbs2/Cdc42bpa/Anln/Nf1/Ccnb2/Cep250/Kif23/Bcr/Myo1e/Synpo/Trio/Katnb1/Clasp1/Arhgef12/Cenpe/Top2a/Abr/Rictor/Tbcd/Clip2/Pxn/Epb41l2/Nin/Cep192/Ssh2/Kif1b/Epb41/Cenpf/Dlg1/Arhgef3/Kif11/Rasa2/Ophn1/Ccdc88a/Dock4/Cdc27/Farp1/Tpx2/Septin9/Arap3/Kif3c/Incenp"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",69,0.320201502923449,3.37267036168253,1.53442931541503e-08,3.52918742545457e-07,2.42278312960268e-07,2189,"tags=71%, list=23%, signal=55%","Gbp2/Cd74/Bst2/Psmb9/Cxcl10/Isg15/Usp18/Rtp4/Irf7/B2m/Ifitm3/Tap1/Parp14/Ube2l6/Ifit3/Irf1/Samd9l/Ifi27l2b/Nmi/Ifi27/Tmem140/Parp9/Psme2/Psme1/Irf9/Ifih1/Isg20/Lap3/Ifi30/Parp12/Stat2/Txnip/Mvb12a/Eif2ak2/Psma3/Ifi35/Herc6/Ly6e/Lpar6/Nub1/Cd47/Procr/Ifitm2/Ripk2/Irf2/Wars1/Trim25/Cnp/Pnpt1"
"HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN",116,-0.34046145764653,-2.35889831104693,1.02559291363562e-06,1.57257580090795e-05,1.0795714880375e-05,4535,"tags=73%, list=48%, signal=39%","Cited2/Nek7/Aggf1/Anxa4/Acvr2a/Gcnt1/Prkar2b/Nr3c1/Phf3/Efemp1/Atp2b1/Dusp1/Atp2c1/Pias3/Spop/Erbb2/Ldlr/Nrp1/Prdm2/Mios/Dyrk1a/Ythdc1/Atrx/Pdlim5/Grk5/Fhl2/Irs1/Add3/Smad7/Wdr37/Mta1/Bmpr1a/Pparg/Bhlhe40/Bckdhb/Ptpn21/Prkce/Abcc1/Pten/Scn8a/Itgb3/F3/Lamc1/Met/Atxn1/Ltbp1/Runx1/Plpp3/Snai2/Notch2/Nfib/Scaf8/Zmiz1/Mapk14/Cdk13/Ica1/Pex14/Prkca/Tent4a/Cdc42bpa/Vav2/Lpar1/Synj2/Sipa1l1/Nipbl/Nfkb1/Igf1r/Akt3/Sdc2/Atrn/Map1b/Slc7a1/Togaram1/Dlg1/Schip1/Fyn/Rasa2/Celf2/Sfmbt1/Syne1/Apbb2/Map2k5/Smad3/Inpp4b/Cacna1a"
"HALLMARK_DNA_REPAIR","HALLMARK_DNA_REPAIR","HALLMARK_DNA_REPAIR",131,0.165054296600701,2.28000614817292,2.20731074027629e-05,0.000253840735131774,0.000174261374232339,5588,"tags=82%, list=59%, signal=34%","Cox17/Ncbp2/Taf10/Edf1/Rfc4/Polr2k/Ercc1/Polr2h/Bola2/Umps/Nme1/Guk1/Nme4/Polr2i/Ada/Cda/Tk2/Gtf2h5/Nt5c/Cetn2/Vps28/Eif1b/Rpa3/Polr1h/Nudt21/Gpx4/Taf12/Rbx1/Aprt/Sac3d1/Polr2f/Mpc2/Nelfe/Polr1d/Polr2c/Nudt9/Rfc3/Gtf2f1/Supt4a/Dad1/Surf1/Mrpl40/Gtf2b/Polr2d/Snapc5/Gtf2h3/Pole4/Dctn4/Polr2j/Bcam/Brf2/Polr2g/Dut/Polr2e/Hprt/Gtf2a2/Gsdme/Lig1/Gmpr2/Tmed2/Ercc4/Taf6/Supt5/Taf13/Bcap31/Ercc5/Tsg101/Nt5c3/Tyms/Gtf3c5/Alyref/Impdh2/Mpg/Dguok/Zfp707/Pold4/Polr1c/Rnmt/Clp1/Adrm1/Srsf6/Xpc/Pold3/Ak3/Polb/Rae1/Zwint/Polh/Arl6ip1/Rad52/Adcy6/Gtf2h1/Rfc5/Rala/Polr3c/Sf3a3/Itpa/Rrm2b/Ercc3/Eloa/Rfc2/Tarbp2/Stx3/Sdcbp/Dgcr8/Prim1/Snapc4"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",167,-0.267843294980222,-1.96640859515089,3.2301743532309e-05,0.000297176040497243,0.000204011011783004,3944,"tags=60%, list=41%, signal=36%","Odf2/Smc1a/Hif1a/Hmmr/Nup98/Casp8ap2/Meis2/Lbr/Nusap1/Dbf4/Ctcf/Pml/Syncrip/Birc5/Tmpo/Mnat1/Ythdc1/Smc4/Atrx/Rad23b/Nasp/Rbm14/Uck2/Ewsr1/Mt2/Prmt5/Cul4a/Kpnb1/Rad21/Fancc/Brca2/Prc1/Prim2/Ilf3/Sfpq/Knl1/Xpo1/Smarcc1/Hus1/Bub1/Cdc20/Cdk1/Cenpa/E2f1/Slc7a5/Chek1/Cul5/Efna5/Rasal2/Ndc80/Cdc25a/Tgfb1/Hira/Pds5b/Kif20b/Abl1/Mad2l1/Foxn3/Chaf1a/Ccna2/Notch2/Ccnt1/Cdc25b/Mcm6/Mapk14/Smc2/Plk4/Stag1/Slc12a2/Ube2c/Racgap1/Pola2/Arid4a/Mki67/Tent4a/Mtf2/Ccnb2/E2f3/Kif23/Ezh2/Pole/Mcm3/Nsd2/Tnpo2/Rps6ka5/Tacc3/Meis1/Slc7a1/Cenpe/Top2a/Rbl1/Mcm2/Cenpf/Mcm5/Kif11/Tle3/Cdc27/Map3k20/Tpx2/Incenp/Smad3"
"HALLMARK_UV_RESPONSE_UP","HALLMARK_UV_RESPONSE_UP","HALLMARK_UV_RESPONSE_UP",117,0.171252554119605,2.23932956233445,5.65939863853213e-05,0.00043388722895413,0.000297863086238533,5023,"tags=77%, list=53%, signal=37%","Asns/Tap1/Irf1/Atf3/H2-M3/Selenow/Sod2/Rfc4/Grpel1/Mrpl23/Polr2h/Psmc3/Tst/Ctsl/Ddx21/Btg3/Nat2/Pdap1/Bid/Slc25a4/Aldoa/Fkbp4/Dnaja1/Atp6v1f/Fos/Creg1/Bmp2/Cdkn2b/Ap2s1/Pole3/Clcn2/Btg1/Bsg/Nfkbia/Hspa2/Ppt1/Cnp/Ggh/Acaa1a/Urod/Spr/Sigmar1/Parp2/Btg2/Fosb/Hyal2/Sqstm1/E2f5/Rxrb/Ppp1r2/Nr4a1/Prkaca/Tmbim6/Cyb5r1/Hmox1/Cxcl1/Alas1/Ppat/Tars/Cebpg/Mgat1/Grina/Ephx1/Junb/Stip1/Atp6v1c1/Hnrnpu/Bak1/Ykt6/Cdc34/Lyn/Prkcd/Tgfbrap1/Stard3/Casp3/Eif5/Hspa13/Rhob/Klhdc3/Dnajb1/Gch1/Stk25/Rpn1/Cdc5l/Icam1/Abcb1a/Tfrc/Amd1/Cdk2/Cltb"
"HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2",52,0.269593832902047,2.47209806538261,6.90169137201573e-05,0.000453539718732462,0.000311354497985672,5434,"tags=88%, list=57%, signal=38%","Dctpp1/Exosc5/Rrp9/Cbx3/Phb/Mrto4/Hk2/Nop16/Grwd1/Mphosph10/Hspe1/Nip7/Srm/Hspd1/Wdr74/Tmem97/Ndufaf4/Aimp2/Pa2g4/Pus1/Rabepk/Cdk4/Wdr43/Bysl/Npm1/Imp4/Ppan/Ddx18/Gnl3/Mcm4/Rcl1/Prmt3/Nop2/Noc4l/Pes1/Tfb2m/Rrp12/Myc/Nop56/Tcof1/Mybbp1a/Sord/Farsa/Las1l/Nolc1/Utp20"
"HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_FATTY_ACID_METABOLISM",117,0.167337799533108,2.18813951895147,8.83289093275397e-05,0.000507891228633353,0.000348666747345551,6148,"tags=86%, list=65%, signal=31%","Ube2l6/Fabp2/Ech1/Psme1/Cbr3/Echs1/Mcee/Eno3/Hmgcs1/Eci1/Hsd17b10/Mif/S100a10/Nthl1/Lgals1/Acaa2/Idi1/Hsd17b11/Vnn1/Aldoa/Erp29/Decr1/H2az1/Ccdc58/Eci2/Cbr1/Idh1/Acadl/Cryz/Apex1/Pcbd1/Ldha/Hadh/Ostc/Acadm/Prdx6/Suclg1/Acads/Mlycd/Aldh1a7/Acaa1a/Fh1/Hibch/Gcdh/Urod/Alad/Idh3b/Pts/Hsdl2/Glul/Suclg2/Sucla2/Aldh9a1/Mdh2/Hmgcl/Adsl/Gpd1/Hadhb/Idh3g/Aldh3a1/Blvra/Pdhb/Ywhah/Me1/Odc1/Hsd17b7/Bphl/Dld/Mdh1/Kmt5a/Grhpr/Sdhd/Hsd17b4/Ephx1/Acadvl/Cpt1a/Etfdh/Nbn/Acsl4/Acsl1/Metap1/Acot8/Gabarapl1/Acsl5/Ugdh/Auh/Gstz1/Sdhc/Hsp90aa1/Rdh11/Sms/Maoa/Sdha/Pdha1/Cpt2/Crat/Aldh3a2/Cpox/Adh7/Rap1gds1/Serinc1"
"HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY",124,-0.250590385245259,-1.75738617407126,0.00281576830249397,0.0143917046571914,0.00987988878068058,3079,"tags=48%, list=32%, signal=33%","Med24/Igfbp4/Slc16a1/Elf3/Rbbp8/Celsr1/Wwc1/Fhl2/Ptges/Add3/Siah2/Ugcg/Flnb/Amfr/Rab31/Isg20l2/Adcy9/Elovl5/Kdm4b/Bhlhe40/Nrip1/Papss2/Aqp3/Ncor2/Svil/Slc7a5/Tiparp/Slc37a1/Areg/Ablim1/Abca3/Mindy1/Nbl1/Snx24/Lrig1/Fasn/Krt13/Frk/Tpbg/Retreg1/Scarb1/Deptor/Gab2/Hes1/Cant1/Inpp5f/Igf1r/Slc19a2/Med13l/Hr/Aff1/Mast4/Cd44/Tmem164/Slc26a2/Nav2/Farp1/Bcl2/Tff3/Rps6ka2"
"HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_HEDGEHOG_SIGNALING",21,-0.444132773044866,-1.96199565899974,0.00365652276480302,0.0168200047180939,0.0115469139941148,3918,"tags=76%, list=41%, signal=45%","Amot/Nrp1/Pml/Ptch1/Celsr1/Ets2/Myh9/Tle1/Rasa1/Ldb1/Cdk6/Nf1/Adgrg1/Tle3/Ophn1/Scg2"
