"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"NABA_MATRISOME","NABA_MATRISOME","NABA_MATRISOME",179,-0.381602527070268,-1.80076650579483,1.43211393063586e-05,0.000315065064739889,0.000211048368725284,1178,"tags=30%, list=16%, signal=25%","C1qc/Il10/Crlf3/Tgm2/Vwa5a/Fam20c/Thbs1/Adam17/C1qa/Tgfb3/Ctsa/Adamts6/Clec4n/Plxnc1/Clec10a/Tgfb1/Cxcl14/Timp1/Ccl12/Pdgfc/Ints6l/Mmp9/Adamdec1/Osm/Mmp14/Fam20a/Plau/Pdgfb/Emilin1/Lif/Ccl17/Nrg1/Colec12/Sulf2/Mmp13/Ntng2/Spon1/Fgf13/Cela1/Pgf/Hgf/Mgl2/Fn1/Plxdc2/Igf1/Htra3/Gas6/Edil3/Ccl22/Col14a1/Prss2/Adam19/Try4"
"NABA_ECM_REGULATORS","NABA_ECM_REGULATORS","NABA_ECM_REGULATORS",55,-0.481087908207003,-1.84467433045199,0.000445518700983273,0.004900705710816,0.00328276937566622,1115,"tags=33%, list=15%, signal=28%","Tgm2/Fam20c/Adam17/Ctsa/Adamts6/Timp1/Mmp9/Adamdec1/Mmp14/Fam20a/Plau/Sulf2/Mmp13/Cela1/Htra3/Prss2/Adam19/Try4"
"NABA_MATRISOME_ASSOCIATED","NABA_MATRISOME_ASSOCIATED","NABA_MATRISOME_ASSOCIATED",152,-0.352451584169258,-1.62512107115481,0.000753610350399448,0.00552647590292929,0.00370194558090957,1178,"tags=28%, list=16%, signal=24%","C1qc/Il10/Crlf3/Tgm2/Fam20c/Adam17/C1qa/Tgfb3/Ctsa/Adamts6/Clec4n/Plxnc1/Clec10a/Tgfb1/Cxcl14/Timp1/Ccl12/Pdgfc/Mmp9/Adamdec1/Osm/Mmp14/Fam20a/Plau/Pdgfb/Lif/Ccl17/Nrg1/Colec12/Sulf2/Mmp13/Fgf13/Cela1/Pgf/Hgf/Mgl2/Plxdc2/Igf1/Htra3/Ccl22/Prss2/Adam19/Try4"
"NABA_CORE_MATRISOME","NABA_CORE_MATRISOME","NABA_CORE_MATRISOME",27,-0.539172971826222,-1.76384014214637,0.0047673531655225,0.0262204424103738,0.0175639327150829,541,"tags=30%, list=7%, signal=28%","Ints6l/Emilin1/Ntng2/Spon1/Fn1/Gas6/Edil3/Col14a1"
"SIG_BCR_SIGNALING_PATHWAY","SIG_BCR_SIGNALING_PATHWAY","SIG_BCR_SIGNALING_PATHWAY",40,-0.470099510144957,-1.68381963520854,0.00662122687439143,0.0291333982473223,0.0195151949982063,1084,"tags=38%, list=15%, signal=32%","Sos2/Vav1/Lyn/Csk/Ptprc/Nfatc2/Pik3cd/Syk/Nfatc1/Itpr2/Pik3r1/Inpp5d/Bcl2/Cd81/Blnk"
"NABA_ECM_GLYCOPROTEINS","NABA_ECM_GLYCOPROTEINS","NABA_ECM_GLYCOPROTEINS",24,-0.508788405125996,-1.61482231088232,0.0175840978593272,0.0644750254841998,0.0431890122860668,541,"tags=38%, list=7%, signal=35%","Vwa5a/Thbs1/Ints6l/Emilin1/Ntng2/Spon1/Fn1/Gas6/Edil3"
"SIG_CD40PATHWAYMAP","SIG_CD40PATHWAYMAP","SIG_CD40PATHWAYMAP",23,-0.491446586181418,-1.54213340377161,0.0306161500191351,0.0962221857744246,0.0644550526718634,1662,"tags=43%, list=23%, signal=34%","Dusp1/Map2k4/Map2k7/Traf5/Mapk14/Pik3cd/Traf6/Nfkb1/Traf3/Pik3r1"
"SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES","SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES","SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES",31,-0.424255209169688,-1.43617630562656,0.0486310549492629,0.133735401110473,0.0895835222749579,1450,"tags=45%, list=20%, signal=36%","Tec/Plcg2/Dapp1/Rps6ka3/Pik3r5/Pten/Vav1/Lyn/Ptprc/Gab1/Foxo3/Syk/Prex1/Itpr2"
"SIG_REGULATION_OF_THE_ACTIN_CYTOSKELETON_BY_RHO_GTPASES","SIG_REGULATION_OF_THE_ACTIN_CYTOSKELETON_BY_RHO_GTPASES","SIG_REGULATION_OF_THE_ACTIN_CYTOSKELETON_BY_RHO_GTPASES",18,0.492080262754173,1.46275575105336,0.0617801047120419,0.151018033740547,0.101160405376443,52,"tags=11%, list=1%, signal=11%","Cfl2/Wasl"
"NABA_SECRETED_FACTORS","NABA_SECRETED_FACTORS","NABA_SECRETED_FACTORS",61,-0.329165714899984,-1.29223892835019,0.0959488272921109,0.211087420042644,0.1413982717989,613,"tags=23%, list=8%, signal=21%","Tgfb1/Cxcl14/Ccl12/Pdgfc/Osm/Pdgfb/Lif/Ccl17/Nrg1/Fgf13/Pgf/Hgf/Igf1/Ccl22"
