"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",85,0.554705801825592,2.33994343186998,6.19577944075052e-09,1.54894486018763e-07,1.0434996952843e-07,1687,"tags=51%, list=23%, signal=39%","Gbp2/H2-Q7/Isg15/Samd9l/Rtp4/Rsad2/Irf7/Irf1/Nmi/Isg20/Oasl1/Cxcl11/Psmb9/Tap1/Psmb8/Casp1/Txnip/Sell/Ifi27/Gbp3/Mvb12a/Lgals3bp/Ifitm3/Bst2/Pnpt1/Procr/Nub1/Psme2/Adar/B2m/Parp14/Ifih1/Oas1a/Trafd1/Ly6e/Lap3/Parp12/Irf2/Cxcl10/Ifi35/Parp9/Ifitm1/Ogfr"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",177,0.445803222120737,2.11417920847747,4.70452707720297e-09,1.54894486018763e-07,1.0434996952843e-07,2075,"tags=49%, list=29%, signal=36%","Hsd17b10/Ndufv1/Timm8b/Surf1/Pmpca/Timm17a/Timm10/Fdx1/Mrpl35/Vdac3/Cycs/Tomm22/Acadm/Grpel1/Pdha1/Idh3b/Polr2f/Mrps12/Cyb5r3/Slc25a4/Mrpl11/Ndufv2/Atp5j/Cyb5a/Por/Ndufs3/Etfdh/Cox5b/Ndufa8/Ndufb3/Ech1/Mrpl15/Ndufb5/Cox8a/Ndufs8/Ndufa7/Ndufb2/Cox7a2/Ndufa5/Ndufa4/Mrpl34/Afg3l2/Echs1/Idh1/Ndufs7/Acaa2/Ndufs4/Atp6v1e1/Sdhb/Ndufb8/Immt/Phb2/Vdac1/Atp5o/Aifm1/Ndufs2/Mrps11/Mtx2/Sucla2/Mdh1/Atp5c1/Uqcrc1/Atp5j2/Suclg1/Ndufb6/Ndufc1/Ndufab1/Tomm70a/Ndufs1/Atp5g3/Uqcrfs1/Uqcrb/Cox6c/Atp5pb/Sdhd/Vdac2/Cox7b/Ndufa6/Ndufa1/Cox6a1/Cox7c/Atp5g1/Idh3a/Atp5l/Gpx4/Prdx3"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",168,0.386233564984455,1.81877508980498,1.39193375177052e-05,0.000231988958628421,0.00015628729844441,1687,"tags=39%, list=23%, signal=31%","St3gal5/Casp3/Upp1/H2-Q7/Il18bp/Cxcl9/Cfb/Arl4a/Isg15/Zbp1/Samd9l/Slamf7/Rtp4/Rsad2/Irf7/Socs1/Irf1/Stat1/Nmi/Isg20/Oasl1/H2-D1/Tnfaip6/Cxcl11/Psmb9/Tap1/Psmb8/Oas3/Casp1/Fas/Pml/Txnip/Sod2/Ifi27/Ccl5/Gbp3/Itgb7/Lgals3bp/Ccl2/Fgl2/Ifitm3/Fcgr1/Bst2/Pnpt1/Psmb10/Psma2/Nlrc5/Ccl7/Psme2/Adar/B2m/Xaf1/Parp14/H2-M3/Ifih1/Trafd1/Ly6e/Lap3/Parp12/Irf2/Sri/Cxcl10/Psmb2/Ifi35/Casp4/Ogfr"
"HALLMARK_DNA_REPAIR","HALLMARK_DNA_REPAIR","HALLMARK_DNA_REPAIR",101,0.431403690428188,1.8791600084969,8.08118525172862e-05,0.00101014815646608,0.000680520863303463,1708,"tags=42%, list=24%, signal=32%","Polr2d/Clp1/Polr2j/Nt5c3/Polr2c/Surf1/Polr1c/Polr2k/Mrpl40/Supt4a/Polr1d/Polr2f/Adrm1/Nudt21/Nt5c/Edf1/Gtf2h5/Zwint/Stx3/Ncbp2/Dguok/Polr2h/Itpa/Rala/Gtf2b/Polr2g/Nudt9/Gtf2f1/Nfx1/Ddb1/Mpc2/Eif1b/Pold3/Aprt/Polr2e/Guk1/Gtf2a2/Rbx1/Vps28/Sf3a3/Polr2i/Rnmt"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",67,-0.473563626621437,-1.89832666029869,0.000160246457788383,0.00160246457788383,0.00107955508404805,1683,"tags=42%, list=23%, signal=32%","Il6/Tgfbi/Vegfa/Id2/Tnfaip3/Cd44/Pmp22/Lrp1/Tgm2/Cadm1/Pvr/Thbs1/Rhob/Pdlim4/Wipf1/Tgfb1/Timp1/Mmp14/Nt5e/Itgav/Vcam1/Itgb5/Dab2/Pmepa1/Fn1/Edil3/Prss2/Try4"
"HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN",80,-0.434221903626905,-1.80048631870414,0.000552913944851655,0.00460761620709713,0.00310407828688648,1473,"tags=40%, list=20%, signal=32%","Atxn1/Nrp1/Celf2/Pmp22/Grk5/Zmiz1/Nipbl/Acvr2a/Abcc1/Sipa1l1/Syne1/Mapk14/Bhlhe40/Pten/Runx1/Wdr37/Slc7a1/Pik3cd/Rxra/Lpar1/Vav2/Dyrk1a/Nfkb1/Atp2b4/Mgmt/Igf1r/Fyn/Sfmbt1/Dab2/Tgfbr2/Prkca/Cacna1a"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",178,0.33503473345456,1.59054840475728,0.00122562371737203,0.00875445512408595,0.0058977381888579,2525,"tags=46%, list=35%, signal=30%","Kars/Eif1ax/Ywhaq/Vdac3/Rnps1/Ruvbl2/Mrps18b/Cops5/Psmd7/Ssbp1/Phb/Erh/Ncbp2/Prdx4/Mrpl9/Cbx3/Psmd3/Ilf2/Hdgf/Kpnb1/Psma2/Nop56/Acp1/Smarcc1/Srpk1/Rps2/Abce1/U2af1/Srsf2/Eif3j1/Cdk4/Psma4/Cct3/Psmc6/Phb2/Snrpd1/Snrpd3/Vdac1/Srsf7/Psmb3/Psmb2/Bub3/Ssb/Psma7/Ndufab1/Cct4/Eif3d/Tomm70a/Cul1/Pabpc4/Rplp0/Cct5/Eif2s2/Hdac2/Rpl34/H2az1/Psmd8/Snrpb2/Eef1b2/Psma1/Prdx3/Rpl22/Pgk1/Apex1/Pole3/Ppia/Hnrnpd/Tcp1/Psmc4/Ube2l3/Snrpg/Rps10/Psma6/Slc25a3/Impdh2/Cct2/Hprt/Rps5/Usp1/Ldha/Eif4h"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",168,-0.321802769622372,-1.50132685498702,0.00429264650989175,0.0268290406868234,0.0180743010942811,1866,"tags=36%, list=26%, signal=28%","Birc2/Stat5a/Zc3h12a/Marcks/Atp2b1/Socs3/Ets2/Ccnl1/Il1b/Dnajb4/Il6/Dusp1/Atf3/Vegfa/Tank/Plek/Id2/Nfe2l2/Nfil3/Tnfaip3/Relb/Cd44/Kdm6b/Tnfrsf9/Litaf/Pfkfb3/Nr4a1/Fosl2/Bhlhe40/Tnfaip8/Bcl6/Rhob/B4galt5/Zfp36/Olr1/G0s2/B4galt1/Slc16a6/Rel/Per1/Birc3/Sgk1/Tnip2/Plau/Dennd5a/Pde4b/Nfkb1/Rcan1/Kynu/Abca1/Nr4a3/Fosb/Lif/Ackr3/Icosl/Cd80/Ptger4/Gpr183/Pmepa1/Cd83/Spsb1"
"HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING",122,-0.334627327833632,-1.4884994962584,0.00888636793344678,0.049368710741371,0.0332589209205026,1565,"tags=39%, list=22%, signal=31%","Batf3/P2rx4/Furin/Irf4/Gpr65/Nfil3/Ifngr1/Nrp1/Tlr7/Cd44/Ncoa3/Mapkapk2/Tnfrsf9/Cdc42se2/Socs2/Tnfrsf21/Il10ra/Il10/Lrrc8c/Tgm2/Huwe1/Bhlhe40/Pou2f1/Cish/Dhrs3/Ccnd3/Rhob/Uck2/Wls/Lclat1/Dennd5a/Swap70/Nt5e/Il4ra/Ahr/Igf1r/Cd86/Itgav/Lif/Prkch/Rhoh/Rabgap1l/Rora/Myo1e/Bcl2/Cd81/Cd83/Adam19"
"HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP",103,-0.345168398549871,-1.49414567407006,0.0100473933649289,0.0502369668246445,0.0338438513344974,1984,"tags=46%, list=27%, signal=34%","Sdccag8/Cdadc1/Ccser2/Arg1/C3ar1/Cmklr1/Lcp1/Il1b/Nin/Mmd/Map3k1/Id2/Strn/Tnfaip3/Nrp1/Laptm5/Ptcd2/Il10ra/Usp12/Vwa5a/Adam17/Mafb/Cbl/St6gal1/G0s2/Cxcr4/Prdm1/Atg10/Dock2/Mmp9/Mtmr10/Adamdec1/Birc3/Etv5/Plau/Il1rl2/Pecam1/Ikzf1/Lif/Tspan13/Hdac9/Rabgap1l/Cfh/Tmem176b/Spon1/Tmem176a/Satb1"
