"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"NABA_SECRETED_FACTORS","NABA_SECRETED_FACTORS","NABA_SECRETED_FACTORS",62,0.43072953071317,2.05775612232407,6.60170953193056e-06,0.000138635900170542,0.000125085022710263,379,"tags=29%, list=5%, signal=28%","S100a4/Il23a/S100a8/S100a9/S100a10/Ccl17/S100a6/Ccl2/Cxcl3/Ccl9/Osm/Cxcl2/S100a11/Il18/Ccl6/Inhba/Ccl24/Areg"
"NABA_MATRISOME_ASSOCIATED","NABA_MATRISOME_ASSOCIATED","NABA_MATRISOME_ASSOCIATED",154,0.251234304857241,1.44230354642813,0.00297939846687647,0.0312836839022029,0.0282258802125139,379,"tags=18%, list=5%, signal=17%","S100a4/Il23a/S100a8/Mmp8/S100a9/S100a10/Ccl17/S100a6/Ccl2/Cxcl3/Timp1/Ccl9/F10/Osm/Cxcl2/S100a11/Il18/Ccl6/Clec5a/Clec4e/Inhba/Sema4a/Fam20a/Mmp19/Ccl24/Tgm2/Areg"
"SA_MMP_CYTOKINE_CONNECTION","SA_MMP_CYTOKINE_CONNECTION","SA_MMP_CYTOKINE_CONNECTION",11,0.582510332922528,1.76825215387948,0.0127777777777778,0.0894444444444445,0.0807017543859649,465,"tags=27%, list=7%, signal=26%","Sell/Cd44/Tgfb1"
"SIG_REGULATION_OF_THE_ACTIN_CYTOSKELETON_BY_RHO_GTPASES","SIG_REGULATION_OF_THE_ACTIN_CYTOSKELETON_BY_RHO_GTPASES","SIG_REGULATION_OF_THE_ACTIN_CYTOSKELETON_BY_RHO_GTPASES",18,-0.533980351030636,-1.38959426263451,0.0694763435920992,0.364750803858521,0.329098469646786,776,"tags=22%, list=11%, signal=20%","Rock2/Gdi1/Cfl2/Wasl"
"SIG_CHEMOTAXIS","SIG_CHEMOTAXIS","SIG_CHEMOTAXIS",31,-0.439887936798593,-1.26730168965084,0.138888888888889,0.486111111111111,0.43859649122807,1146,"tags=23%, list=16%, signal=19%","Pdpk1/Arhgef11/Rock2/Pik3ca/Gdi1/Cfl2/Wasl"
"NABA_ECM_REGULATORS","NABA_ECM_REGULATORS","NABA_ECM_REGULATORS",55,-0.396504743175061,-1.23380978252449,0.138278008298755,0.486111111111111,0.43859649122807,1837,"tags=38%, list=26%, signal=28%","Mmp9/Ctso/Adam19/Ctsa/Mmp14/Egln3/Ctsd/P4ha1/Ctsb/Ctsl/Mmp25/Mmp13/F13a1/Fam20b/Serpine1/Plau/Timp2/Mmp12/Mmp2/Serpinb6a/Serpinb2"
"SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES","SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES","SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES",40,-0.395701161207356,-1.18418785611534,0.218574605527904,0.655723816583713,0.59163051120335,2065,"tags=35%, list=29%, signal=25%","Rps6kb1/Gsk3b/Ywhag/Inppl1/Mapk3/Ywhaq/Gsk3a/Pdpk1/Sos1/Rps6ka2/Irs2/Pik3ca/Flot2/Serpinb6a"
"SA_G1_AND_S_PHASES","SA_G1_AND_S_PHASES","SA_G1_AND_S_PHASES",11,0.361004136357153,1.09585410866494,0.312777777777778,0.74364896073903,0.670961468335967,4491,"tags=100%, list=64%, signal=36%","Nxt1/Ccnd1/Cdkn1a/Arf1/Mdm2/Cfl1/Cdk4/Cdkn1b/Arf3/E2f1/Trp53"
"WNT_SIGNALING","WNT_SIGNALING","WNT_SIGNALING",36,-0.368792541412235,-1.08677913606562,0.359124866595518,0.74364896073903,0.670961468335967,2935,"tags=61%, list=42%, signal=36%","Hprt/Ctnnbip1/Gapdh/Ctbp1/Fbxw11/Csnk1d/Jun/Fbxw4/Gsk3b/Ppp2r1a/Nlk/Gsk3a/Daam1/Myc/Axin1/Csnk2a1/Lrp6/Ep300/Fzd7/Tle1/Ctnnb1/Btrc"
"SA_B_CELL_RECEPTOR_COMPLEXES","SA_B_CELL_RECEPTOR_COMPLEXES","SA_B_CELL_RECEPTOR_COMPLEXES",21,-0.403158961009898,-1.08461582388981,0.380202474690664,0.74364896073903,0.670961468335967,3392,"tags=71%, list=48%, signal=37%","Hras/Rps6ka1/Rps6ka3/Map3k1/Mapk1/Fos/Vav1/Jun/Mapk3/Map2k1/Mapk8ip3/Blnk/Sos1/Vav2/Atf2"
