"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",125,0.331210804062108,1.75811516956986,4.57659083797815e-06,0.000228829541898907,0.00019269856159908,641,"tags=23%, list=9%, signal=21%","Sell/Met/Ccl17/Ccl2/Ly6e/Timp1/Emp3/Osm/Irf7/Il18/Clec5a/Cd69/Nod2/Mefv/Inhba/Sgms2/Ccr7/Adora2b/Ccl24/Gch1/Ifitm1/Ptafr/Ripk2/Plaur/Hif1a/Icosl/Bst2/Slc31a2/Il7r"
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION",127,0.304516171018716,1.63463917310521,7.07368063254468e-05,0.00117894677209078,0.000992797281760657,725,"tags=28%, list=10%, signal=25%","Capg/Ccl2/Fgr/Timp1/H2-Q7/Socs1/Irf7/Ccr2/Il18/Map4k1/Il2rg/Itgal/Ccnd3/Ccnd2/Inhba/Eif3j2/Itgb2/Flna/Ripk2/Srgn/Hif1a/Was/Tgfb1/Psmb10/Cfp/Hcls1/Icosl/Ncf4/Nme1/Cd80/Eif5a/Ly75/Irf4/Fas/Jak2"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",165,0.27165718212279,1.53844907831504,5.30744124668871e-05,0.00117894677209078,0.000992797281760657,1072,"tags=34%, list=15%, signal=29%","Upp1/Itgb7/Ccl2/Isg20/Samhd1/Ly6e/H2-Q7/Oas3/Ifitm3/Socs1/Ube2l6/Irf7/Cfb/Cd69/Ifi35/Gch1/Ifitm2/Psme1/Ripk2/Hif1a/Psmb10/Pfkp/Oasl1/Irf5/Sp110/Dhx58/Zbp1/Isg15/Bst2/Ptpn1/Fcgr1/Irf4/H2-D1/Cmtr1/Pim1/Fas/Jak2/Psme2/Lcp2/Helz2/Ifit3/Cxcl11/Nmi/Psmb8/Casp8/Cxcl10/Oas2/Cd274/Icam1/Trim25/Casp1/Lats2/Psmb2/Wars1/Fgl2/Nfkbia"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",84,0.334895507952138,1.67984032056521,0.000303917945967034,0.00379897432458793,0.0031991362733372,896,"tags=33%, list=13%, signal=29%","Sell/Isg20/Ly6e/H2-Q7/Oas1a/Ifitm3/Ube2l6/Irf7/Ifi35/Cnp/Ifitm1/Ifitm2/Psme1/Ripk2/Oasl1/Sp110/Dhx58/Isg15/Bst2/Cmtr1/Psme2/Helz2/Ifit3/Cxcl11/Nmi/Psmb8/Casp8/Cxcl10"
"HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_HEDGEHOG_SIGNALING",15,-0.633820704978841,-1.58649228703526,0.0107576633892423,0.0896471949103528,0.0754923746613498,1034,"tags=53%, list=15%, signal=46%","Nf1/Pml/Rasa1/Ophn1/Tle1/Nrp1/Ldb1/Nrp2"
"HALLMARK_HEME_METABOLISM","HALLMARK_HEME_METABOLISM","HALLMARK_HEME_METABOLISM",110,-0.419870780962306,-1.38364040418179,0.00937594515576167,0.0896471949103528,0.0754923746613498,2278,"tags=44%, list=32%, signal=30%","Blvrb/Ell2/Mxi1/Cdc27/Lpin2/Bmp2k/Sec14l1/Hmbs/Ctns/Tcea1/Slc11a2/Foxo3/Trak2/Fbxo9/Slc6a8/Marchf2/Bnip3l/Tnrc6b/Add1/Tent5c/Ctsb/Htra2/Minpp1/Ncoa4/Fech/Clcn3/Vezf1/Daam1/H1f0/Gapvd1/Ranbp10/Dcun1d1/Nfe2l1/Acp5/Xpo7/Gmps/Cir1/Nek7/Rnf19a/Atp6v0a1/Arl2bp/Marchf8/Tns1/Cat/Btrc/Arhgef12/Gclm/Gclc"
"HALLMARK_BILE_ACID_METABOLISM","HALLMARK_BILE_ACID_METABOLISM","HALLMARK_BILE_ACID_METABOLISM",38,-0.501847846489458,-1.48557497782798,0.0137887144675435,0.0984908176253106,0.0829396358949984,1990,"tags=58%, list=28%, signal=42%","Rxra/Hsd17b4/Pex13/Lonp2/Npc1/Sod1/Acsl5/Idh2/Abca1/Acsl1/Slc29a1/Hsd3b7/Cyp27a1/Slc35b2/Fads1/Idh1/Abca9/Paox/Aldh9a1/Bcar3/Cat/Gclm"
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE",127,-0.383489240350499,-1.27543048646425,0.042931831892218,0.238510177178989,0.200850675519148,2395,"tags=43%, list=34%, signal=29%","Arhgef7/Prex1/Rasa2/Kif5b/Mapre1/Mark4/Arf6/Cdc27/Tlk1/Atg4b/Cdk5rap2/Lats1/Sptbn1/Lrpprc/Rab3gap1/Hook3/Marcks/Cd2ap/Fgd4/Pdlim5/Nf1/Nck1/Mid1/Ckap5/Abi1/Dlg1/Tsc1/Taok2/Klc1/Rictor/Stk38l/Sos1/Pcm1/Arhgef2/Rasa1/Stau1/Arhgef11/Clip1/Sptan1/Abl1/Cep57/Dynll2/Itsn1/Ophn1/Arhgef3/Rabgap1/Numa1/Arhgap10/Map1s/Arhgap5/Dst/Arhgef12/Wasl/Flnb"
"HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING",119,0.226700306060677,1.19572505330231,0.0391121386320966,0.238510177178989,0.200850675519148,373,"tags=15%, list=5%, signal=15%","Sell/Hopx/Glipr2/Capg/Tiam1/Ifitm3/Socs1/Cish/Traf1/Il3ra/Rnh1/Ccnd3/Ccnd2/Uck2/Plec/Cd44/Socs2/Tgm2"
"HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TGF_BETA_SIGNALING",42,-0.457574464580415,-1.37199741393459,0.0477044854881266,0.238522427440633,0.200860991528954,1944,"tags=43%, list=28%, signal=31%","Tgfbr1/Smurf1/Sptbn1/Ncor2/Pmepa1/Smad1/Smurf2/Eng/Hipk2/Trim33/Ppm1a/Smad7/Bmpr2/Bcar3/Serpine1/Smad3/Ctnnb1/Fnta"
