"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"NABA_SECRETED_FACTORS","NABA_SECRETED_FACTORS","NABA_SECRETED_FACTORS",62,0.385278029370414,1.80718983999546,0.000677329874084258,0.00745062861492684,0.00463436229636598,557,"tags=35%, list=8%, signal=33%","S100a8/S100a10/S100a6/Il23a/S100a4/Ccl2/S100a11/Inhba/S100a9/Il18/Tnfsf14/S100a13/Cxcl9/Cxcl2/Cxcl3/Ccl6/Tnf/Ccl9/S100a1/Ccl7/Hbegf/Cxcl10"
"NABA_ECM_REGULATORS","NABA_ECM_REGULATORS","NABA_ECM_REGULATORS",54,-0.516429677841878,-1.72152200149524,0.000432916290680816,0.00745062861492684,0.00463436229636598,1820,"tags=52%, list=25%, signal=39%","Adam9/Adamts6/Ctso/Ctsh/Sulf2/Egln3/F13a1/Serpine1/Plod1/Adam17/P4ha1/Ctsd/Fam20c/Ctsb/Mmp12/Adamdec1/Ctsa/Mmp9/Cela1/Mmp14/Mmp25/Timp2/Htra3/Mmp13/Serpinb6a/Plau/Serpinb2/Adam19"
"NABA_ECM_GLYCOPROTEINS","NABA_ECM_GLYCOPROTEINS","NABA_ECM_GLYCOPROTEINS",25,-0.589383773336013,-1.72393155055751,0.00245208243788383,0.013486453408361,0.00838870307697099,872,"tags=32%, list=12%, signal=28%","Ints6l/Ntng2/Spon1/Fn1/Emilin1/Edil3/Igfbp4/Gas6"
"NABA_CORE_MATRISOME","NABA_CORE_MATRISOME","NABA_CORE_MATRISOME",28,-0.573859936088791,-1.71300112510488,0.00224586288416076,0.013486453408361,0.00838870307697099,872,"tags=32%, list=12%, signal=28%","Ints6l/Ntng2/Spon1/Fn1/Emilin1/Edil3/Col14a1/Igfbp4/Gas6"
"NABA_MATRISOME","NABA_MATRISOME","NABA_MATRISOME",180,-0.373314779155439,-1.410027335103,0.0051567239635996,0.0226895854398382,0.0141131392687989,995,"tags=28%, list=14%, signal=25%","P4ha1/Ctsd/Lif/Fam20c/Ctsb/Ints6l/Pdgfa/Plxnc1/Plxnd1/Mmp12/Tnfsf12/Il10/Ntng2/C1qb/Adamdec1/Pf4/Fgf13/Ctsa/Tgfb3/Colec12/Mmp9/Nrg1/Cela1/Spon1/Mmp14/C1qc/Mmp25/C1qa/Timp2/Gdf15/Fn1/Htra3/Pgf/Mgl2/Emilin1/Ccl22/Mmp13/Serpinb6a/Plau/Plxdc2/Edil3/Hgf/Pdgfb/Serpinb2/Pdgfc/Igf1/Col14a1/Adam19/Igfbp4/Gas6"
"SA_MMP_CYTOKINE_CONNECTION","SA_MMP_CYTOKINE_CONNECTION","SA_MMP_CYTOKINE_CONNECTION",10,0.576899714402651,1.64470570284863,0.0348319157553665,0.106195584871805,0.066054670015955,586,"tags=30%, list=8%, signal=28%","Sell/Tnf/Fcgr4"
"SA_B_CELL_RECEPTOR_COMPLEXES","SA_B_CELL_RECEPTOR_COMPLEXES","SA_B_CELL_RECEPTOR_COMPLEXES",22,-0.518784945099912,-1.47517104507537,0.0388337769174933,0.106195584871805,0.066054670015955,2642,"tags=68%, list=36%, signal=44%","Lyn/Syk/Mapk1/Vav3/Fos/Grb2/Mapk8ip3/Mapk3/Rps6ka1/Map3k1/Jun/Rps6ka3/Vav1/Vav2/Blnk"
"SIG_CD40PATHWAYMAP","SIG_CD40PATHWAYMAP","SIG_CD40PATHWAYMAP",23,-0.511969937679666,-1.47258335941099,0.0403409773082003,0.106195584871805,0.066054670015955,2520,"tags=65%, list=34%, signal=43%","Mapk1/Traf6/Cd40/Mapk8ip3/Pik3ca/Mapk3/Map2k7/Dusp1/Mapk14/Pik3cd/Mapk8/Nfkb1/Traf5/Pik3r1/Traf3"
"SIG_BCR_SIGNALING_PATHWAY","SIG_BCR_SIGNALING_PATHWAY","SIG_BCR_SIGNALING_PATHWAY",40,-0.447285102677787,-1.42076457333498,0.0434436483566473,0.106195584871805,0.066054670015955,2150,"tags=45%, list=29%, signal=32%","Ptprc/Ppp3cb/Grb2/Pik3ca/Mapk3/Gsk3b/Ppp3ca/Pik3cd/Sos2/Nfatc1/Vav1/Pik3r1/Nfatc2/Inpp5d/Itpr2/Bcl2/Blnk/Cd81"
"NABA_MATRISOME_ASSOCIATED","NABA_MATRISOME_ASSOCIATED","NABA_MATRISOME_ASSOCIATED",152,-0.335692788055921,-1.25350939609654,0.0737913486005089,0.16234096692112,0.100977634927012,995,"tags=27%, list=14%, signal=24%","P4ha1/Ctsd/Lif/Fam20c/Ctsb/Pdgfa/Plxnc1/Plxnd1/Mmp12/Tnfsf12/Il10/C1qb/Adamdec1/Pf4/Fgf13/Ctsa/Tgfb3/Colec12/Mmp9/Nrg1/Cela1/Mmp14/C1qc/Mmp25/C1qa/Timp2/Gdf15/Htra3/Pgf/Mgl2/Ccl22/Mmp13/Serpinb6a/Plau/Plxdc2/Hgf/Pdgfb/Serpinb2/Pdgfc/Igf1/Adam19"
"SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES","SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES","SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES",40,-0.384352736444685,-1.22086505527626,0.189696349368816,0.379392698737632,0.235985889166948,2536,"tags=48%, list=34%, signal=31%","Brd4/Mapk1/Cyth3/Grb2/Pik3ca/Mapk3/Rps6ka1/Foxo1/Gsk3b/Pik3cd/Pten/Sos2/Inppl1/Rps6ka3/Rps6ka2/Cbl/Irs2/Pik3r1/Serpinb6a"
"SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES","SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES","SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES",50,-0.353706210754518,-1.16685700995485,0.24233366544891,0.444278386656334,0.276345407968055,2079,"tags=36%, list=28%, signal=26%","Grb2/Pik3ca/Rps6ka1/Gsk3b/Tsc1/Pik3cd/Pten/Sos2/Inppl1/Rps6ka3/Gab1/Creb5/Rps6ka2/Irs2/Creb1/Foxo3/Prex1/Igf1"
"SA_CASPASE_CASCADE","SA_CASPASE_CASCADE","SA_CASPASE_CASCADE",12,0.373995200058876,1.12811564682325,0.290022172949002,0.490806754221388,0.305286497841055,214,"tags=17%, list=3%, signal=16%","Casp3/Fas"
"WNT_SIGNALING","WNT_SIGNALING","WNT_SIGNALING",37,-0.343774110587835,-1.08031976191728,0.366311691285927,0.542684766214178,0.337555117740876,169,"tags=38%, list=2%, signal=37%","Rpl13a/Btrc/Ep300/Apc/Daam1/Gsk3b/Nlk/Jun/Senp2/Fbxw11/Fzd7/Fbxw4/Lrp6/Tle1"
"SA_PTEN_PATHWAY","SA_PTEN_PATHWAY","SA_PTEN_PATHWAY",16,-0.406728536325118,-1.07534877892279,0.385837607906919,0.542684766214178,0.337555117740876,2779,"tags=56%, list=38%, signal=35%","Pdpk1/Mapk1/Grb2/Ptk2b/Pik3ca/Mapk3/Pik3cd/Pten/Ipcef1"
"SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES","SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES","SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES",31,-0.342756579321486,-1.04270187404148,0.419347319347319,0.542684766214178,0.337555117740876,2779,"tags=55%, list=38%, signal=34%","Pdpk1/Lyn/Syk/Cyth3/Ptprc/Dapp1/Pik3ca/Rps6ka1/Pten/Rps6ka3/Gab1/Tec/Rps6ka2/Vav1/Foxo3/Itpr2/Prex1"
"SA_G1_AND_S_PHASES","SA_G1_AND_S_PHASES","SA_G1_AND_S_PHASES",10,0.356423516603157,1.01614158535954,0.419198055893074,0.542684766214178,0.337555117740876,4739,"tags=100%, list=64%, signal=36%","Nxt1/Cdk4/Arf1/Mdm2/Cdkn1a/Ccnd1/Cfl1/Cdkn1b/Arf3/Trp53"
"SIG_IL4RECEPTOR_IN_B_LYPHOCYTES","SIG_IL4RECEPTOR_IN_B_LYPHOCYTES","SIG_IL4RECEPTOR_IN_B_LYPHOCYTES",26,-0.342537585247887,-1.00933562796712,0.470854151796336,0.575488407751077,0.357959296687273,2079,"tags=46%, list=28%, signal=33%","Grb2/Pik3ca/Mapk3/Gsk3b/Jak3/Jak1/Pik3cd/Sos2/Il4ra/Irs2/Pik3r1/Bcl2"
"SIG_CHEMOTAXIS","SIG_CHEMOTAXIS","SIG_CHEMOTAXIS",31,-0.325501996441744,-0.990211602548733,0.497086247086247,0.57557354925776,0.358012255519181,3329,"tags=52%, list=45%, signal=28%","Rps4x/Rock1/Pak1/Pik3cg/Rock2/Pdpk1/Arhgef11/Pik3ca/Arhgap4/Gdi1/Pik3cd/Pten/Inppl1/Gdi2/Pik3r1/Itpr2"
"NABA_ECM_AFFILIATED","NABA_ECM_AFFILIATED","NABA_ECM_AFFILIATED",36,-0.306877600601107,-0.96108806686402,0.546130952380952,0.600744047619048,0.373668546365915,829,"tags=28%, list=11%, signal=25%","Clec10a/Clec4n/Plxnc1/Plxnd1/C1qb/Colec12/C1qc/C1qa/Mgl2/Plxdc2"
"SIG_REGULATION_OF_THE_ACTIN_CYTOSKELETON_BY_RHO_GTPASES","SIG_REGULATION_OF_THE_ACTIN_CYTOSKELETON_BY_RHO_GTPASES","SIG_REGULATION_OF_THE_ACTIN_CYTOSKELETON_BY_RHO_GTPASES",18,0.174651773934994,0.598891489622512,0.964656964656965,0.977749196141479,0.608169356451638,447,"tags=11%, list=6%, signal=10%","Flna/Cfl2"
"SA_TRKA_RECEPTOR","SA_TRKA_RECEPTOR","SA_TRKA_RECEPTOR",13,-0.207530982188609,-0.522254634168308,0.977749196141479,0.977749196141479,0.608169356451638,2079,"tags=69%, list=28%, signal=50%","Akt2/Rhoa/Akt1/Sos1/Map2k1/Shc1/Grb2/Pik3ca/Pik3cd"
