"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",84,0.542384505283378,2.72348772985382,1.62989606120823e-11,6.55289482994302e-10,4.6904931414329e-10,1273,"tags=50%, list=17%, signal=42%","H2-Q7/Sell/Gbp2/Irf7/Isg15/Ly6e/Ifitm3/Oas1a/Oasl1/Nmi/Psmb8/Casp1/Rtp4/Ifi35/Samd9l/Bst2/Ifitm1/Psme2/Ube2l6/Psmb9/Ifitm2/Psme1/Irf1/Tap1/Sp110/B2m/Cxcl10/Cnp/Gbp3/Irf2/Ifit3/Ripk2/Rsad2/Psma3/Helz2/Txnip/Procr/Ogfr/Mvb12a/Dhx58/Trim26/Wars1"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",177,0.403274190295299,2.27621952381811,2.62115793197721e-11,6.55289482994302e-10,4.6904931414329e-10,1608,"tags=50%, list=22%, signal=40%","Cycs/Grpel1/Cox5b/Timm17a/Eci1/Fdx1/Ndufb1/Atp5j2/Ndufb6/Atp5j/Cox7b/Ndufa1/Cox17/Cox7a2/Timm8b/Cox7c/Polr2f/Cox6c/Ndufb3/Surf1/Ndufb8/Cox6b1/Ndufc1/Ndufa7/Atp5g1/Ndufa4/Timm10/Ndufb2/Uqcr10/Ndufv1/Sdhb/Ndufa8/Mrpl11/Acaa2/Ndufa3/Cox8a/Ndufb7/Atp5l/Atp5k/Tomm22/Ndufs4/Aifm1/Cox6a1/Bax/Vdac3/Atp5e/Ndufs8/Mrpl34/Uqcrq/Hsd17b10/Mrpl35/Atp5h/Uqcrb/Atp6v1e1/Atp5o/Ndufa6/Mdh2/Ndufv2/Ndufa5/Ndufs6/Uqcrfs1/Atp5g3/Atp5pb/Uqcrc1/Cox5a/Ech1/Ndufa2/Cyc1/Idh3a/Slc25a4/Atp5d/Atp5c1/Por/Uqcrh/Ldha/Atp6v1f/Cpt1a/Mrps12/Ndufab1/Alas1/Uqcr11/Vdac1/Ndufb4/Idh3b/Etfdh/Timm13/Etfb/Cox4i1"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",166,0.395338973455552,2.20050870077641,4.42202090722947e-10,7.37003484538245e-09,5.27539336301059e-09,870,"tags=33%, list=12%, signal=29%","Upp1/H2-Q7/Casp3/Cfb/Itgb7/Socs1/Ccl2/Irf7/Isg15/Zbp1/Ly6e/Ifitm3/Oasl1/St3gal5/Nmi/Samhd1/H2-D1/Arl4a/Psmb8/Cxcl9/Casp1/Fas/Rtp4/Psmb10/Ifi35/Fcgr1/Samd9l/Bst2/Psme2/Sod2/Fgl2/Ube2l6/Psmb9/Ifitm2/Psme1/Irf1/Tnfaip6/Tap1/Psma2/Sp110/Xaf1/Ccl7/B2m/Cxcl10/Gch1/Psmb2/Il18bp/Gbp3/Irf2/Slamf7/Stat1/Ifit3/Ripk2/Rsad2"
"HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN",81,-0.48776254076337,-1.71383611891537,0.000259274933830669,0.00324093667288336,0.00231982835532704,2261,"tags=56%, list=31%, signal=39%","Mta1/Cdk13/Togaram1/Rasa2/Smad7/Atp2c1/Scaf8/Atxn1/Nipbl/Wdr37/Dusp1/Inpp4b/Runx1/Atrx/Mapk14/Abcc1/Pdlim5/Pik3cd/Serpine1/Pten/Nr3c1/Atp2b1/Celf2/Nfkb1/Apbb2/Nek7/Slc7a1/Dyrk1a/Igf1r/Lpar1/Rxra/Smad3/Map2k5/Adgrl2/Prkca/Nrp1/Dab2/Sfmbt1/Tgfbr2/Vav2/Syne1/Mgmt/Ptprm/Pmp22/Cacna1a"
"HALLMARK_NOTCH_SIGNALING","HALLMARK_NOTCH_SIGNALING","HALLMARK_NOTCH_SIGNALING",22,-0.595923745198615,-1.68687087628503,0.0033698399326032,0.0325217444610429,0.0232787223510623,1244,"tags=36%, list=17%, signal=30%","Notch1/Ppard/Fbxw11/Dtx4/Maml2/Prkca/Fzd7/Hes1"
"HALLMARK_DNA_REPAIR","HALLMARK_DNA_REPAIR","HALLMARK_DNA_REPAIR",102,0.288672985152938,1.49733660451462,0.00390260933532515,0.0325217444610429,0.0232787223510623,731,"tags=24%, list=10%, signal=21%","Polr2d/Nt5c3/Edf1/Nt5c/Cox17/Itpa/Adrm1/Aprt/Gtf2f1/Polr2c/Polr2k/Polr1h/Polr2f/Polr2i/Surf1/Polr1d/Mpc2/Rbx1/Gtf2h5/Supt4a/Snapc5/Nme1/Polr2j/Polr2h"
"HALLMARK_KRAS_SIGNALING_DN","HALLMARK_KRAS_SIGNALING_DN","HALLMARK_KRAS_SIGNALING_DN",30,-0.545409182985736,-1.63995584690886,0.00477521546703937,0.034108681907424,0.0244146354705772,2173,"tags=67%, list=30%, signal=47%","Nr4a2/Mthfr/Entpd7/Slc29a3/Kmt2d/Camk1d/Mast3/Cd80/Skil/Cpeb3/Ptprj/Vps50/Cdkal1/Sgk1/Fggy/Tent5c/Slc16a7/Prkn/Serpinb2/Selenop"
"HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_HEDGEHOG_SIGNALING",15,-0.647600954439966,-1.67904664367582,0.00605220022695751,0.0367879519457378,0.0263324287611597,1126,"tags=67%, list=15%, signal=57%","Vegfa/Dpysl2/Nf1/Ldb1/Rasa1/Nrp2/Rtn1/Nrp1/Tle1/Ophn1"
"HALLMARK_HEME_METABOLISM","HALLMARK_HEME_METABOLISM","HALLMARK_HEME_METABOLISM",114,-0.401897255679598,-1.46715150457192,0.0066218313502328,0.0367879519457378,0.0263324287611597,2710,"tags=48%, list=37%, signal=31%","Adipor1/Rbm5/Btrc/Btg2/Rnf19a/Trak2/Atg4a/Tspan5/Clcn3/Foxj2/Top1/Xpo7/Lmo2/Slc30a1/Daam1/Slc7a11/Ncoa4/Mospd1/Slc6a8/Hebp1/Cdc27/Synj1/Sdcbp/Fbxo34/Htra2/Nr3c1/Mark3/Minpp1/Ctns/Bach1/Lpin2/Ranbp10/Gapvd1/Khnyn/Ctsb/Marchf8/Nek7/Kdm7a/Atp6v0a1/Picalm/Mfhas1/Fech/Slc11a2/Foxo3/Epb41/Ell2/Mxi1/Bmp2k/Cat/Sec14l1/Gclc/Acp5/Tent5c/Tns1/Arhgef12"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",69,-0.436885029407482,-1.50582036476591,0.00979864326477872,0.0489932163238936,0.0350688285265765,319,"tags=20%, list=4%, signal=20%","Mmp14/Anpep/Dst/Itgav/Itgb5/Fn1/Dab2/Pdlim4/Pmepa1/Cadm1/Edil3/Vcam1/Pmp22/Igfbp4"
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",127,0.257711446426709,1.38262286160393,0.0169926771807617,0.0772394417307348,0.0552871793441049,614,"tags=20%, list=8%, signal=19%","Sell/Met/Slc28a2/Ccl2/Irf7/Inhba/Ly6e/Sgms2/Emp3/Nmi/Il18/Cxcl9/Rtp4/Bst2/Slc31a2/Adora2b/Ifitm1/Adrm1/Irf1/Tnfaip6/Ccl7/Hbegf/Cxcl10/Mefv/Gch1/Clec5a"
