"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_CHOLESTEROL_HOMEOSTASIS",41,-0.567308390142208,-1.57780293661444,0.00174287471806438,0.040957555874513,0.0302709819453288,1559,"tags=41%, list=22%, signal=32%","Cxcl16/Plscr1/Niban1/Atxn2/Trp53inp1/Chka/Clu/Atf3/Srebf2/Scd2/Aldoc/Hmgcr/Ctnnb1/Idi1/Cyp51/Fdps/Jag1"
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_ANDROGEN_RESPONSE","HALLMARK_ANDROGEN_RESPONSE",64,-0.520139579454314,-1.51088947297571,0.00121583072273746,0.040957555874513,0.0302709819453288,1057,"tags=28%, list=15%, signal=24%","Pdlim5/Sec24d/Mertk/Pmepa1/Lman1/Scd2/Ncoa4/Selenop/Tsc22d1/Hmgcr/Ank/H1f0/Cdc14b/Idi1/Inpp4b/Ccnd1/Fads1/Insig1"
"HALLMARK_BILE_ACID_METABOLISM","HALLMARK_BILE_ACID_METABOLISM","HALLMARK_BILE_ACID_METABOLISM",38,-0.549706353891859,-1.51806982048853,0.00657489213067598,0.064202490960225,0.0474508891755302,1201,"tags=39%, list=17%, signal=33%","Pex19/Rxra/Aldh9a1/Cyp27a1/Gclm/Idh1/Abca9/Slc29a1/Acsl5/Cat/Bcar3/Paox/Idh2/Idi1/Fads1"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",84,-0.472623419039191,-1.40076367658368,0.00521721681549112,0.064202490960225,0.0474508891755302,1830,"tags=43%, list=26%, signal=32%","Mvb12a/Cnp/Bst2/Cd74/Parp9/Ube2l6/Lpar6/Nmi/Gbp3/Plscr1/Stat2/Dhx58/Cxcl10/Epsti1/Ifih1/Lap3/Rsad2/Tmem140/Parp14/Isg15/Rtp4/Samd9l/Eif2ak2/Adar/Pnpt1/Ifi44l/Lgals3bp/Herc6/Trim14/Il15/Ddx60/Tdrd7/Ifi44/Usp18/Ifit2/Ifit3"
"HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY",80,-0.472600711823715,-1.39630253019109,0.00683005222981117,0.064202490960225,0.0474508891755302,698,"tags=22%, list=10%, signal=20%","Ncor2/Bcl2/Dynlt3/Myof/Papss2/Adcy9/Nav2/Myc/Egr3/Fkbp4/Arl3/Inpp5f/Cant1/Ccnd1/Flnb/Olfml3/Igfbp4/Hes1"
"HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_HEDGEHOG_SIGNALING",15,-0.62768889363575,-1.50987831449643,0.0204668658037394,0.0801618910646458,0.0592461904845087,699,"tags=40%, list=10%, signal=36%","Rasa1/Ldb1/Ophn1/Nrp1/Pml/Tle1"
"HALLMARK_NOTCH_SIGNALING","HALLMARK_NOTCH_SIGNALING","HALLMARK_NOTCH_SIGNALING",22,-0.580468716781523,-1.48990627140392,0.019559902200489,0.0801618910646458,0.0592461904845087,79,"tags=14%, list=1%, signal=14%","Ccnd1/Jag1/Hes1"
"HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2",32,-0.54223692363102,-1.46802515786403,0.0188503366131538,0.0801618910646458,0.0592461904845087,2295,"tags=62%, list=33%, signal=42%","Dusp2/Dctpp1/Pes1/Nop16/Mrto4/Mybbp1a/Tbrg4/Wdr43/Cdk4/Ddx18/Phb/Gnl3/Nolc1/Hspd1/Nip7/Prmt3/Srm/Cbx3/Pprc1/Myc"
"HALLMARK_PEROXISOME","HALLMARK_PEROXISOME","HALLMARK_PEROXISOME",62,-0.478871263014058,-1.38830607266482,0.0184624697336562,0.0801618910646458,0.0592461904845087,480,"tags=21%, list=7%, signal=20%","Slc25a17/Abcc5/Acsl5/Ide/Cat/Smarcc1/Pex2/Idh2/Idi1/Acox1/Fads1/Fdps/Cadm1"
"HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION",82,-0.460093140539344,-1.36112757566265,0.0134538152610442,0.0801618910646458,0.0592461904845087,767,"tags=24%, list=11%, signal=22%","Itga9/Rasa1/Sympk/Taok2/Baiap2/Pals1/Cdk8/Vav2/Pkd1/Src/Wasl/Ctnnd1/Vcam1/Tspan4/Rras/Gamt/Lima1/Hadh/Mmp2/Insig1"
"HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING",66,0.267989342263135,1.33353341743719,0.0175814518810624,0.0801618910646458,0.0592461904845087,669,"tags=30%, list=10%, signal=28%","Cxcl3/Cxcl2/Cxcl1/Fas/Tnf/Cd44/Pik3r5/Il1r2/Cd14/Bak1/Cd9/Il3ra/Tnfrsf1b/Csf2rb2/Hmox1/Pim1/Cd36/Il6/Il1b/Tgfb1"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",98,-0.440952057435709,-1.3198322966066,0.02043883378419,0.0801618910646458,0.0592461904845087,2993,"tags=68%, list=43%, signal=40%","Smc1a/Lyar/Nasp/Pop7/Pold3/Phf5a/Jpt1/Top2a/Pa2g4/Usp1/Eif2s1/Smc4/Srsf2/Anp32e/Exosc8/Tubb5/Stmn1/Rpa1/Nup153/Dctpp1/Rbbp7/Syncrip/Naa38/Ctcf/Atad2/Pcna/Ing3/Dck/Mthfd2/Mcm3/Orc2/Rad21/Trp53/Prim2/Rad50/Gspt1/Smc6/Tbrg4/Cks1b/Ezh2/H2ax/Pnn/Prkdc/Ilf3/Cdk4/Rfc2/Nudt21/Cse1l/Prps1/Xpo1/Luc7l3/Ssrp1/Nup205/Rnaseh2a/Tmpo/Nolc1/Pttg1/Srsf1/Dnmt1/Ipo7/Prdx4/Ddx39a/Smc3/Rfc1/Pds5b/Paics/Myc"
"HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_WNT_BETA_CATENIN_SIGNALING",19,-0.594498322706292,-1.48837930580668,0.0224379719525351,0.0811218985976268,0.0599557145290411,698,"tags=37%, list=10%, signal=33%","Axin1/Ncor2/Csnk1e/Hdac2/Ctnnb1/Myc/Jag1"
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE",124,-0.422390952260909,-1.28045907790217,0.0242121060530265,0.0812834988923033,0.0600751503571335,1710,"tags=33%, list=24%, signal=25%","Lrpprc/Tubgcp2/Sos1/Arhgef7/Trio/Clip1/Sptan1/Arhgef11/Tlk1/Rapgef5/Marcks/Ckap5/Kif3b/Nck1/Abl1/Pdlim5/Mid1/Ssh2/Cep250/Arhgef3/Septin9/Stk38l/Pcm1/Dynll2/Rasa1/Taok2/Smc3/Sptbn1/Rfc1/Ophn1/Numa1/Map1s/Cd2ap/Fgd6/Fgd4/Wasl/Dst/Cep57/Arhgap5/Flnb/Arhgef12"
