"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"NABA_MATRISOME","NABA_MATRISOME","NABA_MATRISOME",174,-0.339285102522231,-1.60555818508529,0.00013673208604499,0.00287137380694479,0.00244678469764719,525,"tags=25%, list=8%, signal=23%","Csf1/Clec4e/Lgals3/Vegfa/Serpinb6a/Gdf15/Anxa2/Mmp8/Mmp19/Ccl6/S100a8/Thbs1/Csta2/Cxcl2/Adam8/Ecm1/Plxdc1/Ctsd/Il1a/Serpinb9/Clec4d/Lif/Il23a/F13a1/Tnf/Fam20a/Ints14/Slpi/Tnfsf9/F7/Ctsl/Ccl24/Fam20c/Serpine1/Cxcl1/Spp1/Mmp12/Ccn3/Mmp9/Pf4/Cxcl3/Inhba/Serpinb2"
"NABA_ECM_REGULATORS","NABA_ECM_REGULATORS","NABA_ECM_REGULATORS",53,-0.481235938526563,-1.86212672367675,0.000562788603335496,0.00393952022334847,0.00335698465147489,461,"tags=32%, list=7%, signal=30%","Serpinb6a/Mmp8/Mmp19/Csta2/Adam8/Ctsd/Serpinb9/F13a1/Fam20a/Slpi/F7/Ctsl/Fam20c/Serpine1/Mmp12/Mmp9/Serpinb2"
"NABA_MATRISOME_ASSOCIATED","NABA_MATRISOME_ASSOCIATED","NABA_MATRISOME_ASSOCIATED",149,-0.341535045072808,-1.59197806949201,0.000459979736725778,0.00393952022334847,0.00335698465147489,525,"tags=26%, list=8%, signal=24%","Csf1/Clec4e/Lgals3/Vegfa/Serpinb6a/Gdf15/Anxa2/Mmp8/Mmp19/Ccl6/S100a8/Csta2/Cxcl2/Adam8/Plxdc1/Ctsd/Il1a/Serpinb9/Clec4d/Lif/Il23a/F13a1/Tnf/Fam20a/Slpi/Tnfsf9/F7/Ctsl/Ccl24/Fam20c/Serpine1/Cxcl1/Mmp12/Mmp9/Pf4/Cxcl3/Inhba/Serpinb2"
"NABA_SECRETED_FACTORS","NABA_SECRETED_FACTORS","NABA_SECRETED_FACTORS",58,-0.370798409692559,-1.46692069087456,0.0267896354852877,0.14064558629776,0.119848369276287,788,"tags=34%, list=13%, signal=30%","Il6/S100a10/S100a9/Fgf13/Csf1/Vegfa/Gdf15/Ccl6/S100a8/Cxcl2/Il1a/Lif/Il23a/Tnf/Tnfsf9/Ccl24/Cxcl1/Pf4/Cxcl3/Inhba"
"SA_G1_AND_S_PHASES","SA_G1_AND_S_PHASES","SA_G1_AND_S_PHASES",11,0.624110240991748,1.44356118735584,0.0744310998735778,0.264512595837897,0.225399204473396,475,"tags=27%, list=8%, signal=25%","Ccnd1/Cdk4/E2f1"
"NABA_ECM_AFFILIATED","NABA_ECM_AFFILIATED","NABA_ECM_AFFILIATED",38,0.455938099096489,1.38856813585399,0.0755750273822563,0.264512595837897,0.225399204473396,1094,"tags=26%, list=18%, signal=22%","Plxna4/Plxnb2/Clec4a3/Anxa4/Lman1/Mgl2/Lgals9/Plxnd1/Plxdc2/Lgals8"
"SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES","SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES","SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES",29,0.413302406929946,1.19131729530574,0.231032028469751,0.606459074733096,0.516782168945495,303,"tags=10%, list=5%, signal=10%","Phf11d/Phf11b/Rps6ka1"
"NABA_ECM_GLYCOPROTEINS","NABA_ECM_GLYCOPROTEINS","NABA_ECM_GLYCOPROTEINS",22,-0.376647718389936,-1.17895951053663,0.218622208241585,0.606459074733096,0.516782168945495,340,"tags=23%, list=5%, signal=22%","Thbs1/Ecm1/Ints14/Spp1/Ccn3"
"SA_B_CELL_RECEPTOR_COMPLEXES","SA_B_CELL_RECEPTOR_COMPLEXES","SA_B_CELL_RECEPTOR_COMPLEXES",19,0.430848291166422,1.14109716408559,0.294204831777086,0.617830146731881,0.52647180423268,1197,"tags=37%, list=19%, signal=30%","Rps6ka1/Jun/Hras/Mapk3/Fos/Vav1/Blnk"
"NABA_CORE_MATRISOME","NABA_CORE_MATRISOME","NABA_CORE_MATRISOME",25,-0.347069573924442,-1.12703601341949,0.278083522175461,0.617830146731881,0.52647180423268,340,"tags=36%, list=5%, signal=34%","Mfge8/Fn1/Srgn/Lrg1/Thbs1/Ecm1/Ints14/Spp1/Ccn3"
