"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",84,0.685852225576599,2.37741202923142,1.47570877552521e-11,7.37854387762607e-10,4.9708085070323e-10,785,"tags=50%, list=13%, signal=44%","Ifit3/Isg20/Usp18/Ifi44/Ifit2/Cxcl11/Isg15/Ifi44l/Oas1a/Irf7/Ube2l6/Tdrd7/Cnp/Dhx58/Ddx60/Cxcl10/Eif2ak2/Il15/Trim14/Lgals3bp/Bst2/Nmi/Rtp4/Herc6/Samd9l/Ifi35/Helz2/Epsti1/Gbp3/Adar/Sell/Parp14/Sp110/Ifitm3/Trim26/Wars1/Ly6e/Stat2/Psme1/Trim12c/Oasl1/Plscr1"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",163,0.569964611244906,2.13642804226411,5.05187554882833e-11,1.26296888720708e-09,8.50842197697403e-10,914,"tags=35%, list=15%, signal=31%","Ifit3/Isg20/Usp18/Ifi44/Ifit2/Cxcl11/Oas2/Isg15/Ifi44l/Xaf1/Irf7/Ube2l6/Tdrd7/Dhx58/Oas3/Ddx60/Cxcl10/Eif2ak2/Bank1/Il15/Trim14/Lgals3bp/Rigi/Bst2/Nmi/Rtp4/Herc6/Zbp1/Samd9l/Rnf213/Pml/Ifi35/Helz2/Fcgr1/Epsti1/Gbp3/Adar/Parp14/Vcam1/Sp110/Ifitm3/Gbp8/Trim26/Wars1/Ly6e/Stat2/Psme1/Psmb10/Samhd1/Cfb/Oasl1/Ciita/Plscr1/Ogfr/Tapbp/Parp12/Casp7"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",96,0.633621351387488,2.23050796807145,1.17097240172883e-09,1.95162066954806e-08,1.31477603001132e-08,1480,"tags=62%, list=24%, signal=48%","Tipin/Pttg1/Mcm2/Rfc1/Nolc1/Smc3/Cks1b/Ezh2/Prdx4/Tmpo/Paics/Dnmt1/Top2a/Plk4/Mre11a/Cse1l/Cdk4/Birc5/Ssrp1/Dck/Nup205/Dut/Lyar/Ranbp1/Dctpp1/H2ax/Ing3/Mcm3/Jpt1/Pa2g4/Srsf1/Rfc2/Naa38/Mcm5/Nudt21/Ipo7/Cdca3/Nme1/Xpo1/Exosc8/Gspt1/Eif2s1/Smc4/Smc6/Lbr/Nasp/Hnrnpd/Rad21/Ran/Srsf2/Lig1/Nup107/Hmgb2/Trp53/Atad2/Dek/Ctcf/Mcm6/Pcna/Prim2"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",167,0.478185403078659,1.7978687368435,7.23748186391678e-06,9.04685232989597e-05,6.09472156961413e-05,1600,"tags=50%, list=26%, signal=38%","Lsm2/Srm/Mcm2/Nolc1/Cbx3/Psmd7/Prdx4/Smarcc1/Snrpa/Tyms/Ddx18/Impdh2/Trim28/Acp1/Hspd1/Tufm/Cdk4/Eif3j1/Erh/Pole3/Pabpc4/Lsm7/Dut/Ppm1g/Ranbp1/Sf3b3/Cct3/Tfdp1/Snrpd1/Tcp1/Gnl3/Pa2g4/Srsf1/Xpot/Cct4/Mcm5/C1qbp/Cyc1/Eif2s2/Vdac3/Cct7/Hnrnpa3/Psma4/Nme1/Snrpd3/Hdgf/Xpo1/Gspt1/Snrpb2/Eif3d/Eif2s1/Ncbp2/Nhp2/Rnps1/Hspe1/Clns1a/Psmc4/Rsl1d1/Prdx3/Srsf3/Cct5/Ssbp1/Set/Ddx21/Hnrnpd/Psma7/Ran/Rad23b/Ywhae/Srsf2/Eif3b/Hnrnpu/Prpf31/Dek/Mcm6/Pcna/Pcbp1/Uba2/Psmd14/Ywhaq/Fbl/Txnl4a/Psmb3"
"HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT",121,-0.365585563460911,-1.64971466867717,0.000241627727366364,0.00241627727366364,0.00162780784752077,989,"tags=28%, list=16%, signal=24%","Pik3ca/Rnf4/Lrp1/Src/Fn1/Usp16/Zeb1/Gpd2/Il6/Pik3r5/Pla2g4a/S100a9/F10/Dgkg/Irf1/Ehd1/Lgals3/Dpp4/Mmp8/Dusp5/Cxcl2/Ctsd/Olr1/F5/Hspa1a/Apoc1/F7/Ctsl/Serpine1/Cxcl1/Mmp12/Cxcl3/Cd36/Serpinb2"
"HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2",26,0.661649432824306,1.87567260688705,0.000534372161440411,0.00384435341844403,0.00258988019768861,702,"tags=54%, list=11%, signal=48%","Srm/Nolc1/Cbx3/Ddx18/Plk4/Hspd1/Cdk4/Dctpp1/Mybbp1a/Gnl3/Wdr43/Farsa/Pa2g4/Mcm5"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",111,0.468052054977486,1.67949953248719,0.000538209478582164,0.00384435341844403,0.00258988019768861,1512,"tags=46%, list=24%, signal=35%","Ccnd1/Pttg1/Slc7a1/Mcm2/Nolc1/Cks1b/Ezh2/Tmpo/Smarcc1/Pml/Top2a/Plk4/Dtymk/Ube2c/Cdk4/Birc5/Rbl1/E2f1/H2ax/Mcm3/Tfdp1/Snrpd1/Sap30/Jpt1/Nsd2/Srsf1/Cbx1/Mcm5/Numa1/Cenpa/Xpo1/Gspt1/Kmt5a/Mapk14/Smc4/Lbr/Smc2/Nasp/E2f4/Smad3/Hnrnpd/Rad21/Rad23b/Srsf2/Wrn/Hnrnpu/Ctcf/Cul5/Mcm6/Prim2/Marcks"
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_ANDROGEN_RESPONSE","HALLMARK_ANDROGEN_RESPONSE",59,0.5287224919612,1.73475051952031,0.00099434888282224,0.006214680517639,0.00418673213819891,1030,"tags=32%, list=17%, signal=27%","Ccnd1/Inpp4b/H1f0/Hmgcr/Tsc22d1/Lman1/Scd2/Ccnd3/Cdk6/Ncoa4/Fkbp5/Pmepa1/Pa2g4/Sms/Selenop/Mertk/Abcc4/Pdlim5/Adrm1"
"HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_ESTROGEN_RESPONSE_LATE",71,0.497548712067901,1.6823170334897,0.00157459125024678,0.00874772916803766,0.00589320701846748,1136,"tags=35%, list=18%, signal=29%","Isg20/Ccnd1/Idh2/Bcl2/Top2a/Plk4/Scarb1/Slc29a1/Pdcd4/Areg/Ncor2/Fkbp5/Siah2/Olfm1/Ass1/Dynlt3/Myof/Hspa4l/Abca3/Mocs2/Fos/Ckb/Ptpn6/Xbp1/Tspan13"
"HALLMARK_COAGULATION","HALLMARK_COAGULATION","HALLMARK_COAGULATION",57,-0.429550565839789,-1.68583050843495,0.00231716124392009,0.0115858062196005,0.00780517471636241,959,"tags=35%, list=15%, signal=30%","Lrp1/Fn1/Furin/Gng12/Cd9/F10/Gsn/Dpp4/Capn2/Mmp8/Thbs1/Olr1/Apoc1/Ctsl/Apoc2/Thbd/Serpine1/Mmp9/Pf4/Serpinb2"
