"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"NABA_MATRISOME","NABA_MATRISOME","NABA_MATRISOME",180,-0.422317502031722,-2.27816096558136,1.70988984659961e-12,3.76175766251914e-11,2.51983766867311e-11,682,"tags=33%, list=9%, signal=30%","Plod1/Tgfb1/Sulf2/Mmp19/Il6/Clec10a/Serpinb9/Gdf15/Adamdec1/Csf1/Il1a/Plau/Adam8/Hgf/Tgm2/Ints6l/Ctsa/Mmp14/Colec12/Serpine1/Tgfb3/Mgl2/Vegfa/Il23a/Nrg1/Ctsd/Plxnc1/Mmp12/Pgf/Cxcl14/Cxcl1/Mmp13/Spp1/Ccl17/Thbs1/Edil3/Emilin1/Igf1/Gas6/Plxdc2/F7/Ccl24/Ccn3/Ntng2/Htra3/Pf4/Col14a1/Cxcl3/Fam20a/Serpinb2/Lif/Fam20c/Fgf13/Adam19/Ccl22/Fn1/Adam23/Mmp9/Ppbp"
"NABA_MATRISOME_ASSOCIATED","NABA_MATRISOME_ASSOCIATED","NABA_MATRISOME_ASSOCIATED",153,-0.402544076762462,-2.12600067073,1.34627069260221e-09,1.48089776186243e-08,9.919889313911e-09,682,"tags=32%, list=9%, signal=30%","Plod1/Tgfb1/Sulf2/Mmp19/Il6/Clec10a/Serpinb9/Gdf15/Adamdec1/Csf1/Il1a/Plau/Adam8/Hgf/Tgm2/Ctsa/Mmp14/Colec12/Serpine1/Tgfb3/Mgl2/Vegfa/Il23a/Nrg1/Ctsd/Plxnc1/Mmp12/Pgf/Cxcl14/Cxcl1/Mmp13/Ccl17/Igf1/Plxdc2/F7/Ccl24/Htra3/Pf4/Cxcl3/Fam20a/Serpinb2/Lif/Fam20c/Fgf13/Adam19/Ccl22/Adam23/Mmp9/Ppbp"
"NABA_ECM_REGULATORS","NABA_ECM_REGULATORS","NABA_ECM_REGULATORS",55,-0.558410358605552,-2.47379193963749,5.16938843937421e-08,3.79088485554109e-07,2.53934870706102e-07,682,"tags=40%, list=9%, signal=36%","Plod1/Sulf2/Mmp19/Serpinb9/Adamdec1/Plau/Adam8/Tgm2/Ctsa/Mmp14/Serpine1/Ctsd/Mmp12/Mmp13/F7/Htra3/Fam20a/Serpinb2/Fam20c/Adam19/Adam23/Mmp9"
"NABA_CORE_MATRISOME","NABA_CORE_MATRISOME","NABA_CORE_MATRISOME",27,-0.554043512359522,-2.04244473385959,0.000493845773585366,0.00271615175471951,0.00181943179741977,446,"tags=37%, list=6%, signal=35%","Ints6l/Spp1/Thbs1/Edil3/Emilin1/Gas6/Ccn3/Ntng2/Col14a1/Fn1"
"NABA_SECRETED_FACTORS","NABA_SECRETED_FACTORS","NABA_SECRETED_FACTORS",62,-0.395839244466461,-1.79370133259299,0.00063611474865393,0.00279890489407729,0.00187486452234842,667,"tags=35%, list=9%, signal=32%","Tgfb1/Il6/Gdf15/Csf1/Il1a/Hgf/Tgfb3/Vegfa/Il23a/Nrg1/Pgf/Cxcl14/Cxcl1/Ccl17/Igf1/Ccl24/Pf4/Cxcl3/Lif/Fgf13/Ccl22/Ppbp"
"NABA_ECM_GLYCOPROTEINS","NABA_ECM_GLYCOPROTEINS","NABA_ECM_GLYCOPROTEINS",24,-0.538130515256467,-1.91952506049781,0.00148311033986639,0.00543807124617676,0.00364272715054903,446,"tags=38%, list=6%, signal=35%","Ints6l/Spp1/Thbs1/Edil3/Emilin1/Gas6/Ccn3/Ntng2/Fn1"
"SIG_CD40PATHWAYMAP","SIG_CD40PATHWAYMAP","SIG_CD40PATHWAYMAP",23,-0.464663136137955,-1.63800709046711,0.0185728250244379,0.0583717357910906,0.0391006842619746,1107,"tags=35%, list=15%, signal=30%","Pik3cd/Nfkbia/Nfkb2/Map2k4/Traf3/Traf6/Pik3r1/Nfkb1"
"SA_CASPASE_CASCADE","SA_CASPASE_CASCADE","SA_CASPASE_CASCADE",11,0.642193239578087,1.49165708234127,0.0454609628688409,0.125017647889312,0.0837438789689174,388,"tags=27%, list=5%, signal=26%","Casp3/Srebf1/Srebf2"
"SA_PTEN_PATHWAY","SA_PTEN_PATHWAY","SA_PTEN_PATHWAY",15,-0.421950303056357,-1.30204881312599,0.138473642800944,0.338491126846752,0.226740467744236,2564,"tags=73%, list=36%, signal=47%","Akt2/Akt1/Ilk/Pdpk1/Mapk1/Pik3cd/Ptk2b/Rbl2/Grb2/Pten/Ipcef1"
"SA_G1_AND_S_PHASES","SA_G1_AND_S_PHASES","SA_G1_AND_S_PHASES",10,0.566025972185649,1.2886856577326,0.168502360177371,0.370705192390216,0.24831926762981,635,"tags=20%, list=9%, signal=18%","Ccnd1/Cdk4"
