"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",78,0.681080714461558,2.24778855642061,2.52637439074607e-11,1.26318719537303e-09,7.71209024543536e-10,1544,"tags=67%, list=22%, signal=53%","Isg15/Irf7/Rtp4/Samd9l/Ifi44/Gbp2/Nmi/Ifit2/Oas1a/Lgals3bp/Bst2/Cxcl10/Rsad2/Tdrd7/Sell/Oasl1/Il15/Gbp3/Cnp/Ifi35/Eif2ak2/Dhx58/Ddx60/Ifitm3/Herc6/Adar/Casp1/Psmb9/Parp14/Pnpt1/Mvb12a/H2-Q7/Psmb8/Ly6e/Helz2/Sp110/Parp12/Ogfr/Psme1/Irf2/Trim26/Psme2/Stat2/Trim14/Trafd1/Ifih1/Parp9/Lap3/Tap1/Wars1/Epsti1/Irf1"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",65,-0.484834695724526,-2.20091136706339,9.58847202067728e-07,1.59807867011288e-05,9.75669082805759e-06,1181,"tags=45%, list=16%, signal=38%","Inhba/Notch2/Cd44/Tnfaip3/Vcam1/Basp1/Wipf1/Plod1/Tgfb1/Il6/Tgm2/Lrp1/Mmp14/Serpine1/Vegfa/Pmepa1/Cxcl1/Id2/Anpep/Spp1/Itgb5/Dab2/Thbs1/Itgav/Edil3/Nt5e/Cxcl3/Pmp22/Fn1"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",161,0.501144586510374,1.7485027068776,6.78687070357553e-07,1.59807867011288e-05,9.75669082805759e-06,1571,"tags=43%, list=22%, signal=35%","St3gal5/Casp3/Isg15/Arl4a/Irf7/Zbp1/Rtp4/Samd9l/Ifi44/Nmi/Cfb/Ifit2/Xaf1/Upp1/Lgals3bp/Pml/Bst2/Cxcl10/Tnfaip6/Rsad2/Tdrd7/Fcgr1/Oasl1/Il15/Gbp3/Rigi/Cxcl9/Ifi35/Eif2ak2/Dhx58/Socs1/Ddx60/Ifitm3/Herc6/Rnf213/Adar/Il18bp/Casp1/Psmb10/Stat1/Psmb9/Parp14/Pnpt1/H2-Q7/Psmb8/Ly6e/Helz2/Sp110/Ccl2/Parp12/Ogfr/Psme1/Slamf7/Irf2/Trim26/Psme2/Stat2/Znfx1/Trim14/Trafd1/Ifih1/Lap3/Tap1/Wars1/Ccl7/Samhd1/Epsti1/Irf1/Ccl5/Fgl2"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",177,0.482714729246896,1.69143178630965,6.96320240259302e-06,8.70400300324127e-05,5.31402288618941e-05,2556,"tags=58%, list=36%, signal=38%","Phb/Apex1/Psmd7/Mrps18b/Kars/Ruvbl2/Cbx3/Prdx4/Lsm2/Smarcc1/Vdac3/Erh/Ywhaq/Acp1/Rnps1/Mrpl9/Iars/Kpnb1/Cdk4/Nolc1/Eif3j1/Ssbp1/Impdh2/Ncbp2/Eif1ax/Hdac2/Hdgf/Cct3/Pabpc4/Snrpd1/Abce1/Pole3/Ilf2/Psma4/Sf3a1/Trim28/Snrpd3/Cct4/Ddx18/Psmd3/Eif2s2/Srsf2/Tcp1/Sf3b3/Eif3d/Psma7/Nop56/Snrpb2/Lsm7/Ppm1g/Cct5/Cops5/Psmb3/Prdx3/Snrpa/Nme1/Psmc6/Psmc4/Hnrnpd/Ssb/Cct7/Ndufab1/Tfdp1/Cyc1/Rsl1d1/Hspd1/Eif2s1/Psma2/Psmb2/Phb2/Tomm70a/Srpk1/Srsf1/U2af1/Gnl3/Hnrnpa3/Ranbp1/Srsf3/Hprt/Dut/Tufm/Nop16/Ncbp1/Rad23b/Xpot/Ddx21/Clns1a/Bub3/Set/Tardbp/Ptges3/Hspe1/Ywhae/Psma1/Ran/Pcbp1/C1qbp/Pcna/Snrpg/Snrpa1/Uba2/Cct2/Hnrnpu"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",167,-0.316045425849722,-1.66966921995019,1.18013615634002e-05,0.000118013615634002,7.20504179660221e-05,1181,"tags=38%, list=16%, signal=33%","Ripk2/Bcl3/Nr4a1/Nfat5/Relb/Cflar/Tnfaip8/Inhba/Cd44/Litaf/Nr4a2/Tnfaip3/Nfkb2/Fosb/Fosl2/Il1b/Dusp5/Plek/Rnf19b/Kdm6b/Ehd1/Birc2/Tnip1/B4galt5/Birc3/Rel/Ptgs2/Il7r/B4galt1/Zc3h12a/Stat5a/G0s2/Il6/Icosl/Csf1/Il1a/Bhlhe40/Ptger4/Ackr3/Plau/Sgk1/Tnip2/Serpine1/Dennd5a/Vegfa/Il23a/Pde4b/Rcan1/Pmepa1/Cxcl1/Id2/Cd80/Gpr183/Nr4a3/Kynu/Spsb1/Cd83/Nfkb1/Olr1/Abca1/Tnfrsf9/Cxcl3/Serpinb2/Lif"
"HALLMARK_DNA_REPAIR","HALLMARK_DNA_REPAIR","HALLMARK_DNA_REPAIR",101,0.513446942142403,1.73580952089084,4.59136871660131e-05,0.000382614059716776,0.000233595952248137,1785,"tags=44%, list=25%, signal=33%","Polr2h/Nt5c3/Ddb1/Polr2c/Rpa3/Ercc1/Polr2d/Polr2g/Itpa/Mpg/Nelfb/Nudt21/Cant1/Adrm1/Zwint/Impdh2/Alyref/Ncbp2/Polr2f/Dguok/Mrpl40/Polr1c/Rae1/Polr2j/Polr2k/Pom121/Polr2e/Gtf2h5/Sf3a3/Polr1d/Guk1/Gtf2a2/Ssrp1/Surf1/Nelfe/Rala/Edf1/Rnmt/Nme1/Srsf6/Nt5c/Rbx1/Rfc2/Polr1h"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",176,0.453838599059743,1.59023654186776,0.000102239475052686,0.000730281964662041,0.000445856357372614,2656,"tags=54%, list=37%, signal=35%","Cycs/Mrpl11/Tomm22/Hsd17b10/Timm10/Vdac3/Mtx2/Mrpl34/Pmpca/Ndufv1/Echs1/Fdx1/Grpel1/Timm17a/Cyb5r3/Acadm/Ndufb4/Polr2f/Ndufa4/Idh3b/Mrpl35/Idh2/Immt/Mrps12/Aifm1/Idh1/Mrpl15/Pdha1/Sdhb/Timm8b/Suclg1/Acaa1a/Ndufs8/Acat1/Surf1/Ndufa9/Uqcrc1/Slc25a4/Cox7a2/Ech1/Prdx3/Ndufb2/Ndufs2/Ndufv2/Ndufa7/Htra2/Atp5c1/Atp5j2/Ndufab1/Atp5o/Acaa2/Mrps11/Cyc1/Ndufa5/Etfdh/Idh3a/Atp5j/Atp5k/Cox5b/Phb2/Tomm70a/Atp5pb/Timm50/Ndufs4/Mdh1/Acadsb/Eci1/Uqcrb/Ndufb6/Sucla2/Cox6a1/Ndufa3/Casp7/Vdac2/Ndufa6/Cox6c/Ndufb3/Ndufb1/Ndufa8/Cox6b1/Ndufc1/Sdhc/Ndufb8/Ndufb7/Afg3l2/Cox7b/Etfa/Atp5g3/Ndufc2/Ndufs3/Cox7c/Uqcr10/Vdac1/Atp5h/Hadha"
"HALLMARK_COAGULATION","HALLMARK_COAGULATION","HALLMARK_COAGULATION",60,-0.431001650804716,-1.93665964261439,0.000131682572846444,0.000823016080290276,0.000502472975335116,606,"tags=33%, list=8%, signal=31%","Furin/Cd9/Plau/Lrp1/Mmp14/Klf7/Serpine1/Pecam1/Lgmn/Fyn/Dpp4/Trf/Thbs1/Cfh/Olr1/Thbd/Pf4/Serpinb2/Fn1/Mmp9"
"HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT",129,-0.319702459757872,-1.64070556857996,0.000258565613728893,0.00143647563182718,0.000877006175220805,983,"tags=30%, list=14%, signal=27%","Dusp5/Plek/Ehd1/Cblb/Dyrk2/Prkcd/Dgkg/Dock10/F5/Il6/Gnb4/Prcp/Gpd2/Usp15/Dock4/Jak2/Cd36/Lrp1/Mmp14/Dgkh/Serpine1/Lgmn/Pla2g4a/Ctsd/Mmp12/Fyn/Cxcl1/Pik3r5/Dpp4/Mmp13/Kynu/Cfh/F7/Olr1/Hspa1a/Zeb1/Cxcl3/Serpinb2/Fn1"
"HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP",104,-0.321465069302252,-1.57585642066757,0.000684301968751193,0.00337308966705824,0.00205936000725661,781,"tags=40%, list=11%, signal=37%","Ikzf1/Cmklr1/Adam17/Cxcr4/Mtmr10/Nin/Laptm5/Inhba/Dock2/Tnfaip3/Il1b/F13a1/Tnfrsf1b/Birc3/Mafb/Ptgs2/Il7r/Gpnmb/Prdm1/Tspan13/Cbl/G0s2/Adamdec1/Ccser2/Plau/Adam8/St6gal1/Pecam1/Ero1a/Id2/Pdcd1lg2/Hdac9/Spp1/Mmd/Il1rl2/Rabgap1l/Cfh/Arg1/Lif/Satb1/Mmp9/Ppbp"
