"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"SIG_CD40PATHWAYMAP","SIG_CD40PATHWAYMAP","SIG_CD40PATHWAYMAP",22,-0.649389452152231,-1.85562560213498,0.00250658485433758,0.0501316970867516,0.0422161659677908,1861,"tags=77%, list=29%, signal=55%","Nfkbib/Traf5/Mapk1/Map2k4/Mapk14/Pik3r1/Mapk8ip3/Mapkapk5/Traf2/Nfkbie/Nfkb2/Traf3/Traf6/Mapk3/Dusp1/Nfkbia/Nfkb1"
"SA_B_CELL_RECEPTOR_COMPLEXES","SA_B_CELL_RECEPTOR_COMPLEXES","SA_B_CELL_RECEPTOR_COMPLEXES",17,-0.618110571512236,-1.6602026233073,0.0159323367427223,0.159323367427223,0.134167046254503,463,"tags=29%, list=7%, signal=27%","Vav3/Mapk3/Jun/Fos/Lyn"
"SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES","SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES","SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES",25,-0.529326817998124,-1.56368990244778,0.0288167938931298,0.1853478566409,0.156082405592336,946,"tags=40%, list=15%, signal=34%","Rps6ka3/Akt3/Flot1/Tec/Ppp1r13b/Itpr2/Itpr1/Cyth3/Dapp1/Lyn"
"NABA_MATRISOME","NABA_MATRISOME","NABA_MATRISOME",84,-0.375136408005809,-1.41014319590362,0.0370695713281799,0.1853478566409,0.156082405592336,638,"tags=25%, list=10%, signal=23%","Sema6d/Flt3l/Cxcl10/Serpinb1a/Podnl1/Spock2/Tnf/Adam9/Lman1/Ctsz/Areg/Xcl1/Fgl2/Tnfsf8/Igfbp7/Cst3/Cela2a/Plxdc2/Adamts6/Tnfsf11/Spp1"
"SA_CASPASE_CASCADE","SA_CASPASE_CASCADE","SA_CASPASE_CASCADE",14,0.51258491376863,1.35299617505422,0.12575210589651,0.340298507462687,0.286567164179104,120,"tags=21%, list=2%, signal=21%","Casp3/Fasl/Prf1"
"SIG_IL4RECEPTOR_IN_B_LYPHOCYTES","SIG_IL4RECEPTOR_IN_B_LYPHOCYTES","SIG_IL4RECEPTOR_IN_B_LYPHOCYTES",24,-0.461928778144371,-1.34964009361365,0.112624712202609,0.340298507462687,0.286567164179104,1538,"tags=46%, list=24%, signal=35%","Mapk1/Stat6/Pik3r1/Gsk3a/Grb2/Akt3/Ppp1r13b/Bcl2/Mapk3/Il4ra/Irs2"
"NABA_CORE_MATRISOME","NABA_CORE_MATRISOME","NABA_CORE_MATRISOME",15,-0.518617178862419,-1.34284901194586,0.136119402985075,0.340298507462687,0.286567164179104,451,"tags=47%, list=7%, signal=43%","Srgn/Ints6l/Podnl1/Spock2/Fgl2/Igfbp7/Spp1"
"NABA_MATRISOME_ASSOCIATED","NABA_MATRISOME_ASSOCIATED","NABA_MATRISOME_ASSOCIATED",69,-0.343806074435874,-1.25417113322386,0.129368160960113,0.340298507462687,0.286567164179104,638,"tags=23%, list=10%, signal=21%","Sema6d/Flt3l/Cxcl10/Serpinb1a/Tnf/Adam9/Lman1/Ctsz/Areg/Xcl1/Tnfsf8/Cst3/Cela2a/Plxdc2/Adamts6/Tnfsf11"
"NABA_ECM_GLYCOPROTEINS","NABA_ECM_GLYCOPROTEINS","NABA_ECM_GLYCOPROTEINS",12,-0.5146081180683,-1.26338838487168,0.189444109973911,0.358726045147651,0.302085090650653,209,"tags=33%, list=3%, signal=32%","Ints6l/Fgl2/Igfbp7/Spp1"
"NABA_ECM_REGULATORS","NABA_ECM_REGULATORS","NABA_ECM_REGULATORS",28,-0.406809870395924,-1.23368066824252,0.189373814041746,0.358726045147651,0.302085090650653,457,"tags=29%, list=7%, signal=27%","Adam8/Serpinb6a/Serpinb1a/Adam9/Ctsz/Cst3/Cela2a/Adamts6"
"SIG_BCR_SIGNALING_PATHWAY","SIG_BCR_SIGNALING_PATHWAY","SIG_BCR_SIGNALING_PATHWAY",33,-0.385406775680684,-1.2137006849135,0.197299324831208,0.358726045147651,0.302085090650653,1164,"tags=33%, list=18%, signal=27%","Grb2/Inpp5d/Akt3/Flot1/Ppp1r13b/Itpr2/Nfatc2/Itpr1/Bcl2/Mapk3/Lyn"
"NABA_SECRETED_FACTORS","NABA_SECRETED_FACTORS","NABA_SECRETED_FACTORS",27,0.359498984167703,1.1320216521175,0.276964882943144,0.461608138238573,0.388722642727219,258,"tags=19%, list=4%, signal=18%","Ccl5/Fasl/Ifng/Ccl4/Fgf13"
