"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING",124,-0.649127792365279,-2.60564766597709,3.03237208395611e-15,1.45553860029893e-13,9.25671478260285e-14,998,"tags=53%, list=16%, signal=46%","Slc1a5/Spred2/Tnfrsf18/Plec/Wls/Lclat1/Odc1/Uck2/Traf1/Nfil3/Il18r1/Serpinb6a/Sell/Gpx4/Lrrc8c/Bhlhe40/Galm/Pim1/Flt3l/Cxcl10/Mapkapk2/Bcl2/Rabgap1l/Gadd45b/Ikzf2/Cish/Nfkbiz/Cd44/Dennd5a/Plscr1/Map3k8/Phtf2/Ctsz/Ncoa3/Penk/Tnfrsf4/P2rx4/Capg/Il4ra/Fgl2/Itgae/Rora/Irf8/Tnfrsf9/Ikzf4/Cyfip1/Syngr2/Gpr65/Nt5e/Car2/Furin/Dhrs3/Swap70/Ahr/Hk2/Tiam1/Tnfsf11/Itgav/Il1r2/Il2ra/Spp1/Myo1e/Bmpr2/Igf1r/Cd83/Il1rl1"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",117,-0.580691534157126,-2.30765113140513,1.29645718713702e-09,3.11149724912885e-08,1.97880307510387e-08,915,"tags=48%, list=14%, signal=42%","Sik1/Nampt/Stat5a/Cd69/Ccnl1/Egr1/Traf1/Tnip1/Nfkbie/Nfil3/Cflar/Nr4a3/Atp2b1/Bhlhe40/Kdm6b/Cxcl10/Birc2/Nfkb2/Ninj1/Tnfaip8/Zc3h12a/Tank/Rnf19b/Gadd45b/Tnf/Junb/Fosl2/Cebpb/Cd44/Dusp4/Pde4b/Dusp1/Dennd5a/Map3k8/Id2/Nfkbia/Areg/Rel/Birc3/Gem/Tnfrsf9/Ccrl2/Nr4a1/Il7r/Nfkb1/Ets2/Cdkn1a/Jun/Zfp36/Fosb/Fos/Plaur/Irs2/Cd80/Cd83/Ifngr2"
"HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP",72,-0.62514123685881,-2.28994918324827,4.68111583177211e-08,7.48978533083537e-07,4.763240670926e-07,611,"tags=35%, list=10%, signal=32%","Cxcl10/Satb1/Ammecr1/Glrx/Gypc/Rabgap1l/Mmd/Sdccag8/Cxcr4/Id2/Birc3/Pdcd1lg2/Ero1a/Irf8/Il7r/Car2/Lat2/Tmem158/Mtmr10/Tspan13/Plaur/Spp1/Fcer1g/Tmem176b/Tmem176a"
"HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN",65,-0.572386637760131,-2.06200612905413,1.91385474435467e-05,0.000229662569322561,0.000146057335753383,1263,"tags=40%, list=20%, signal=32%","Smad3/Sfmbt1/Zmiz1/Cdon/Prkce/Ythdc1/Akt3/Atp2b4/Atp2b1/Fhl2/Map2k5/Bhlhe40/Slc7a1/Inpp4b/Rasa2/Mt1/Nr3c1/Abcc1/Cited2/Runx1/Dusp1/Nfkb1/Acvr2a/Kit/Igf1r/Plcb4"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",38,-0.653896142908031,-2.11801601497183,3.97142972012577e-05,0.000374239464103205,0.000238003167960372,418,"tags=34%, list=7%, signal=32%","Gadd45b/Cd44/Id2/Areg/Gem/Capg/Nt5e/Jun/Itgav/Plaur/Spp1/Dst/Basp1"
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA","HALLMARK_HYPOXIA",88,-0.508311406300581,-1.92703824296328,4.67799330129007e-05,0.000374239464103205,0.000238003167960372,815,"tags=34%, list=13%, signal=30%","Nfil3/Ids/Atp7a/Bhlhe40/Grhpr/Pim1/Glrx/Gbe1/Mt1/Pdk1/Nr3c1/Bcl2/Ddit4/Fosl2/Rbpj/Cited2/Dusp1/Cxcr4/Klf7/Rora/Ero1a/Cdkn1a/Jun/Ext1/Hk2/Zfp36/Fos/Plaur/Irs2/Large1"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",140,0.391764995289477,1.68646953682141,9.71829461441349e-05,0.000666397344988354,0.000423805329049611,949,"tags=37%, list=15%, signal=32%","Ccl5/Casp3/H2-M3/Zbp1/Xaf1/Bst2/Slc25a28/Slamf7/Irf9/Epsti1/Isg20/Rnf213/Irf7/Casp1/Gbp9/Usp18/Gbp4/Rtp4/Pml/Socs3/Gpr18/Ifih1/Cd38/Ripk1/Isg15/Samd9l/Psmb8/Lysmd2/Irf1/Psmb10/Ifitm3/Trim26/Nlrc5/Lgals3bp/Vamp5/Klrk1/Psmb9/Irf2/Vamp8/Wars1/Nmi/Txnip/Cd86/Parp14/Il10ra/Parp12/Psme1/Ifi35/Herc6/Rbck1/Znfx1/H2-Q7"
"HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_ESTROGEN_RESPONSE_LATE",70,-0.526631270068332,-1.92148984446802,0.00020918830622042,0.00125512983732252,0.000798218536893707,485,"tags=29%, list=8%, signal=27%","Dnajc1/Bcl2/Fabp5/Cish/Cd44/Jak2/Id2/Areg/Ckb/Ass1/Car2/Slc24a3/Nrip1/Tspan13/Zfp36/Tiam1/Fos/Flnb/Large1/Tpsb2"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",68,0.458728628410481,1.75328210405571,0.000712404197746017,0.00379948905464542,0.00241634172334906,1081,"tags=53%, list=17%, signal=44%","Bst2/Slc25a28/Irf9/Epsti1/Isg20/Irf7/Casp1/Usp18/Rtp4/Ifih1/Isg15/Samd9l/Psmb8/Irf1/Ifitm3/Trim26/Lgals3bp/Psmb9/Irf2/Wars1/Nmi/Txnip/Parp14/Parp12/Psme1/Trim12c/Ifi35/Cnp/Herc6/Mvb12a/H2-Q7/Parp9/Cd47/Tap1/Trafd1/Cmtr1"
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",83,-0.465981303682602,-1.75138347898576,0.00111102786104862,0.00533293373303335,0.00339155873372735,915,"tags=35%, list=14%, signal=30%","Nampt/Hif1a/Cd69/Il18r1/Atp2b1/Sell/Cd55/Cxcl10/Slc7a1/Ly6e/Ccr7/Ifitm1/P2rx7/Pde4b/Nfkbia/P2rx4/Il4ra/Calcrl/Tnfrsf9/Ccrl2/Il7r/Nfkb1/Cdkn1a/Ahr/Itgb8/Acvr2a/Plaur/Ifngr2/Lyn"
