"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"NABA_MATRISOME_ASSOCIATED","NABA_MATRISOME_ASSOCIATED","NABA_MATRISOME_ASSOCIATED",72,0.579320204724388,2.22688566198224,1.50863378927212e-07,2.98722922800393e-06,2.35833886421363e-06,900,"tags=50%, list=16%, signal=42%","Lman1/Ctsh/Ctse/Lgals3/Serpinb1a/Sdc4/Serpinb9/Lgals1/Cxcl10/S100a13/Ctsa/Areg/Cst3/S100a4/Serpinb6a/Ky/Cxcl2/Plxdc2/S100a6/Cstb/Anxa5/Ctsz/Tnfsf11/Il1b/Ctsd/Ctsc/Sema6d/Tnfsf4/Adam8/Serpine1/Anxa2/Ebi3/Plxnc1/S100a10/Adam9/S100a11"
"NABA_MATRISOME","NABA_MATRISOME","NABA_MATRISOME",91,0.538468219484666,2.15770428146175,2.98722922800393e-07,2.98722922800393e-06,2.35833886421363e-06,900,"tags=47%, list=16%, signal=40%","Lman1/Ctsh/Ecm1/Ctse/Lgals3/Serpinb1a/Sdc4/Serpinb9/Spp1/Lgals1/Cxcl10/S100a13/Ctsa/Areg/Cst3/S100a4/Serpinb6a/Ky/Thsd4/Cxcl2/Plxdc2/S100a6/Emid1/Cstb/Anxa5/Ctsz/Tnfsf11/Il1b/Vwa5a/Ctsd/Fgl2/Ctsc/Sema6d/Tnfsf4/Adam8/Serpine1/Anxa2/Ebi3/Plxnc1/S100a10/Adam9/Srgn/S100a11"
"NABA_ECM_AFFILIATED","NABA_ECM_AFFILIATED","NABA_ECM_AFFILIATED",14,0.78923015173774,2.09702663643772,7.58536576337917e-05,0.000505691050891944,0.000399229777019956,740,"tags=64%, list=13%, signal=56%","Lman1/Lgals3/Sdc4/Lgals1/Plxdc2/Anxa5/Sema6d/Anxa2/Plxnc1"
"NABA_ECM_REGULATORS","NABA_ECM_REGULATORS","NABA_ECM_REGULATORS",28,0.636050506769255,2.00738464358011,0.000167550833837005,0.000837754169185024,0.000661384870409229,675,"tags=50%, list=12%, signal=44%","Ctsh/Ctse/Serpinb1a/Serpinb9/Ctsa/Cst3/Serpinb6a/Ky/Cstb/Ctsz/Ctsd/Ctsc/Adam8/Serpine1"
"WNT_SIGNALING","WNT_SIGNALING","WNT_SIGNALING",26,-0.509028218488461,-1.7343696156844,0.00738188976377953,0.0295275590551181,0.023311230832988,659,"tags=35%, list=12%, signal=31%","Csnk2a1/Apc/Fbxw2/Ppp2ca/Nlk/Ccnd3/Lef1/Csnk1d/Tcf7"
"NABA_SECRETED_FACTORS","NABA_SECRETED_FACTORS","NABA_SECRETED_FACTORS",30,0.42065061847168,1.34968669302022,0.106297900699767,0.354326335665889,0.279731317630965,1011,"tags=43%, list=18%, signal=36%","Cxcl10/S100a13/Areg/S100a4/Cxcl2/S100a6/Tnfsf11/Il1b/Tnfsf4/Ebi3/S100a10/S100a11/Xcl1"
"SA_CASPASE_CASCADE","SA_CASPASE_CASCADE","SA_CASPASE_CASCADE",13,0.49747161191495,1.30031056955988,0.166576819407008,0.431034482758621,0.340290381125227,611,"tags=15%, list=11%, signal=14%","Gzmb/Prf1"
"NABA_ECM_GLYCOPROTEINS","NABA_ECM_GLYCOPROTEINS","NABA_ECM_GLYCOPROTEINS",16,0.465196910522474,1.2869289680421,0.172413793103448,0.431034482758621,0.340290381125227,534,"tags=38%, list=10%, signal=34%","Ecm1/Spp1/Thsd4/Emid1/Vwa5a/Fgl2"
"SA_PTEN_PATHWAY","SA_PTEN_PATHWAY","SA_PTEN_PATHWAY",13,-0.432745857147328,-1.20687576907856,0.230561189993239,0.480652437966337,0.379462451026055,1475,"tags=54%, list=27%, signal=40%","Rbl2/Akt2/Ipcef1/Pik3cd/Akt3/Pik3ca/Sos1"
"NABA_CORE_MATRISOME","NABA_CORE_MATRISOME","NABA_CORE_MATRISOME",19,0.413276028817652,1.18991384009707,0.240326218983168,0.480652437966337,0.379462451026055,534,"tags=32%, list=10%, signal=29%","Ecm1/Spp1/Thsd4/Emid1/Vwa5a/Fgl2"
