"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",136,0.538364852901108,2.299330951114,2.16148401556637e-10,1.03751232747186e-08,4.77801729756777e-09,296,"tags=21%, list=5%, signal=20%","Birc5/Cdk1/Orc6/Nusap1/Cenpf/Stmn1/Dtymk/Prc1/Fbxo5/Ccna2/H2ax/Top2a/Mcm2/E2f3/Kif11/Smc2/Tpx2/Knl1/Kif15/Incenp/Ube2c/Mki67/Hmgn2/Mcm3/Cdk4/Cks2/Cks1b/Ccnb2"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",137,0.532089740477983,2.27656068846273,5.45517739726219e-10,1.30924257534293e-08,6.029406596974e-09,946,"tags=38%, list=17%, signal=32%","Birc5/Cdk1/Cdca8/Orc6/Stmn1/Cit/Asf1b/Rrm2/H2ax/Top2a/Mcm2/Ncapd2/Mki67/Cbx5/Dlgap5/Dctpp1/Mcm3/Cdk4/Cks2/Paics/Ssrp1/Dut/Diaph3/Cdkn1a/Cks1b/Ccnb2/Nme1/Hmgb2/Ranbp1/Dnmt1/Lig1/Tubb5/Ran/Mcm7/Pa2g4/Ddx39a/H2az1/Spc24/Mcm5/Xrcc6/Mcm6/Rfc2/Plk4/Nup107/Tipin/Cdca3/Tk1/Hells/Naa38/Pcna/Rfc1/Brca1"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",145,0.498642011353037,2.14581487070907,1.15208896440852e-08,1.84334234305363e-07,8.48907657985223e-08,1428,"tags=61%, list=26%, signal=46%","Mrpl11/Cyc1/Fdx1/Polr2f/Etfb/Mtx2/Ndufb2/Cycs/Mrpl34/Cox7b/Uqcr10/Cox7a2/Supv3l1/Grpel1/Ndufb8/Slc25a4/Cox7c/Cox6a1/Vdac1/Atp5e/Atp5k/Ldha/Timm8b/Uqcrb/Uqcr11/Atp5j2/Cox5b/Timm13/Ndufs6/Ndufc1/Idh3b/Vdac2/Tcirg1/Ndufs2/Cox6c/Atp5b/Ndufa4/Atp5d/Ndufab1/Atp6v0b/Ndufa1/Cox17/Atp5g2/Vdac3/Ndufb1/Ndufc2/Atp5j/Por/Cox6b1/Idh3g/Hspa9/Gpx4/Oat/Fh1/Ndufa7/Ndufa8/Slc25a3/Ndufa5/Atp6v1g1/Ndufa9/Phb2/Sdhd/Atp6v0e/Slc25a5/Atp5l/Hsd17b10/Gpi1/Cox5a/Cox8a/Atp5o/Atp5h/Ndufs7/Atp5c1/Atp6v0c/Etfa/Uqcrq/Atp5pb/Idh3a/Ndufb3/Atp5g1/Ech1/Cyb5a/Ndufb7/Suclg1/Sdhb/Timm50/Atp6v1f/Bax"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",174,0.453600232095851,1.99620420943032,2.53982325599701e-07,3.04778790719641e-06,1.40358653620888e-06,1718,"tags=54%, list=31%, signal=38%","Ccna2/Tyms/Mcm2/Rrm1/Cyc1/Cdk4/Impdh2/Eif1ax/Nhp2/Dut/Hdgf/Trim28/Psmd1/Tcp1/Nme1/Ncbp2/C1qbp/Ranbp1/Ran/Vdac1/Mcm7/Canx/Pa2g4/Psmd7/Ldha/Rnps1/Odc1/Pgk1/H2az1/Eif3d/Pcbp1/Mrpl23/Snrpd1/Mcm5/Xrcc6/Snrpd2/Mcm6/Ywhaq/Ndufab1/Psma7/Fbl/Set/Vdac3/Lsm2/Eif3b/Cops5/Pcna/Cct5/Eif2s2/Snrpd3/Mrpl9/Nap1l1/Rpl34/Eif3j2/Slc25a3/Kpnb1/Eif4a1/Phb2/Cct2/Serbp1/Cct3/Cox5a/Snrpb2/Dek/Psmc4/Nop56/Hprt/Psma2/Psma4/Snrpa1/Rpl6/Ppia/Iars/Rsl1d1/Mcm4/Psmb3/Hnrnpa3/Phb/Hsp90ab1/Rpl14/Srsf2/Ifrd1/Clns1a/Rpl22/Hnrnpa1/Hnrnpu/Hspe1/Ppm1g/Rps10/Rps2/Cct7/Cad/Exosc7/Psmb2"
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",122,0.464875340577557,1.95538923535798,6.14430938732501e-06,5.89853701183201e-05,2.71643151860685e-05,1357,"tags=45%, list=25%, signal=35%","Hk2/Rrm2/Mcm2/Ddit4/Gclc/Ebp/Eef1e1/Tpi1/Cdkn1a/Nfil3/Psmc2/Stard4/Xbp1/Rpn1/Sdf2l1/Eno1/Calr/Fgl2/Ctsc/Canx/Ldha/Pdap1/Hsp90b1/Ddx39a/Pgk1/Fkbp2/Hspa5/Ppa1/Shmt2/Atp2a2/Psmb5/Bhlhe40/Nfkbib/Ufm1/Sytl2/Glrx/Cops5/Cct6a/Cacybp/Hspa9/Eif2s2/Aldoa/Tomm40/Hmgcr/Serp1/Gpi1/Ero1a/Psmc4/M6pr/Hprt/Psma4/Got1/Ppia/Atp5g1/Cyb5b"
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA","HALLMARK_HYPOXIA",93,0.49163355187633,1.98856987003558,1.63368454483471e-05,0.000130694763586777,6.01883779675945e-05,1189,"tags=42%, list=22%, signal=33%","Large1/Hk2/Cited2/Ddit4/Plac8/Isg20/Sdc4/Hdlbp/Gcnt2/Hs3st1/Tpi1/S100a4/Cdkn1a/Nfil3/Errfi1/Sult2b1/Eno1/Irs2/Plaur/Tpd52/Ldha/Tiparp/Pgk1/Hspa5/Serpine1/Anxa2/Fam162a/Bhlhe40/Prdx5/Glrx/Pfkp/Fos/Jmjd6/Aldoa/Mif/Ids/Mt1/Gpi1/Ero1a"
"HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_ESTROGEN_RESPONSE_LATE",68,0.49853772243821,1.90105475584498,0.000104163332088339,0.000714262848605751,0.000328936838173701,889,"tags=38%, list=16%, signal=32%","Large1/Top2a/Klf4/Tpsb2/Abhd2/Myof/Isg20/Areg/Ckb/Etfb/Xbp1/Sult2b1/Ncor2/Tff1/Nxt1/Fabp5/Car2/Farp1/Id2/Impa2/Cox6c/Fkbp5/Ret/Plk4/Dusp2/Flnb"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",60,0.509110339648153,1.89553636660697,0.000119506880711536,0.000717041284269213,0.000330216380913453,1438,"tags=53%, list=26%, signal=40%","Lgals3bp/Ifit3/Isg20/Ddx60/Isg15/Cxcl10/Ifitm3/Bst2/Ifitm2/Irf7/Ifitm1/Stat2/Gbp3/Plscr1/Psmb9/Ly6e/Gbp2/Ccrl2/Ifi27/Mov10/Trafd1/H2-Q7/B2m/Eif2ak2/Psmb8/Ncoa7/Psme2/Cd47/Parp9/Ifi35/Pnpt1/Psme1"
"HALLMARK_GLYCOLYSIS","HALLMARK_GLYCOLYSIS","HALLMARK_GLYCOLYSIS",77,0.473140441037259,1.84759753094988,0.000230348289405222,0.00122852421016118,0.000565767728363703,1320,"tags=44%, list=24%, signal=34%","Cdk1/Stmn1/Hk2/Cited2/Ddit4/Isg20/Hdlbp/Gclc/Tpi1/Txn1/Eno1/Ecd/Irs2/Hs6st2/Ldha/Gfpt1/Pgk1/Hspa5/Ndufv3/Fam162a/Glrx/Pfkp/Pygl/Hs2st1/Aldoa/Mif/Pgls/Ero1a/Pgam1/Psmc4/Nt5e/Got1/Vegfa/Ppia"
"HALLMARK_DNA_REPAIR","HALLMARK_DNA_REPAIR","HALLMARK_DNA_REPAIR",83,0.452124117056264,1.78928633485915,0.000357877803866668,0.00157073723577451,0.000723365832264576,1030,"tags=40%, list=19%, signal=33%","Tyms/Ddb1/Zwint/Impdh2/Polr2f/Ssrp1/Dut/Nelfe/Polr2i/Prim1/Nme1/Ncbp2/Mrpl40/Lig1/Alyref/Nudt9/Aprt/Edf1/Pola1/Rfc2/Gtf2h5/Taf13/Cox17/Rbx1/Gtf2f1/Pcna/Bola2/Cetn2/Gpx4/Nt5c/Sec61a1/Rala/Eloa"
