"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"NABA_MATRISOME_ASSOCIATED","NABA_MATRISOME_ASSOCIATED","NABA_MATRISOME_ASSOCIATED",68,0.433385087532079,1.69606693384029,0.00147828427905509,0.0295656855811017,0.0217852420071276,1281,"tags=44%, list=20%, signal=36%","Ccl5/Serpinb9/S100a13/Lgals3/Fasl/Ctse/Ifng/Ctsa/Sema4a/Ctsd/S100a4/Lgals1/Cstb/Ctsw/Plxnc1/Cst7/S100a6/Egln1/Anxa2/S100a11/Tnf/Ctsb/S100a10/Hcfc1/Anxa6/Serpinb6a/Ccl4/Serpinb1a/Cxcl10/Anxa5"
"SA_B_CELL_RECEPTOR_COMPLEXES","SA_B_CELL_RECEPTOR_COMPLEXES","SA_B_CELL_RECEPTOR_COMPLEXES",17,-0.635833765445672,-1.80072768841663,0.0038677238445175,0.0366300366300366,0.0269905533063428,692,"tags=41%, list=11%, signal=37%","Mapk1/Rps6ka3/Sos1/Vav3/Fos/Jun/Lyn"
"SIG_CD40PATHWAYMAP","SIG_CD40PATHWAYMAP","SIG_CD40PATHWAYMAP",23,-0.563723176680235,-1.73192657217529,0.00732600732600733,0.0366300366300366,0.0269905533063428,2013,"tags=74%, list=32%, signal=51%","Mapk9/Traf5/Pik3r1/Pik3cd/Map2k4/Nfkb2/Pik3ca/Mapk14/Traf6/Nfkbie/Nfkbil1/Mapk1/Traf3/Mapk8/Nfkbia/Dusp1/Nfkb1"
"NABA_MATRISOME","NABA_MATRISOME","NABA_MATRISOME",81,0.386660968748405,1.56688961426951,0.00692887711432647,0.0366300366300366,0.0269905533063428,841,"tags=31%, list=13%, signal=27%","Ccl5/Serpinb9/Crim1/S100a13/Lgals3/Fasl/Ctse/Ifng/Ctsa/Sema4a/Ctsd/Lamb3/S100a4/Lgals1/Cstb/Ctsw/Plxnc1/Cst7/S100a6/Egln1/Anxa2/S100a11/Tnf/Ctsb/S100a10"
"SA_CASPASE_CASCADE","SA_CASPASE_CASCADE","SA_CASPASE_CASCADE",14,0.624543290733948,1.69383275769225,0.0146876292925114,0.0587505171700455,0.0432898547568756,125,"tags=29%, list=2%, signal=28%","Casp3/Gzmb/Prf1/Fasl"
"NABA_ECM_AFFILIATED","NABA_ECM_AFFILIATED","NABA_ECM_AFFILIATED",13,0.587563277399402,1.56697696481273,0.0410593307329091,0.136864435776364,0.10084747899311,1281,"tags=54%, list=20%, signal=43%","Lgals3/Sema4a/Lgals1/Plxnc1/Anxa2/Anxa6/Anxa5"
"SIG_IL4RECEPTOR_IN_B_LYPHOCYTES","SIG_IL4RECEPTOR_IN_B_LYPHOCYTES","SIG_IL4RECEPTOR_IN_B_LYPHOCYTES",24,-0.471020145672681,-1.46162708457249,0.0542620742736194,0.153093105602999,0.112805446233789,1860,"tags=62%, list=29%, signal=44%","Pik3r1/Akt2/Pik3cd/Raf1/Pik3ca/Stat6/Gsk3b/Grb2/Mapk1/Bcl2/Sos1/Ppp1r13b/Akt3/Il4ra/Irs2"
"NABA_ECM_REGULATORS","NABA_ECM_REGULATORS","NABA_ECM_REGULATORS",27,0.450912811580575,1.4442187980905,0.0612372422411998,0.153093105602999,0.112805446233789,480,"tags=30%, list=8%, signal=28%","Serpinb9/Ctse/Ctsa/Ctsd/Cstb/Ctsw/Cst7/Egln1"
"SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES","SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES","SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES",25,-0.442672213411433,-1.38850568560561,0.0869481765834933,0.175301908843007,0.129169827568532,675,"tags=32%, list=11%, signal=29%","Rps6ka3/Ppp1r13b/Cyth3/Foxo3/Itpr2/Akt3/Dapp1/Lyn"
"SIG_BCR_SIGNALING_PATHWAY","SIG_BCR_SIGNALING_PATHWAY","SIG_BCR_SIGNALING_PATHWAY",33,-0.407973977795733,-1.36218200391084,0.0876509544215037,0.175301908843007,0.129169827568532,1860,"tags=52%, list=29%, signal=37%","Pik3r1/Akt2/Pik3cd/Ppp3cb/Raf1/Pik3ca/Gsk3b/Grb2/Itpr1/Nfatc2/Mapk1/Bcl2/Sos1/Ppp1r13b/Itpr2/Akt3/Lyn"
"NABA_SECRETED_FACTORS","NABA_SECRETED_FACTORS","NABA_SECRETED_FACTORS",28,0.394839826030615,1.27599626011367,0.150082918739635,0.272878034072064,0.201068025105731,943,"tags=36%, list=15%, signal=31%","Ccl5/S100a13/Fasl/Ifng/S100a4/S100a6/S100a11/Tnf/S100a10/Hcfc1"
"NABA_CORE_MATRISOME","NABA_CORE_MATRISOME","NABA_CORE_MATRISOME",13,-0.490428595619552,-1.28781579106864,0.172480997856168,0.287468329760281,0.211818769297049,1058,"tags=46%, list=17%, signal=39%","Fgl2/Podnl1/Ints14/Spp1/Spock2/Ints6l"
"SIG_REGULATION_OF_THE_ACTIN_CYTOSKELETON_BY_RHO_GTPASES","SIG_REGULATION_OF_THE_ACTIN_CYTOSKELETON_BY_RHO_GTPASES","SIG_REGULATION_OF_THE_ACTIN_CYTOSKELETON_BY_RHO_GTPASES",17,0.368465357919835,1.04995462277531,0.380666528669013,0.585640813336943,0.431524809827221,1606,"tags=41%, list=25%, signal=31%","Akt1/Flna/Wasl/Pfn1/Gdi2/Cfl1/Cdc42"
"NABA_ECM_GLYCOPROTEINS","NABA_ECM_GLYCOPROTEINS","NABA_ECM_GLYCOPROTEINS",10,-0.42425831788661,-1.03244148675912,0.431698260699629,0.591661757968453,0.435961295345176,410,"tags=40%, list=6%, signal=37%","Fgl2/Ints14/Spp1/Ints6l"
"SA_TRKA_RECEPTOR","SA_TRKA_RECEPTOR","SA_TRKA_RECEPTOR",11,-0.411094401639664,-1.02562363718842,0.44374631847634,0.591661757968453,0.435961295345176,1823,"tags=64%, list=29%, signal=45%","Akt2/Pik3cd/Pik3ca/Grb2/Cdkn1a/Sos1/Akt3"
"SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES","SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES","SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES",37,-0.285636370617973,-0.98387835940115,0.477516059957173,0.596895074946467,0.439817423644765,675,"tags=24%, list=11%, signal=22%","Rps6ka3/Tsc1/Nolc1/Sos1/Ppp1r13b/Cyth3/Foxo3/Akt3/Irs2"
"SA_PTEN_PATHWAY","SA_PTEN_PATHWAY","SA_PTEN_PATHWAY",15,-0.30850545648618,-0.846731071842099,0.666025764276101,0.783559722677766,0.577359795657301,1823,"tags=67%, list=29%, signal=48%","Rbl2/Ptk2b/Pten/Akt2/Pik3cd/Pik3ca/Grb2/Mapk1/Sos1/Akt3"
"WNT_SIGNALING","WNT_SIGNALING","WNT_SIGNALING",31,-0.231518575037949,-0.764153494103592,0.830950540958269,0.869254538431827,0.640503344107662,519,"tags=13%, list=8%, signal=12%","Ccnd3/Lef1/Tcf7/Jun"
"SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES","SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES","SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES",37,-0.216267507237313,-0.744936367004221,0.866653688923496,0.869254538431827,0.640503344107662,1965,"tags=43%, list=31%, signal=30%","Rps6kb1/Pik3r1/Akt2/Pik3cd/Raf1/Pik3ca/Foxo1/Gsk3b/Grb2/Cbl/Mapk1/Rps6ka3/Sos1/Cyth3/Akt3/Irs2"
"SIG_CHEMOTAXIS","SIG_CHEMOTAXIS","SIG_CHEMOTAXIS",28,-0.226039605256771,-0.726975155734703,0.869254538431827,0.869254538431827,0.640503344107662,2000,"tags=46%, list=32%, signal=32%","Rps4x/Pik3r1/Akt2/Pik3cd/Rock1/Arhgap4/Pik3ca/Pak2/Itpr1/Ppp1r13b/Gdi1/Itpr2/Akt3"
