"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",164,0.594766010075997,2.69031337315339,7.11224774851455e-19,3.41387891928698e-17,2.09624144166745e-17,1394,"tags=57%, list=22%, signal=45%","Slc25a4/Grpel1/Timm8b/Cycs/Idh3a/Mrpl11/Cox5b/Ndufb2/Cox7b/Ndufb8/Ndufc1/Cyc1/Vdac2/Pdhb/Cox6a1/Etfb/Cox7a2/Ndufb7/Uqcr10/Cox6b1/Cox17/Atp5k/Atp5j/Polr2f/Ech1/Idh3b/Acaa2/Cox7c/Ndufb1/Ndufa7/Vdac3/Atp5c1/Atp5j2/Ndufa4/Uqcrq/Ndufs6/Cox5a/Ndufs8/Ndufa8/Atp6v1e1/Uqcr11/Uqcrb/Cox6c/Cyb5r3/Hsd17b10/Ndufc2/Atp5g3/Cox8a/Ndufa5/Ndufs2/Atp5l/Ndufb3/Atp5h/Fdx1/Echs1/Atp5e/Atp5g1/Atp5d/Ndufa1/Atp6v0b/Timm13/Mrpl15/Atp5o/Atp6v1f/Uqcrh/Sdhb/Etfdh/Mrpl34/Cox4i1/Sdhd/Atp6v1g1/Ndufab1/Gpi1/Atp5pb/Fh1/Phb2/Atp5g2/Surf1/Atp6v0e/Atp5b/Slc25a20/Atp6v0c/Vdac1/Tcirg1/Bax/Slc25a5/Suclg1/Atp6v1c1/Mrps12/Uqcrfs1/Tomm22/Slc25a3/Idh3g"
"HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING",125,-0.560194320098309,-2.44079629461065,2.2333256721543e-12,5.35998161317033e-11,3.29121678001687e-11,594,"tags=35%, list=9%, signal=33%","Huwe1/Bcl2/Car2/Galm/Ccnd3/Hipk2/Nfkbiz/Pou2f1/Tnfrsf4/Cd44/Syngr2/Hycc2/Tnfrsf9/P2rx4/Dennd5a/Dhrs3/Lclat1/Il4ra/Phtf2/Spp1/Rabgap1l/Rora/Nt5e/Penk/Ikzf2/Ncoa3/Tnfsf11/Lrig1/Cyfip1/Phlda1/Ikzf4/Il1r2/Sell/Ahr/Myo1e/Il2ra/Itgav/Itgae/Swap70/Tiam1/Il1rl1/Bmpr2/Igf1r/Cd83"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",176,0.47370572602192,2.16523770402579,7.56355371943095e-10,1.21016859510895e-08,7.43085979452865e-09,1542,"tags=44%, list=24%, signal=35%","Tyms/Ccna2/Eif1ax/Dut/Hdgf/Psmd7/Cyc1/Ssbp1/Psmd1/Hddc2/Cbx3/Tcp1/Psma4/Ncbp2/Psmb3/Vdac3/Cdk4/Rrm1/Mcm7/Eif3d/Cops5/Mcm2/Cox5a/Cct5/Hspd1/Psma7/Snrpb2/Mrpl9/Ywhaq/Pgk1/Psmc4/C1qbp/Nhp2/Eif2s2/Ran/Mcm6/Eif3b/Psma2/Ranbp1/Snrpd2/Hprt/Srsf2/Snrpd1/Psma6/Impdh2/Phb/Psmb2/Pcna/Cct3/Ndufab1/Phb2/Hnrnpa3/Nme1/Snrpa1/Set/Lsm2/Serbp1/Canx/Vdac1/Rsl1d1/Eif3j2/Rnps1/Pcbp1/Hspe1/Clns1a/Dek/Slc25a3/Psmd8/Rpl34/Ppia/Smarcc1/Trim28/Xrcc6/Nop56/Cct2/Nap1l1/Snrpd3/Pa2g4"
"HALLMARK_DNA_REPAIR","HALLMARK_DNA_REPAIR","HALLMARK_DNA_REPAIR",99,0.54190595867469,2.26798400273964,1.38439076739569e-08,1.66126892087483e-07,1.02007740755472e-07,1334,"tags=47%, list=21%, signal=38%","Gtf2h5/Zwint/Tyms/Dut/Polr2i/Rpa2/Nelfe/Nt5c3/Alyref/Polr2g/Aprt/Guk1/Nudt9/Cox17/Ncbp2/Polr2f/Mrpl40/Rbx1/Ddb1/Rala/Polr2k/Arl6ip1/Edf1/Rfc3/Ssrp1/Itpa/Eif1b/Gtf2f1/Pom121/Snapc5/Prim1/Hprt/Sec61a1/Cetn2/Fen1/Impdh2/Pcna/Supt4a/Nudt21/Nme1/Surf1/Nt5c/Gtf2b/Bola2/Pola1/Polr2d/Polr1h"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",139,0.475732126742912,2.10080012863291,7.14599254000667e-08,6.8601528384064e-07,4.21237454989867e-07,1542,"tags=42%, list=24%, signal=32%","Birc5/Orc6/Cdk1/Hmgb3/Cdca8/Stmn1/H2ax/Asf1b/Rrm2/Dut/Top2a/Cit/Cks2/Rpa2/Racgap1/Ncapd2/Cbx5/Pole/Hmgb2/Mki67/Paics/Mcm3/Phf5a/Ddx39a/Cdk4/Mcm7/Pop7/Mcm2/Rfc3/Ssrp1/Ran/Dctpp1/Mcm6/Tubb5/Ranbp1/Srsf2/Naa38/Dnmt1/Ccnb2/Gins4/Pcna/Ezh2/Nudt21/Nme1/Cks1b/Hells/Plk4/Anp32e/Dek/Jpt1/Lmnb1/Cdc25b/Smc3/Tipin/Xrcc6/Nop56/Nap1l1/Pa2g4"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",113,-0.491578359237808,-2.1045714025717,3.21575638911688e-07,2.57260511129351e-06,1.57966980518022e-06,658,"tags=31%, list=10%, signal=28%","Pde4b/Ptger4/Bcl3/Gem/Il6st/Cebpb/Cdkn1a/Nampt/Klf2/Nfkbia/Cd44/Tnfrsf9/Fosl2/Stat5a/Ccrl2/Birc3/Dennd5a/Nr4a3/Bcl6/Dusp1/Rel/Tank/Junb/Fosb/Il7r/Plaur/Phlda1/Nfkb1/Fos/Irs2/Jun/Cd80/Zfp36/Cd83/Ifngr2"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",137,0.453972960375527,2.00286139451768,6.03668783807644e-07,4.1394430889667e-06,2.54176330024271e-06,1022,"tags=28%, list=16%, signal=24%","Birc5/Orc6/Cdk1/Hmgb3/Dtymk/Stmn1/H2ax/Nusap1/Prc1/Kif11/Hmgn2/Ccna2/Ube2c/Incenp/E2f3/Top2a/Sap30/Smc2/Cks2/Rpa2/Racgap1/Kif15/Pole/Cenpf/Mki67/Mcm3/H2az2/Ddx39a/Cdk4/Mcm2/Pml/Tpx2/E2f4/Mcm6/Notch2/Srsf2/Rbl1/Ccnb2/Snrpd1"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",67,0.553066102204103,2.16204680351699,8.56532575345875e-07,5.13919545207525e-06,3.15564633022164e-06,1141,"tags=54%, list=18%, signal=45%","Lgals3bp/Isg20/Bst2/Isg15/Irf7/Ifitm3/Ddx60/Mvb12a/Epsti1/Psmb9/Psmb8/Ifih1/H2-Q7/Irf9/Trafd1/Casp1/Gbp2/Psme1/Ifi35/Parp9/Cd47/Parp14/Herc6/Stat2/Trim25/Psme2/Eif2ak2/Nmi/Samd9l/Mov10/B2m/Tap1/Trim12c/Cnp/Parp12/Gbp3"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",139,0.439192295104108,1.93944276239284,4.09172238601863e-06,2.18225193920994e-05,1.33997926091838e-05,1006,"tags=35%, list=16%, signal=30%","Lgals3bp/Casp3/Isg20/Bst2/Ccl5/Zbp1/Isg15/Irf7/Klrk1/Ifitm3/Xaf1/Slamf7/Rnf213/Ddx60/Epsti1/Psmb10/Psmb9/Psmb8/Gbp9/Myd88/Cd86/Ifih1/Vamp8/H2-M3/H2-Q7/Irf9/Trafd1/Casp1/Psme1/Gpr18/Ifi35/Vamp5/Parp14/Herc6/Pml/Stat2/Trim25/Psme2/Eif2ak2/Gbp4/Nmi/Samd9l/Psma2/Gzma/Rigi/B2m/H2-D1/Tap1"
"HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP",72,-0.464931351103915,-1.84590031724906,0.000164885874092231,0.000747234544080034,0.000458828228821074,911,"tags=32%, list=14%, signal=28%","Cbl/Pdcd1lg2/Sdccag8/Cab39l/Car2/Atg10/Cxcr4/Birc3/Mmd/Ero1a/Tmem158/Pecam1/Spp1/Rabgap1l/Trib2/Fcer1g/Lat2/Il7r/Plaur/Satb1/Tmem176a/Tspan13/Tmem176b"
