"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES","SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES","SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES",31,-0.421351190810539,-1.29699462990126,0.0919713911554347,0.995799159831966,0.995799159831966,1251,"tags=42%, list=25%, signal=32%","Pten/Cap1/Mapk1/Gsk3b/Rps6ka1/Ywhah/Ywhae/Ywhab/Akt2/Serpinb6a/Sos1/Irs2/Cyth3"
"SIG_CD40PATHWAYMAP","SIG_CD40PATHWAYMAP","SIG_CD40PATHWAYMAP",17,-0.435439242690878,-1.21209180545287,0.195210827693909,0.995799159831966,0.995799159831966,1465,"tags=47%, list=29%, signal=33%","Traf5/Nfkbie/Mapk14/Mapk1/Nfkb1/Nfkb2/Dusp1/Nfkbia"
"SA_TRKA_RECEPTOR","SA_TRKA_RECEPTOR","SA_TRKA_RECEPTOR",11,-0.452079329743749,-1.14743068427356,0.279383011079731,0.995799159831966,0.995799159831966,1585,"tags=82%, list=32%, signal=56%","Akt3/Grb2/Pik3ca/Map2k1/Rhoa/Akt2/Map2k2/Sos1/Cdkn1a"
"SA_CASPASE_CASCADE","SA_CASPASE_CASCADE","SA_CASPASE_CASCADE",13,0.28585066449269,1.12049495582558,0.271986970684039,0.995799159831966,0.995799159831966,55,"tags=23%, list=1%, signal=23%","Prf1/Gzmb/Fasl"
"SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES","SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES","SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES",32,-0.344710929104038,-1.06616769427531,0.380923634168427,0.995799159831966,0.995799159831966,1592,"tags=66%, list=32%, signal=45%","Grb2/Ywhaz/Pak2/Ywhaq/Bcl2l1/Pik3ca/Pdpk1/Ppp1r13b/Ifi27/Pten/Tsc1/Gsk3b/Rps6ka1/Ywhah/Ywhae/Ywhab/Akt2/Foxo3/Sos1/Irs2/Cyth3"
"SA_B_CELL_RECEPTOR_COMPLEXES","SA_B_CELL_RECEPTOR_COMPLEXES","SA_B_CELL_RECEPTOR_COMPLEXES",15,-0.371784741533626,-1.0107892091258,0.469913738691353,0.995799159831966,0.995799159831966,2695,"tags=80%, list=54%, signal=37%","Rac1/Grb2/Vav3/Jun/Lyn/Bcr/Map2k1/Mapk1/Rps6ka1/Atf2/Fos/Sos1"
"SA_PTEN_PATHWAY","SA_PTEN_PATHWAY","SA_PTEN_PATHWAY",14,-0.376111262935672,-1.00715277879696,0.474619289340102,0.995799159831966,0.995799159831966,2803,"tags=64%, list=56%, signal=28%","Akt3/Grb2/Ilk/Pik3ca/Pdpk1/Pten/Mapk1/Akt2/Sos1"
"SIG_IL4RECEPTOR_IN_B_LYPHOCYTES","SIG_IL4RECEPTOR_IN_B_LYPHOCYTES","SIG_IL4RECEPTOR_IN_B_LYPHOCYTES",21,-0.33739002518178,-0.977022602077228,0.529834651329978,0.995799159831966,0.995799159831966,2803,"tags=67%, list=56%, signal=29%","Akt3/Raf1/Grb2/Pik3ca/Stat6/Pdpk1/Ppp1r13b/Mapk1/Socs1/Gsk3b/Akt2/Sos1/Il4ra/Irs2"
"SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES","SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES","SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES",22,-0.319554340666386,-0.933500826557549,0.602825263588904,0.995799159831966,0.995799159831966,2527,"tags=59%, list=51%, signal=29%","Dapp1/Itpr2/Pik3ca/Tec/Lyn/Pdpk1/Bcr/Ppp1r13b/Pten/Rps6ka1/Akt2/Foxo3/Cyth3"
"WNT_SIGNALING","WNT_SIGNALING","WNT_SIGNALING",26,-0.295051933539426,-0.884102043466449,0.688185140073082,0.995799159831966,0.995799159831966,2461,"tags=54%, list=49%, signal=27%","Fbxw11/Tcf7/Apc/Jun/Senp2/Csnk1a1/Ctbp1/Ctnnb1/Axin1/Ccnd2/Gsk3b/Btrc/Ppp2ca/Csnk2a1"
