"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_XENOBIOTIC_METABOLISM",39,-0.4698850169165,-1.48570271305774,0.00913196186653287,0.230699909882848,0.217545967652685,827,"tags=36%, list=17%, signal=30%","Ppard/Pdlim5/Spint2/Pts/Ccl25/Cyb5a/Por/Aco2/Ptges3/Nmt1/Dhrs7/Gclc/Tmem176b/Apoe"
"HALLMARK_PROTEIN_SECRETION","HALLMARK_PROTEIN_SECRETION","HALLMARK_PROTEIN_SECRETION",54,-0.441354311894214,-1.44357909106832,0.00961249624511865,0.230699909882848,0.217545967652685,1508,"tags=54%, list=30%, signal=38%","Stx16/Arf1/Kif1b/Stx12/Gbf1/Arfgef2/Uso1/Mapk1/Snx2/Vps4b/Clcn3/Atp1a1/Rab14/Sec31a/Adam10/Lamp2/Arcn1/Vamp3/Copb1/Rab22a/Sec22b/Ap1g1/Tmed10/Scamp3/Sgms1/Cltc/Dnm1l/Dst/Cd63"
"HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_WNT_BETA_CATENIN_SIGNALING",16,-0.529468129097157,-1.45964017892829,0.0350950490912889,0.398338567521021,0.375626280776402,1711,"tags=81%, list=34%, signal=54%","Adam17/Maml1/Numb/Ctnnb1/Rbpj/Axin1/Ccnd2/Notch1/Ppard/Axin2/Trp53/Psen2/Cul1"
"HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TGF_BETA_SIGNALING",32,-0.452333777636604,-1.39599659986278,0.035958904109589,0.398338567521021,0.375626280776402,1658,"tags=56%, list=33%, signal=38%","Ppp1r15a/Smurf1/Fnta/Trim33/Rhoa/Ctnnb1/Map3k7/Smad3/Furin/Junb/Tgif1/Skil/Ppm1a/Hipk2/Sptbn1/Tgfbr1/Ifngr2/Bmpr2"
"HALLMARK_MYOGENESIS","HALLMARK_MYOGENESIS","HALLMARK_MYOGENESIS",32,-0.441555930025817,-1.36273390898634,0.0489524576954069,0.398338567521021,0.375626280776402,1113,"tags=41%, list=22%, signal=32%","Ifrd1/Svil/Notch1/Bin1/Flii/Akt2/Sptan1/Gabarapl2/Gadd45b/Psen2/Syngr2/Cdkn1a/Nav2"
"HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_HEDGEHOG_SIGNALING",12,-0.521740338365348,-1.34975634573293,0.0897849462365591,0.398338567521021,0.375626280776402,740,"tags=33%, list=15%, signal=28%","Nf1/Tle3/Nrp1/Vegfa"
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",27,-0.429282805267118,-1.29443236087776,0.0995846418802553,0.398338567521021,0.375626280776402,2406,"tags=67%, list=48%, signal=35%","Selenos/Ftl1/Sod1/Glrx2/Prdx1/Prdx2/Ndufa6/Ndufs2/Lamtor5/Hmox2/Gpx4/Cdkn2d/Junb/Msra/Scaf4/Sbno2/Abcc1/Gclc"
"HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION",51,-0.39045568933647,-1.269778287829,0.0829243865798698,0.398338567521021,0.375626280776402,1279,"tags=35%, list=26%, signal=27%","Wasl/Pten/Cap1/Mapk14/Adam9/Sympk/Tsc1/Ywhah/Epb41l2/Akt2/Dlg1/Nf1/Icam1/Nf2/Skap2/Cdk8/Pals1/Rsu1"
"HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING",117,-0.352311280539239,-1.22485602566069,0.0544945505449455,0.398338567521021,0.375626280776402,1363,"tags=37%, list=27%, signal=27%","Snx14/Plagl1/Ahnak/Ccnd2/Tnfsf11/St3gal4/Myo1e/Gpx4/Dcps/Socs1/Il2ra/Pou2f1/Tnfrsf8/Furin/Il1r2/Snx9/Serpinb6a/Gadd45b/Cd44/Swap70/Tiam1/Wls/Lrig1/Capg/Cxcl10/Syngr2/Il4ra/Itgae/Cd83/Spred2/Hipk2/Ahr/Il1rl1/Plscr1/P2rx4/Nfkbiz/Cd81/Nrp1/Hycc2/Arl4a/Cyfip1/Igf1r/Bmpr2"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",108,-0.35150680307481,-1.21552228082063,0.067993200679932,0.398338567521021,0.375626280776402,1461,"tags=42%, list=29%, signal=30%","Ccnl1/Plaur/Sat1/Bcl6/Nfkbie/Zc3h12a/Tnfaip8/Ifih1/Fosl2/Nr4a1/B4galt5/Nfkb1/Atp2b1/Smad3/Cebpb/Junb/Pdlim5/Nfkb2/Fos/Rnf19b/Icam1/Tgif1/Gadd45b/Cd44/Mcl1/Dusp1/Gem/Cxcl10/Dusp4/Ier2/Ier5/Cd83/Nfkbia/Zfp36/Cdkn1a/Cflar/Ier3/Ccrl2/Fosb/Nampt/Irs2/Bcl3/Vegfa/Ifngr2/Socs3"
