"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES","SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES","SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES",37,0.400136252044545,1.13045586814138,0.237418709354677,0.999599839935974,0.999599839935974,2838,"tags=54%, list=45%, signal=30%","Ywhag/Flot2/Ywhab/Serpinb6a/Ywhah/Cap1/Gsk3a/Ywhaq/Mapk3/Akt1/Cyth3/Rps6kb1/Rps6ka1/Ywhae/Ywhaz/Brd4/Akt2/Pdpk1/Pten/Cdc42"
"SIG_REGULATION_OF_THE_ACTIN_CYTOSKELETON_BY_RHO_GTPASES","SIG_REGULATION_OF_THE_ACTIN_CYTOSKELETON_BY_RHO_GTPASES","SIG_REGULATION_OF_THE_ACTIN_CYTOSKELETON_BY_RHO_GTPASES",16,0.412748966311179,1.05267774706276,0.402857142857143,0.999599839935974,0.999599839935974,640,"tags=25%, list=10%, signal=22%","Cfl2/Flna/Wasl/Actr2"
"SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES","SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES","SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES",38,0.366043696401919,1.03707908986557,0.422926878063419,0.999599839935974,0.999599839935974,2838,"tags=50%, list=45%, signal=27%","Ywhag/Ywhab/Ebp/Ywhah/Gsk3a/Ywhaq/Akt1/Cyth3/Nolc1/Ifi27/Rps6kb1/Rps6ka1/Ywhae/Ywhaz/Akt2/Pdpk1/Bcl2l1/Pten/Cdc42"
"SA_CASPASE_CASCADE","SA_CASPASE_CASCADE","SA_CASPASE_CASCADE",14,0.407953853252234,1.01675021253927,0.464131551901336,0.999599839935974,0.999599839935974,1459,"tags=29%, list=23%, signal=22%","Casp3/Casp8/Gzmb/Srebf2"
"NABA_ECM_GLYCOPROTEINS","NABA_ECM_GLYCOPROTEINS","NABA_ECM_GLYCOPROTEINS",10,0.433355514542414,1.00939259723472,0.471913712088851,0.999599839935974,0.999599839935974,1588,"tags=30%, list=25%, signal=22%","Crim1/Lamb3/Mfap3"
"NABA_ECM_AFFILIATED","NABA_ECM_AFFILIATED","NABA_ECM_AFFILIATED",13,0.402194983523871,0.989920908773906,0.504346026490066,0.999599839935974,0.999599839935974,2854,"tags=54%, list=46%, signal=29%","Sema4a/Lgals9/Lgals8/Anxa5/Lgals3/Lgals1/Anxa2"
"NABA_ECM_REGULATORS","NABA_ECM_REGULATORS","NABA_ECM_REGULATORS",24,0.344315432851264,0.927446960228055,0.637368156705173,0.999599839935974,0.999599839935974,1604,"tags=33%, list=26%, signal=25%","Ctse/Egln1/Cstb/Serpinb6a/Ctsa/Adam10/Ctsd/Ctsb"
"SA_TRKA_RECEPTOR","SA_TRKA_RECEPTOR","SA_TRKA_RECEPTOR",11,0.369588653494209,0.878047352472202,0.679734429339235,0.999599839935974,0.999599839935974,2712,"tags=55%, list=43%, signal=31%","Map2k2/Map2k1/Akt1/Rhoa/Akt2/Cdkn1a"
"SIG_CHEMOTAXIS","SIG_CHEMOTAXIS","SIG_CHEMOTAXIS",27,0.320905043010017,0.877078303800711,0.729404690318701,0.999599839935974,0.999599839935974,2838,"tags=41%, list=45%, signal=22%","Cfl2/Wasl/Actr2/Akt1/Racgap1/Rock2/Akt2/Pdpk1/Pten/Actr3/Cdc42"
"NABA_CORE_MATRISOME","NABA_CORE_MATRISOME","NABA_CORE_MATRISOME",13,0.343885274912212,0.846403455539015,0.733133278145695,0.999599839935974,0.999599839935974,1588,"tags=23%, list=25%, signal=17%","Crim1/Lamb3/Mfap3"
"NABA_MATRISOME","NABA_MATRISOME","NABA_MATRISOME",77,0.281805999136411,0.844529898796732,0.872312768723128,0.999599839935974,0.999599839935974,1604,"tags=25%, list=26%, signal=19%","Crim1/Ctse/Sema4a/S100a13/Cxcl10/Egln1/Cstb/Serpinb6a/Lamb3/Lgals9/Lgals8/Zfp91/Ctsa/Ccl25/Hcfc1/Adam10/Ctsd/Mfap3/Ctsb"
"NABA_MATRISOME_ASSOCIATED","NABA_MATRISOME_ASSOCIATED","NABA_MATRISOME_ASSOCIATED",64,0.270855973187562,0.801764021232041,0.910608939106089,0.999599839935974,0.999599839935974,1604,"tags=25%, list=26%, signal=19%","Ctse/Sema4a/S100a13/Cxcl10/Egln1/Cstb/Serpinb6a/Lgals9/Lgals8/Zfp91/Ctsa/Ccl25/Hcfc1/Adam10/Ctsd/Ctsb"
"SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES","SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES","SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES",24,0.288850336081713,0.778046351107243,0.858362631843295,0.999599839935974,0.999599839935974,2740,"tags=42%, list=44%, signal=23%","Flot2/Akt1/Cyth3/Phf11b/Bcr/Rps6kb1/Rps6ka1/Akt2/Pdpk1/Pten"
"SA_PTEN_PATHWAY","SA_PTEN_PATHWAY","SA_PTEN_PATHWAY",15,0.304886127323468,0.769203396928192,0.832530984328588,0.999599839935974,0.999599839935974,2740,"tags=40%, list=44%, signal=22%","Mapk3/Akt1/Ilk/Akt2/Pdpk1/Pten"
"WNT_SIGNALING","WNT_SIGNALING","WNT_SIGNALING",32,0.269287916780197,0.749961864927336,0.904461784713886,0.999599839935974,0.999599839935974,2681,"tags=47%, list=43%, signal=27%","Ep300/Csnk1d/Ctnnb1/Ctbp1/Gsk3a/Ppp2r1a/Csnk2a1/Lrp6/Hprt/Ppp2ca/Kremen1/Axin1/Btrc/Fbxw11/Csnk1a1"
"NABA_SECRETED_FACTORS","NABA_SECRETED_FACTORS","NABA_SECRETED_FACTORS",27,0.250078399550333,0.683499194769452,0.942473441571457,0.999599839935974,0.999599839935974,1280,"tags=19%, list=21%, signal=15%","S100a13/Cxcl10/Zfp91/Ccl25/Hcfc1"
"SA_B_CELL_RECEPTOR_COMPLEXES","SA_B_CELL_RECEPTOR_COMPLEXES","SA_B_CELL_RECEPTOR_COMPLEXES",16,0.262241927342441,0.668823579929003,0.926632653061224,0.999599839935974,0.999599839935974,2353,"tags=44%, list=38%, signal=27%","Mapk8ip3/Mapk3/Map2k1/Bcr/Rac1/Rps6ka1/Atf2"
"SIG_CD40PATHWAYMAP","SIG_CD40PATHWAYMAP","SIG_CD40PATHWAYMAP",23,0.240036348252561,0.642702043601626,0.956867082244118,0.999599839935974,0.999599839935974,4330,"tags=74%, list=69%, signal=23%","Nfkbil1/Mapk8ip3/Mapk3/Ikbkg/Nfkb2/Mapkapk5/Nfkbia/Traf2/Mapk8/Traf5/Mapk14/Nfkbie/Nfkbib/Mapk1/Map2k4/Pik3ca/Dusp1"
"SIG_IL4RECEPTOR_IN_B_LYPHOCYTES","SIG_IL4RECEPTOR_IN_B_LYPHOCYTES","SIG_IL4RECEPTOR_IN_B_LYPHOCYTES",23,0.187632983655685,0.50239100419781,0.993464709430927,0.999599839935974,0.999599839935974,2563,"tags=26%, list=41%, signal=15%","Gsk3a/Mapk3/Akt1/Socs1/Akt2/Pdpk1"
"SIG_BCR_SIGNALING_PATHWAY","SIG_BCR_SIGNALING_PATHWAY","SIG_BCR_SIGNALING_PATHWAY",32,0.14218037060811,0.395969701025809,0.999599839935974,0.999599839935974,0.999599839935974,1753,"tags=16%, list=28%, signal=11%","Flot2/Gsk3a/Mapk3/Akt1/Bcr"
