"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",179,0.477243145955814,1.49034846025656,1.27516786551168e-07,6.12080575445607e-06,5.10067146204673e-06,2253,"tags=66%, list=36%, signal=43%","Ssbp1/Phb/Ncbp2/Pabpc4/Ddx18/Acp1/Eif4e/Hdgf/Psmd7/Kars/Eif1ax/Tfdp1/Vdac3/Cct3/Psmd8/Psmd3/Pold2/Prdx3/Psma4/Snrpd3/Exosc7/Cbx3/Vdac1/Eif2s1/Rnps1/Ncbp1/Psmd1/Hddc2/Eif4h/Lsm7/Erh/Srsf1/Xpot/Psma6/Lsm2/Phb2/Rsl1d1/Glo1/Abce1/Eif2s2/Tomm70a/Cct7/Cdk4/Cyc1/Snrpb2/Ywhaq/Hdac2/Cct5/Psmc4/Pcbp1/Srsf2/Psmc6/Eif3j1/Sf3a1/Smarcc1/Mcm7/Nop56/Srsf7/Cct4/Psmb2/U2af1/Tcp1/Psma7/Ptges3/Nhp2/Mad2l1/Cnbp/Pole3/Hspd1/Iars/Ccna2/Snrpd1/Snrpa1/Gspt1/Nolc1/Mrpl9/Cops5/Eif3b/Ddx21/Cul1/Canx/Eif4a1/Eif4g2/Ndufab1/Psma2/Psmb3/Ssb/Ppm1g/Ilf2/Mcm4/Uba2/Set/Fam120a/Txnl4a/Cct2/Nme1/Xpo1/Ranbp1/Snrpa/Eif3d/Ube2l3/Hprt/Psma1/Hnrnpa3/Got2/Hnrnpu/Clns1a/Ywhae/Hnrnpd/Tardbp/C1qbp/Ran/Dhx15/Mcm2/Cox5a/Pcna/Psmd14/Etf1"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",158,0.471874795612062,1.46526482852055,2.32162508522875e-06,5.57190020454901e-05,4.64325017045751e-05,2376,"tags=71%, list=38%, signal=45%","Timm17a/Atp6v1e1/Grpel1/Tomm22/Atp6v0b/Vdac3/Pmpca/Cycs/Mrps12/Prdx3/Hspa9/Mrpl11/Ndufs2/Mrpl34/Ndufs8/Vdac2/Timm8b/Idh3a/Lrpprc/Ndufb2/Phyh/Atp6v0c/Ndufb8/Atp6v0e/Vdac1/Mrpl15/Slc25a4/Ndufs7/Uqcrb/Sdhd/Atp6v1g1/Ndufb6/Oat/Polr2f/Por/Phb2/Acaa1a/Aifm1/Ndufa4/Suclg1/Ndufa8/Tomm70a/Timm13/Ndufb3/Cyc1/Ndufc1/Sdhb/Acaa2/Ndufb5/Timm9/Ndufa7/Fxn/Cox6a1/Mrps15/Ndufv2/Uqcr11/Atp5j/Atp5g3/Atp5k/Idh3b/Acat1/Cpt1a/Ech1/Cox5b/Atp5o/Uqcrc1/Pdha1/Atp6v1c1/Ndufc2/Mrps11/Atp5pb/Ndufa5/Ndufs6/Ndufa3/Hadhb/Cyb5a/Ndufab1/Atp5j2/Aco2/Immt/Etfa/Atp5c1/Pdhx/Sdhc/Fdx1/Atp5g1/Ndufs3/Ndufa9/Iscu/Ndufb7/Mdh2/Uqcr10/Ndufa2/Dld/Etfb/Got2/Cox7b/Opa1/Cox6b1/Cox7a2/Atp6v1f/Gpx4/Cox17/Cox5a/Bax/Ndufa6/Hadha/Uqcrq/Mdh1/Ndufs1/Atp5d/Surf1"
"HALLMARK_DNA_REPAIR","HALLMARK_DNA_REPAIR","HALLMARK_DNA_REPAIR",100,0.483580780597528,1.46811004611951,0.000100961609401092,0.00161538575041748,0.00134615479201456,2376,"tags=66%, list=38%, signal=42%","Polr2h/Nt5c3/Polr2c/Ncbp2/Srsf6/Nudt9/Polr2d/Mrpl40/Pom121/Gtf2a2/Polr2j/Guk1/Bcap31/Itpa/Rala/Polr1h/Polr2g/Aprt/Polr2k/Ddb1/Gtf2f1/Zwint/Edf1/Alyref/Sec61a1/Polr2f/Umps/Pold4/Rnmt/Ell/Gtf2h5/Rbx1/Sdcbp/Nudt21/Dguok/Sf3a3/Rpa3/Eif1b/Rfc3/Nelfe/Polr1d/Supt5/Gtf2b/Rae1/Eloa/Mpc2/Trp53/Nelfb/Polr2i/Ssrp1/Nme1/Hprt/Dctn4/Gtf2h1/Taf12/Polb/Nt5c/Dad1/Gpx4/Cox17/Tsg101/Pcna/Fen1/Snapc5/Taf10/Surf1"
"HALLMARK_ADIPOGENESIS","HALLMARK_ADIPOGENESIS","HALLMARK_ADIPOGENESIS",106,0.466811782186743,1.42204842223501,0.000166644500018762,0.00199973400022515,0.00166644500018762,2300,"tags=61%, list=37%, signal=39%","Pqlc3/Ywhag/Grpel1/Arl4a/Pgm1/Acly/Dhrs7/Prdx3/Dnajb9/Mtarc2/Nmt1/Samm50/Gpat4/Idh3a/Phyh/Mrpl15/Cmpk1/Rnf11/Por/Ccng2/Aifm1/Suclg1/Cat/Coq9/Cyc1/Sdhb/Acaa2/Mtch2/Cox6a1/Acadl/Uqcr11/Tkt/Rreb1/Ech1/Atp5o/Uqcrc1/Ak2/Pim3/Ptcd3/Ndufa5/Coq3/Ndufab1/Aco2/Immt/Sdhc/Atl2/G3bp2/Sod1/Ndufs3/Lpcat3/Coq5/Ndufb7/Mdh2/Uqcr10/Dld/Etfb/Cox7b/Chuk/Bcl2l13/Riok3/Scp2/Gpx4/Reep5/Qdpr/Uqcrq"
"HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_XENOBIOTIC_METABOLISM",56,0.529979909218557,1.54604614035562,0.000257468283464926,0.00247169552126329,0.00205974626771941,1651,"tags=55%, list=26%, signal=41%","Sertad1/Ssr3/Slc35b1/Acp1/Gclc/Adh5/Sar1b/Kars/Pgd/Spint2/Slc6a6/Pgrmc1/Dhrs7/Comt/Npc1/Nmt1/Ppard/Por/Atp2a2/Tmbim6/Cat/Pdlim5/Gabarapl1/Ccl25/Pts/Ptges3/Ech1/Psmb10/Cyb5a/Hes6/Aco2"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",83,0.472992155529803,1.4196820359398,0.000645701365101155,0.00442766650355077,0.00368972208629231,1794,"tags=53%, list=29%, signal=38%","Tars/Exosc4/Lsm1/Eif4a3/Pdia6/Eif4e/Khsrp/Sdad1/Spcs1/Dnajb9/Hspa9/Ssr1/Nop14/Eif2s1/Exosc1/Xbp1/Sec31a/Xpot/Eif4g1/Srpr/Banf1/Kif5b/Dkc1/Cebpg/Dctn1/Hspa5/Tatdn2/Nop56/Spcs3/Edc4/Imp3/Nhp2/Iars/Paip1/Nolc1/Herpud1/Hsp90b1/Eif4a1/Eif4a2/Arfgap1/Lsm4/Mtrex/Serp1/Nfyb"
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",137,0.433768000817852,1.33897705603331,0.000599907739098823,0.00442766650355077,0.00368972208629231,2796,"tags=68%, list=45%, signal=38%","Cyp51/Insig1/Ufm1/Psmd12/Stard4/Phgdh/Rrm2/Rpn1/Pdap1/Psmc2/Ebp/Eef1e1/Gclc/Ddit3/Ykt6/Txnrd1/Pgm1/Cyb5b/Psph/Slc6a6/Ddx39a/Tuba4a/Acly/Eno1/Hspa9/Psma4/Psmb5/Nmt1/Pitpnb/Ssr1/Tomm40/Hmgcr/Actr2/Cct6a/Gmps/Xbp1/Cacybp/Atp2a2/Eif2s2/Psme3/Hk2/Sdf2l1/Psmc4/Psmc6/Fkbp2/Arpc5l/Hspa5/Wars1/Rab1a/Tes/Hspd1/Hsp90b1/Cops5/Canx/Tcea1/Immt/Stip1/Mcm4/Atp5g1/Uso1/Serp1/Prdx1/Hprt/Sc5d/Calr/Nfil3/M6pr/Gtf2h1/Map2k3/Nampt/Slc2a1/Mcm2/Psmd14/Etf1/Nufip1/Qdpr/Psmd13/Psma3/Pdk1/Pfkl/Sqstm1/Skap2/Atp6v1d/Abcf2/Btg2/Acaca/Ube2d3/Cdkn1a/Tpi1/Mthfd2/Actr3/Pgk1/Uchl5"
"HALLMARK_PEROXISOME","HALLMARK_PEROXISOME","HALLMARK_PEROXISOME",47,0.465419405728254,1.33645714566527,0.0202040408081616,0.12122424484897,0.101020204040808,2445,"tags=64%, list=39%, signal=39%","Acsl5/Bcl10/Sod2/Tspo/Prdx5/Msh2/Ywhah/Slc25a4/Ctbp1/Slc23a2/Acaa1a/Cat/Slc25a17/Smarcc1/Itgb1bp1/Vps4b/Ech1/Cnbp/Fis1/Hsd17b4/Mvp/Sod1/Eci2/Prdx1/Cdk7/Nudt19/Scp2/Pex13/Gnpat/Top2a"
"HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2",32,0.484286605712202,1.3399361421857,0.0358573717948718,0.191239316239316,0.159366096866097,2573,"tags=75%, list=41%, signal=44%","Phb/Nip7/Ddx18/Mrto4/Ndufaf4/Rabepk/Las1l/Cbx3/Rcl1/Hk2/Wdr43/Cdk4/Nop56/Hspd1/Nolc1/Mybbp1a/Mcm4/Dctpp1/Tfb2m/Mphosph10/Farsa/Plk4/Tcof1/Gnl3"
"HALLMARK_PROTEIN_SECRETION","HALLMARK_PROTEIN_SECRETION","HALLMARK_PROTEIN_SECRETION",67,0.423569049049002,1.25331444846682,0.0407959204079592,0.195820417958204,0.163183681631837,2322,"tags=57%, list=37%, signal=36%","Arfip1/Ergic3/Vamp3/Rab22a/Copb2/Ykt6/Atp1a1/Rab5a/Dnm1l/Scamp3/Rer1/Lamp2/Cope/Sec31a/Rab9/Bet1/Cltc/Arf1/Rab14/Ap2m1/Tmed10/Vps4b/Adam10/Ap1g1/Tmx1/Sec22b/Sod1/Uso1/Napa/Arcn1/M6pr/Anp32e/Sec24d/Copb1/Tsg101/Ap2s1/Ap2b1/Clta"
