"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"NABA_MATRISOME","NABA_MATRISOME","NABA_MATRISOME",242,-0.516598880849399,-1.84889864707344,2.70366383416841e-17,6.48879320200418e-16,4.55353908912574e-16,1642,"tags=41%, list=18%, signal=35%","S100a14/Vwa5a/Parm1/Ereg/Htra3/Crim1/Cthrc1/Il18/Pdgfa/Pxdn/Plat/Ecm1/Serpine1/Igfbp4/Sema7a/Adam17/Ltbp3/Serpinh1/Inhba/Adam10/Lamc1/Cd109/Crlf1/Pcolce2/Cxcl3/Ccbe1/Fgf18/Plxnd1/Ccn1/Tgm2/Plxdc2/Sema3c/Cxcl10/Sdc1/Cela1/Sema4a/Clcf1/Col27a1/Ctsc/Gpc1/Adam12/Plxna2/Serpinb9/Angptl4/Il34/Fam20c/Spp1/Mmp28/Ccl25/Npnt/Pdgfc/Sema3e/Cxcl1/Spon2/Col6a1/Nrg1/Adam23/Col4a5/Adam32/Adamts9/Sulf1/Col7a1/Ccn2/Slit2/Ltbp1/Col5a1/Cxcl2/Lif/Angptl2/Csf1/Il1rn/Tll1/Ccl2/Fn1/Col6a2/Wnt7b/Ngf/Bmp1/Adamts6/Wnt4/Il11/Timp1/Edil3/Lama3/Sema3a/Srgn/Try5/Il1b/Aebp1/Tgfb2/Thbs1/Tnfaip6/Prss2/Sparc/Tnc/S100a9/Col1a1/S100a8/Col1a2/Col3a1"
"NABA_CORE_MATRISOME","NABA_CORE_MATRISOME","NABA_CORE_MATRISOME",64,-0.59691113842566,-1.96290688916553,1.15645508314295e-08,9.25164066514357e-08,6.49237941413584e-08,1985,"tags=61%, list=22%, signal=48%","Col18a1/Igfbp3/Lamc2/Creld1/Fbln2/Vwa5a/Crim1/Cthrc1/Pxdn/Ecm1/Igfbp4/Ltbp3/Lamc1/Pcolce2/Ccn1/Col27a1/Spp1/Npnt/Spon2/Col6a1/Col4a5/Col7a1/Ccn2/Slit2/Ltbp1/Col5a1/Fn1/Col6a2/Edil3/Lama3/Srgn/Aebp1/Thbs1/Tnfaip6/Sparc/Tnc/Col1a1/Col1a2/Col3a1"
"NABA_MATRISOME_ASSOCIATED","NABA_MATRISOME_ASSOCIATED","NABA_MATRISOME_ASSOCIATED",178,-0.473498866053402,-1.67160420002638,9.3642109593346e-09,9.25164066514357e-08,6.49237941413584e-08,1642,"tags=37%, list=18%, signal=31%","S100a14/Parm1/Ereg/Htra3/Il18/Pdgfa/Plat/Serpine1/Sema7a/Adam17/Serpinh1/Inhba/Adam10/Cd109/Crlf1/Cxcl3/Ccbe1/Fgf18/Plxnd1/Tgm2/Plxdc2/Sema3c/Cxcl10/Sdc1/Cela1/Sema4a/Clcf1/Ctsc/Gpc1/Adam12/Plxna2/Serpinb9/Angptl4/Il34/Fam20c/Mmp28/Ccl25/Pdgfc/Sema3e/Cxcl1/Nrg1/Adam23/Adam32/Adamts9/Sulf1/Cxcl2/Lif/Angptl2/Csf1/Il1rn/Tll1/Ccl2/Wnt7b/Ngf/Bmp1/Adamts6/Wnt4/Il11/Timp1/Sema3a/Try5/Il1b/Tgfb2/Prss2/S100a9/S100a8"
"NABA_SECRETED_FACTORS","NABA_SECRETED_FACTORS","NABA_SECRETED_FACTORS",72,-0.556407729947389,-1.8478003111287,2.9871427940541e-07,1.79228567643246e-06,1.25774433433857e-06,971,"tags=44%, list=11%, signal=40%","Vegfc/S100a14/Ereg/Il18/Pdgfa/Inhba/Crlf1/Cxcl3/Ccbe1/Fgf18/Cxcl10/Clcf1/Angptl4/Il34/Ccl25/Pdgfc/Cxcl1/Nrg1/Cxcl2/Lif/Angptl2/Csf1/Il1rn/Ccl2/Wnt7b/Ngf/Wnt4/Il11/Il1b/Tgfb2/S100a9/S100a8"
"NABA_COLLAGENS","NABA_COLLAGENS","NABA_COLLAGENS",12,-0.834586412527498,-2.15544896724744,1.85588215206652e-06,8.90823432991931e-06,6.25139251222408e-06,716,"tags=75%, list=8%, signal=69%","Col27a1/Col6a1/Col4a5/Col7a1/Col5a1/Col6a2/Col1a1/Col1a2/Col3a1"
"NABA_ECM_GLYCOPROTEINS","NABA_ECM_GLYCOPROTEINS","NABA_ECM_GLYCOPROTEINS",48,-0.561558038545925,-1.7944399940702,1.77751791936475e-05,7.110071677459e-05,4.98952398418175e-05,1980,"tags=67%, list=22%, signal=52%","Ints14/Pcolce/Thsd4/Lamb1/Igfbp3/Lamc2/Creld1/Fbln2/Vwa5a/Crim1/Cthrc1/Pxdn/Ecm1/Igfbp4/Ltbp3/Lamc1/Pcolce2/Ccn1/Spp1/Npnt/Spon2/Ccn2/Slit2/Ltbp1/Fn1/Edil3/Lama3/Aebp1/Thbs1/Tnfaip6/Sparc/Tnc"
"NABA_ECM_REGULATORS","NABA_ECM_REGULATORS","NABA_ECM_REGULATORS",65,-0.48416716877342,-1.59486762314452,0.000448991388946737,0.00153939904781738,0.00108028003355606,1511,"tags=37%, list=17%, signal=31%","Htra3/Plat/Serpine1/Adam17/Serpinh1/Adam10/Cd109/Tgm2/Cela1/Ctsc/Adam12/Serpinb9/Fam20c/Mmp28/Adam23/Adam32/Adamts9/Sulf1/Tll1/Bmp1/Adamts6/Timp1/Try5/Prss2"
"NABA_BASEMENT_MEMBRANES","NABA_BASEMENT_MEMBRANES","NABA_BASEMENT_MEMBRANES",17,-0.560838847145901,-1.55138558617324,0.0173039063309502,0.0519117189928505,0.0364292764862109,3934,"tags=100%, list=44%, signal=56%","Col4a2/Nid1/Agrn/Lamb3/Col4a1/Lamb2/Hspg2/Lamb1/Col18a1/Lamc2/Lamc1/Npnt/Col6a1/Col4a5/Col6a2/Lama3"
"SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES","SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES","SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES",23,-0.478138802928433,-1.39411478513388,0.0542107404393816,0.144561974505018,0.101446999652644,2376,"tags=57%, list=27%, signal=42%","Foxo3/Rps6kb1/Pik3ca/Pdpk1/Ppp1r13b/Tec/Bcr/Pten/Itpr1/Rps6ka3/Akt3/Lyn/Itpr2"
"SA_B_CELL_RECEPTOR_COMPLEXES","SA_B_CELL_RECEPTOR_COMPLEXES","SA_B_CELL_RECEPTOR_COMPLEXES",18,-0.487561686773745,-1.36608165799018,0.0767962065766416,0.18431089578394,0.129340979497502,2910,"tags=61%, list=33%, signal=41%","Sos1/Grb2/Map3k1/Map2k1/Jun/Atf2/Bcr/Fos/Vav2/Rps6ka3/Lyn"
