"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",116,-0.571929386544377,-1.96185653225973,7.39481029326734e-13,3.47556083783565e-11,1.7903224920542e-11,1980,"tags=54%, list=22%, signal=43%","Igfbp3/Gja1/Lamc2/Copa/Snai2/Jun/Dpysl3/Vegfc/Fbln2/Id2/Vcam1/Cthrc1/Cald1/Ecm1/Serpine1/Igfbp4/Gadd45a/Itgav/Serpinh1/Inhba/Pmepa1/Tnfaip3/Lamc1/Rhob/Crlf1/Pcolce2/Prrx1/Cxcl3/Ccn1/Tgm2/Sdc1/Notch2/Gpc1/Dst/Adam12/Wipf1/Spp1/Itga5/Cxcl1/Itgb3/Dab2/Col7a1/Ccn2/Slit2/Cd44/Col5a1/Cxcl2/Cadm1/Fn1/Col6a2/Cdh6/Bmp1/Timp1/Edil3/Lama3/Try5/Thbs1/Prss2/Sparc/Tnc/Col1a1/Col1a2/Col3a1"
"HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN",113,-0.524164338209095,-1.79527458801165,1.11724460390447e-08,2.6255248191755e-07,1.35245399420015e-07,2901,"tags=65%, list=32%, signal=44%","Nr1d2/Myc/Phf3/Wdr37/Slc7a1/Spop/Atp2c1/Prkca/Met/Pex14/Nek7/Lpar1/Atrx/Ica1/Sdc2/Insig1/Bmpr1a/Pdlim5/Atrn/Gja1/Snai2/Zmiz1/Id1/Togaram1/Pten/Scaf8/Serpine1/Synj2/Mapk14/Prkce/Atp2b1/Vav2/Rasa2/Lamc1/Cdk13/Ldlr/Nipbl/Bhlhe40/Map1b/Nrp1/Atxn1/Prkar2b/Sipa1l1/Ccn1/Schip1/Cdc42bpa/Igf1r/Akt3/Notch2/Celf2/Dlg1/Fzd2/Runx1/Nfib/Sfmbt1/Map2k5/Apbb2/Irs1/Fyn/Has2/Itgb3/Dab2/Ltbp1/Inpp4b/Smad3/Nfkb1/Plpp3/Dusp1/Cacna1a/Syne1/Col1a1/Col1a2/Col3a1"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",154,-0.480345856642541,-1.67734457770979,2.94796624809595e-08,4.61848045535032e-07,2.37906048091954e-07,2310,"tags=52%, list=26%, signal=39%","Irs2/Tsc22d1/Rel/Ripk2/Sik1/Ier3/Nr4a2/Pdlim5/Rnf19b/Dennd5a/Klf10/Cebpd/Jun/Klf6/Nr4a1/Nfkbia/Bcl3/Spsb1/Id2/Ier5/Ier2/Kdm6b/Il18/Birc3/Serpine1/Phlda1/Btg2/Junb/B4galt1/Fos/Gadd45a/Atp2b1/Tnfrsf9/B4galt5/Inhba/Fosb/Pmepa1/Tnfaip3/Klf2/Il6st/Egr2/Cebpb/Sgk1/Ldlr/Nfat5/Rhob/Bhlhe40/Cxcl3/Klf9/Dusp5/Ccn1/Cxcl10/Egr3/Clcf1/Bcl6/Egr1/Traf1/Ptgs2/Tank/Rigi/Marcks/Jag1/Socs3/Cxcl1/Ifih1/Cd44/Cxcl2/Lif/Csf1/Zfp36/Smad3/Ccl2/Nfkb1/Plpp3/Hes1/Dusp1/Olr1/Il1b/Tnfaip6/Tnc"
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",94,-0.500843155441204,-1.69254841067886,2.08107670998832e-06,2.44526513423627e-05,1.25959906130872e-05,2894,"tags=60%, list=32%, signal=41%","Myc/Slc7a1/Gch1/Gabbr1/Atp2a2/P2rx4/Atp2c1/Il15/Tapbp/Irf7/Met/Lpar1/Ripk2/Mmp14/Cx3cl1/Il1r1/Ly6e/Tlr3/Klf6/Nfkbia/Ereg/Il18/Serpine1/Kif1b/Btg2/Eif2ak2/Cd14/Il18rap/Atp2b1/Abi1/Ahr/Tnfrsf9/Inhba/Ldlr/Rtp4/Sgms2/Cxcl10/Slc4a4/Il4ra/Hif1a/Lyn/Osmr/Itga5/Dcbld2/Has2/Itgb3/Tpbg/Lif/Csf1/Ccl2/Nfkb1/Ifitm1/Timp1/Olr1/Il1b/Tnfaip6"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",122,-0.461501102711281,-1.58907851927738,9.79525512310821e-06,9.20753981572172e-05,4.74296563855766e-05,2789,"tags=51%, list=31%, signal=35%","Gch1/Ptpn2/Tnfaip2/Casp8/Il15/Trim25/Tapbp/Irf7/Trim26/St3gal5/Pla2g4a/Casp7/Ripk2/Lgals3bp/Oasl1/Rapgef6/Ly6e/Znfx1/Trim14/Mt2/Arid5b/Nfkbia/Cmtr1/Vcam1/Pml/Parp12/Pim1/Eif2ak2/Adar/Jak2/Tdrd7/Peli1/Xaf1/Tnfaip3/Bpgm/Rtp4/Stat2/Cxcl10/Il4ra/Hif1a/Sspn/Ptgs2/Rigi/Stat3/Socs3/Ifih1/Helz2/Ifi35/Isg15/Usp18/Cd74/Selp/Ddx60/Ccl2/Nfkb1/Rnf213/Ifit3/Herc6/H2-Eb1/H2-Aa/Ifitm3/Tnfaip6"
"HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION",107,-0.440155611233867,-1.50204315654747,0.000130368783663072,0.00102122213869406,0.000526049477938712,2077,"tags=43%, list=23%, signal=33%","Pkd1/Itga2/Jup/Insig1/Cx3cl1/Lamc2/Nlgn2/Pals1/Tsc1/Actn1/Vcam1/Pik3cb/Plcg1/Pten/Nf2/Nectin3/Mapk14/B4galt1/Msn/Cd276/Vav2/Itga3/Cldn18/Myh9/Map4k2/Evl/Nectin1/Nf1/Akt3/Traf1/Dlg1/Map3k20/Baiap2/Irs1/Epb41l2/Vcl/Adam23/Slit2/Mpzl1/Cadm2/Pecam1/Exoc4/Cdh6/Bmp1/Flnc/Lama3"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",66,-0.490661041846227,-1.61122227274051,0.000207537837233799,0.00139346833571265,0.000717800038552988,2709,"tags=53%, list=30%, signal=37%","Casp8/Il15/Trim25/Ncoa7/Irf7/Mov10/Trim26/Parp9/Ripk2/Lgals3bp/Oasl1/Ly6e/Trim14/Cmtr1/Parp12/Eif2ak2/Adar/Tdrd7/Rtp4/Stat2/Elf1/Cxcl10/Il4ra/Ifih1/Helz2/Ifi35/Isg15/Usp18/Cd74/Ddx60/Csf1/Ifitm1/Ifit3/Herc6/Ifitm3"
"HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP",111,-0.430611821990556,-1.47302663210402,0.000599907739098823,0.00352445796720558,0.00181551026306223,2069,"tags=42%, list=23%, signal=33%","Itga2/Jup/Ets1/Igfbp3/Emp1/Ammecr1/Id2/Avl9/Vwa5a/Evi5/Rbm4/Ereg/Prkg2/Plat/Birc3/Trib2/Etv5/Etv4/Adam17/Inhba/Tnfaip3/Bpgm/Cbl/Prrx1/Nrp1/Dnmbp/St6gal1/Cxcl10/Nin/Traf1/Ptgs2/Angptl4/Ptbp2/Spp1/Gprc5b/Il33/Dcbld2/Atg10/Rabgap1l/Lif/Ank/Pecam1/Sox9/Ngf/Snap25/Car2/Il1b"
"HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TGF_BETA_SIGNALING",49,-0.504078565580908,-1.61182003570477,0.0010969383365862,0.00572845575772795,0.00295082827385762,3014,"tags=67%, list=34%, signal=45%","Apc/Id3/Ncor2/Tgfb1/Trim33/Smurf1/Map3k7/Xiap/Hipk2/Sptbn1/Skil/Smad1/Bmpr1a/Klf10/Bcar3/Ski/Id1/Id2/Ctnnb1/Serpine1/Junb/Furin/Arid4b/Pmepa1/Bmpr2/Tgfbr1/Smurf2/Acvr1/Smad6/Wwtr1/Slc20a1/Smad3/Thbs1"
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE",169,-0.393926630205699,-1.38255601056178,0.00137141155808757,0.00644563432301156,0.00332025956168569,3863,"tags=67%, list=43%, signal=39%","Llgl1/Mid1ip1/Cdc42/Arl8a/Ywhae/Pcm1/Rasa1/Ckap5/Kifap3/Pcgf5/Cd2ap/Rhot2/Ppp4r2/Arhgap5/Kif23/Pxn/Nusap1/Racgap1/Bcar1/Bub1/Lrpprc/Smc4/Ezr/Flnb/Smc3/Apc/Arhgap27/Nedd9/Sos1/Tuba4a/Ccnb2/Hook3/Sptan1/Palld/Arfgef1/Rhof/Clip2/Cep192/Clip1/Sptbn1/Rab3gap1/Tlk1/Klc1/Kif20b/Tbcd/Pdlim5/Rapgef6/Rictor/Hdac6/Lats1/Anln/Cntrl/Top2a/Cep250/Itsn1/Plekhg2/Ranbp9/Rabgap1/Cdk5rap2/Arap3/Abl1/Tsc1/Stk38l/Ccdc88a/Arhgef2/Akap13/Bcr/Tpx2/Sun2/Ssh2/Cdc42ep4/Kif1b/Trio/Cdc42ep1/Abi1/Fgd4/Rasa2/Myh9/Septin9/Synpo/Cdc27/Clasp1/Alms1/Cenpe/Myo1e/Cdc42bpa/Nin/Epb41/Als2/Nf1/Ect2/Mid1/Abr/Notch2/Arhgef3/Pkd2/Dst/Kif3c/Farp1/Dlg1/Incenp/Arhgef12/Cenpf/Ophn1/Nck2/Marcks/Kif11/Epb41l2/Bcl2l11/Vcl/Rasal2/Dock4/Sorbs2"
