"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"NABA_CORE_MATRISOME","NABA_CORE_MATRISOME","NABA_CORE_MATRISOME",71,0.412208200632887,4.14611399446524,1.31553233742542e-13,2.89417114233592e-12,2.07715632225066e-12,178,"tags=24%, list=2%, signal=24%","Col3a1/Col1a1/Srgn/Thbs1/Tnc/Col8a1/Sparc/Vcan/Tnfaip6/Aebp1/Thsd4/Ccn4/Edil3/Igfbp5/Cthrc1/Pcolce/Col5a3"
"NABA_SECRETED_FACTORS","NABA_SECRETED_FACTORS","NABA_SECRETED_FACTORS",74,0.287163599211966,2.95120929193787,8.67311873541785e-08,9.54043060895964e-07,6.84719900164567e-07,91,"tags=18%, list=1%, signal=18%","S100a8/S100a9/Il1b/Nrg1/Cxcl2/Ccl7/Cxcl3/Ccl2/Cxcl1/Csf1/Gdf15/Csf2/Cxcl10"
"NABA_ECM_GLYCOPROTEINS","NABA_ECM_GLYCOPROTEINS","NABA_ECM_GLYCOPROTEINS",53,0.309131065150442,2.71944625688973,2.74680100013619e-06,2.01432073343321e-05,1.44568473691378e-05,4428,"tags=85%, list=48%, signal=44%","Thbs1/Tnc/Sparc/Tnfaip6/Aebp1/Thsd4/Ccn4/Edil3/Igfbp5/Cthrc1/Pcolce/Fbln2/Igfbp7/Nell2/Spon2/Dmbt1/Thbs3/Ccn2/Slit2/Spp1/Ltbp1/Ccn1/Ltbp4/Pcolce2/Creld1/Vwa5a/Igfbp4/Matn2/Agrn/Lama3/Efemp1/Ints14/Mfge8/Ecm1/Pxdn/Igfbp3/Creld2/Lamb2/Lamc1/Fn1/Ltbp3/Mfap3/Crim1/Tinagl1/Mfap1a"
"NABA_COLLAGENS","NABA_COLLAGENS","NABA_COLLAGENS",14,0.635834190247109,2.91854487719882,9.38398295477753e-06,5.16119062512764e-05,3.7042037979385e-05,14,"tags=21%, list=0%, signal=21%","Col3a1/Col1a1/Col8a1"
"NABA_ECM_REGULATORS","NABA_ECM_REGULATORS","NABA_ECM_REGULATORS",65,0.22678608188021,2.20014372413597,0.000158432915239376,0.000697104827053254,0.000500314469176977,94,"tags=14%, list=1%, signal=14%","Prss2/Mmp3/Mmp10/Adam23/Mmp13/Timp1/Slpi/Fam20a/Sulf1"
"SA_B_CELL_RECEPTOR_COMPLEXES","SA_B_CELL_RECEPTOR_COMPLEXES","SA_B_CELL_RECEPTOR_COMPLEXES",18,-0.426183903033666,-1.68145464149005,0.0239925460051246,0.0879726686854569,0.0631382789608543,3964,"tags=78%, list=43%, signal=44%","Hras/Vav2/Atf2/Mapk8ip3/Rps6ka3/Mapk3/Map2k1/Sos1/Grb2/Mapk1/Rac1/Rps6ka1/Bcr/Map3k1"
"SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES","SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES","SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES",42,-0.306659873241589,-1.55695584877216,0.0331265117257335,0.104111893995162,0.0747214550204515,5979,"tags=90%, list=65%, signal=32%","Irs1/Foxo1/Ywhae/Flot2/Shc1/Gsk3b/Cbl/Pik3r1/Rps6kb1/Brd4/Cyth3/Cdc42/Pard3/Pik3ca/Ywhaz/Akt1/Inppl1/Ywhab/Ywhaq/Serpinb6a/Rps6ka3/Sorbs1/Mapk3/Sos1/Ptpn1/Grb2/Mapk1/Pdpk1/Raf1/Akt2/Pten/Gsk3a/Rps6ka1/Lnpep/Ywhah/Sos2/Ywhag/Cap1"
"SA_PTEN_PATHWAY","SA_PTEN_PATHWAY","SA_PTEN_PATHWAY",15,-0.377711632795402,-1.40265651254909,0.105776087473259,0.23270739244117,0.167014874957777,4349,"tags=80%, list=47%, signal=42%","Bpnt1/Pik3ca/Akt1/Rbl2/Mapk3/Sos1/Grb2/Mapk1/Pdpk1/Akt2/Pten/Ptk2b"
"SIG_CD40PATHWAYMAP","SIG_CD40PATHWAYMAP","SIG_CD40PATHWAYMAP",23,-0.325900396409601,-1.3960729587537,0.102004254842683,0.23270739244117,0.167014874957777,5225,"tags=78%, list=57%, signal=34%","Nfkb2/Pik3r1/Mapk12/Map2k7/Pik3ca/Nfkbil1/Mapk9/Mapk8ip3/Mapk8/Mapk3/Ikbkg/Mapk1/Mapkapk5/Traf2/Traf5/Map2k4/Mapk14/Traf6"
"SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES","SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES","SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES",53,-0.254356955576029,-1.36621837238957,0.100134200474863,0.23270739244117,0.167014874957777,4358,"tags=62%, list=47%, signal=33%","Cyth3/Cdc42/Pard3/Pik3ca/Ywhaz/Pak1/Akt1/Inppl1/Ywhab/Mtor/Ywhaq/Rps6ka3/Cdk2/Foxo3/Sos1/Ptpn1/Grb2/Ptk2/Pdpk1/Akt2/Ebp/Pten/Gsk3a/Rps6ka1/Cdkn1b/Creb1/Tsc1/Creb3/Ppp1r13b/Ywhah/Sos2/Ywhag/Prex1"
