"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",117,0.283414848773401,3.49405057331636,8.51168306159123e-12,4.08560786956379e-10,3.0462865694116e-10,72,"tags=12%, list=1%, signal=12%","Col3a1/Prss2/Col1a1/Thbs1/Tnc/Dab2/Sparc/Mmp3/Vcan/Cxcl2/Cxcl3/Timp1/Cxcl1/Prrx1"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",65,0.380772105095341,3.70158379723276,1.23730818636227e-10,2.96953964726945e-09,2.21413043875354e-09,3531,"tags=85%, list=38%, signal=52%","Ifitm3/Cd74/Parp12/Isg15/Usp18/Csf1/Bst2/Rtp4/Cxcl10/Ube2l6/Herc6/Irf7/Parp14/B2m/Ifit3/Ifi35/Ifih1/Parp9/Il15/Eif2ak2/Tmem140/Samd9l/Stat2/Ifi27l2b/Ifitm1/Ripk2/Ly6e/Psme1/Psme2/Procr/Mov10/Adar/Ifi27/Irf1/Ifi30/Irf9/Tdrd7/Trim25/Helz2/Pnpt1/Txnip/Nmi/Cd47/Cmtr1/Elf1/Mvb12a/Cnp/Plscr1/Lgals3bp/Oasl1/Trim14/Ifitm2/Lap3/Ogfr/Slc25a28"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",120,0.23390661516651,2.82836939066156,1.72403263099107e-08,2.75845220958571e-07,2.05674068258584e-07,1833,"tags=58%, list=20%, signal=47%","Ifitm3/Cd74/Ptgs2/Ccl7/Tnfaip6/Parp12/Ccl2/Isg15/Usp18/Bst2/Rtp4/Cxcl10/Ube2l6/Herc6/Xaf1/Irf7/Parp14/B2m/Ifit3/Icam1/Rnf213/Zbp1/Ifi35/Stat1/Ifih1/Il15/Eif2ak2/Tnfaip3/Samhd1/Rigi/Nfkb1/Psmb10/Samd9l/H2-D1/Stat2/Ifi27l2b/Vcam1/Mt2/Tapbp/Nfkbia/Ripk2/Ly6e/Psme1/Pla2g4a/Cfb/Socs3/Mthfd2/Psme2/Pim1/Socs1/Adar/Pml/Ifi27/Irf1/Hif1a/Casp7/Ifi30/Irf9/Ifnar2/Tdrd7/Trim25/Nup93/Helz2/Bpgm/Znfx1/Upp1/Stat3/Pnpt1/Txnip/Nmi"
"HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2",52,0.289225735776144,2.513695039529,2.00131405866812e-05,0.000240157687040175,0.000179064942091359,4851,"tags=88%, list=53%, signal=42%","Dctpp1/Mcm4/Plk4/Tcof1/Srm/Rrp9/Wdr43/Mcm5/Rcl1/Nolc1/Hspe1/Myc/Ipo4/Nop2/Ddx18/Rrp12/Tmem97/Pprc1/Ppan/Ndufaf4/Nip7/Npm1/Exosc5/Mrto4/Mybbp1a/Gnl3/Hk2/Bysl/Phb/Grwd1/Tbrg4/Nop16/Mphosph10/Pa2g4/Farsa/Pes1/Utp20/Cdk4/Cbx3/Nop56/Supv3l1/Rabepk/Hspd1/Noc4l/Prmt3/Wdr74"
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA","HALLMARK_HYPOXIA",142,-0.304038884078273,-1.95758856822229,3.23567941227901e-05,0.000310625223578785,0.000231606526352603,2742,"tags=46%, list=30%, signal=33%","Foxo3/Large1/Galk1/Ppargc1a/Phkg1/Hdlbp/Grhpr/Wsb1/F3/Aldoa/Bcl2/Hk1/Fosl2/Sult2b1/Myh9/Cdkn1a/Ndst1/Cdkn1b/Vhl/Rbpj/Slc6a6/Ankzf1/Ldha/Nfil3/Plaur/Pgm1/Aldoc/Serpine1/Maff/P4ha2/Btg1/Gpi1/Pgk1/Prkca/Pfkfb3/Pdk1/Bnip3l/Xpnpep1/Vegfa/Gbe1/Pfkp/Pfkl/Tpbg/Ak4/Pdgfb/Gys1/Kdm3a/Pgm2/Pgf/Ddit3/Map3k1/Jmjd6/Ddit4/Sap30/Zfp292/P4ha1/Efna1/Atp7a/Stc1/Cited2/Ccng2/Slc2a1/Mxi1/Ero1a/Adm"
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION",85,0.205009302560864,2.30049704888776,5.13849260048256e-05,0.000411079408038605,0.000306506576169135,2070,"tags=53%, list=23%, signal=41%","Srgn/Il1b/Cd74/Ccl7/Timp1/Ccl2/Csf1/Hdac9/Irf7/B2m/Icam1/Stat1/Il15/Prkcg/Tgfb2/Rpl39/Psmb10/Brca1/Cdkn2a/Ccnd2/H2-T23/Tapbp/Rps3a1/Ripk2/Rps19/Tlr3/Rps9/Ereg/Nme1/Socs1/Il11/Hif1a/Lyn/Ifnar2/Eif5a/Ccnd3/Abi1/Lif/Il18/Ly75/Eif3j1/Cd47/Capg/Glmn/Bcl10"
"HALLMARK_COAGULATION","HALLMARK_COAGULATION","HALLMARK_COAGULATION",62,0.2153516795884,2.04673965598851,0.000464176502523883,0.0031829245887352,0.00237323324598677,129,"tags=15%, list=1%, signal=14%","Thbs1/Sparc/Mmp3/Mmp10/C3/Timp1/Gda/Pecam1/Olr1"
"HALLMARK_ANGIOGENESIS","HALLMARK_ANGIOGENESIS","HALLMARK_ANGIOGENESIS",21,0.410767432110531,2.30209962837259,0.000907340645435319,0.00544404387261191,0.00405915551905274,1209,"tags=57%, list=13%, signal=50%","Col3a1/Vcan/Timp1/Olr1/Cxcl5/S100a4/Ccnd2/App/Pglyrp1/Spp1/Nrp1/Tnfrsf21"
"HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_ESTROGEN_RESPONSE_LATE",110,-0.279993048637576,-1.73408470532929,0.00170802773033256,0.00910948122844034,0.00679215705629323,2782,"tags=45%, list=30%, signal=32%","Dnajc1/Slc16a1/Perp/Gfus/Large1/Add3/Itpk1/Slc26a2/Aldh3b1/Dynlt3/Tff1/Bag1/Lsr/Bcl2/Aldh3a2/Slc29a1/Idh2/Rabep1/Frk/Sult2b1/Ptges/Hprt/Abca3/Xbp1/Ugdh/Unc13b/Cd44/Areg/Amfr/Lamc2/Jak1/Slc1a4/Gale/Egr3/Mettl3/Wfs1/Impa2/Tpbg/Farp1/Llgl2/Id2/Hspa4l/Hr/Dlg5/Nxt1/Slc7a5/Tspan13/Nab2/Sord/Nbl1"
"HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_HEDGEHOG_SIGNALING",19,-0.482115829760443,-1.94353163016398,0.00218767990788716,0.00954623959805307,0.00711781022661852,2172,"tags=58%, list=24%, signal=44%","Ophn1/Myh9/Tle1/Ets2/Vegfa/Celsr1/Rasa1/Tle3/Ptch1/Adgrg1/Scg2"
