"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"NABA_COLLAGENS","NABA_COLLAGENS","NABA_COLLAGENS",11,-0.593898165391743,-1.96285260325341,0.0025609756097561,0.0289920724801812,0.024160060400151,874,"tags=45%, list=10%, signal=41%","Col27a1/Col6a2/Col4a5/Col6a1/Col7a1"
"NABA_BASEMENT_MEMBRANES","NABA_BASEMENT_MEMBRANES","NABA_BASEMENT_MEMBRANES",17,-0.501840934184131,-1.91774380770701,0.00362400906002265,0.0289920724801812,0.024160060400151,3772,"tags=82%, list=42%, signal=48%","Col18a1/Hspg2/Lamb2/Lama5/Nid1/Lamc1/Lamb1/Lamc2/Col6a2/Col4a5/Lamb3/Col6a1/Npnt/Lama3"
"NABA_SECRETED_FACTORS","NABA_SECRETED_FACTORS","NABA_SECRETED_FACTORS",72,-0.334987121980367,-1.82033792960217,0.00143611276805383,0.0289920724801812,0.024160060400151,1765,"tags=33%, list=19%, signal=27%","Ccl25/Vegfa/S100a3/Lefty1/Pdgfb/Pdgfa/Hcfc2/Il34/Megf8/Lif/Tgfb1/Btc/Wnt4/Clcf1/Inhba/Angptl2/Il11/Tgfb2/Il1rn/Ngf/Crlf1/Fgf18/Vegfc/Wnt7b"
"SIG_BCR_SIGNALING_PATHWAY","SIG_BCR_SIGNALING_PATHWAY","SIG_BCR_SIGNALING_PATHWAY",31,-0.336958461067629,-1.52848699551377,0.0394099051633298,0.156487025948104,0.130405854956753,5167,"tags=87%, list=57%, signal=38%","Mapk3/Gsk3b/Lyn/Csk/Flot2/Akt1/Akt2/Dag1/Gsk3a/Raf1/Pik3r1/Akt3/Itpr1/Mapk1/Ppp3ca/Sos1/Grb2/Pik3ca/Itpr3/Pdpk1/Ppp3cb/Itpr2/Sos2/Ppp1r13b/Bcr/Nfatc1/Bcl2"
"SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES","SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES","SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES",23,-0.360592344257758,-1.50756522537235,0.0511703864997278,0.156487025948104,0.130405854956753,4889,"tags=83%, list=54%, signal=38%","Lyn/Flot2/Akt1/Akt2/Cyth3/Akt3/Itpr1/Rps6kb1/Foxo3/Pik3ca/Itpr3/Pdpk1/Prex1/Pten/Itpr2/Tec/Rps6ka3/Ppp1r13b/Bcr"
"SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES","SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES","SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES",43,-0.304619242535305,-1.4906754512282,0.0435768002472443,0.156487025948104,0.130405854956753,5167,"tags=81%, list=57%, signal=35%","Mapk3/Ywhae/Gsk3b/Ywhaz/Flot2/Akt1/Foxo1/Akt2/Inppl1/Cdc42/Cyth3/Gsk3a/Raf1/Ywhaq/Pik3r1/Akt3/Ptpn1/Mapk1/Rps6kb1/Ywhah/Ywhag/Sos1/Grb2/Cap1/Pik3ca/Lnpep/Brd4/Cbl/Pdpk1/Pten/Irs1/Sos2/Sorbs1/Rps6ka3/Pard3"
"SIG_CD40PATHWAYMAP","SIG_CD40PATHWAYMAP","SIG_CD40PATHWAYMAP",23,-0.354805640438828,-1.48337216197022,0.0586826347305389,0.156487025948104,0.130405854956753,4459,"tags=78%, list=49%, signal=40%","Mapk12/Nfkb1/Map2k7/Traf6/Ikbkg/Mapk8ip3/Mapkapk5/Pik3r1/Nfkb2/Traf2/Mapk1/Dusp1/Mapk9/Pik3ca/Map2k4/Mapk8/Traf3/Mapk14"
"WNT_SIGNALING","WNT_SIGNALING","WNT_SIGNALING",50,-0.286631801925047,-1.45523458110568,0.0519771708112515,0.156487025948104,0.130405854956753,4878,"tags=74%, list=54%, signal=34%","Fbxw2/Jun/Ctnnbip1/Bcl9/Daam1/Ppp2r1a/Dixdc1/Fosl1/Gsk3a/Csnk1a1/Ctbp2/Csnk1d/Ppp2ca/Ctbp1/Apc/Ccnd3/Porcn/Dvl1/Ctnnb1/Rhou/Fzd5/Fzd2/Axin1/Csnk1g1/Fzd6/Lrp6/Ep300/Tle1/Fbxw11/Fbxw4/Kremen1/Nlk/Btrc/Wnt4/Lrp5/Tcf7/Wnt7b"
"NABA_CORE_MATRISOME","NABA_CORE_MATRISOME","NABA_CORE_MATRISOME",63,-0.267772087470353,-1.42239558327053,0.0570303825577874,0.156487025948104,0.130405854956753,3772,"tags=52%, list=42%, signal=31%","Col18a1/Ints14/Col5a1/Pcolce2/Spon2/Igfbp4/Hspg2/Lamb2/Lama5/Nid1/Ccn2/Slit2/Edil3/Spp1/Acan/Ecm1/Crim1/Pxdn/Efemp2/Ltbp1/Lamc1/Lamb1/Ltbp3/Col27a1/Lamc2/Col6a2/Col4a5/Lamb3/Col6a1/Npnt/Fn1/Col7a1/Lama3"
"SIG_CHEMOTAXIS","SIG_CHEMOTAXIS","SIG_CHEMOTAXIS",32,-0.292005436188249,-1.33460221635861,0.125775581028499,0.301861394468398,0.251551162056999,4826,"tags=75%, list=53%, signal=35%","Arhgef11/Akt1/Arhgap1/Akt2/Inppl1/Cdc42/Actr2/Wasl/Pik3r1/Akt3/Itpr1/Limk1/Pak1/Gdi2/Actr3/Pik3ca/Rock2/Itpr3/Pdpk1/Gdi1/Pten/Itpr2/Ppp1r13b/Angptl2"
