"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN",112,-0.378943913658952,-2.19788907686035,8.5518224972071e-08,3.67728367379905e-06,3.06065226215833e-06,3083,"tags=61%, list=34%, signal=41%","F3/Ythdc1/Dyrk1a/Slc7a1/Prdm2/Nr1d2/Add3/Nfib/Dusp1/Prkce/Atp2b1/Ltbp1/Dlg1/Sdc2/Spop/Celf2/Fzd2/Lamc1/Notch2/Aggf1/Phf3/Erbb2/Atp2c1/Scaf8/Sipa1l1/Atrx/Pex14/Bhlhe40/Atrn/Map1b/Scn8a/Schip1/Tent4a/Prkca/Togaram1/Pparg/Wdr37/Fhl2/Zmiz1/Inpp4b/Rasa2/Bmpr1a/Serpine1/Igf1r/Map2k5/Cdc42bpa/Smad7/Pten/Runx1/Vav2/Prkar2b/Synj2/Irs1/Cited2/Nipbl/Cdk13/Plpp3/Atxn1/Sfmbt1/Mapk14/Itgb3/Syne1/Cacna1a/Id1/Lpar1/Apbb2/Has2/Smad3"
"HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2",51,0.324154859220999,2.76127645655827,3.24054968714001e-06,6.96718182735102e-05,5.7988783875137e-05,5254,"tags=94%, list=58%, signal=40%","Dctpp1/Rrp9/Exosc5/Hspe1/Mrto4/Tcof1/Nip7/Mcm4/Srm/Wdr43/Tmem97/Phb/Mphosph10/Cbx3/Npm1/Pes1/Pa2g4/Gnl3/Nop2/Ddx18/Ppan/Grwd1/Mybbp1a/Hk2/Ndufaf4/Plk4/Nolc1/Hspd1/Nop16/Myc/Ipo4/Tbrg4/Rrp12/Cdk4/Rcl1/Noc4l/Wdr74/Pus1/Farsa/Mcm5/Nop56/Bysl/Aimp2/Prmt3/Tfb2m/Utp20/Imp4/Rabepk"
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE",169,-0.295431134269128,-1.80316508235124,2.10834872570101e-05,0.000302196650683811,0.000251522304118717,3932,"tags=64%, list=43%, signal=37%","Synpo/Mid1/Itsn1/Mapre1/Arhgdia/Sptbn1/Taok2/Cyth2/Wasl/Capzb/Rhof/Csnk1d/Numa1/Sun2/Cep192/Dync1h1/Cenpf/Bcar1/Ppp4r2/Ckap5/Cntrl/Tbcd/Rhot2/Marcks/Pcnt/Sptan1/Apc/Stau1/Rab3gap1/Mark4/Hook3/Kif11/Arhgap5/Smc3/Katna1/Myo9b/Map3k11/Arhgef2/Cdk5rap2/Clip1/Fgd4/Dlg1/Kntc1/Alms1/Sos1/Ssh2/Arl8a/Notch2/Hdac6/Bcl2l11/Atg4b/Plekhg2/Akap13/Dst/Pcgf5/Nedd9/Myo1e/Tlk1/Kif3b/Rasa1/Als2/Arfgef1/Rapgef6/Kif1b/Incenp/Rictor/Prex1/Cep250/Katnb1/Rasa2/Cdc42ep4/Nf1/Rabgap1/Llgl1/Klc1/Clip2/Cdc42bpa/Arhgap27/Abl1/Vcl/Cdc42ep1/Trio/Myh9/Ranbp9/Pxn/Arhgef12/Fgd6/Epb41/Nin/Tuba4a/Ccdc88a/Tsc1/Clasp1/Kif3c/Cdc27/Lats1/Dock4/Arap3/Epb41l2/Pkd2/Abr/Bcr/Ophn1/Rasal2/Nck2/Septin9/Farp1/Arhgef3"
"HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_HEDGEHOG_SIGNALING",19,-0.584383887791,-2.2931349819762,3.97233271939496e-05,0.000427025767334958,0.000355419243314286,1907,"tags=68%, list=21%, signal=54%","Ldb1/Ptch1/Vegfa/Cdk6/Rasa1/Tle1/Nf1/Myh9/Ophn1/Tle3/Celsr1/Adgrg1/Scg2"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",66,0.226461924295941,2.10940772642995,0.000161517128248685,0.00138904730293869,0.00115612260220111,2140,"tags=64%, list=24%, signal=49%","Cd74/Tap1/B2m/Ifitm3/Bst2/Parp12/Ube2l6/Parp14/Irf1/Cxcl10/Rtp4/Isg15/Irf7/Usp18/Ifi27l2b/Tmem140/Psme1/Procr/Psme2/Parp9/Nmi/Samd9l/Csf1/Mvb12a/Il15/Ifi30/Cd47/Lap3/Ifi27/Txnip/Isg20/Wars1/Eif2ak2/Irf2/Psma3/Ifi35/Ifitm2/Plscr1/Ripk2/Ifih1/Irf9/Ly6e"
"HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TGF_BETA_SIGNALING",49,-0.366781168782693,-1.84812561414881,0.00227965882713846,0.0163375549278257,0.0135979649338084,2772,"tags=57%, list=31%, signal=40%","Apc/Map3k7/Ncor2/Wwtr1/Ctnnb1/Bmp2/Smurf1/Arid4b/Pmepa1/Ppm1a/Junb/Bmpr1a/Serpine1/Furin/Xiap/Smad7/Tgfb1/Bcar3/Id3/Id2/Ski/Bmpr2/Smurf2/Acvr1/Slc20a1/Id1/Smad6/Smad3"
"HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION",107,-0.263516629798794,-1.51823039400314,0.0122134347782561,0.0750253850664302,0.0624446289414597,3893,"tags=64%, list=43%, signal=37%","Inppl1/Skap2/Nectin3/Egfr/Cdh1/Zyx/Ikbkg/Actg1/Itga2/Arpc2/Cadm2/Taok2/Nlgn2/Wasl/Pbx2/Tubg1/Rhof/Insig1/Akt3/Cldn18/Grb7/Slit2/Src/Actn1/Lima1/Crat/Cd276/Cx3cl1/Pkd1/Tial1/Ywhah/Dlg1/Pals1/Nectin1/Msn/Cap1/Itga3/Ptk2/Evl/Traf1/Rasa1/Jup/Nf2/Plcg1/Nf1/Pik3cb/Bmp1/Mpzl1/Pten/Lamc2/Vav2/Vcl/Pcdh1/Myh9/Irs1/Ctnnd1/Baiap2/Tsc1/Lamb3/Itgb4/B4galt1/Mapk14/Exoc4/Epb41l2/Map4k2/Flnc/Map3k20/Cdh6/Lama3"
"HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_WNT_BETA_CATENIN_SIGNALING",24,-0.388414694401182,-1.63198526488287,0.022533692722372,0.121118598382749,0.100808625336927,2620,"tags=71%, list=29%, signal=51%","Trp53/Psen2/Ncstn/Ncor2/Notch1/Numb/Ctnnb1/Hdac2/Hdac5/Ptch1/Axin1/Maml1/Adam17/Csnk1e/Ppard/Tcf7/Jag1"
"HALLMARK_APICAL_SURFACE","HALLMARK_APICAL_SURFACE","HALLMARK_APICAL_SURFACE",19,-0.40035221350443,-1.57099072215857,0.0358854340800178,0.171452629493419,0.142702310961474,4889,"tags=79%, list=54%, signal=36%","Lyn/Adam10/Flot2/Plaur/Efna5/Pkhd1/Adipor2/Cx3cl1/Crybg1/Dcbld2/Ncoa6/Ephb4/B4galt1/Gata3/Hspb1"
"HALLMARK_NOTCH_SIGNALING","HALLMARK_NOTCH_SIGNALING","HALLMARK_NOTCH_SIGNALING",24,-0.35024152264934,-1.47159469596041,0.0639353099730458,0.249928938985543,0.208019190342924,2500,"tags=50%, list=28%, signal=36%","Notch1/Dtx2/Fzd5/Notch2/Maml2/Prkca/Fbxw11/Tcf7l2/St3gal6/Ppard/Hes1/Jag1"
