"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"NABA_MATRISOME","NABA_MATRISOME","NABA_MATRISOME",283,0.315627515340103,1.69688898483259,8.68716235523976e-06,0.000217179058880994,0.000182887628531363,1000,"tags=22%, list=9%, signal=21%","Nrg1/Vcan/Csf2/Cxcl3/Gdf15/Muc5ac/Thbs1/Cxcl2/Srgn/Thsd4/Cxcl1/Mmp10/Mmp13/Ltbp4/Il1b/Col8a1/Slpi/Sema4g/Serpinb1a/Lgals2/Dmbt1/Adam32/Cxcl5/Csf1/Tnc/Serpinc1/Cspg5/Col3a1/Fam20a/P4htm/Muc1/S100a4/Adam8/Muc5b/Fgf1/Adam23/Plat/Col4a2/Vwce/S100a6/Angptl4/Adam2/S100a11/Ccbe1/Sulf1/Nrg4/Serpini1/Col4a1/Lgals1/Slit2/Cd109/Col20a1/Pcolce/Lgals4/Muc4/S100a9/S100a13/Insl6/Adamtsl5/Sema4a/S100a10/Kitl/Fbln1"
"NABA_MATRISOME_ASSOCIATED","NABA_MATRISOME_ASSOCIATED","NABA_MATRISOME_ASSOCIATED",205,0.309340854943407,1.60459311052981,0.000292950394117808,0.0036618799264726,0.00308368835913482,560,"tags=18%, list=5%, signal=17%","Nrg1/Csf2/Cxcl3/Gdf15/Muc5ac/Cxcl2/Cxcl1/Mmp10/Mmp13/Il1b/Slpi/Sema4g/Serpinb1a/Lgals2/Adam32/Cxcl5/Csf1/Serpinc1/Cspg5/Fam20a/P4htm/Muc1/S100a4/Adam8/Muc5b/Fgf1/Adam23/Plat/S100a6/Angptl4/Adam2/S100a11/Ccbe1/Sulf1/Nrg4/Serpini1"
"NABA_CORE_MATRISOME","NABA_CORE_MATRISOME","NABA_CORE_MATRISOME",78,0.340903273863882,1.50439177897649,0.0132450331125828,0.11037527593819,0.0929476007900546,781,"tags=19%, list=7%, signal=18%","Vcan/Thbs1/Srgn/Thsd4/Ltbp4/Col8a1/Dmbt1/Tnc/Col3a1/Col4a2/Vwce/Col4a1/Slit2/Col20a1/Pcolce"
"NABA_BASEMENT_MEMBRANES","NABA_BASEMENT_MEMBRANES","NABA_BASEMENT_MEMBRANES",19,-0.52681249359859,-1.50532864056342,0.0394755798876243,0.197377899438121,0.166212967947892,556,"tags=21%, list=5%, signal=20%","Lamc2/Lamb3/Lama3/Col6a3"
"NABA_SECRETED_FACTORS","NABA_SECRETED_FACTORS","NABA_SECRETED_FACTORS",82,-0.363351657128852,-1.40694874674269,0.035462808859301,0.197377899438121,0.166212967947892,421,"tags=26%, list=4%, signal=25%","Lif/Dhh/Megf11/Bmp4/Cxcl10/Lefty1/Angpt2/Vegfd/Vegfa/Ngf/Pdgfa/Bmp2/Tgfb2/Wnt10a/Pdgfb/Wnt7b/Inhba/Il1rn/Fgf18/Vegfc/Crlf1"
"NABA_ECM_AFFILIATED","NABA_ECM_AFFILIATED","NABA_ECM_AFFILIATED",48,0.339060816394465,1.35685380367138,0.0737893927747886,0.263533545624245,0.221922985788838,1611,"tags=33%, list=15%, signal=28%","Muc5ac/Sema4g/Lgals2/Cspg5/Muc1/Muc5b/Lgals1/Lgals4/Muc4/Sema4a/Sema6b/Plxna4/Lgalsl/C1qtnf6/Lman1/Anxa4"
"NABA_ECM_REGULATORS","NABA_ECM_REGULATORS","NABA_ECM_REGULATORS",75,0.304937259029308,1.33696715481439,0.0687830687830688,0.263533545624245,0.221922985788838,560,"tags=19%, list=5%, signal=18%","Mmp10/Mmp13/Slpi/Serpinb1a/Adam32/Serpinc1/Fam20a/P4htm/Adam8/Adam23/Plat/Adam2/Sulf1/Serpini1"
"SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES","SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES","SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES",45,-0.378878571155639,-1.31420312600803,0.102335628459565,0.319798838936141,0.269304285419909,3341,"tags=40%, list=31%, signal=28%","Ywhae/Lnpep/Serpinb6a/Sos2/Cap1/Flot1/Sos1/Sorbs1/Cdc42/Grb2/Pik3r1/Pard3/Pten/Rps6ka3/Ywhag/Ywhaq/Irs1/Ywhah"
"SIG_BCR_SIGNALING_PATHWAY","SIG_BCR_SIGNALING_PATHWAY","SIG_BCR_SIGNALING_PATHWAY",34,-0.395048992385742,-1.29072047828354,0.127763103016822,0.322333333333333,0.271438596491228,3029,"tags=41%, list=28%, signal=30%","Sos2/Cd81/Flot1/Sos1/Grb2/Pik3r1/Bad/Ppp3cb/Ppp1r13b/Itpr3/Bcl2/Bcr/Nfatc2/Nfatc1"
"WNT_SIGNALING","WNT_SIGNALING","WNT_SIGNALING",56,-0.348779125598979,-1.26330002750148,0.128933333333333,0.322333333333333,0.271438596491228,3002,"tags=41%, list=28%, signal=30%","Hprt/Fbxw11/Ppp2ca/Ctbp2/Fzd5/Btrc/Fbxw2/Jun/Nlk/Lrp5/Fzd1/Ctnnb1/Fzd6/Ep300/Fbxw4/Ccn4/Fzd2/Fzd7/Rhou/Tle2/Tcf7/Wnt10a/Wnt7b"
"SIG_CD40PATHWAYMAP","SIG_CD40PATHWAYMAP","SIG_CD40PATHWAYMAP",26,-0.405883776905321,-1.24945961366156,0.168735891647856,0.35483730736627,0.298810364097912,3106,"tags=42%, list=29%, signal=30%","Nfkb2/Traf2/Dusp1/Traf3/Mapk9/Pik3r1/Ikbkg/Mapk11/Mapk14/Nfkbie/Nfkbil1"
"SIG_IL4RECEPTOR_IN_B_LYPHOCYTES","SIG_IL4RECEPTOR_IN_B_LYPHOCYTES","SIG_IL4RECEPTOR_IN_B_LYPHOCYTES",25,-0.404376763584024,-1.23377154338619,0.184515399830461,0.35483730736627,0.298810364097912,3205,"tags=40%, list=30%, signal=28%","Stat6/Sos2/Sos1/Grb2/Pik3r1/Bad/Ppp1r13b/Bcl2/Irs1/Il4ra"
"SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES","SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES","SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES",58,-0.33319794393856,-1.21584802257416,0.172111553784861,0.35483730736627,0.298810364097912,2037,"tags=29%, list=19%, signal=24%","Ebp/Cdc42/Grb2/Bad/Pard3/Pten/Rps6ka3/Tsc1/Ifi27/Ppp1r13b/Ywhag/Gadd45a/Ywhaq/Creb1/Irs1/Ywhah/Prex1"
"NABA_COLLAGENS","NABA_COLLAGENS","NABA_COLLAGENS",14,0.383474997394324,1.12593957531891,0.29909176323207,0.534092434342982,0.449762049973038,780,"tags=36%, list=7%, signal=33%","Col8a1/Col3a1/Col4a2/Col4a1/Col20a1"
"SA_MMP_CYTOKINE_CONNECTION","SA_MMP_CYTOKINE_CONNECTION","SA_MMP_CYTOKINE_CONNECTION",10,0.412544237764527,1.09839236327021,0.329213144407597,0.548688574012662,0.462053536010663,825,"tags=40%, list=8%, signal=37%","Il1b/Csf1/Ace/Tnfrsf1b"
"SA_B_CELL_RECEPTOR_COMPLEXES","SA_B_CELL_RECEPTOR_COMPLEXES","SA_B_CELL_RECEPTOR_COMPLEXES",20,-0.369276880409162,-1.06835341446086,0.378355102626669,0.59117984785417,0.49783566135088,3430,"tags=60%, list=32%, signal=41%","Elk1/Map2k1/Hras/Vav2/Atf2/Sos1/Jun/Grb2/Fos/Rps6ka3/Map3k1/Bcr"
"SIG_REGULATION_OF_THE_ACTIN_CYTOSKELETON_BY_RHO_GTPASES","SIG_REGULATION_OF_THE_ACTIN_CYTOSKELETON_BY_RHO_GTPASES","SIG_REGULATION_OF_THE_ACTIN_CYTOSKELETON_BY_RHO_GTPASES",26,-0.32078644243412,-0.987498705879781,0.488713318284424,0.66970186517844,0.563959465413423,4452,"tags=42%, list=41%, signal=25%","Rock2/Cfl1/Fscn1/Pak1/Actg1/Cdc42/Gdi1/Actr2/Gdi2/Angptl2/Actr3"
"SIG_CHEMOTAXIS","SIG_CHEMOTAXIS","SIG_CHEMOTAXIS",36,-0.294193210037059,-0.973040172717792,0.512404712404712,0.66970186517844,0.563959465413423,1972,"tags=28%, list=18%, signal=23%","Cdc42/Gdi1/Pik3r1/Actr2/Pten/Gdi2/Angptl2/Ppp1r13b/Itpr3/Actr3"
"NABA_ECM_GLYCOPROTEINS","NABA_ECM_GLYCOPROTEINS","NABA_ECM_GLYCOPROTEINS",59,-0.264056075882381,-0.966239218231706,0.524270557029178,0.66970186517844,0.563959465413423,2111,"tags=29%, list=20%, signal=23%","Lamb1/Spon2/Npnt/Tnfaip6/Efemp2/Ecm1/Ccn4/Pxdn/Lamc2/Vwa1/Ints6l/Lgi2/Spp1/Fn1/Igfbp5/Lamb3/Lama3"
"SA_TRKA_RECEPTOR","SA_TRKA_RECEPTOR","SA_TRKA_RECEPTOR",14,-0.359604031290466,-0.950474036355395,0.535761492142752,0.66970186517844,0.563959465413423,5247,"tags=71%, list=49%, signal=37%","Rhoa/Map2k2/Elk1/Akt2/Pik3ca/Map2k1/Hras/Sos1/Grb2/Ngf"
