"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",190,0.547177295838573,2.79517161932677,1.47739485160678e-19,7.38697425803389e-18,5.75406415888956e-18,1783,"tags=48%, list=17%, signal=41%","Mthfd2/E2f8/Mybl2/Mad2l1/Hmgb2/Asf1b/Diaph3/Cdca3/Hells/Kif4/Tfrc/Cdca8/Mcm5/Dctpp1/Plk4/Chek1/Cenpm/Orc6/Trip13/Cit/Dlgap5/Brca1/Smc4/Cks1b/Ncapd2/Tk1/Rrm2/Plk1/Tacc3/Cenpe/Melk/Pold2/Lyar/Ccnb2/Racgap1/Bard1/Spc25/Cdc20/Birc5/Dck/Naa38/Aurkb/Kif22/Mcm4/Depdc1a/Hmga1/Dek/Rpa3/Ranbp1/Dnmt1/Mcm3/Cdkn3/Mki67/Tcf19/Spc24/Nme1/H2az1/Mms22l/Ak2/Pold1/Nup107/Ube2s/Cdkn2a/Ezh2/Tipin/Timeless/Mcm2/Brca2/Nap1l1/Nasp/Pole/Top2a/Kif2c/Tra2b/Ing3/Atad2/Tbrg4/Nolc1/Dut/Rad50/Cdc25a/Donson/Mre11a/Cdk1/Rnaseh2a/Ilf3/Anp32e/Nudt21/Ssrp1/Psip1/Rfc1"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",186,0.390449257504649,1.99079810001417,1.49884258635139e-07,3.74710646587847e-06,2.91879872078954e-06,2150,"tags=46%, list=20%, signal=38%","Mybl2/Mad2l1/Mt2/Gins2/Kif15/Tpx2/Kif4/Prc1/Ndc80/Mcm5/Plk4/Cenpa/Chek1/Orc6/Smc4/Cks1b/Plk1/Stil/Tacc3/Cenpe/Kif23/Bub1/Ccnb2/Racgap1/Pbk/Bard1/Ccna2/Cdc20/Birc5/Slc7a5/Chaf1a/Aurkb/Kif22/Hmga1/Snrpd1/Ube2c/Ttk/Mcm3/Ccnf/Cdkn3/Hmgn2/Mki67/H2az1/Ube2s/Ezh2/Mcm2/Cdc45/Dbf4/Brca2/Nek2/Dtymk/Smc2/Hira/Nasp/Knl1/Pole/Cenpf/Top2a/Kif2c/Tra2b/Nolc1/Kif20b/Cdc25a/Cdk1/Ilf3/Upf1/Ccnd1/Nusap1/Slc7a1/Aurka/Cdkn2c/Fancc/Myc/Hus1/Kmt5a/Cdc6/Ncl/Dkc1/Hmmr/E2f1/E2f4/Incenp/Cdc25b/Tnpo2/Prim2/Pura"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",200,0.31113278354989,1.60302403511827,0.000215295721255916,0.00358826202093193,0.00279506725841013,1500,"tags=26%, list=14%, signal=22%","Rpl34/Snrpg/Mad2l1/Rpl22/Rpl14/Rpl18/Rps10/Mcm5/Snrpd2/Nhp2/Pold2/Cad/Rps5/Rpl6/Lsm7/Eef1b2/Ccna2/Cdc20/Rps6/Rfc4/Mcm4/Dek/Snrpd1/Ssbp1/Ranbp1/Hdgf/Rrm1/Rplp0/Hspe1/Kars/Nme1/H2az1/Mrpl23/Got2/Rps2/Pole3/Mcm2/Rnps1/Ppia/Rps3/Cdc45/Rack1/Nap1l1/Tomm70a/Impdh2/Ube2l3/Serbp1/Tra2b/Nolc1/Srm/Dut"
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION",92,0.376837040431318,1.71659369063648,0.000901662550482648,0.0112707818810331,0.00877934588627842,1200,"tags=25%, list=11%, signal=22%","Icam1/Srgn/B2m/Tap1/Il1b/Cd74/Csf1/Ptpn6/Prkcg/Tap2/H2-M3/Rpl39/Rps19/Stab1/Brca1/Rps9/Rps3a1/Psmb10/Rpl9/Nme1/Cdkn2a/Socs1/Il15"
"HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TGF_BETA_SIGNALING",49,-0.50062887126821,-1.76890240145523,0.00120441938839029,0.0120441938839029,0.00938179313061906,1783,"tags=43%, list=17%, signal=36%","Smad7/Bmpr1a/Ctnnb1/Ifngr2/Tgfb1/Acvr1/Skil/Ppm1a/Bmpr2/Pmepa1/Xiap/Id2/Slc20a1/Klf10/Smad6/Furin/Junb/Serpine1/Bmp2/Id3/Id1"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",195,0.28033699632064,1.43585933097204,0.00600275956733244,0.050022996394437,0.0389652814019825,2019,"tags=33%, list=19%, signal=27%","Ndufa2/Ndufa5/Bdh2/Ndufa1/Cox7a2/Atp5o/Atp5l/Cox17/Ndufb4/Atp5e/Ndufa3/Cox7c/Cox6b1/Slc25a4/Ndufa4/Cox4i1/Uqcr11/Cox7b/Ndufb1/Fdx1/Cox5b/Ndufs6/Ndufa7/Ndufc1/Ndufb7/Uqcrq/Atp5j2/Got2/Cox6a1/Atp5j/Atp5k/Uqcr10/Cycs/Uqcrh/Ndufb6/Ndufb2/Ndufc2/Ndufb5/Afg3l2/Mrpl35/Retsat/Tomm70a/Alas1/Cox7a2l/Cox6c/Hspa9/Polr2f/Uqcrb/Timm8b/Atp1b1/Etfdh/Acadm/Etfa/Ndufb3/Slc25a12/Phb2/Cox5a/Atp5g1/Cox8a/Phyh/Casp7/Mgst3/Timm13/Etfb"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",162,-0.336859466372969,-1.43943822832343,0.0119431506031291,0.0853082185937793,0.0664506123783123,2321,"tags=39%, list=22%, signal=31%","Jun/Panx1/Bhlhe40/Rela/Ier3/Sat1/Litaf/Egr1/Dram1/Tnfaip6/Fos/Ifngr2/Tnfaip8/Klf6/Marcks/Btg2/Snn/Phlda1/Rigi/Cebpd/Ifih1/Gadd45a/Zfp36/Plpp3/B4galt5/Pmepa1/Tnf/Hes1/Mxd1/Egr2/Traf1/Id2/Tank/Dusp5/Trib1/F2rl1/Lif/Klf2/Klf10/Cebpb/Nfkbie/Sik1/Atf3/Cd44/Tsc22d1/B4galt1/Btg1/Cxcl10/Junb/Rhob/Pfkfb3/Vegfa/Gch1/Ier5/Serpine1/Jag1/Socs3/Lamb3/Egr3/Bmp2/Ier2/Fjx1/Inhba"
"HALLMARK_APOPTOSIS","HALLMARK_APOPTOSIS","HALLMARK_APOPTOSIS",123,-0.342198531194805,-1.41331315711592,0.0212188502343943,0.132617813964964,0.103302297193762,2321,"tags=35%, list=22%, signal=28%","Jun/Gsr/Bnip3l/Bcl2l11/H1f0/Rela/Bcl2l2/Ier3/Txnip/Sat1/Ebp/Rhot2/Rnasel/Smad7/Dap/Ctnnb1/Vdac2/Fdxr/Erbb2/Btg2/F2r/Ppp2r5b/Dnaja1/Dnajc3/Diablo/Gadd45a/Tnf/Xiap/Slc20a1/Anxa1/Atf3/Clu/Pea15a/Cd44/Rhob/Ank/Gch1/Ifngr1/Egr3/Bmp2/Tgfb2/Hspb1/Bmf"
"HALLMARK_ANGIOGENESIS","HALLMARK_ANGIOGENESIS","HALLMARK_ANGIOGENESIS",24,0.467956472172159,1.58948384820306,0.0342721411605022,0.163230240549828,0.127147766323024,244,"tags=21%, list=2%, signal=20%","Vcan/Pglyrp1/Cxcl5/Col3a1/S100a4"
"HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING",56,0.354124315049578,1.45665845104142,0.0340080971659919,0.163230240549828,0.127147766323024,195,"tags=12%, list=2%, signal=12%","Csf2/Cxcl3/Cxcl2/Cxcl1/Il1b/Csf1/Pik3r5"
