"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"NABA_CORE_MATRISOME","NABA_CORE_MATRISOME","NABA_CORE_MATRISOME",71,0.491892247636012,4.97866542417498,6.1297583542711e-18,1.40984442148235e-16,1.03238035440355e-16,1153,"tags=58%, list=13%, signal=51%","Col1a2/Col3a1/Col1a1/Sparc/Tnc/Srgn/Thbs1/Tnfaip6/Col8a1/Aebp1/Igfbp5/Col6a3/Ccn4/Lama3/Spp1/Igfbp7/Col5a1/Spon2/Edil3/Cthrc1/Vcan/Ccn2/Fn1/Pcolce/Fbln2/Ccn1/Ltbp1/Pxdn/Vwa5a/Creld1/Thbs3/Col6a2/Thsd4/Ecm1/Col4a1/Col27a1/Lgi2/Nell2/Agrn/Matn2/Col4a5"
"NABA_COLLAGENS","NABA_COLLAGENS","NABA_COLLAGENS",14,0.775959141613195,3.51284237369171,3.91979036546354e-09,4.50775892028307e-08,3.30087609723245e-08,52,"tags=36%, list=1%, signal=36%","Col1a2/Col3a1/Col1a1/Col8a1/Col6a3"
"NABA_ECM_GLYCOPROTEINS","NABA_ECM_GLYCOPROTEINS","NABA_ECM_GLYCOPROTEINS",53,0.354990095934026,3.10409003309572,2.41555437152761e-08,1.85192501817117e-07,1.35610069980498e-07,1140,"tags=55%, list=12%, signal=48%","Sparc/Tnc/Thbs1/Tnfaip6/Aebp1/Igfbp5/Ccn4/Lama3/Spp1/Igfbp7/Spon2/Edil3/Cthrc1/Ccn2/Fn1/Pcolce/Fbln2/Ccn1/Ltbp1/Pxdn/Vwa5a/Creld1/Thbs3/Thsd4/Ecm1/Lgi2/Nell2/Agrn/Matn2"
"NABA_MATRISOME_ASSOCIATED","NABA_MATRISOME_ASSOCIATED","NABA_MATRISOME_ASSOCIATED",179,0.157685372650203,2.28342225877587,4.70563675705193e-06,2.70574113530486e-05,1.98132073981134e-05,1426,"tags=42%, list=16%, signal=37%","S100a8/S100a9/Timp3/Il1b/Cxcl10/Mmp10/Ccl2/Timp1/Wnt10a/Tgfb2/Tll1/Adam23/Serpinb9/Adamts6/Plxnb1/Bmp1/Sulf1/Cxcl2/Il1rn/Mmp13/S100a14/Wnt4/Adam12/Ctsc/Crlf1/Csf1/Lif/Plxdc2/Slpi/Gpc1/Fam20a/Cxcl1/Cela1/Htra1/Pdgfc/Tgm2/Pdgfa/Ctsh/Il15/Pdgfb/Nrg1/Adam10/Inhba/Lgals9/Sema3a/Anxa1/Wnt7b/Fam20c/Ccbe1/Serpinh1/Ccl25/Cxcl3/Adamts9/Lgals8/Cd109/Adamtsl4/Serpine1/Il18/Bmp2/Anxa13/Sema3e/Ctsb/Ctse/Angptl2/Muc1/Timp2/Ngf/Ereg/Sdc1/Cst3/Cstb/Vegfa/Ctso/Parm1/Serpinb5/Anxa8"
"NABA_SECRETED_FACTORS","NABA_SECRETED_FACTORS","NABA_SECRETED_FACTORS",73,0.251263141061846,2.55899652402855,6.737063200232e-06,3.09904907210672e-05,2.26932655165709e-05,51,"tags=10%, list=1%, signal=10%","S100a8/S100a9/Il1b/Cxcl10/Ccl2/Wnt10a/Tgfb2"
"NABA_ECM_REGULATORS","NABA_ECM_REGULATORS","NABA_ECM_REGULATORS",64,0.238459467296235,2.30291538839154,0.000176538086217293,0.000676729330499625,0.00049554550517135,2486,"tags=66%, list=27%, signal=48%","Timp3/Mmp10/Timp1/Tll1/Adam23/Serpinb9/Adamts6/Bmp1/Sulf1/Mmp13/Adam12/Ctsc/Slpi/Fam20a/Cela1/Htra1/Tgm2/Ctsh/Adam10/Fam20c/Serpinh1/Adamts9/Cd109/Adamtsl4/Serpine1/Ctsb/Ctse/Timp2/Cst3/Cstb/Ctso/Serpinb5/Ctsd/Plod1/Ctsz/Plat/Mmp28/Adam32/Plod3/Loxl2/Ctsl/Adamts1"
"NABA_ECM_AFFILIATED","NABA_ECM_AFFILIATED","NABA_ECM_AFFILIATED",42,-0.309573961430906,-1.62438811734899,0.0216621983914209,0.0711757947146687,0.0521195750771029,1969,"tags=33%, list=21%, signal=26%","Anxa7/Plxna2/Plxnb2/Plxna1/Lman1/Sdc2/Anxa10/Anxa4/Anxa11/Lgals4/Plxna4/Sema4g/Muc5b/Muc5ac"
"NABA_BASEMENT_MEMBRANES","NABA_BASEMENT_MEMBRANES","NABA_BASEMENT_MEMBRANES",18,0.257560833882152,1.31916022635551,0.148407643312102,0.426671974522293,0.312437143814951,4145,"tags=78%, list=45%, signal=43%","Col6a3/Lama3/Col6a2/Col4a1/Agrn/Col4a5/Npnt/Col4a2/Col6a1/Lamc2/Lamc1/Lamb3/Col18a1/Lamb1"
"SIG_IL4RECEPTOR_IN_B_LYPHOCYTES","SIG_IL4RECEPTOR_IN_B_LYPHOCYTES","SIG_IL4RECEPTOR_IN_B_LYPHOCYTES",25,-0.283885839554293,-1.27499172341947,0.177648799362695,0.43477455520351,0.31837038367305,2390,"tags=44%, list=26%, signal=33%","Shc1/Akt2/Akt1/Jak1/Pdpk1/Sos2/Mapk1/Mapk3/Raf1/Gsk3a/Stat6"
"SIG_CHEMOTAXIS","SIG_CHEMOTAXIS","SIG_CHEMOTAXIS",32,-0.255810934382808,-1.24429700393182,0.204815303430079,0.43477455520351,0.31837038367305,4096,"tags=84%, list=45%, signal=47%","Pak1/Pten/Akt3/Cfl2/Mylk/Pik3ca/Actr3/Rock2/Ppp1r13b/Gdi1/Actr2/Itpr1/Inppl1/Rps4x/Gdi2/Itpr3/Rock1/Akt2/Akt1/Racgap1/Pdpk1/Pak4/Pak2/Arhgef11/Arhgap1/Wasl/Limk1"
"SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES","SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES","SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES",42,-0.23604039140667,-1.23854475758606,0.207935656836461,0.43477455520351,0.31837038367305,3621,"tags=52%, list=39%, signal=32%","Ywhab/Gsk3b/Lnpep/Inppl1/Flot2/Ywhag/Cyth3/Foxo1/Ywhaz/Rps6kb1/Shc1/Akt2/Akt1/Pdpk1/Ptpn1/Sos2/Mapk1/Mapk3/Raf1/Gsk3a/Rps6ka1/Cap1"
"SIG_REGULATION_OF_THE_ACTIN_CYTOSKELETON_BY_RHO_GTPASES","SIG_REGULATION_OF_THE_ACTIN_CYTOSKELETON_BY_RHO_GTPASES","SIG_REGULATION_OF_THE_ACTIN_CYTOSKELETON_BY_RHO_GTPASES",24,-0.263243161157927,-1.16696166494949,0.269261499828787,0.451121632492646,0.330340783518643,5532,"tags=79%, list=60%, signal=32%","Pfn1/Fscn1/Cfl2/Mylk/Actr3/Rock2/Actg1/Gdi1/Actr2/Rps4x/Gdi2/Rock1/Flna/Akt1/Pak4/Pak2/Vasp/Wasl/Limk1"
"SA_B_CELL_RECEPTOR_COMPLEXES","SA_B_CELL_RECEPTOR_COMPLEXES","SA_B_CELL_RECEPTOR_COMPLEXES",18,-0.28766768912637,-1.1596081879305,0.277395635673624,0.451121632492646,0.330340783518643,3111,"tags=50%, list=34%, signal=33%","Map2k1/Bcr/Mapk8ip3/Shc1/Map3k1/Mapk1/Mapk3/Rac1/Rps6ka1"
"SA_PTEN_PATHWAY","SA_PTEN_PATHWAY","SA_PTEN_PATHWAY",15,-0.306135601111183,-1.15689511604743,0.285731633272617,0.451121632492646,0.330340783518643,5886,"tags=93%, list=64%, signal=34%","Grb2/Pten/Akt3/Bpnt1/Sos1/Rbl2/Pik3ca/Shc1/Akt2/Akt1/Pdpk1/Mapk1/Mapk3/Ptk2b"
"SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES","SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES","SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES",23,-0.258784078274155,-1.13372944823541,0.299576610596178,0.451121632492646,0.330340783518643,4884,"tags=70%, list=53%, signal=33%","Dapp1/Pik3ca/Foxo3/Ppp1r13b/Tec/Itpr1/Flot2/Bcr/Cyth3/Itpr3/Rps6kb1/Akt2/Akt1/Prex1/Pdpk1/Rps6ka1"
"SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES","SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES","SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES",53,-0.199588060056141,-1.11927510089988,0.323713927227102,0.451121632492646,0.330340783518643,3959,"tags=51%, list=43%, signal=29%","Ppp1r13b/Ptk2/Met/Ywhab/Gsk3b/Inppl1/Ywhag/Cyth3/Cdk2/Ywhaz/Rps6kb1/Shc1/Akt2/Tsc2/Akt1/Prex1/Pdpk1/Ptpn1/Pak4/Pak2/Sos2/Cdkn1b/Bcl2l1/Mtor/Gsk3a/Creb3/Rps6ka1"
"WNT_SIGNALING","WNT_SIGNALING","WNT_SIGNALING",54,-0.197794508034325,-1.11334663055674,0.33343772836413,0.451121632492646,0.330340783518643,1808,"tags=28%, list=20%, signal=22%","Ctbp1/Ep300/Ctbp2/Csnk1d/Dvl2/Kremen1/B2m/Gsk3a/Gapdh/Dvl1/Fzd5/Rpl13a/Lrp5/Dixdc1/Porcn"
"SA_TRKA_RECEPTOR","SA_TRKA_RECEPTOR","SA_TRKA_RECEPTOR",13,-0.283322048504753,-1.01522444292789,0.440034834535954,0.550140839389315,0.402849127241604,6132,"tags=92%, list=67%, signal=31%","Rhoa/Grb2/Akt3/Map2k2/Sos1/Pik3ca/Hras/Map2k1/Shc1/Akt2/Akt1/Cdkn1a"
"SA_CASPASE_CASCADE","SA_CASPASE_CASCADE","SA_CASPASE_CASCADE",11,-0.297194907463912,-1.0014731662302,0.454464171669434,0.550140839389315,0.402849127241604,3070,"tags=55%, list=33%, signal=36%","Parp1/Apaf1/Scap/Srebf2/Srebf1/Casp3"
"SA_G1_AND_S_PHASES","SA_G1_AND_S_PHASES","SA_G1_AND_S_PHASES",13,-0.271374738874269,-0.972413793957548,0.498880318487186,0.573712366260264,0.420109741883946,1138,"tags=31%, list=12%, signal=27%","Cdkn1b/Mdm2/Cdkn1a/Nxt1"
"SIG_BCR_SIGNALING_PATHWAY","SIG_BCR_SIGNALING_PATHWAY","SIG_BCR_SIGNALING_PATHWAY",33,-0.184565870958613,-0.905273899957101,0.586827661909989,0.625550042130887,0.458068680736576,3454,"tags=45%, list=38%, signal=28%","Itpr1/Gsk3b/Flot2/Bcr/Itpr3/Shc1/Akt2/Akt1/Dag1/Pdpk1/Sos2/Mapk1/Mapk3/Raf1/Gsk3a"
"SIG_CD40PATHWAYMAP","SIG_CD40PATHWAYMAP","SIG_CD40PATHWAYMAP",23,-0.205214322841596,-0.89904109463307,0.598352214212152,0.625550042130887,0.458068680736576,2420,"tags=35%, list=26%, signal=26%","Mapk8ip3/Map2k4/Map2k7/Traf5/Mapkapk5/Mapk1/Mapk3/Traf6"
"SA_PROGRAMMED_CELL_DEATH","SA_PROGRAMMED_CELL_DEATH","SA_PROGRAMMED_CELL_DEATH",10,0.16331042995938,0.625548943022115,0.935369632580788,0.935369632580788,0.684938861386389,6350,"tags=90%, list=69%, signal=28%","Bcl2l11/Bad/Bcl10/Bcl2/Casp8ap2/Bak1/Bid/Apaf1/Bax"
