"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",116,0.34651794726742,4.14576279305289,5.19556478194522e-16,2.59778239097261e-14,1.47663420118443e-14,2342,"tags=66%, list=25%, signal=49%","Col1a2/Col3a1/Col1a1/Timp3/Sparc/Tnc/Thbs1/Timp1/Col6a3/Lama3/Bmp1/Spp1/Cxcl2/Col5a1/Edil3/Cthrc1/Adam12/Vcan/Ccn2/Crlf1/Gpc1/Cxcl1/Dab2/Fn1/Dpysl3/Pcolce/Htra1/Tgm2/Il15/Nt5e/Itgb3/Fbln2/Ccn1/Inhba/Jun/Glipr1/Serpinh1/Itga5/Itgb5/Cxcl3/Cdh6/Col6a2/Rhob/Prrx1/Ecm1/Gja1/Col4a1/Serpine1/Tnfaip3/Gadd45a/Matn2/Tpm2/Lrp1/Cd44/Fermt2/Pmepa1/Sdc1/Vegfa/Cadm1/Igfbp4/Pcolce2/Dst/Sat1/Plod1/Notch2/Itga2/Col4a2/Itgav/Tpm1/Mcm7/Cxcl5/Vcam1/Efemp2/Plod3/Loxl2/Lamc2"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",66,0.446622053737297,4.37937633574368,9.77991084534005e-15,2.44497771133501e-13,1.3897768043378e-13,1700,"tags=71%, list=19%, signal=58%","Ifitm3/Cd74/Isg15/Usp18/Ifit3/Cxcl10/Rtp4/Ddx60/Irf7/Herc6/Bst2/Parp14/Ifih1/Ube2l6/Samd9l/Stat2/Ifi35/Parp9/Parp12/Ifitm1/Ifi27l2b/Eif2ak2/Csf1/Tmem140/Ifi27/Helz2/Irf9/Ly6e/Il15/Txnip/Il4ra/Pnpt1/Trim25/Ripk2/Irf1/Psme2/Cnp/Nmi/Elf1/Cmtr1/Lgals3bp/Adar/Oasl1/Ogfr/Mov10/Ifi30/Psme1"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",122,0.284295559975903,3.43573435213639,7.00139013899684e-13,1.16689835649947e-11,6.63289592115491e-12,1498,"tags=53%, list=16%, signal=45%","Ifitm3/H2-Aa/H2-Eb1/Cd74/Tnfaip6/Isg15/Usp18/Ifit3/Cxcl10/Rtp4/Ccl2/Ddx60/Xaf1/Irf7/Herc6/Bst2/Parp14/Ifih1/Rnf213/Ube2l6/Stat1/Socs3/Samd9l/Stat2/Ifi35/Rigi/Ptgs2/Parp12/Ifi27l2b/Eif2ak2/Pim1/Cfb/Tapbp/Ifi27/Helz2/Irf9/Samhd1/Ly6e/Zbp1/Il15/Nfkbia/Txnip/Il4ra/Pnpt1/Trim25/Ripk2/Hif1a/Irf1/Nfkb1/Znfx1/Psme2/Nmi/Cmtr1/Tnfaip3/Lgals3bp/Pml/Stat3/Psmb10/Pla2g4a/Adar/Btg1/Jak2/Oasl1/Ogfr/Selp"
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA","HALLMARK_HYPOXIA",143,-0.362474908203014,-2.47012567044969,3.32488500020157e-09,4.15610625025196e-08,2.3624182896169e-08,1893,"tags=41%, list=21%, signal=33%","Tpi1/Eno1/Map3k1/Fam162a/Hdlbp/Ndst1/Ddit4/Cited2/Galk1/Pfkp/Sdc2/P4ha1/Pgm2/Nedd4l/Scarb1/Hk1/Cdkn1b/Tiparp/F3/Ldha/Zfp292/Pdk3/Grhpr/Atp7a/Siah2/Ndrg1/Prkca/Plac8/Egfr/Gapdh/Eno3/Slc6a6/Maff/Rbpj/Pgm1/Jmjd6/Sap30/Cdkn1a/Slc2a1/Gpi1/Ets1/Ak4/Hs3st1/Vhl/Ccng2/Phkg1/Kdm3a/Mt1/Pdk1/Pgf/Gys1/Mxi1/Efna1/Ddit3/Nr3c1/Gbe1/Adm/Ero1a/Stc1"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",156,0.190910846137468,2.61127476287217,6.54488076630575e-08,6.54488076630575e-07,3.72024801453169e-07,1528,"tags=52%, list=17%, signal=44%","Il1b/Tnc/Tnfaip6/Cxcl10/Ccl2/Cebpd/Zfp36/Ifih1/Socs3/Olr1/Rigi/Ptgs2/Ier2/Dram1/Cebpb/Dusp1/Cxcl2/Tnfrsf9/Egr1/Fos/Sgk1/Atf3/Csf1/Lif/Egr2/Plpp3/Marcks/Hes1/Cxcl1/Klf10/Klf9/Traf1/Btg2/Nfkbia/Tank/Plk2/Snn/Ccn1/Fosb/Inhba/Jun/Klf6/Ier5/Klf2/Tsc22d1/Ripk2/Ldlr/Egr3/Cxcl3/Junb/Birc3/Rhob/Irf1/Nfkb1/Bcl3/Ier3/Sik1/Rcan1/Serpine1/Relb/Il18/Bmp2/Nr4a2/Il6st/Tnfaip3/Rel/Gadd45a/Tubb2a/Cd44/F2rl1/Irs2/Pmepa1/Bcl6/Atp2b1/Vegfa/Btg1/Btg3/Pfkfb3/Nr4a1/Bhlhe40/Phlda1"
"HALLMARK_COAGULATION","HALLMARK_COAGULATION","HALLMARK_COAGULATION",62,0.265312475917887,2.50819626453318,1.26284987638978e-05,0.000105237489699148,5.98192046710949e-05,1208,"tags=48%, list=13%, signal=42%","Timp3/Sparc/Thbs1/C3/Mmp10/Timp1/Olr1/Bmp1/Cpn1/Cfb/Trf/Apoc2/Lgmn/Fn1/Clu/Htra1/Ctsh/Itgb3/Pdgfb/Pros1/Anxa1/Gda/Klf7/Csrp1/Lamp2/Serpine1/Ctsb/Ctse/Furin/Lrp1"
"HALLMARK_GLYCOLYSIS","HALLMARK_GLYCOLYSIS","HALLMARK_GLYCOLYSIS",138,-0.29120833907869,-1.97444766368176,9.23713082287019e-05,0.000659795058776443,0.00037504140183082,2525,"tags=44%, list=27%, signal=33%","Cenpa/Pygb/Pgk1/Gmppa/P4ha2/Mdh2/Glce/Me1/Chpf2/Copb2/Pmm2/Ankzf1/Ndst3/Kif2a/Tpi1/Eno1/Fam162a/Hdlbp/Dld/Ddit4/Cited2/Galk1/Pfkp/Pkm/Cog2/Paxip1/Akr1a1/Qsox1/Nasp/Sdc2/P4ha1/Pgm2/Slc35a3/Plod2/Tgfa/Ldha/Gnpda1/Pcx/Sod1/B3gnt3/Cdk1/Zfp292/Gale/Pdk3/Agl/Got2/Capn5/Pgls/Egfr/Pkp2/Gfus/Sap30/G6pdx/Ak4/Gys1/Mxi1/Me2/Gfpt1/Egln3/Ero1a/Stc1"
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION",85,0.193634757933844,2.09675507990312,0.000137375364950666,0.000858596030941663,0.000488044059693156,87,"tags=12%, list=1%, signal=12%","Il1b/H2-Aa/Srgn/Cd74/Ccl2/Hdac9/Timp1/Irf7/Tgfb2/Stat1"
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",95,0.188444221534696,2.09447946963635,0.000169323124241519,0.000940684023563992,0.000534704602867954,1025,"tags=44%, list=11%, signal=40%","Il1b/Tnfaip6/Cxcl10/Rtp4/Ccl2/Timp1/Irf7/Bst2/Osmr/Olr1/Ifitm1/Tnfrsf9/Eif2ak2/Cd14/Has2/Csf1/Lif/Tlr3/Tapbp/Ly6e/Dcbld2/Il15/Itgb3/Btg2/Nfkbia/Il4ra/Cd55/Inhba/Klf6/Slc4a4/Ripk2/Itga5/Ldlr/Ahr/Hif1a/Tpbg/Irf1/Nfkb1/Lyn/Serpine1/Il18/Nmi"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",192,-0.245088564034233,-1.74792436540221,0.000449260999468522,0.00224630499734261,0.00127684705112106,5355,"tags=77%, list=58%, signal=33%","Pdhb/Cyb5a/Cox17/Sdhc/Atp5c1/Lrpprc/Uqcrb/Sucla2/Vdac3/Ndufs7/Idh3a/Ndufa8/Mrps11/Surf1/Atp5h/Atp6v1e1/Mrpl34/Ndufs2/Suclg1/Atp5l/Slc25a3/Hsd17b10/Uqcr10/Atp6v1f/Uqcr11/Timm10/Ech1/Mdh1/Cox5a/Mrps22/Atp5e/Mpc1/Acadm/Acaa1a/Ndufv2/Dlat/Cox7b/Sdhb/Polr2f/Ndufs6/Cycs/Prdx3/Opa1/Cox7a2/Atp6v0b/Ndufb5/Uqcrc1/Ndufb7/Uqcrq/Ndufb8/Atp5d/Idh3b/Slc25a12/Cyc1/Vdac1/Acat1/Acadvl/Atp5j/Ndufb3/Slc25a4/Fh1/Slc25a11/Retsat/Atp5b/Bax/Etfdh/Cs/Mrps15/Etfa/Ndufs4/Ndufv1/Timm50/Atp6v1h/Etfb/Phb2/Cox5b/Cox6b1/Ogdh/Cox4i1/Oat/Ndufa9/Mdh2/Uqcrfs1/Vdac2/Pmpca/Cox7c/Sdha/Mrpl35/Mrps30/Mgst3/Ndufs1/Slc25a5/Tomm70a/Ndufa1/Tomm22/Uqcrc2/Ndufs3/Iscu/Cox6c/Mfn2/Grpel1/Ndufab1/Cox7a2l/Oxa1l/Timm13/Ndufb6/Por/Dld/Ndufa5/Atp6v1c1/Bckdha/Sdhd/Timm17a/Atp5o/Uqcrh/Hccs/Immt/Supv3l1/Pdha1/Slc25a20/Atp5g3/Atp5a1/Cyb5r3/Echs1/Isca1/Atp5g2/Atp6v1d/Ndufc2/Ldha/Ndufb4/Bdh2/Fdx1/Atp6v1g1/Idh2/Cox6a1/Idh3g/Hadhb/Cox15/Got2/Dlst/Ndufa2/Alas1/Hadha/Ndufa6/Hspa9/Aco2/Gpi1/Afg3l2"
"HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN",115,0.149786834440861,1.76904767037326,0.000855758147043858,0.00388980975929026,0.00221104975791236,46,"tags=3%, list=1%, signal=4%","Col1a2/Col3a1/Col1a1/Igfbp5"
"HALLMARK_PROTEIN_SECRETION","HALLMARK_PROTEIN_SECRETION","HALLMARK_PROTEIN_SECRETION",90,-0.292231323442604,-1.839131001792,0.000943107848542527,0.00392961603559386,0.0022336764833902,4607,"tags=71%, list=50%, signal=36%","Igf2r/Snap23/Ap1g1/Tmed2/Stx12/Cav2/Tmed10/Arf1/Sec22b/Zw10/Atp1a1/Anp32e/Tsg101/Bet1/Dnm1l/Clta/Rer1/Arcn1/Arfgef1/Ap3b1/Ap2s1/Krt18/Ap3s1/Stx16/Vps4b/Sgms1/Atp6v1h/Copb1/Arfgef2/Vamp3/Gbf1/Dop1a/Tom1l1/Rab22a/Gosr2/Copb2/Tpd52/Rab2a/Kif1b/Mon2/Snx2/Ppt1/Arfip1/Sec31a/Ap2m1/Cog2/Sec24d/Lman1/Stam/Cope/Mapk1/Yipf6/Clcn3/Sod1/Napa/Atp7a/Egfr/Bnip3/Uso1/Ykt6/Scamp1/Golga4/Napg/Arfgap3"
"HALLMARK_MYOGENESIS","HALLMARK_MYOGENESIS","HALLMARK_MYOGENESIS",92,0.167938146841628,1.87102020878888,0.00111511537609521,0.00428890529267387,0.00243790406109883,52,"tags=5%, list=1%, signal=5%","Col3a1/Col1a1/Sparc/Aebp1/Col6a3"
