"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"NABA_ECM_REGULATORS","NABA_ECM_REGULATORS","NABA_ECM_REGULATORS",65,0.187592833901684,1.86825499370386,0.00283422672045339,0.0680214412908815,0.0447509482176852,3791,"tags=71%, list=42%, signal=42%","Mmp10/Sulf2/Mmp13/Slpi/Adam23/Tll1/Cstb/Serpinb1a/Timp1/Cst3/Serpinb9/Ctsl/Plod1/Fam20a/Serpinb6a/Htra1/Adam2/Ctse/Ctsz/Serpinb5/Sulf1/Ctsb/Adam15/Egln2/Hyal2/Ctsh/Adam12/Ngly1/Adamtsl5/Ctsc/Adamts1/Egln1/Timp2/Adamtsl4/Ctso/Ctsd/Loxl2/Adam9/Adam10/Ogfod2/Plod3/Tgm2/Serpine1/Serpinh1/Mmp15/Cela1"
"NABA_COLLAGENS","NABA_COLLAGENS","NABA_COLLAGENS",12,-0.49569511919495,-1.75145255435972,0.0147642679900744,0.118510158013544,0.0779672092194369,1913,"tags=50%, list=21%, signal=40%","Col27a1/Col18a1/Col4a5/Col6a2/Col6a1/Col7a1"
"SIG_BCR_SIGNALING_PATHWAY","SIG_BCR_SIGNALING_PATHWAY","SIG_BCR_SIGNALING_PATHWAY",31,-0.356174778963366,-1.72241284135938,0.0152062137621704,0.118510158013544,0.0779672092194369,4613,"tags=81%, list=51%, signal=40%","Lyn/Shc1/Mapk3/Akt1/Gsk3b/Grb2/Sos1/Itpr3/Flot2/Dag1/Gsk3a/Raf1/Mapk1/Ppp3cb/Pik3ca/Ppp1r13b/Itpr1/Bcr/Sos2/Akt3/Pdpk1/Nfatc1/Ppp3ca/Itpr2/Bcl2"
"SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES","SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES","SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES",23,-0.38440514249487,-1.69734915447744,0.0197516930022573,0.118510158013544,0.0779672092194369,4867,"tags=87%, list=53%, signal=41%","Akt2/Lyn/Prex1/Akt1/Rps6ka1/Cyth3/Itpr3/Flot2/Foxo3/Pten/Pik3ca/Tec/Rps6kb1/Ppp1r13b/Rps6ka3/Itpr1/Bcr/Akt3/Pdpk1/Itpr2"
"SIG_IL4RECEPTOR_IN_B_LYPHOCYTES","SIG_IL4RECEPTOR_IN_B_LYPHOCYTES","SIG_IL4RECEPTOR_IN_B_LYPHOCYTES",25,-0.347592015237347,-1.57716091626871,0.040766043229925,0.1307740982915,0.0860355909812498,4871,"tags=92%, list=54%, signal=43%","Pik3r1/Irs2/Jak3/Akt2/Stat6/Shc1/Mapk3/Akt1/Il4ra/Gsk3b/Grb2/Sos1/Gsk3a/Irs1/Raf1/Mapk1/Jak1/Pik3ca/Ppp1r13b/Sos2/Akt3/Pdpk1/Bcl2"
"NABA_BASEMENT_MEMBRANES","NABA_BASEMENT_MEMBRANES","NABA_BASEMENT_MEMBRANES",17,-0.390445822181976,-1.56277189960506,0.0442332512026282,0.1307740982915,0.0860355909812498,2451,"tags=59%, list=27%, signal=43%","Lamb1/Hspg2/Col18a1/Lamc1/Lama5/Lamb2/Col4a5/Npnt/Col6a2/Col6a1"
"WNT_SIGNALING","WNT_SIGNALING","WNT_SIGNALING",50,-0.279820783334242,-1.54453790747431,0.0368091762252346,0.1307740982915,0.0860355909812498,4865,"tags=74%, list=53%, signal=35%","Ctbp2/Csnk1a1/Myc/Fzd2/Ctnnbip1/Ppp2ca/Ctnnb1/Senp2/Gsk3b/Ppp2r1a/Csnk1d/Fzd5/Ctbp1/Ep300/Fzd6/Apc/Fbxw4/Gsk3a/Bcl9/Daam1/Fosl1/Ccnd3/Dvl1/Fbxw11/Lrp6/Axin1/Tle1/Porcn/Nlk/Kremen1/Lrp5/Dixdc1/Csnk1g1/Btrc/Tcf7/Wnt4/Wnt7b"
"NABA_ECM_AFFILIATED","NABA_ECM_AFFILIATED","NABA_ECM_AFFILIATED",43,-0.285951187103029,-1.52126292169541,0.0490402868593124,0.1307740982915,0.0860355909812498,1940,"tags=35%, list=21%, signal=28%","Plxnb2/Sema6d/Sdc1/Sema3e/Plxna1/Sema7a/Sdc2/Plxna4/Sema3c/Sema4a/Plxnd1/Muc5ac/Plxna2/Sema3a/Muc5b"
"SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES","SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES","SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES",53,-0.26838016789837,-1.50305291088675,0.0450721777962405,0.1307740982915,0.0860355909812498,4867,"tags=72%, list=53%, signal=34%","Akt2/Ywhag/Pak2/Myc/Ywhaz/Inppl1/Shc1/Prex1/Nolc1/Akt1/Gsk3b/Grb2/Rps6ka1/Cyth3/Sos1/Pak1/Creb1/Gadd45a/Gsk3a/Irs1/Foxo3/Ptpn1/Ptk2/Creb5/Met/Pten/Pik3ca/Bcl2l1/Mtor/Rps6kb1/Tsc1/Ppp1r13b/Rps6ka3/Tsc2/Sos2/Akt3/Pdpk1/Pard3"
"SA_B_CELL_RECEPTOR_COMPLEXES","SA_B_CELL_RECEPTOR_COMPLEXES","SA_B_CELL_RECEPTOR_COMPLEXES",18,-0.368105760544153,-1.50124080990264,0.0629672897196262,0.137383177570093,0.0903836694540089,4794,"tags=83%, list=53%, signal=40%","Rac1/Lyn/Shc1/Mapk3/Grb2/Rps6ka1/Mapk8ip3/Sos1/Mapk1/Atf2/Map2k1/Map3k1/Rps6ka3/Vav2/Bcr"
