"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE",169,-0.385989798461125,-2.69190263165677,8.21109547341357e-13,3.77710391777024e-11,2.5065449339894e-11,4408,"tags=82%, list=48%, signal=43%","Pafah1b1/Arhgdia/Prex1/Arl8a/Tubgcp3/Abi1/Cntrl/Sptbn1/Mapre1/Hook3/Nck1/Arhgap10/Kif3b/Arhgef7/Lrpprc/Sptan1/Smc1a/Nusap1/Rock1/Palld/Wasf2/Tlk1/Stau1/Pcm1/Bin1/Csnk1d/Katna1/Birc5/Capzb/Smc4/Brca2/Sos1/Taok2/Rab3gap1/Actn4/Pcgf5/Bcl2l11/Ppp4r2/Cdk5rap2/Apc/Mid1/Dync1h1/Prc1/Cdc42ep1/Cep57/Pdlim5/Vcl/Itsn1/Rabgap1/Clip1/Rhof/Flnb/Cdk1/Bub1/Arhgef11/Atg4b/Pcnt/Ckap5/Smc3/Ect2/Cdc42ep4/Kif20b/Arhgap27/Arfgef1/Pkd2/Myh9/Hdac6/Mark4/Wasl/Tuba4a/Sun2/Bcar1/Akap13/Nedd9/Kntc1/Klc1/Alms1/Abl1/Lats1/Racgap1/Als2/Plekhg2/Myo9b/Anln/Notch2/Rasa1/Sorbs2/Dst/Fgd4/Cep250/Arhgef2/Llgl1/Nck2/Rasal2/Ccnb2/Map3k11/Tsc1/Top2a/Fgd6/Kif23/Katnb1/Ranbp9/Rapgef6/Cenpe/Cdc42bpa/Nf1/Bcr/Kif11/Synpo/Tbcd/Trio/Clasp1/Cep192/Cenpf/Abr/Myo1e/Nin/Pxn/Clip2/Arhgef12/Ssh2/Kif1b/Dlg1/Epb41/Rictor/Tpx2/Ccdc88a/Ophn1/Arhgef3/Cdc27/Dock4/Arap3/Rasa2/Epb41l2/Farp1/Incenp/Kif3c/Septin9"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",70,0.331731543238924,3.46707300635607,3.43590347361779e-09,7.90257798932092e-08,5.24427372289031e-08,2115,"tags=73%, list=23%, signal=56%","Gbp2/Psmb8/Cd74/Psmb9/Bst2/Cxcl10/Tap1/Rtp4/Isg15/Usp18/B2m/Irf7/Ifitm3/Parp14/Ube2l6/Irf1/Samd9l/Ifi27l2b/Ddx60/Ifit3/Nmi/Parp9/Tmem140/Ifi27/Txnip/Psme2/Parp12/Ifih1/Psme1/Irf9/Stat2/Ifi30/Lap3/Isg20/Mvb12a/Ifi35/Herc6/Eif2ak2/Psma3/Ly6e/Cd47/Nub1/Il15/Procr/Irf2/Wars1/Pnpt1/Trim25/Cnp/Ifitm2/Ripk2"
"HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN",114,-0.344970695241279,-2.27594657750417,9.01306945013544e-07,1.3820039823541e-05,9.17119347557642e-06,4161,"tags=71%, list=46%, signal=39%","Nr1d2/Gcnt1/Prkar2b/Aggf1/Nek7/Pias3/Erbb2/Acvr2a/Nr3c1/Nrp1/Dusp1/Atp2b1/Cited2/Phf3/Spop/Grk5/Prdm2/Atp2c1/Dyrk1a/Atrx/Irs1/Pdlim5/Ythdc1/Mta1/Ica1/Fhl2/Bhlhe40/Pparg/Prkce/Wdr37/Ptpn21/Abcc1/Add3/Bmpr1a/F3/Met/Scn8a/Pten/Itgb3/Snai2/Lamc1/Smad7/Ltbp1/Plpp3/Nfib/Runx1/Notch2/Pex14/Atxn1/Scaf8/Lpar1/Mapk14/Cdk13/Synj2/Tent4a/Zmiz1/Sdc2/Vav2/Cdc42bpa/Prkca/Map1b/Akt3/Togaram1/Igf1r/Nfkb1/Slc7a1/Nipbl/Atrn/Sipa1l1/Fyn/Dlg1/Schip1/Celf2/Rasa2/Apbb2/Syne1/Sfmbt1/Map2k5/Smad3/Inpp4b/Cacna1a"
"HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2",51,0.292995026950644,2.65352955370367,9.50000903887053e-06,0.000109250103947011,7.2500068980854e-05,4931,"tags=88%, list=54%, signal=41%","Dctpp1/Exosc5/Cbx3/Rrp9/Phb/Mrto4/Hk2/Nop16/Grwd1/Mphosph10/Hspd1/Nip7/Srm/Hspe1/Wdr74/Tmem97/Ndufaf4/Pus1/Pa2g4/Aimp2/Wdr43/Cdk4/Rabepk/Bysl/Ppan/Ddx18/Imp4/Npm1/Mcm4/Rcl1/Gnl3/Prmt3/Nop2/Pes1/Sord/Noc4l/Rrp12/Tfb2m/Tcof1/Nop56/Mybbp1a/Myc/Farsa/Utp20/Nolc1"
"HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_FATTY_ACID_METABOLISM",114,0.189172913418136,2.2720553346645,1.66852635886768e-05,0.000153504425015826,0.000101867925067711,5474,"tags=85%, list=60%, signal=34%","Ube2l6/Fabp2/Cbr3/Hmgcs1/Echs1/Ech1/Psme1/Mcee/Aldh1a7/Eci1/Nthl1/Idi1/Eno3/Idh1/S100a10/Hsd17b10/Hsd17b11/Mif/Lgals1/Vnn1/Acaa2/Decr1/Erp29/Aldoa/H2az1/Cbr1/Aldh3a1/Ccdc58/Apex1/Eci2/Hadh/Cryz/Acadl/Pcbd1/Ostc/Suclg2/Acads/Ldha/Acadm/Mlycd/Gcdh/Pts/Suclg1/Prdx6/Alad/Urod/Fh1/Gpd1/Acaa1a/Hibch/Idh3b/Glul/Hsdl2/Sucla2/Adsl/Aldh9a1/Ephx1/Hmgcl/Hsd17b7/Mdh2/Blvra/Odc1/Hadhb/Ywhah/Idh3g/Mdh1/Pdhb/Dld/Me1/Kmt5a/Bphl/Hsd17b4/Sdhd/Grhpr/Acadvl/Acot8/Acsl5/Acsl1/Metap1/Etfdh/Cpt1a/Rdh11/Gstz1/Aldh3a2/Acsl4/Gabarapl1/Hsp90aa1/Sdhc/Ugdh/Cpt2/Maoa/Sms/Crat/Cpox/Sdha/Auh/Pdha1"
"HALLMARK_UV_RESPONSE_UP","HALLMARK_UV_RESPONSE_UP","HALLMARK_UV_RESPONSE_UP",116,0.16911098591064,2.12579945192084,9.35593692563728e-05,0.000614818712256164,0.000408003264426287,5277,"tags=82%, list=58%, signal=35%","Tap1/Asns/Irf1/Atf3/H2-M3/Sod2/Selenow/Tst/Rfc4/Grpel1/Ddx21/Polr2h/Psmc3/Mrpl23/Bid/Nat2/Ctsl/Creg1/Pdap1/Btg3/Slc25a4/Fos/Fkbp4/Clcn2/Aldoa/Bmp2/Dnaja1/Cdkn2b/Atp6v1f/Ppt1/Ap2s1/Pole3/Btg1/Cnp/Nfkbia/Bsg/Sigmar1/Ggh/Urod/Parp2/Spr/Hyal2/Acaa1a/Hspa2/Rxrb/Hmox1/Btg2/Ephx1/Prkaca/E2f5/Cyb5r1/Ppp1r2/Tmbim6/Sqstm1/Fosb/Nr4a1/Ppat/Tars/Icam1/Cxcl1/Mgat1/Cebpg/Rpn1/Alas1/Junb/Grina/Stip1/Bak1/Atp6v1c1/Hnrnpu/Ykt6/Cdc34/Hspa13/Casp3/Tgfbrap1/Stard3/Gch1/Lyn/Prkcd/Klhdc3/Tfrc/Eif5/Abcb1a/Cltb/Cyb5b/Rhob/Stk25/H2ax/Cdc5l/Amd1/Dnajb1/Furin/Rab27a/Wiz/Maoa"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",162,-0.275185236905597,-1.90815365140499,8.74687390216955e-05,0.000614818712256164,0.000408003264426287,4717,"tags=72%, list=52%, signal=35%","Numa1/Myc/Srsf2/Suv39h1/Lmnb1/Nup50/Dr1/Pafah1b1/Pura/Wrn/Cul3/H2ax/Upf1/Top1/Cul1/Nolc1/Lbr/Amd1/Hmmr/Casp8ap2/G3bp1/Hif1a/Smc1a/Nusap1/Odf2/Ctcf/Dbf4/Pml/Meis2/Katna1/Birc5/Smc4/Brca2/Tmpo/Nasp/Nup98/Syncrip/Rad23b/Knl1/Prmt5/Mnat1/Prc1/Atrx/Uck2/Cul4a/Rbm14/Rad21/Prim2/Ythdc1/Kpnb1/Xpo1/Ewsr1/Cdk1/Cdc20/Cenpa/Bub1/Sfpq/Ilf3/Smarcc1/E2f1/Kif20b/Fancc/Cul5/Chaf1a/Slc7a5/Mad2l1/Cdc25a/Cdc25b/Hira/Efna5/Ccna2/Slc12a2/Mcm6/Tgfb1/Smc2/Abl1/Plk4/Mki67/Ube2c/Pds5b/Pola2/Racgap1/Mt2/Foxn3/Notch2/Ccnt1/Rasal2/Ccnb2/Pole/Arid4a/Mcm3/Top2a/Stag1/Mapk14/Kif23/Mtf2/Ezh2/Tacc3/Tent4a/E2f3/Nsd2/Cenpe/Tnpo2/Rbl1/Kif11/Meis1/Mcm2/Rps6ka5/Slc7a1/Cenpf/Mcm5/Map3k20/Tpx2/Cdc27/Tle3/Incenp/Smad3"
"HALLMARK_DNA_REPAIR","HALLMARK_DNA_REPAIR","HALLMARK_DNA_REPAIR",127,0.163486243142525,2.26228757913032,0.000225539005730983,0.00129684928295315,0.000860609363973486,4965,"tags=79%, list=55%, signal=36%","Ncbp2/Cox17/Edf1/Tk2/Taf10/Rfc4/Polr2h/Polr2k/Bola2/Guk1/Nme4/Umps/Ercc1/Nme1/Cetn2/Ada/Polr2i/Gtf2h5/Taf12/Cda/Nt5c/Vps28/Polr1h/Rpa3/Nelfe/Nudt21/Sac3d1/Gpx4/Aprt/Polr2f/Mpc2/Rbx1/Rfc3/Polr2c/Polr1d/Eif1b/Nudt9/Bcam/Surf1/Gtf2f1/Mrpl40/Dad1/Brf2/Gtf2h3/Lig1/Snapc5/Dctn4/Supt4a/Gtf2b/Polr2d/Dut/Polr2e/Polr2j/Pole4/Gmpr2/Hprt/Polr2g/Nt5c3/Gtf2a2/Taf6/Tmed2/Gtf3c5/Supt5/Gsdme/Bcap31/Taf13/Impdh2/Tyms/Dguok/Alyref/Ercc5/Tsg101/Mpg/Rnmt/Ak3/Xpc/Polr1c/Pold4/Srsf6/Adrm1/Pold3/Clp1/Polb/Rae1/Zwint/Arl6ip1/Rfc5/Polr3c/Rad52/Gtf2h1/Adcy6/Sf3a3/Rala/Itpa/Dgcr8/Ercc3/Tarbp2/Rrm2b/Prim1/Rfc2"
"HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_HEDGEHOG_SIGNALING",20,-0.455407484882725,-1.92610289291131,0.00393746381007527,0.0201248150292736,0.0133551404084425,2734,"tags=65%, list=30%, signal=46%","Ptch1/Celsr1/Ets2/Myh9/Rasa1/Tle1/Cdk6/Ldb1/Nf1/Adgrg1/Ophn1/Tle3/Scg2"
"HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_WNT_BETA_CATENIN_SIGNALING",24,-0.412065692349092,-1.84887871536642,0.00665839070082383,0.0306285972237896,0.0203256137183043,4703,"tags=88%, list=52%, signal=42%","Myc/Rbpj/Psen2/Hdac2/Ctnnb1/Cul1/Kat2a/Trp53/Ptch1/Csnk1e/Ncstn/Ncor2/Axin1/Maml1/Numb/Hdac5/Adam17/Notch1/Ppard/Tcf7/Jag1"
