"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"NABA_CORE_MATRISOME","NABA_CORE_MATRISOME","NABA_CORE_MATRISOME",29,-0.570203058960368,-1.79624871979289,0.00227368258039319,0.0143559035774605,0.0103032800795171,417,"tags=34%, list=6%, signal=33%","Ints6l/Ltbp3/Fn1/Emilin1/Ntng2/Spon1/Edil3/Gas6/Col14a1/Igfbp4"
"SIG_CD40PATHWAYMAP","SIG_CD40PATHWAYMAP","SIG_CD40PATHWAYMAP",22,-0.600282004668199,-1.76921603750635,0.00261016428681099,0.0143559035774605,0.0103032800795171,1401,"tags=41%, list=19%, signal=33%","Map2k4/Traf5/Dusp1/Mapk14/Pik3cd/Traf6/Nfkb1/Traf3/Pik3r1"
"SIG_BCR_SIGNALING_PATHWAY","SIG_BCR_SIGNALING_PATHWAY","SIG_BCR_SIGNALING_PATHWAY",41,-0.510998053588939,-1.72781171348618,0.00255282938590271,0.0143559035774605,0.0103032800795171,840,"tags=41%, list=11%, signal=37%","Plcg2/Grb2/Sos2/Csk/Lyn/Vav1/Ptprc/Syk/Nfatc2/Pik3cd/Nfatc1/Itpr2/Pik3r1/Inpp5d/Cd81/Bcl2/Blnk"
"NABA_MATRISOME","NABA_MATRISOME","NABA_MATRISOME",182,-0.360510918385533,-1.53244133224276,0.00212240644368924,0.0143559035774605,0.0103032800795171,886,"tags=24%, list=12%, signal=22%","Mmp9/Clec4n/Adam17/C1qa/Tgfb1/Ctsa/Timp1/Tgfb3/Plxnc1/Mmp14/Il10/Clec10a/Adamts6/Osm/Adamdec1/Ints6l/Plau/Ltbp3/Pdgfb/Fgf13/Fn1/Pdgfc/Emilin1/Ccl17/Sulf2/Nrg1/Ntng2/Colec12/Spon1/Htra3/Mmp13/Pgf/Cela1/Mgl2/Hgf/Plxdc2/Prss2/Edil3/Igf1/Gas6/Col14a1/Igfbp4/Ccl22/Adam19"
"NABA_ECM_GLYCOPROTEINS","NABA_ECM_GLYCOPROTEINS","NABA_ECM_GLYCOPROTEINS",26,-0.543864208217241,-1.66772604311884,0.00851508813863161,0.0374663878099791,0.0268897520167314,417,"tags=35%, list=6%, signal=33%","Ints6l/Ltbp3/Fn1/Emilin1/Ntng2/Spon1/Edil3/Gas6/Igfbp4"
"NABA_ECM_REGULATORS","NABA_ECM_REGULATORS","NABA_ECM_REGULATORS",55,-0.428091591353758,-1.532420740668,0.0157211209842789,0.0576441102756892,0.0413713710112602,886,"tags=25%, list=12%, signal=23%","Mmp9/Adam17/Ctsa/Timp1/Mmp14/Adamts6/Adamdec1/Plau/Sulf2/Htra3/Mmp13/Cela1/Prss2/Adam19"
"NABA_MATRISOME_ASSOCIATED","NABA_MATRISOME_ASSOCIATED","NABA_MATRISOME_ASSOCIATED",153,-0.321996850195533,-1.34219103501559,0.0343589129654017,0.107985155034119,0.0775013074407556,886,"tags=22%, list=12%, signal=20%","Mmp9/Clec4n/Adam17/C1qa/Tgfb1/Ctsa/Timp1/Tgfb3/Plxnc1/Mmp14/Il10/Clec10a/Adamts6/Osm/Adamdec1/Plau/Pdgfb/Fgf13/Pdgfc/Ccl17/Sulf2/Nrg1/Colec12/Htra3/Mmp13/Pgf/Cela1/Mgl2/Hgf/Plxdc2/Prss2/Igf1/Ccl22/Adam19"
"SIG_CHEMOTAXIS","SIG_CHEMOTAXIS","SIG_CHEMOTAXIS",31,-0.4376893016914,-1.39722803059705,0.0751249632461041,0.206593648926786,0.148272953775205,1194,"tags=26%, list=16%, signal=22%","Pik3r5/Pik3cg/Pten/Gdi2/Arhgap4/Pik3cd/Itpr2/Pik3r1"
"SA_B_CELL_RECEPTOR_COMPLEXES","SA_B_CELL_RECEPTOR_COMPLEXES","SA_B_CELL_RECEPTOR_COMPLEXES",22,-0.469352683702194,-1.38332698430891,0.09120221096269,0.222938737908798,0.160003878881912,1914,"tags=50%, list=26%, signal=37%","Jun/Rps6ka1/Map3k1/Vav3/Grb2/Rps6ka3/Lyn/Vav1/Syk/Vav2/Blnk"
"SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES","SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES","SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES",32,-0.341223139330155,-1.09637020274096,0.328010547905069,0.64131062643163,0.460270784520309,1391,"tags=44%, list=19%, signal=36%","Plcg2/Tec/Rps6ka3/Pik3r5/Pten/Dapp1/Lyn/Vav1/Ptprc/Syk/Gab1/Foxo3/Itpr2/Prex1"
