"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",86,0.685334414158726,3.11024172529325,6.88030417817874e-19,3.44015208908937e-17,2.82454592577864e-17,987,"tags=53%, list=14%, signal=47%","Cxcl11/Isg15/Isg20/Gbp2/Ifit3/H2-Q7/Samd9l/Nmi/Irf7/Rtp4/Rsad2/Irf1/Gbp3/Psmb9/Casp1/Ifit2/Bst2/Sell/Psmb8/Cmpk2/Ifi44/Usp18/Lgals3bp/Oasl1/Txnip/Ifitm3/Tap1/Parp14/Cxcl10/Adar/Mvb12a/Pnpt1/Psme2/Ube2l6/Procr/Oas1a/Nub1/Ogfr/Ifi35/Il15/Irf2/Lap3/Ifi27/B2m/Psme1/Ly6e"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",170,0.529292363722159,2.67010278947898,4.44459809949785e-17,1.11114952487446e-15,9.12312241475874e-16,506,"tags=32%, list=7%, signal=31%","Cxcl11/Cxcl9/Ifit1bl1/Isg15/Isg20/Zbp1/Casp3/Gbp4/Upp1/Ifit3/H2-Q7/Samd9l/Cfb/Il18bp/Slamf7/Nmi/Irf7/Stat1/Rtp4/Rsad2/Socs1/Irf1/Gbp3/Psmb9/Casp1/Xaf1/Ccl5/Ifit2/Bst2/Psmb8/Oas3/Cmpk2/Ifi44/H2-D1/Tnfaip6/Usp18/Lgals3bp/Oasl1/Txnip/Ifitm3/Fgl2/Psmb10/Tap1/Parp14/Cxcl10/Fcgr1/Adar/Pml/Nlrc5/Pnpt1/Sod2/Fas/Psme2/Itgb7/Ube2l6"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",176,0.415070902539207,2.10382701206001,8.68111742571229e-09,1.44685290428538e-07,1.18794238457115e-07,2121,"tags=51%, list=29%, signal=37%","Cycs/Ndufv1/Surf1/Hsd17b10/Grpel1/Vdac3/Timm10/Cyb5a/Timm17a/Timm8b/Tomm22/Por/Mrpl35/Mrps12/Atp5j/Cox5b/Ndufa8/Pmpca/Mrps30/Polr2f/Sdhb/Idh3b/Idh1/Ndufs3/Atp6v1e1/Ndufv2/Ndufb3/Acaa2/Eci1/Ndufs4/Ech1/Vdac1/Ndufs8/Cyb5r3/Echs1/Cox8a/Atp5o/Cox7a2/Ndufs7/Ndufb8/Mrpl11/Mrps11/Ndufa5/Immt/Acadm/Slc25a4/Ndufb5/Ndufb6/Ndufa7/Atp5c1/Ndufb2/Pdha1/Afg3l2/Gpx4/Mdh1/Atp5j2/Uqcrc1/Ndufa1/Vdac2/Mrpl34/Ndufab1/Atp5g3/Uqcrb/Bax/Uqcrfs1/Tomm70a/Cox6c/Ldha/Ndufa4/Sdhd/Etfdh/Cox6a1/Cox7b/Mrpl15/Cox7c/Cpt1a/Sucla2/Phyh/Atp6v1g1/Atp5pb/Isca1/Ndufs2/Atp6v1f/Ndufb4/Cox6b1/Atp5g1/Hadhb/Atp5l/Slc25a3/Ndufa6"
"HALLMARK_DNA_REPAIR","HALLMARK_DNA_REPAIR","HALLMARK_DNA_REPAIR",100,0.41251433551121,1.92504452713057,3.21361282762306e-05,0.000401701603452882,0.000329818158624472,1372,"tags=36%, list=19%, signal=30%","Nt5c3/Cmpk2/Mrpl40/Polr2d/Adrm1/Surf1/Clp1/Nt5c/Edf1/Stx3/Supt4a/Polr2k/Gtf2b/Itpa/Polr1d/Gtf2f1/Polr2c/Rala/Pold3/Polr2f/Mpc2/Ercc1/Eif1b/Ncbp2/Polr2j/Nelfb/Dguok/Polr2g/Polr1h/Polr2i/Aprt/Nudt9/Rbx1/Gtf2h5/Vps28/Guk1"
"HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN",81,-0.429587690445858,-1.63475526865834,0.00272161741835148,0.0272161741835148,0.0223459114348858,1641,"tags=40%, list=22%, signal=31%","Atp2b1/Apbb2/Nr3c1/Smad3/Nipbl/Celf2/Bhlhe40/Sipa1l1/Pmp22/Dusp1/Nrp1/Acvr2a/Mapk14/Pten/Syne1/Runx1/Wdr37/Igf1r/Atp2b4/Lpar1/Pik3cd/Rxra/Nfkb1/Dyrk1a/Slc7a1/Vav2/Fyn/Sfmbt1/Dab2/Tgfbr2/Prkca/Cacna1a"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",70,-0.433201153268713,-1.61380401605978,0.0048372336253105,0.0345516687522179,0.0283687385544526,1237,"tags=31%, list=17%, signal=26%","Pmp22/Il6/Tgm2/Fap/Pvr/Tnfaip3/Rhob/Pdlim4/Tgfb1/Timp1/Wipf1/Mmp14/Itgav/Cadm1/Fn1/Itgb5/Vcam1/Dab2/Pmepa1/Prss2/Edil3/Igfbp4"
"HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP",103,-0.396206262834231,-1.55958529101243,0.00464882522930016,0.0345516687522179,0.0283687385544526,1682,"tags=41%, list=23%, signal=32%","Cmklr1/Lif/Lcp1/C3ar1/Nin/Map3k1/Strn/Ptcd2/St6gal1/Laptm5/Nrp1/Vwa5a/Il10ra/Usp12/G0s2/Tnfaip3/Mmp9/Mafb/Adam17/Cbl/Ank/Galnt3/Cxcr4/Prdm1/Atg10/Mtmr10/Il1rl2/Dock2/Adamdec1/Birc3/Plau/Etv5/Pecam1/Ikzf1/Tspan13/Tmem176b/Cfh/Hdac9/Spon1/Tmem176a/Rabgap1l/Satb1"
"HALLMARK_KRAS_SIGNALING_DN","HALLMARK_KRAS_SIGNALING_DN","HALLMARK_KRAS_SIGNALING_DN",27,-0.547431503494927,-1.69212669193179,0.00623700623700624,0.0346500346500346,0.0284495021337127,1279,"tags=44%, list=18%, signal=37%","Fggy/Sphk2/Slc29a3/Cdkal1/Cpeb3/Sgk1/Vps50/Ptprj/Tent5c/Cd80/Prkn/Selenop"
"HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING",124,-0.374210560016272,-1.51246404303794,0.00563587356040186,0.0346500346500346,0.0284495021337127,1385,"tags=44%, list=19%, signal=37%","Csf1/Furin/Syngr2/Slc1a5/Bcl2l1/Cyfip1/Cd44/Lif/Gpr65/Nfkbiz/Il1r2/Ifngr1/Bhlhe40/P2rx4/Nfil3/Tlr7/Ncoa3/Cish/Mapkapk2/Irf4/Cdc42se2/Tgm2/Nrp1/Socs2/Tnfrsf21/Lrrc8c/Dhrs3/Il10ra/Huwe1/Ccnd3/Rhob/Uck2/Tnfrsf9/Spred2/Igf1r/Pou2f1/Il10/Wls/Lclat1/Itgav/Dennd5a/Swap70/Il4ra/Ahr/Myo1e/Prkch/Cd86/Rhoh/Rora/Itga6/Rabgap1l/Cd81/Bcl2/Cd83/Adam19"
"HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_HEDGEHOG_SIGNALING",15,-0.564233352629499,-1.5114591191066,0.0424692137669719,0.187881634570221,0.154260710489234,1548,"tags=53%, list=21%, signal=42%","Tle3/Ets2/Nrp1/Dpysl2/Cdk6/Rtn1/Tle1/Ophn1"
"HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION",83,-0.35623191464217,-1.3599339985758,0.0516037247801345,0.187881634570221,0.154260710489234,1064,"tags=48%, list=15%, signal=42%","Rsu1/Map4k2/Zyx/Adam9/Mvd/Myh9/Stx4a/Cap1/Vcan/Ctnnd1/Inppl1/Nf1/Icam1/Skap2/Cdh1/Sdc3/Adam15/Cnn2/Tgfbi/Fyb/Vasp/Crat/Mapk14/Pten/B4galt1/Mmp9/Ptprc/Fscn1/Syk/Sirpa/Pik3cb/Epb41l2/Vav2/Exoc4/Pecam1/Arhgef6/Cd86/Vcam1/Lima1/Itga9"
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE",134,-0.325887609920329,-1.3296171681376,0.0499272903538536,0.187881634570221,0.154260710489234,2554,"tags=45%, list=35%, signal=30%","Rapgef6/Smc1a/Abi1/Kif3b/Arhgdia/Cdc27/Myh9/Lmnb1/Tiam1/Bcr/Wasf2/Tlk1/Myo9b/Katna1/Nf1/Clip2/Rasa2/Apc/Cep192/Bin1/Abr/Marcks/Tubgcp3/Capzb/Sun2/Nin/Ccdc88a/Fgd4/Pcgf5/Ranbp9/Incenp/Kif1b/Arhgef3/Als2/Cntrl/Abl1/Pxn/Arhgef12/Tbcd/Fscn1/Arhgap4/Akap13/Itsn1/Nedd9/Trio/Dock2/Mid1/Birc5/Epb41l2/Plekhg2/Dock4/Prex1/Myo1e/Epb41/Stk38l/Top2a/Tubgcp5/Ophn1/Ssh2/Rapgef5"
