"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"NABA_SECRETED_FACTORS","NABA_SECRETED_FACTORS","NABA_SECRETED_FACTORS",62,0.446913451052062,2.21654235813503,1.51825576867833e-06,3.34016269109233e-05,2.7168787439507e-05,330,"tags=27%, list=4%, signal=26%","S100a4/S100a8/Ccl2/S100a6/S100a10/S100a9/Cxcl3/Ccl9/S100a11/Ccl17/Osm/Il18/Cxcl2/Ccl6/S100a13/Areg/Cxcl10"
"NABA_MATRISOME","NABA_MATRISOME","NABA_MATRISOME",184,0.251600489668952,1.47052073234663,0.000312222693106048,0.00343444962416653,0.00279357146463306,613,"tags=22%, list=8%, signal=21%","S100a4/S100a8/Mmp8/Vcan/Ccl2/S100a6/S100a10/S100a9/Sdc1/Cxcl3/Ccl9/Timp1/S100a11/Ccl17/Osm/Il18/Cxcl2/Tgfbi/Ccl6/F10/S100a13/Clec5a/Clec4e/Areg/Cxcl10/Sema4a/Thbs1/Mmp19/Clec12a/Emilin2/Tgm2/Serpinb9/Fam20a/Igfbp6/Ccl24/Srgn/Ccl7/Sulf2/Lgals1/Lgals9/Tgfb1"
"NABA_MATRISOME_ASSOCIATED","NABA_MATRISOME_ASSOCIATED","NABA_MATRISOME_ASSOCIATED",156,0.255770357308125,1.47777707778931,0.0012505878884588,0.0091709778486979,0.0074596470539648,613,"tags=22%, list=8%, signal=21%","S100a4/S100a8/Mmp8/Ccl2/S100a6/S100a10/S100a9/Sdc1/Cxcl3/Ccl9/Timp1/S100a11/Ccl17/Osm/Il18/Cxcl2/Ccl6/F10/S100a13/Clec5a/Clec4e/Areg/Cxcl10/Sema4a/Mmp19/Clec12a/Tgm2/Serpinb9/Fam20a/Ccl24/Ccl7/Sulf2/Lgals1/Lgals9/Tgfb1"
"SA_MMP_CYTOKINE_CONNECTION","SA_MMP_CYTOKINE_CONNECTION","SA_MMP_CYTOKINE_CONNECTION",11,0.56927904904635,1.77715765068268,0.017632241813602,0.0969773299748111,0.0788810817976932,613,"tags=27%, list=8%, signal=25%","Sell/Cd44/Tgfb1"
"NABA_ECM_REGULATORS","NABA_ECM_REGULATORS","NABA_ECM_REGULATORS",55,-0.422095603597059,-1.41241954745906,0.0273391967786373,0.120292465826004,0.0978455463656492,2323,"tags=49%, list=31%, signal=34%","Adam9/Plod1/Mmp9/Adamdec1/Cst3/Ctsd/Slpi/Ctsa/Fam20c/Adam19/Ctso/Egln1/Ctsl/Ctsb/Mmp14/F13a1/Fam20b/Mmp13/P4ha1/Egln3/Mmp12/Serpine1/Timp2/Plau/Mmp2/Serpinb2/Serpinb6a"
"SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES","SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES","SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES",40,-0.418314811582573,-1.33719058843961,0.0770731707317073,0.28260162601626,0.229867351305092,2263,"tags=38%, list=31%, signal=26%","Cbl/Cyth3/Raf1/Flot2/Inppl1/Mapk3/Gsk3b/Pdpk1/Gsk3a/Sos1/Shc1/Irs2/Pik3ca/Rps6ka2/Serpinb6a"
"SA_B_CELL_RECEPTOR_COMPLEXES","SA_B_CELL_RECEPTOR_COMPLEXES","SA_B_CELL_RECEPTOR_COMPLEXES",22,-0.458183191328484,-1.3174993095103,0.115070697781354,0.361650764455685,0.294165693576394,2945,"tags=59%, list=40%, signal=36%","Mapk1/Map3k1/Fos/Vav1/Jun/Mapk8ip3/Map2k1/Mapk3/Sos1/Shc1/Atf2/Blnk/Vav2"
"SA_PTEN_PATHWAY","SA_PTEN_PATHWAY","SA_PTEN_PATHWAY",17,-0.473843499672879,-1.28869149952299,0.146712231911383,0.387689666489939,0.315345661738228,1615,"tags=35%, list=22%, signal=28%","Mapk3/Pdpk1/Sos1/Shc1/Pik3ca/Bpnt1"
"SIG_IL4RECEPTOR_IN_B_LYPHOCYTES","SIG_IL4RECEPTOR_IN_B_LYPHOCYTES","SIG_IL4RECEPTOR_IN_B_LYPHOCYTES",25,-0.427227465117605,-1.26037181288057,0.158600318109521,0.387689666489939,0.315345661738228,2256,"tags=44%, list=30%, signal=31%","Jak1/Raf1/Jak3/Mapk3/Gsk3b/Pdpk1/Gsk3a/Sos1/Shc1/Irs2/Pik3ca"
"SA_TRKA_RECEPTOR","SA_TRKA_RECEPTOR","SA_TRKA_RECEPTOR",13,-0.474725462957877,-1.2119631508414,0.216581446311176,0.405457598656591,0.329798046754165,1789,"tags=31%, list=24%, signal=23%","Map2k1/Sos1/Shc1/Pik3ca"
"SIG_BCR_SIGNALING_PATHWAY","SIG_BCR_SIGNALING_PATHWAY","SIG_BCR_SIGNALING_PATHWAY",41,-0.372263654480903,-1.19508218030756,0.207120441510659,0.405457598656591,0.329798046754165,2945,"tags=46%, list=40%, signal=28%","Mapk1/Ppp3ca/Bad/Itpr2/Vav1/Nfatc2/Raf1/Flot2/Mapk3/Gsk3b/Pdpk1/Gsk3a/Ppp3cb/Sos1/Shc1/Pik3ca/Blnk/Dag1/Cd81"
"SA_G1_AND_S_PHASES","SA_G1_AND_S_PHASES","SA_G1_AND_S_PHASES",11,0.3800568258693,1.18644959254914,0.221158690176322,0.405457598656591,0.329798046754165,4593,"tags=100%, list=62%, signal=38%","Nxt1/Ccnd1/Cdkn1a/Arf1/Cfl1/Mdm2/Cdk4/Arf3/Cdkn1b/E2f1/Trp53"
