"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",167,0.449934972712188,2.60149543058228,2.96995873638075e-15,1.48497936819038e-13,1.250508941634e-13,856,"tags=35%, list=12%, signal=31%","Isg20/Irf7/Oas3/Ccl2/Ube2l6/Cfb/Itgb7/Ly6e/Samhd1/Upp1/H2-Q7/Ifitm3/Usp18/Casp3/Ifi35/Isg15/Rtp4/Ifi44/Ifit3/Zbp1/Xaf1/Dhx58/Oas2/Cmpk2/Bst2/Helz2/Ifi44l/Cd69/Gch1/Cxcl10/Fcgr1/Irf4/Psmb10/Sp110/Ifitm2/Ripk2/Psme1/Il15ra/Psme2/Pfkp/Irf5/Hif1a/Ccl7/Oasl1/Nmi/H2-D1/Mvp/Fas/Rnf213/Psmb8/Rigi/Cmtr1/Ptpn1/Jak2/Lcp2/Pim1/Samd9l/Fgl2"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",86,0.569114740795882,2.96692161924878,8.95841013550787e-14,2.23960253387697e-12,1.88598108115955e-12,603,"tags=36%, list=8%, signal=33%","Isg20/Sell/Irf7/Ube2l6/Oas1a/Ly6e/H2-Q7/Ifitm3/Usp18/Ifi35/Gbp2/Isg15/Rtp4/Ifi44/Ifit3/Dhx58/Cnp/Cmpk2/Bst2/Helz2/Ifi44l/Cxcl10/Sp110/Ifitm2/Ifitm1/Ripk2/Psme1/Uba7/Psme2/Oasl1/Nmi"
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",129,0.379643638969207,2.11645325313593,1.76607893693965e-08,2.94346489489941e-07,2.47870727991529e-07,636,"tags=26%, list=9%, signal=24%","Sell/Irf7/Ccl2/Met/Ly6e/Timp1/Ccl17/Emp3/Osm/Slc28a2/Rtp4/Il18/Sgms2/Ccr7/Bst2/Clec5a/Nod2/Cd69/Gch1/Cxcl10/Mefv/Adora2b/Ptafr/Ifitm1/Ripk2/Il15ra/Plaur/Ccl24/Hif1a/Ccl7/Nmi/Icosl/Il7r"
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION",128,0.333822844647386,1.8570174066819,2.70941923718054e-06,3.38677404647567e-05,2.85202024966373e-05,646,"tags=27%, list=9%, signal=25%","Irf7/Ccl2/Capg/H2-Q7/Fgr/Timp1/Gbp2/Il18/Ccr2/Il2rg/Map4k1/Ccnd3/Itgal/Ccnd2/Irf4/Psmb10/Ly75/Ripk2/Eif3j2/Flna/Nme1/Was/Itgb2/Hif1a/Srgn/Ccl7/Cfp/Hcls1/Cd80/Ncf4/Tgfb1/H2-T23/Icosl/Fas"
"HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_HEDGEHOG_SIGNALING",15,-0.636152855247741,-1.67170588688798,0.00539503656635895,0.050761421319797,0.0427464600587764,517,"tags=53%, list=7%, signal=50%","Pml/Nf1/Ldb1/Rasa1/Ophn1/Nrp1/Tle1/Nrp2"
"HALLMARK_HEME_METABOLISM","HALLMARK_HEME_METABOLISM","HALLMARK_HEME_METABOLISM",117,-0.397286539364922,-1.44171824315427,0.00609137055837563,0.050761421319797,0.0427464600587764,2653,"tags=49%, list=36%, signal=32%","Rbm5/Hmbs/Foxj2/Atg4a/Ctns/Gmps/Marchf2/Hebp1/Hagh/Adipor1/Nr3c1/Bmp2k/Khnyn/Mark3/Cdc27/Blvrb/Mxi1/Clcn3/Tcea1/Bsg/H1f0/Lpin2/Add1/Slc11a2/Fbxo9/Foxo3/Dcun1d1/Tfrc/Sec14l1/Ctsb/Cir1/Tnrc6b/Bnip3l/Slc6a8/Minpp1/Xpo7/Trak2/Htra2/Nfe2l1/Rnf19a/Tent5c/Atp6v0a1/Ncoa4/Gapvd1/Ranbp10/Fech/Daam1/Narf/Acp5/Tns1/Nek7/Btrc/Marchf8/Cat/Arhgef12/Gclm/Gclc"
"HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING",123,0.246443133662209,1.36167895344143,0.00823149511785434,0.0587963936989596,0.0495127525885976,410,"tags=16%, list=6%, signal=16%","Sell/Glipr2/Hopx/Capg/Plec/Ifitm3/Tiam1/Casp3/Il3ra/Traf1/Cish/Abcb1a/Ccnd3/Rnh1/Uck2/Ccnd2/Cd44/Cxcl10/Irf4/Socs2"
"HALLMARK_BILE_ACID_METABOLISM","HALLMARK_BILE_ACID_METABOLISM","HALLMARK_BILE_ACID_METABOLISM",41,-0.478428896347506,-1.53960355583716,0.00974131399502111,0.0608832124688819,0.0512700736580058,1903,"tags=51%, list=26%, signal=38%","Pex13/Bcar3/Rxra/Hsd17b4/Sod1/Aldh9a1/Idh2/Npc1/Fads1/Abca1/Pex19/Slc29a1/Hsd3b7/Cyp27a1/Acsl1/Slc35b2/Idh1/Abca9/Paox/Cat/Gclm"
"HALLMARK_APICAL_SURFACE","HALLMARK_APICAL_SURFACE","HALLMARK_APICAL_SURFACE",13,0.522546589295913,1.6978921427173,0.0214689265536723,0.119271814187068,0.100439422473321,558,"tags=38%, list=8%, signal=36%","Crybg1/Hspb1/Il2rg/Plaur/Sulf2"
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE",136,-0.358849088222957,-1.31800603113284,0.0295929704070296,0.147964852035148,0.124601980661177,2364,"tags=43%, list=32%, signal=30%","Kif5b/Sun2/Myo1e/Dync1h1/Prex1/Cdc27/Mapre1/Clip1/Rictor/Arf6/Sass6/Lats1/Atg4b/Dlg1/Tlk1/Wasl/Arhgef7/Hook3/Rab3gap1/Lrpprc/Marcks/Mid1/Nf1/Nck1/Sptan1/Pdlim5/Arhgef11/Arhgef2/Fgd4/Sos1/Arhgap5/Klc1/Ckap5/Stk38l/Tsc1/Pcm1/Kifap3/Cdk5rap2/Abi1/Fscn1/Stau1/Dynll2/Palld/Cep57/Rasa1/Fgd6/Abl1/Rabgap1/Ophn1/Itsn1/Taok2/Map1s/Numa1/Arhgef3/Arhgap10/Arhgef12/Dst/Flnb"
