"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"NABA_SECRETED_FACTORS","NABA_SECRETED_FACTORS","NABA_SECRETED_FACTORS",62,0.394263759098444,1.83714329680952,0.000393705107835094,0.00755794251466416,0.00542436065645753,525,"tags=32%, list=7%, signal=30%","Cxcl11/S100a8/S100a10/Cxcl9/S100a6/S100a4/Ccl2/S100a11/Cxcl3/S100a9/Il18/Cxcl10/S100a13/Inhba/Cxcl2/Ccl6/Tnf/Ccl9/Ccl7/S100a1"
"NABA_ECM_REGULATORS","NABA_ECM_REGULATORS","NABA_ECM_REGULATORS",53,-0.508164217821258,-1.6987073072346,0.000687085683151287,0.00755794251466416,0.00542436065645753,1887,"tags=51%, list=26%, signal=38%","F13a1/Adam9/Sulf2/Ctsh/Ctso/Serpine1/Egln3/Adamts6/Plod1/Fam20c/Ctsd/Adam17/Ctsb/P4ha1/Mmp9/Mmp12/Ctsa/Adamdec1/Cela1/Htra3/Mmp14/Timp2/Serpinb6a/Mmp13/Plau/Serpinb2/Adam19"
"NABA_CORE_MATRISOME","NABA_CORE_MATRISOME","NABA_CORE_MATRISOME",28,-0.547980239959826,-1.6369445188254,0.00615420343706456,0.0445527119042029,0.0319756305532556,955,"tags=32%, list=13%, signal=28%","Ntng2/Ints6l/Fn1/Spon1/Emilin1/Edil3/Col14a1/Igfbp4/Gas6"
"NABA_ECM_GLYCOPROTEINS","NABA_ECM_GLYCOPROTEINS","NABA_ECM_GLYCOPROTEINS",25,-0.559361514856021,-1.63220733172969,0.00810049307349143,0.0445527119042029,0.0319756305532556,955,"tags=32%, list=13%, signal=28%","Ntng2/Ints6l/Fn1/Spon1/Emilin1/Edil3/Igfbp4/Gas6"
"NABA_MATRISOME","NABA_MATRISOME","NABA_MATRISOME",180,-0.349468360515896,-1.32545093490528,0.0222737351340456,0.0980044345898004,0.0703381109496175,793,"tags=23%, list=11%, signal=21%","Ctsb/Plxnd1/Tnfsf12/Il10/Plxnc1/Ints6l/P4ha1/C1qb/Mmp9/Fn1/Spon1/Mmp12/Ctsa/Tgfb3/Nrg1/Adamdec1/Cela1/Htra3/Colec12/Mmp14/C1qc/C1qa/Gdf15/Timp2/Serpinb6a/Mgl2/Emilin1/Ccl22/Pgf/Edil3/Mmp13/Plau/Hgf/Plxdc2/Pdgfb/Serpinb2/Pdgfc/Igf1/Col14a1/Adam19/Igfbp4/Gas6"
"SA_MMP_CYTOKINE_CONNECTION","SA_MMP_CYTOKINE_CONNECTION","SA_MMP_CYTOKINE_CONNECTION",10,0.586413387425475,1.67935786128331,0.0305039787798408,0.11184792219275,0.0802736283680022,508,"tags=30%, list=7%, signal=28%","Sell/Tnf/Fcgr4"
"SIG_BCR_SIGNALING_PATHWAY","SIG_BCR_SIGNALING_PATHWAY","SIG_BCR_SIGNALING_PATHWAY",41,-0.447017550829435,-1.43605423736018,0.037315105333931,0.117276045335212,0.0841694105276638,2064,"tags=46%, list=28%, signal=34%","Ptprc/Mapk3/Ppp3cc/Grb2/Ppp3cb/Pik3ca/Ppp3ca/Gsk3b/Pik3cd/Sos2/Nfatc1/Vav1/Pik3r1/Inpp5d/Nfatc2/Itpr2/Bcl2/Blnk/Cd81"
"SIG_CD40PATHWAYMAP","SIG_CD40PATHWAYMAP","SIG_CD40PATHWAYMAP",25,-0.485335748684152,-1.41620141234903,0.0594036158722705,0.163359943648744,0.117243978695271,2899,"tags=68%, list=39%, signal=41%","Cd40/Mapkapk5/Mapk1/Traf6/Mapk8ip3/Mapk3/Dusp1/Map2k7/Pik3ca/Nfkb1/Pik3cd/Mapk14/Traf2/Mapk8/Traf5/Pik3r1/Traf3"
"SA_B_CELL_RECEPTOR_COMPLEXES","SA_B_CELL_RECEPTOR_COMPLEXES","SA_B_CELL_RECEPTOR_COMPLEXES",22,-0.485153222593639,-1.37896165697192,0.0785290628706999,0.191959931461711,0.13777028573807,3126,"tags=77%, list=42%, signal=45%","Sos1/Vav3/Atf2/Syk/Fos/Lyn/Mapk1/Mapk8ip3/Mapk3/Grb2/Rps6ka1/Jun/Map3k1/Rps6ka3/Vav1/Vav2/Blnk"
"SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES","SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES","SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES",50,-0.379356642810208,-1.25530434462287,0.138563535911602,0.300395542471147,0.215594886941015,1936,"tags=38%, list=26%, signal=28%","Cyth3/Grb2/Rps6ka1/Pik3ca/Gsk3b/Pten/Pik3cd/Sos2/Tsc1/Rps6ka3/Inppl1/Gab1/Creb5/Creb1/Irs2/Rps6ka2/Foxo3/Prex1/Igf1"
