"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",90,0.746848246346386,3.72511946952947,1.05995843673309e-28,5.29979218366545e-27,3.79353545778159e-27,592,"tags=52%, list=8%, signal=49%","Isg20/Isg15/Sell/Irf7/Gbp2/Cxcl11/H2-Q7/Ifit3/Ube2l6/Rtp4/Oas1a/Usp18/Samd9l/Ifitm3/Nmi/Ly6e/Ifi44/Bst2/Cmpk2/Ifi35/Psmb8/Casp1/Cxcl10/Psmb9/Rsad2/Oasl1/Psme2/Gbp3/Mov10/Psme1/Cnp/Sp110/Irf1/Ifitm1/Tap1/Dhx58/Ifitm2/Uba7/Ifit2/Lgals3bp/B2m/Ifi44l/Helz2/Ogfr/Irf2/Parp12/Parp14"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",173,0.576427198024956,3.1594969841018,1.33306603077723e-27,3.33266507694307e-26,2.38548658139083e-26,610,"tags=42%, list=8%, signal=39%","Isg20/Isg15/Irf7/Upp1/Cxcl11/Cfb/Casp3/H2-Q7/Oas3/Zbp1/Ifit3/Cxcl9/Ube2l6/Rtp4/Ccl2/Itgb7/Usp18/Samd9l/Ifitm3/Nmi/Xaf1/Ly6e/Ifi44/Bst2/Cmpk2/Ifi35/Samhd1/Psmb8/Casp1/Cxcl10/Psmb10/H2-D1/Fcgr1/Psmb9/St3gal5/Rsad2/Oasl1/Psme2/Il18bp/Stat1/Gbp9/Fas/Fgl2/Gbp3/Psme1/Oas2/Sp110/Irf1/Slamf7/Tap1/Dhx58/Arl4a/Ifitm2/Sod2/Tnfaip6/Rigi/Ifit2/Rnf213/Psma2/Ccl7/Lgals3bp/B2m/Ifi44l/Helz2/Ogfr/Gch1/Irf2/Psmb2/Parp12/Parp14/Znfx1/Nlrc5"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",177,0.370106920129848,2.04146843705917,5.88592133642348e-09,9.80986889403914e-08,7.02180089257539e-08,1398,"tags=45%, list=19%, signal=37%","Cycs/Mrpl35/Cox5b/Timm17a/Grpel1/Ndufb1/Atp5j/Atp5j2/Ndufb6/Cox17/Ndufa1/Cox7a2/Cox7b/Timm8b/Fdx1/Polr2f/Surf1/Ndufb8/Cox6c/Cox7c/Ndufb3/Ndufa4/Atp5g1/Cox6b1/Mrpl11/Sdhb/Ndufa8/Acaa2/Ndufa7/Ndufv1/Ndufc1/Uqcr10/Cox8a/Ndufb7/Ndufb2/Bax/Tomm22/Atp5l/Mrpl34/Ndufs4/Ndufa3/Vdac3/Ndufs8/Cox6a1/Hsd17b10/Atp5e/Atp5h/Uqcrb/Uqcrq/Atp5k/Atp5o/Timm10/Atp6v1e1/Atp5pb/Uqcrfs1/Aifm1/Mrps11/Ndufv2/Mdh2/Ndufa6/Ndufs6/Atp5g3/Slc25a4/Cox5a/Ndufa5/Ech1/Idh3a/Atp5d/Uqcrc1/Cyc1/Atp5c1/Mrps12/Atp6v1f/Ldha/Phyh/Uqcrh/Por/Ndufa2/Ndufab1"
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",129,0.313807837532542,1.67325242252898,0.000203252362791168,0.0025406545348896,0.00181857377234203,378,"tags=17%, list=5%, signal=16%","Sell/Irf7/Cxcl11/Slc28a2/Met/Cxcl9/Rtp4/Ccl2/Nmi/Ly6e/Bst2/Sgms2/Il18/Cxcl10/Emp3/Inhba/Irf1/Adora2b/Ifitm1/Slc31a2/Tnfaip6/Adrm1"
"HALLMARK_DNA_REPAIR","HALLMARK_DNA_REPAIR","HALLMARK_DNA_REPAIR",104,0.304742579870568,1.57582279874579,0.000882073269134185,0.00882073269134185,0.00631378761064469,664,"tags=24%, list=9%, signal=22%","Cmpk2/Nt5c3/Nt5c/Polr2h/Edf1/Aprt/Cox17/Adrm1/Polr2k/Polr1h/Polr2d/Polr2f/Surf1/Polr2i/Polr2c/Gtf2f1/Polr1d/Mpc2/Rbx1/Supt4a/Gtf2h5/Snapc5/Itpa/Nme1/Polr2j"
"HALLMARK_APOPTOSIS","HALLMARK_APOPTOSIS","HALLMARK_APOPTOSIS",106,0.314408487075074,1.63064538569435,0.00143500230603869,0.0119583525503224,0.00855966287812553,761,"tags=22%, list=10%, signal=20%","Isg20/Casp3/Ifitm3/Tspo/Il18/Casp1/Anxa1/Fas/Igf2r/Irf1/Tap1/Ier3/Gsr/Sod2/Tnf/Gpx1/Gch1/Ddit3/Bax/Bcl10/Ccnd2/Lgals3/Igfbp6"
"HALLMARK_HEME_METABOLISM","HALLMARK_HEME_METABOLISM","HALLMARK_HEME_METABOLISM",116,-0.415569988068694,-1.52642201311776,0.00174897119341564,0.0124926513815403,0.00894210835731304,2235,"tags=42%, list=30%, signal=30%","Top1/Btrc/Lmo2/Narf/Slc30a1/Atg4a/Mospd1/Foxj2/Xpo7/Clcn3/Slc6a8/Cdc27/Hebp1/Htra2/Synj1/Fbxo34/Sdcbp/Hbb-bt/Daam1/Mark3/Lpin2/Ncoa4/Minpp1/Bach1/Ctns/Nr3c1/Ranbp10/Gapvd1/Kdm7a/Khnyn/Mfhas1/Marchf8/Ctsb/Picalm/Nek7/Atp6v0a1/Slc11a2/Mxi1/Ell2/Epb41/Foxo3/Fech/Bmp2k/Cat/Acp5/Gclc/Sec14l1/Tent5c/Arhgef12"
"HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_HEDGEHOG_SIGNALING",15,-0.661007304511828,-1.73667724422497,0.0021115389392622,0.0131971183703888,0.00944635841248881,1003,"tags=53%, list=14%, signal=46%","Nf1/Ldb1/Rasa1/Nrp2/Rtn1/Nrp1/Ophn1/Tle1"
"HALLMARK_KRAS_SIGNALING_DN","HALLMARK_KRAS_SIGNALING_DN","HALLMARK_KRAS_SIGNALING_DN",29,-0.557560201696854,-1.67686431105208,0.0025560590217265,0.0142003278984806,0.0101644452325966,1977,"tags=62%, list=27%, signal=46%","Mthfr/Kmt2d/Slc29a3/Entpd7/Cd80/Mast3/Camk1d/Skil/Ptprj/Cpeb3/Sgk1/Cdkal1/Vps50/Fggy/Tent5c/Prkn/Serpinb2/Selenop"
"HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN",79,-0.430557048822719,-1.51974988055732,0.00654906517376149,0.0327453258688074,0.0234387595692516,2129,"tags=46%, list=29%, signal=33%","Atp2c1/Cdk13/Dusp1/Nipbl/Wdr37/Scaf8/Runx1/Atrx/Nfkb1/Serpine1/Pten/Pik3cd/Pdlim5/Mapk14/Atp2b1/Celf2/Nr3c1/Smad7/Igf1r/Slc7a1/Nek7/Dyrk1a/Apbb2/Lpar1/Rxra/Smad3/Map2k5/Nrp1/Dab2/Sfmbt1/Prkca/Tgfbr2/Vav2/Syne1/Pmp22/Cacna1a"
"HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING",67,0.314557813638946,1.49078568680209,0.00986753689956152,0.0409711270849042,0.0293267014923525,496,"tags=19%, list=7%, signal=18%","Cxcl11/Cxcl9/Cxcl3/Cxcl10/Il2rg/Il3ra/Stat1/Fas/Cxcl2/Irf1/Tnf/Bak1/Ccl7"
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE",135,-0.380818915738387,-1.41582659746658,0.00939926440539436,0.0409711270849042,0.0293267014923525,1851,"tags=39%, list=25%, signal=30%","Arhgef11/Mid1ip1/Cntrl/Pxn/Cdc27/Hook3/Klc1/Arhgap4/Arhgap5/Tbcd/Als2/Lrpprc/Pdlim5/Incenp/Pcm1/Tlk1/Tsc1/Cep57/Arhgap10/Sun2/Ranbp9/Kif1b/Ckap5/Dynll2/Nf1/Tubgcp5/Marcks/Top2a/Epb41l2/Abi1/Akap13/Rasa1/Plekhg2/Trio/Fgd4/Taok2/Dock4/Numa1/Epb41/Mid1/Prex1/Abl1/Myo1e/Fscn1/Dst/Arhgef3/Ssh2/Itsn1/Stk38l/Rapgef5/Flnb/Arhgef12/Ophn1"
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION",127,0.262779885500032,1.39448933824941,0.0106524930420751,0.0409711270849042,0.0293267014923525,720,"tags=20%, list=10%, signal=19%","Irf7/Gbp2/H2-Q7/Cxcl9/Ccl2/Capg/H2-T23/Il18/Psmb10/Il2rg/Nos2/Inhba/Stat1/Fas/Tap1/Ccr2/Tnf/Flna/Ccl7/B2m/Tap2/Nme1/Bcl10/Ccnd2/Map4k1/Fgr"
"HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION",83,-0.409364043353381,-1.45298768857763,0.0148546144121365,0.0530521943290591,0.0379742022565896,1942,"tags=46%, list=26%, signal=34%","Map4k2/Sdc3/Fyb/Adam15/Ptprc/B4galt1/Baiap2/Itgb1/Adam9/Ctnnd1/Crat/Hadh/Tial1/Pten/Mapk14/Tsc1/Pals1/Inppl1/Pbx2/Nf1/Pecam1/Nf2/Epb41l2/Rasa1/Sirpa/Mmp9/Taok2/Exoc4/Tspan4/Arhgef6/Lima1/Pik3cb/Fscn1/Cd86/Src/Vav2/Vcam1/Itga9"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",71,-0.407307156238733,-1.41644481006092,0.0275023984649824,0.0916746615499414,0.0656197577410107,302,"tags=18%, list=4%, signal=18%","Mmp14/Itgav/Anpep/Dst/Itgb5/Dab2/Pdlim4/Pmepa1/Edil3/Cadm1/Vcam1/Pmp22/Igfbp4"
"HALLMARK_BILE_ACID_METABOLISM","HALLMARK_BILE_ACID_METABOLISM","HALLMARK_BILE_ACID_METABOLISM",42,-0.436236068260949,-1.401973407313,0.0491472172351885,0.153585053859964,0.109934564868185,618,"tags=24%, list=8%, signal=22%","Slc29a1/Npc1/Idh2/Rxra/Hsd17b4/Cat/Cyp27a1/Abca1/Paox/Abca9"
"HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP",107,-0.355759122507972,-1.29495642747821,0.0669638229501399,0.196952420441588,0.140976469368716,1174,"tags=27%, list=16%, signal=23%","Adam17/Ikzf1/Atg10/Eng/Birc3/Usp12/Pecam1/Tnfaip3/Evi5/Cbl/Mmp9/Spon1/Rabgap1l/Cxcr4/Etv5/Mafb/Adamdec1/Tspan13/St6gal1/Mtmr10/Galnt3/Prdm1/Dusp6/Nrp1/Tmem176b/Cfh/Hdac9/Plau/Tmem176a"
