"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"NABA_MATRISOME_ASSOCIATED","NABA_MATRISOME_ASSOCIATED","NABA_MATRISOME_ASSOCIATED",154,0.377060041616948,2.22730119952624,3.25625341716865e-10,6.83813217605418e-09,5.82697979914391e-09,382,"tags=27%, list=5%, signal=26%","S100a8/Cxcl3/Mmp8/S100a9/Ccl24/Inhba/S100a4/S100a10/Ppbp/Adam23/Cxcl2/Timp1/Fam20a/Ccl6/F7/S100a6/Cxcl1/F10/Ccl17/Mmp19/Ccl2/S100a11/Clec4e/Ccl9/Clec4d/Adam8/Hbegf/Lif/Serpinb9/Anxa2/Tgm2/Tnf/Il18/Mmp9/Sdc1/Osm/Clec12a/Tnfsf9/Clec5a/Cstb/Lgals3/Sema7a"
"NABA_SECRETED_FACTORS","NABA_SECRETED_FACTORS","NABA_SECRETED_FACTORS",61,0.47324162324795,2.27713914043869,1.50481574365849e-06,1.58005653084142e-05,1.34641408643128e-05,290,"tags=36%, list=4%, signal=35%","S100a8/Cxcl3/S100a9/Ccl24/Inhba/S100a4/S100a10/Ppbp/Cxcl2/Ccl6/S100a6/Cxcl1/Ccl17/Ccl2/S100a11/Ccl9/Hbegf/Lif/Tnf/Il18/Osm/Tnfsf9"
"SA_MMP_CYTOKINE_CONNECTION","SA_MMP_CYTOKINE_CONNECTION","SA_MMP_CYTOKINE_CONNECTION",10,0.820599699722797,2.46152631313458,6.29056887260016e-05,0.000440339821082011,0.000375226915207729,925,"tags=70%, list=13%, signal=61%","Sell/Tnf/Cd44/Tnfrsf1b/Il1b/Tgfb1/Fcgr4"
"NABA_ECM_REGULATORS","NABA_ECM_REGULATORS","NABA_ECM_REGULATORS",55,0.347695123857797,1.63359394196435,0.00132478921405047,0.00695514337376497,0.00592668858917316,333,"tags=22%, list=5%, signal=21%","Mmp8/Adam23/Timp1/Fam20a/F7/F10/Mmp19/Adam8/Serpinb9/Tgm2/Mmp9/Cstb"
"SA_B_CELL_RECEPTOR_COMPLEXES","SA_B_CELL_RECEPTOR_COMPLEXES","SA_B_CELL_RECEPTOR_COMPLEXES",22,-0.509892355087373,-1.39651614672787,0.061512976256212,0.258354500276091,0.220151704495917,1984,"tags=50%, list=28%, signal=36%","Map2k1/Bcr/Fos/Mapk3/Rps6ka1/Jun/Vav1/Sos1/Blnk/Shc1/Vav2"
"WNT_SIGNALING","WNT_SIGNALING","WNT_SIGNALING",36,-0.42182479184539,-1.25198454210833,0.143053936632404,0.463033536585366,0.394564918393545,2796,"tags=53%, list=39%, signal=32%","Ep300/Ctbp1/Apc/Fbxw11/Gsk3b/Csnk2a1/Hprt/Tle5/Nlk/Fzd7/Axin1/Fbxw4/Jun/Daam1/Btrc/Lrp6/Ctnnb1/Ccnd1/Tle1"
"NABA_CORE_MATRISOME","NABA_CORE_MATRISOME","NABA_CORE_MATRISOME",30,-0.433332308579164,-1.25122973906621,0.154756780025829,0.463033536585366,0.394564918393545,677,"tags=27%, list=10%, signal=24%","Edil3/Creld2/Prg4/Col14a1/Spon1/Ltbp1/Gas6/Igfbp4"
"NABA_ECM_GLYCOPROTEINS","NABA_ECM_GLYCOPROTEINS","NABA_ECM_GLYCOPROTEINS",26,-0.437462397710957,-1.23370991693838,0.176393728222997,0.463033536585366,0.394564918393545,677,"tags=23%, list=10%, signal=21%","Edil3/Creld2/Spon1/Ltbp1/Gas6/Igfbp4"
"SIG_BCR_SIGNALING_PATHWAY","SIG_BCR_SIGNALING_PATHWAY","SIG_BCR_SIGNALING_PATHWAY",40,-0.37818597380009,-1.13972322019582,0.274330708661417,0.584129692832765,0.497754625471529,2587,"tags=52%, list=36%, signal=34%","Inpp5d/Csk/Sos2/Pik3cd/Raf1/Nfatc2/Gsk3b/Ppp3ca/Ppp3cb/Pik3ca/Itpr2/Bcr/Mapk3/Flot2/Bad/Vav1/Sos1/Blnk/Shc1/Bcl2/Cd81"
"SA_CASPASE_CASCADE","SA_CASPASE_CASCADE","SA_CASPASE_CASCADE",11,-0.478709908680308,-1.13148603229953,0.310749341632751,0.584129692832765,0.497754625471529,1681,"tags=36%, list=24%, signal=28%","Casp7/Srebf2/Parp1/Srebf1"
